Active_Max_is_most_common,Active_Max,Active_Std_is_most_common,Active_Std,Average_Packet_Size,Bwd_Bulk_Rate_Avg_is_most_common,Bwd_Bulk_Rate_Avg,Bwd_Bytes_Bulk_Avg_is_most_common,Bwd_Bytes_Bulk_Avg,Bwd_Header_Length,Bwd_IAT_Max_is_most_common,Bwd_IAT_Max,Bwd_IAT_Mean_is_most_common,Bwd_IAT_Mean,Bwd_IAT_Min_is_most_common,Bwd_IAT_Min,Bwd_IAT_Total_is_most_common,Bwd_IAT_Total,Bwd_Init_Win_Bytes,Bwd_Packet_Length_Max_is_most_common,Bwd_Packet_Length_Max,Bwd_Packet_Length_Mean_is_most_common,Bwd_Packet_Length_Mean,Bwd_Packet_Length_Min_is_most_common,Bwd_Packet_Length_Min,Bwd_Packets_s_is_most_common,Bwd_Packets_s,CWR_Flag_Count,Down_Up_Ratio,Dst_IP,Dst_Port_is_most_common,Dst_Port,ECE_Flag_Count,FIN_Flag_Count,FWD_Init_Win_Bytes_is_most_common,FWD_Init_Win_Bytes,Flow_Bytes_s_is_most_common,Flow_Bytes_s,Flow_Duration,Flow_IAT_Min,Flow_Packets_s,Fwd_Header_Length,Fwd_IAT_Std_is_most_common,Fwd_IAT_Std,Fwd_PSH_Flags,Fwd_Packet_Length_Std_is_most_common,Fwd_Packet_Length_Std,Fwd_Seg_Size_Min_is_most_common,Fwd_Seg_Size_Min,Fwd_URG_Flags,Idle_Max_is_most_common,Idle_Max,Idle_Std_is_most_common,Idle_Std,Label,Packet_Length_Min_is_most_common,Packet_Length_Min,Packet_Length_Variance_is_most_common,Packet_Length_Variance,Protocol,RST_Flag_Count,SYN_Flag_Count,Src_IP,Src_Port,Subflow_Bwd_Bytes_is_most_common,Subflow_Bwd_Bytes,Subflow_Fwd_Bytes_is_most_common,Subflow_Fwd_Bytes,Total_Bwd_packets,Total_Fwd_Packet,Total_Length_of_Bwd_Packet_is_most_common,Total_Length_of_Bwd_Packet,Total_Length_of_Fwd_Packet,Traffic_Subtype,Traffic_Type,URG_Flag_Count
1,-5.199337582605575,1,-5.199337582605575,0.14564303263653225,0,3.122173895797015,0,5.19933758270342,1,0,2.631531802069144,0,2.516782757949387,0,2.6528919855982154,0,3.2331881163042095,1,0,5.19933758270342,0,2.5221731601752797,1,-5.199337582605575,0,1.0186972974106616,0,-1,1,0,2.97681883995535,0,1,0,5.19933758270342,0,1.1677240325563687,2.1450619920167218,-5.199337582605575,1.0179544254522328,5.19933758270342,0,0.9578731845404128,0,0,2.1381268236830784,0,1.3716572255726536,0,1,-5.199337582605575,1,-5.199337582605575,0,1,-5.199337582605575,0,0.5438049742560396,1,-1,1,1,1.1656127498279583,0,5.19933758270342,0,5.19933758270342,1,1,0,3.116022402376386,5.19933758270342,0,0,0
0,5.19933758270342,0,2.935889626755012,-0.960267123853428,0,2.8837596257210945,0,3.0917678347920963,1,0,2.7049804835366995,0,2.7829886329081597,0,2.682495801416676,0,4.550700927733597,1,0,2.513267120046405,0,2.4261187621455766,1,-5.199337582605575,0,0.1584235447899942,0,-1,0,0,1.58970755513782,0,0,0,-1.280981397513278,0,-0.5016044209188515,4.349634001299205,-2.499827435153627,-0.013248569257175305,3.512383848320092,0,1.0800880552723113,1,0,1.3949368684398966,0,1.3716572255726536,0,0,0.1854783345896902,0,1.2059626383113355,0,1,-5.199337582605575,0,0.0980523515053747,1,-1,0,1,2.459320444189848,0,2.570246873206896,0,0.011040428897170912,1,1,0,3.090095307618434,1.026085235540643,0,0,0
1,-5.199337582605575,1,-5.199337582605575,0.14968531057284534,1,-5.199337582605575,1,-5.199337582605575,1,1,-5.199337582605575,1,-5.199337582605575,1,-5.199337582605575,1,-5.199337582605575,1,1,-5.199337582605575,1,-5.199337582605575,1,-5.199337582605575,0,2.8960264192926397,0,-1,0,0,1.6487323785381494,0,0,0,-1.2810980462382884,0,1.7009355108613478,-2.664053436857339,-2.261181927857392,2.5427958699572812,-0.29267606076175373,1,-5.199337582605575,1,1,-5.199337582605575,0,1.3716572255726536,0,1,-5.199337582605575,1,-5.199337582605575,0,1,-5.199337582605575,0,0.5424713251671793,1,-1,0,1,-3.4548737535818113,1,-5.199337582605575,1,-5.199337582605575,0,0,1,-5.199337582605575,-0.0021954969993281375,0,0,0
1,-5.199337582605575,1,-5.199337582605575,0.14602880533104956,0,3.1229840531892434,0,5.19933758270342,1,0,2.6417964973524453,0,2.516579038576163,0,2.651930625094312,0,4.235201923532723,1,0,5.19933758270342,0,2.5167791170961036,1,-5.199337582605575,0,1.0513468610795687,0,-1,1,0,2.97681883995535,0,0,0,5.19933758270342,0,1.1873196202169616,4.07464793891832,-5.199337582605575,1.0440316629813262,5.19933758270342,0,0.9557340978892562,0,0,2.1677177900081803,0,1.3716572255726536,0,1,-5.199337582605575,1,-5.199337582605575,0,1,-5.199337582605575,0,0.545466843142494,1,-1,1,0,1.245573482113579,0,5.19933758270342,0,5.19933758270342,1,1,0,3.148934636302496,5.19933758270342,0,0,0
1,-5.199337582605575,1,-5.199337582605575,0.14514566341516363,0,3.1118842809860476,0,5.19933758270342,1,0,2.6864124554933846,0,2.514786958524242,0,2.6525382592143516,0,5.19933758270342,0,0,2.5191187991378086,0,2.522429891004167,0,2.67230678826818,0,1.4742499520487873,0,1,1,0,2.97681883995535,0,0,0,-5.199337582605575,0,1.1186743019204037,5.19933758270342,-2.4994903020182297,0.9160757316555229,2.7474533072977194,0,0.9235252059431642,0,1,-5.199337582605575,0,-5.199337582605575,0,1,-5.199337582605575,1,-5.199337582605575,0,0,0.6342373651655667,0,-0.2706273647398655,2,-1,0,1,1.5801536251959627,0,5.19933758270342,0,0.003608632556985364,1,1,0,3.2036965766415784,0.11915271742744145,0,0,0
0,1.9558971244261514,1,-5.199337582605575,-5.199337582605575,1,-5.199337582605575,1,-5.199337582605575,-1,1,-5.199337582605575,1,-5.199337582605575,1,-5.199337582605575,1,-5.199337582605575,0,1,-5.199337582605575,1,-5.199337582605575,1,-5.199337582605575,1,-5.199337582605575,0,0,1,1,-5.199337582605575,0,0,0,-5.199337582605575,1,-5.199337582605575,3.2430037759515873,-2.2874870872879796,-1.3458457385360263,-5.199337582605575,0,2.231726776364005,0,1,-5.199337582605575,0,-5.199337582605575,0,0,2.186073795930282,0,2.114058669694156,0,1,-5.199337582605575,1,-5.199337582605575,0,-1,0,1,-5.199337582605575,1,-5.199337582605575,1,-5.199337582605575,-1,1,1,-5.199337582605575,-5.199337582605575,0,0,0
1,-5.199337582605575,1,-5.199337582605575,0.14545657387330274,0,3.121247844180543,0,5.19933758270342,1,0,2.660256270945492,0,2.516297451464255,0,2.597827774482892,0,4.209977047065246,1,0,5.19933758270342,0,2.529445680318545,1,-5.199337582605575,0,1.1008578203382333,0,-1,1,0,2.97681883995535,0,0,0,5.19933758270342,0,1.186128072127007,4.046783592329186,-5.199337582605575,1.0906229394804263,5.19933758270342,0,0.9543830889781152,0,0,2.137098469420314,0,1.3716572255726536,0,1,-5.199337582605575,1,-5.199337582605575,0,1,-5.199337582605575,0,0.5445805644819847,1,-1,1,1,1.462576197391813,0,5.19933758270342,0,5.19933758270342,1,1,0,3.168061175208307,5.19933758270342,0,0,0
1,-5.199337582605575,1,-5.199337582605575,0.14532398828696158,0,3.1219312476697314,0,5.19933758270342,1,0,2.6222501507536733,0,2.5165442369371847,0,2.6525806888598145,0,3.1820934178444285,1,0,2.996213591870777,0,2.524464286590424,1,-5.199337582605575,0,1.0565548110784548,0,-1,1,0,2.97681883995535,0,0,0,2.170753649833752,0,1.168236260927484,1.6520609551820162,-5.199337582605575,1.047745676624255,5.19933758270342,0,0.9557365049776213,1,0,2.1366171657309647,0,1.3716572255726536,0,1,-5.199337582605575,1,-5.199337582605575,0,1,-5.199337582605575,0,0.5427299794199905,1,0,0,0,1.245573482113579,0,5.19933758270342,0,5.19933758270342,1,1,0,3.1111053521074337,5.19933758270342,0,0,0
1,-5.199337582605575,1,-5.199337582605575,0.14502680144553995,0,3.1105489216366817,0,5.19933758270342,1,0,2.6446681438036266,0,2.514973850257796,0,2.6524392752747805,0,5.19933758270342,0,0,2.5210527725868896,0,2.521491238245676,0,2.67230678826818,0,1.4094521281015893,0,1,1,0,2.97681883995535,0,0,0,-5.199337582605575,0,1.0981999878626474,5.19933758270342,-2.500671513232352,0.8762380813765078,2.7474533072977194,0,0.9278548012436154,0,0,1.3973604663381805,0,-5.199337582605575,0,1,-5.199337582605575,1,-5.199337582605575,0,0,0.6342373651655667,0,-0.17776735265832383,2,-1,0,1,1.5801536251959627,0,5.19933758270342,0,0.0033143737906607684,1,1,0,3.1939605017400874,0.13996367788750855,0,0,0
0,5.19933758270342,1,-5.199337582605575,-0.9580142845464787,1,-5.199337582605575,1,-5.199337582605575,1,0,2.7051640537074513,0,2.8064638476421484,0,2.703319843561265,0,5.19933758270342,1,0,2.5133727490917073,0,2.4300286498645716,1,-5.199337582605575,0,0.15164983782648403,0,-1,0,0,1.58970755513782,0,0,0,-1.280981397513278,0,-0.5100935711775426,5.19933758270342,-2.4799243654398526,-0.051112135238194696,3.3327198444485706,0,1.0366836371332502,1,0,1.0331805437809154,0,1.3716572255726536,0,0,0.1855931619278974,1,-5.199337582605575,0,1,-5.199337582605575,0,0.09818538333023913,1,-1,0,1,2.459320444189848,0,2.5682507898912297,0,0.01028764485306942,1,1,0,3.090084547504964,1.0244697582580145,0,0,0
0,1.9519323324780762,1,-5.199337582605575,-5.199337582605575,1,-5.199337582605575,1,-5.199337582605575,-1,1,-5.199337582605575,1,-5.199337582605575,1,-5.199337582605575,1,-5.199337582605575,0,1,-5.199337582605575,1,-5.199337582605575,1,-5.199337582605575,1,-5.199337582605575,0,0,1,1,-5.199337582605575,0,0,0,-5.199337582605575,1,-5.199337582605575,3.243013750190837,-2.4537407858021316,-1.345853763610249,-5.199337582605575,0,2.2319610596346156,0,1,-5.199337582605575,0,-5.199337582605575,0,0,2.1862546634482802,0,2.114246142891407,0,1,-5.199337582605575,1,-5.199337582605575,0,-1,0,1,-5.199337582605575,1,-5.199337582605575,1,-5.199337582605575,-1,1,1,-5.199337582605575,-5.199337582605575,0,0,0
