Active_Max_is_most_common,Active_Max,Active_Std_is_most_common,Active_Std,Average_Packet_Size,Bwd_Bulk_Rate_Avg_is_most_common,Bwd_Bulk_Rate_Avg,Bwd_Bytes_Bulk_Avg_is_most_common,Bwd_Bytes_Bulk_Avg,Bwd_Header_Length,Bwd_IAT_Max_is_most_common,Bwd_IAT_Max,Bwd_IAT_Mean_is_most_common,Bwd_IAT_Mean,Bwd_IAT_Min_is_most_common,Bwd_IAT_Min,Bwd_IAT_Total_is_most_common,Bwd_IAT_Total,Bwd_Init_Win_Bytes,Bwd_Packet_Length_Max_is_most_common,Bwd_Packet_Length_Max,Bwd_Packet_Length_Mean_is_most_common,Bwd_Packet_Length_Mean,Bwd_Packet_Length_Min_is_most_common,Bwd_Packet_Length_Min,Bwd_Packets_s_is_most_common,Bwd_Packets_s,CWR_Flag_Count,Down_Up_Ratio,Dst_IP,Dst_Port_is_most_common,Dst_Port,ECE_Flag_Count,FIN_Flag_Count,FWD_Init_Win_Bytes_is_most_common,FWD_Init_Win_Bytes,Flow_Bytes_s_is_most_common,Flow_Bytes_s,Flow_Duration,Flow_IAT_Min,Flow_Packets_s,Fwd_Header_Length,Fwd_IAT_Std_is_most_common,Fwd_IAT_Std,Fwd_PSH_Flags,Fwd_Packet_Length_Std_is_most_common,Fwd_Packet_Length_Std,Fwd_Seg_Size_Min_is_most_common,Fwd_Seg_Size_Min,Fwd_URG_Flags,Idle_Max_is_most_common,Idle_Max,Idle_Std_is_most_common,Idle_Std,Label,Packet_Length_Min_is_most_common,Packet_Length_Min,Packet_Length_Variance_is_most_common,Packet_Length_Variance,Protocol,RST_Flag_Count,SYN_Flag_Count,Src_IP,Src_Port,Subflow_Bwd_Bytes_is_most_common,Subflow_Bwd_Bytes,Subflow_Fwd_Bytes_is_most_common,Subflow_Fwd_Bytes,Total_Bwd_packets,Total_Fwd_Packet,Total_Length_of_Bwd_Packet_is_most_common,Total_Length_of_Bwd_Packet,Total_Length_of_Fwd_Packet,Traffic_Subtype,Traffic_Type,URG_Flag_Count

0,1.2856077960678363,1,-5.199337582605575,-1.1255925655566197,0,3.1734391189485627,0,3.0911929520362205,1,0,3.102606868303473,0,2.7730744032678833,0,2.569276175820365,0,3.0483506070861854,1,0,2.5144305849744257,0,2.4085503704175797,1,-5.199337582605575,0,0.16732387961903902,0,0,0,0,1.0315087602176443,0,1,0,5.19933758270342,0,-0.5739509758980181,0.4977512846377498,-2.575483324008602,0.1002940737181929,2.877846118927186,0,1.3685200721841868,0,0,1.2217042154978814,0,1.3716572255726536,0,0,0.6325043232704187,1,-5.199337582605575,1,1,-5.199337582605575,0,-0.11035194562106614,1,-1,1,0,0.5441770608471881,0,2.6517319847473857,0,0.0060929624613642215,1,1,0,2.575544985456475,-0.9669389208931163,3,2,0
0,1.2847160004378717,1,-5.199337582605575,-1.1258439454147755,0,3.187981340130832,0,3.0909892067111353,1,0,3.1026225660896896,0,2.7730189539422483,0,2.6665273553769246,0,3.04736495411474,1,0,2.5144305849744257,0,2.4085503704175797,1,-5.199337582605575,0,0.16733668578645866,0,0,0,0,1.0315087602176443,0,1,0,5.19933758270342,0,-0.5950079964152791,0.49689200899148267,-2.575483324008602,0.10032865125694289,2.877846118927186,0,1.3685406208058275,0,0,1.0356465261662264,0,1.3716572255726536,0,0,0.6323284270276985,1,-5.199337582605575,1,1,-5.199337582605575,0,-0.11977156871095929,1,-1,1,0,1.2355167334939083,0,2.6517319847473857,0,0.0041138299185308255,1,1,0,2.575544985456475,-1.1213368690623087,3,2,0
1,-5.199337582605575,1,-5.199337582605575,0.14502897414947527,0,3.2235092953505946,0,3.1011460516654403,1,0,2.632573665858423,0,2.6134221264696826,0,2.569276175820365,0,3.113003118663207,1,0,3.2779241859135757,0,2.5121937879056113,1,-5.199337582605575,0,0.22130134512295777,0,-1,0,0,1.033646823237722,0,1,0,5.19933758270342,0,0.2311233833360278,0.9114846452634661,-2.575483324008602,0.1748543207168101,3.2166268667445803,0,1.0311590042725323,0,0,2.1918711689926447,0,1.3716572255726536,0,1,-5.199337582605575,1,-5.199337582605575,1,1,-5.199337582605575,0,0.5602646411932551,1,-1,1,0,0.6704763371924795,0,2.7368030446476803,0,0.5793521792002088,1,1,0,3.090191267784614,1.3627130195348798,5,2,0
1,-5.199337582605575,1,-5.199337582605575,-5.199337582605575,1,-5.199337582605575,1,-5.199337582605575,1,1,-5.199337582605575,1,-5.199337582605575,1,-5.199337582605575,1,-5.199337582605575,1,1,-5.199337582605575,1,-5.199337582605575,1,-5.199337582605575,0,2.6853856750038583,0,0,0,0,1.033646823237722,0,1,0,-1.280981397513278,1,-5.199337582605575,-2.5479622832576068,-2.443735694874602,2.661828133462679,1.1718899531426865,1,-5.199337582605575,0,1,-5.199337582605575,0,1.3716572255726536,0,1,-5.199337582605575,1,-5.199337582605575,1,1,-5.199337582605575,1,-5.199337582605575,1,-1,0,0,0.8576814438350943,1,-5.199337582605575,1,-5.199337582605575,0,-1,1,-5.199337582605575,-5.199337582605575,5,2,0
1,-5.199337582605575,1,-5.199337582605575,-5.199337582605575,1,-5.199337582605575,1,-5.199337582605575,1,1,-5.199337582605575,1,-5.199337582605575,1,-5.199337582605575,1,-5.199337582605575,1,1,-5.199337582605575,1,-5.199337582605575,1,-5.199337582605575,0,3.13768742824123,0,0,0,0,1.033646823237722,0,1,0,-1.280981397513278,1,-5.199337582605575,-3.006532598825406,-2.414537321045425,2.8784841909024754,1.1718899531426865,1,-5.199337582605575,0,1,-5.199337582605575,0,1.3716572255726536,0,1,-5.199337582605575,1,-5.199337582605575,1,1,-5.199337582605575,1,-5.199337582605575,1,-1,0,0,1.051508253089197,1,-5.199337582605575,1,-5.199337582605575,0,-1,1,-5.199337582605575,-5.199337582605575,5,2,0
1,-5.199337582605575,1,-5.199337582605575,0.14493472357905707,0,3.317476466492849,0,3.1009932239106313,1,0,2.632593372335672,0,2.622314636485862,0,2.575483324008602,0,3.117682172252394,1,0,3.2779241859135757,0,2.5121937879056113,1,-5.199337582605575,0,0.21826798256148144,0,-1,0,0,1.033646823237722,0,1,0,5.19933758270342,0,0.2217202615748539,0.9681588825524858,-2.5439818593604366,0.16728713917190197,3.2166268667445803,0,1.0356428821549957,0,0,2.1916973012291026,0,1.3716572255726536,0,1,-5.199337582605575,1,-5.199337582605575,1,1,-5.199337582605575,0,0.5602142739414703,1,-1,1,0,0.37249198447019316,0,2.7368030446476803,0,0.5784596615251972,1,1,0,3.090191267784614,1.318974875555179,5,2,0
1,-5.199337582605575,1,-5.199337582605575,-1.1333300910914277,1,-5.199337582605575,1,-5.199337582605575,0,1,-5.199337582605575,1,-5.199337582605575,1,-5.199337582605575,1,-5.199337582605575,0,1,-5.199337582605575,1,-5.199337582605575,1,-5.199337582605575,0,2.587524022002101,0,0,0,0,1.035789621854487,0,1,0,-1.2600919119378209,0,0.570248863893917,-2.459163288413052,-2.5439818593604366,2.717346460407914,1.5276149408186546,0,0.9237459843985943,0,0,1.0307252583267443,0,1.3716572255726536,0,1,-5.199337582605575,1,-5.199337582605575,1,1,-5.199337582605575,0,-0.4638566641946502,1,0,0,0,1.6574490754162396,1,-5.199337582605575,1,-5.199337582605575,0,1,1,-5.199337582605575,-1.129329742081198,6,2,0
1,-5.199337582605575,1,-5.199337582605575,-1.1290680009635334,0,3.0899933963864123,0,3.0899354855429944,1,0,2.6200715239041243,0,2.576072539350425,0,2.575483324008602,0,3.09777807971352,1,0,2.402652353246193,0,2.386299199140956,1,-5.199337582605575,0,0.2501227533753857,0,0,0,0,1.035789621854487,0,1,0,5.19933758270342,0,-0.43062788007627556,0.723906940959744,-2.575483324008602,0.23452494806570648,4.027410920680821,0,1.0055815693339558,0,0,1.0316475512976786,0,1.3716572255726536,0,1,-5.199337582605575,1,-5.199337582605575,1,1,-5.199337582605575,0,-0.4513421423569511,1,-1,1,0,0.4395553169062967,0,2.5783389320928745,0,0.003461503136357391,1,1,0,2.6101810421834317,-0.0026659616582801874,6,2,0
1,-5.199337582605575,1,-5.199337582605575,-0.07282931620005585,1,-5.199337582605575,1,-5.199337582605575,1,1,-5.199337582605575,1,-5.199337582605575,1,-5.199337582605575,1,-5.199337582605575,0,0,2.405645014388888,0,2.4458811004569636,0,2.7764606712018804,0,1.6327775291719262,0,-1,0,0,1.0552931099825855,0,0,0,-5.199337582605575,0,1.153729820999083,-1.6182370093105565,-1.3695962610899952,1.646433568977645,-5.199337582605575,1,-5.199337582605575,0,1,-5.199337582605575,0,-5.199337582605575,0,1,-5.199337582605575,1,-5.199337582605575,1,0,0.7414173207659607,1,-5.199337582605575,2,-1,0,0,0.6551635662159215,1,-5.199337582605575,1,-5.199337582605575,0,0,0,2.4546872652640044,-0.9666628695038054,2,2,0
