latitude,longitude,price
33.99211,-118.476,152
33.98301,-118.38607,115
34.12206,-118.26783,75
33.97487,-118.46312,125
34.00389,-118.44126,189
34.09625,-118.34605,93
33.96154,-118.42373,85
34.0044,-118.48095,179
33.8749,-118.11515,50
34.11874,-118.32113,100
33.962,-118.42204,85
34.03073,-118.75513,350
34.06118,-118.39804,165
34.15227,-118.10359,85
34.1116,-118.38223,87
33.9875,-118.432,50
34.11088,-118.30782,60
33.9875,-118.432,65
34.06171,-118.37258,135
34.11365,-118.25162,120
34.10998,-118.38152,71
34.16887,-118.64478,89
34.0238,-118.40512,59
34.09490339,-118.3476582,109
33.99122,-118.46898,417
34.02035,-118.43428,147
34.11344,-118.32399,150
34.11364,-118.26068,100
34.08187,-118.25663,140
34.06015913,-118.3791141,115
34.02438,-118.38374,300
34.08618,-118.27651,138
34.00985,-118.40798,140
33.77202,-118.18852,80
34.08538,-118.34455,80
33.99782,-118.47698,85
34.08187,-118.38965,500
34.03301,-118.46104,105
33.89581,-118.02588,901
34.0546,-118.35495,74
34.1042,-118.34748,45
33.99573,-118.47216,99
33.83931,-118.38638,185
34.03833,-118.33662,109
34.18177,-118.52621,119
34.05303,-118.39449,340
33.8465,-118.08244,65
34.11834,-118.31997,363
34.22532,-118.39592,99
33.83931,-118.38638,185
33.98522,-118.3616,140
34.09395,-118.27673,180
34.08285904,-118.2787552,120
34.04244,-118.3522,185
34.09419,-118.27871,150
34.16614532,-118.4123764,504
34.12801,-118.31919,110
34.09624,-118.34656,150
34.05798,-118.35541,119
33.97713,-118.46279,204
34.10943,-118.34073,99
33.99179,-118.45056,400
33.99117,-118.45159,257
34.00219,-118.46829,168
34.08363,-118.2843,75
33.98047,-118.46514,129
33.91942,-118.20913,75
34.0768,-118.35301,68
34.12018,-118.32051,224
34.16708,-118.64441,329
34.11187,-118.32479,286
34.02886,-118.51392,191
34.11374,-118.32503,272
34.05467,-118.36356,115
34.06581,-118.29441,62
34.25419,-118.28138,83
34.10104,-118.25659,154
33.99314,-118.46053,899
34.08195,-118.2784,125
