Precision,Recall,F1-score,True Positives,False Positives,False Negatives,AP,RR
0.04239401496259352,0.5,0.07816091954022988,17,383,17,0.043113198635165786,0.038461538461538464
0.00997506234413965,0.5714285714285714,0.0196078431372549,4,396,3,0.04467516038673534,0.047619047619047616
0.04738154613466334,0.4418604651162791,0.08558558558558559,19,381,24,0.11531677859134215,0.5
0.007481296758104738,0.3333333333333333,0.014634146341463415,3,397,6,0.008942412793730129,0.006756756756756757
0.1371571072319202,0.4198473282442748,0.2067669172932331,55,345,76,0.23644711648856662,1.0
0.03740648379052369,0.625,0.07058823529411765,15,385,9,0.04260084977550603,0.02
0.02493765586034913,0.35714285714285715,0.046620046620046623,10,390,18,0.027233903143229432,0.02631578947368421
0.02493765586034913,0.45454545454545453,0.047281323877068564,10,390,12,0.05546217676746863,0.05263157894736842
0.00997506234413965,0.4,0.0194647201946472,4,396,6,0.016220005548172958,0.029411764705882353
0.029925187032418952,0.48,0.05633802816901408,12,388,13,0.031853203567647925,0.02857142857142857
0.00997506234413965,0.18181818181818182,0.018912529550827423,4,396,18,0.009562113619381606,0.008771929824561403
0.0024937655860349127,0.14285714285714285,0.004901960784313725,1,399,6,0.0035335689045936395,0.0035335689045936395
0.032418952618453865,0.5416666666666666,0.06117647058823529,13,387,11,0.05001317800696711,0.045454545454545456
0.057356608478802994,0.41818181818181815,0.10087719298245615,23,377,32,0.08246922922737111,0.1
0.08478802992518704,0.3269230769230769,0.13465346534653466,34,366,70,0.09207292991355974,0.1
0.16209476309226933,0.3611111111111111,0.22375215146299482,65,335,115,0.20440889880078322,1.0
0.057356608478802994,0.41818181818181815,0.10087719298245615,23,377,32,0.15729552347974735,1.0
0.00997506234413965,0.19047619047619047,0.018957345971563982,4,396,17,0.009900808105099149,0.006756756756756757
0.022443890274314215,0.4090909090909091,0.04255319148936171,9,391,13,0.03997998254191832,0.16666666666666666
0.04987531172069826,0.43478260869565216,0.0894854586129754,20,380,26,0.05066640239258825,0.06666666666666667
0.0199501246882793,0.32,0.03755868544600939,8,392,17,0.029323197552677194,0.06666666666666667
0.0773067331670823,0.44285714285714284,0.1316348195329087,31,369,39,0.20030412458603736,1.0
0.029925187032418952,0.34285714285714286,0.05504587155963302,12,388,23,0.05035937777575009,0.25
0.0399002493765586,0.5161290322580645,0.07407407407407408,16,384,15,0.04746834016530489,0.03571428571428571
0.06982543640897755,0.5490196078431373,0.12389380530973451,28,372,23,0.10482951143799167,0.25
0.0399002493765586,0.48484848484848486,0.07373271889400922,16,384,17,0.10932118191299961,1.0
0.017456359102244388,0.6363636363636364,0.03398058252427184,7,393,4,0.023354932431220606,0.0625
0.059850374064837904,0.47058823529411764,0.10619469026548671,24,376,27,0.11438086043992873,1.0
0.05236907730673317,0.4772727272727273,0.09438202247191012,21,379,23,0.11318625780527429,1.0
0.014962593516209476,0.35294117647058826,0.028708133971291863,6,394,11,0.039004147284739575,0.09090909090909091
0.06982543640897755,0.4827586206896552,0.12200435729847493,28,372,30,0.10886487855682138,0.16666666666666666
0.0399002493765586,0.5333333333333333,0.07424593967517402,16,384,14,0.043374201666406466,0.1111111111111111
0.07231920199501247,0.5087719298245614,0.12663755458515283,29,371,28,0.11370309106197035,0.16666666666666666
0.04488778054862843,0.46153846153846156,0.08181818181818183,18,382,21,0.07803211410754735,0.14285714285714285
0.017456359102244388,0.5,0.03373493975903614,7,393,7,0.036785952065307034,0.034482758620689655
0.012468827930174564,0.5555555555555556,0.024390243902439025,5,395,4,0.1204196543482258,0.5
0.09476309226932668,0.3877551020408163,0.1523046092184369,38,362,60,0.1169373527615327,1.0
0.04987531172069826,0.37735849056603776,0.0881057268722467,20,380,33,0.06941410502519627,0.3333333333333333
0.16209476309226933,0.4012345679012346,0.23090586145648315,65,335,97,0.1750824261565555,0.09090909090909091
0.13216957605985039,0.363013698630137,0.19378427787934188,53,347,93,0.1872297298934955,1.0
0.014962593516209476,0.4,0.028846153846153844,6,394,9,0.19764574164428497,1.0
0.05486284289276808,0.46808510638297873,0.09821428571428571,22,378,25,0.06612132646298824,0.1
0.12219451371571072,0.5,0.19639278557114226,49,351,49,0.1200246261100969,0.25
0.12468827930174564,0.35714285714285715,0.18484288354898337,50,350,90,0.19283056200085724,0.5
0.014962593516209476,0.3,0.028503562945368165,6,394,14,0.023033836732400684,0.06666666666666667
0.022443890274314215,0.5,0.04295942720763723,9,391,9,0.023508636535962607,0.011111111111111112
0.04239401496259352,0.2833333333333333,0.0737527114967462,17,383,43,0.04504736010529205,0.06666666666666667
0.034912718204488775,0.4666666666666667,0.06496519721577725,14,386,16,0.05742091922916169,0.1111111111111111
0.03740648379052369,0.4166666666666667,0.06864988558352403,15,385,21,0.0411875965254715,0.017241379310344827
0.0199501246882793,0.32,0.03755868544600939,8,392,17,0.05374631142538951,0.25
0.26184538653366585,0.43568464730290457,0.3271028037383178,105,295,136,0.36954422185627595,1.0
0.0024937655860349127,0.5,0.004962779156327543,1,399,1,0.009523809523809525,0.009523809523809525
0.032418952618453865,0.5652173913043478,0.06132075471698114,13,387,10,0.047198835777640044,0.14285714285714285
0.059850374064837904,0.3870967741935484,0.10367170626349892,24,376,38,0.11383261700328962,1.0
0.0199501246882793,0.3333333333333333,0.03764705882352941,8,392,16,0.06848887730365971,0.25
0.032418952618453865,0.40625,0.060046189376443425,13,387,19,0.024479514443279133,0.006172839506172839
0.06483790523690773,0.5098039215686274,0.11504424778761062,26,374,25,0.06842387689268774,0.16666666666666666
0.1172069825436409,0.49473684210526314,0.18951612903225803,47,353,48,0.11854512017129938,0.2
0.1371571072319202,0.3793103448275862,0.20146520146520147,55,345,90,0.1528374531122882,1.0
0.029925187032418952,0.35294117647058826,0.05517241379310344,12,388,22,0.03909142676685553,0.017241379310344827
0.07481296758104738,0.42857142857142855,0.1273885350318471,30,370,40,0.07386077738749747,0.2
0.15211970074812967,0.4236111111111111,0.22385321100917427,61,339,83,0.202025786120581,1.0
0.04987531172069826,0.5128205128205128,0.09090909090909091,20,380,19,0.061162375295303495,0.07142857142857142
0.04488778054862843,0.36,0.07982261640798226,18,382,32,0.05153227075300154,0.2
