Precision,Recall,F1-score,True Positives,False Positives,False Negatives,AP,RR
0.07,0.76,0.12,26,374,8,0.24,1.00
0.01,0.57,0.02,4,396,3,0.17,0.50
0.07,0.70,0.14,30,370,13,0.18,1.00
0.02,1.00,0.04,9,391,0,0.34,1.00
0.16,0.50,0.24,65,335,66,0.21,0.50
0.04,0.75,0.08,18,382,6,0.18,1.00
0.04,0.64,0.08,18,382,10,0.13,0.50
0.04,0.73,0.08,16,384,6,0.05,0.20
0.02,0.80,0.04,8,392,2,0.26,0.50
0.04,0.64,0.08,16,384,9,0.31,1.00
0.05,0.86,0.09,19,381,3,0.62,1.00
0.01,0.71,0.02,5,395,2,0.16,1.00
0.04,0.75,0.08,18,382,6,0.17,1.00
0.10,0.71,0.17,39,361,16,0.23,1.00
0.15,0.60,0.25,62,338,42,0.17,1.00
0.27,0.59,0.37,107,293,73,0.26,1.00
0.07,0.55,0.13,30,370,25,0.12,0.50
0.04,0.81,0.08,17,383,4,0.16,1.00
0.04,0.82,0.09,18,382,4,0.09,0.33
0.09,0.76,0.16,35,365,11,0.53,1.00
