graphid,repeatid,vertices, edges, ticks, num-messages-sent,num-bits-sent,num-broadcasts-sent
0,0,100,3,108,360,360,74
0,1,100,3,147,450,450,85
0,2,100,3,111,379,379,72
0,3,100,3,90,440,440,79
0,4,100,3,78,411,411,77
1,0,100,3,153,388,388,73
1,1,100,3,72,418,418,69
1,2,100,3,105,350,350,68
1,3,100,3,84,350,350,70
1,4,100,3,123,381,381,66
2,0,100,3,81,500,500,84
2,1,100,3,105,361,361,74
2,2,100,3,81,346,346,68
2,3,100,3,150,412,412,84
2,4,100,3,153,416,416,78
3,0,100,3,291,374,374,74
3,1,100,3,120,356,356,75
3,2,100,3,123,336,336,71
3,3,100,3,186,387,387,73
3,4,100,3,141,358,358,70
4,0,100,3,117,432,432,82
4,1,100,3,108,381,381,74
4,2,100,3,171,395,395,76
4,3,100,3,90,340,340,60
4,4,100,3,108,318,318,70
5,0,100,3,93,378,378,76
5,1,100,3,99,392,392,74
5,2,100,3,126,334,334,62
5,3,100,3,69,381,381,72
5,4,100,3,96,414,414,81
6,0,100,3,87,393,393,72
6,1,100,3,54,426,426,79
6,2,100,3,147,441,441,73
6,3,100,3,117,415,415,78
6,4,100,3,90,410,410,74
7,0,100,3,216,375,375,69
7,1,100,3,141,336,336,68
7,2,100,3,162,346,346,68
7,3,100,3,93,350,350,66
7,4,100,3,162,348,348,68
8,0,100,3,150,336,336,66
8,1,100,3,120,344,344,66
8,2,100,3,126,366,366,74
8,3,100,3,75,388,388,76
8,4,100,3,132,442,442,88
9,0,100,3,192,425,425,81
9,1,100,3,138,445,445,83
9,2,100,3,96,419,419,75
9,3,100,3,66,376,376,76
9,4,100,3,93,328,328,68
10,0,100,3,120,355,355,73
10,1,100,3,123,384,384,77
10,2,100,3,114,387,387,77
10,3,100,3,156,352,352,75
10,4,100,3,153,377,377,69
11,0,100,3,96,322,322,64
11,1,100,3,141,376,376,73
11,2,100,3,153,384,384,73
11,3,100,3,123,408,408,70
11,4,100,3,156,316,316,61
12,0,100,3,96,349,349,62
12,1,100,3,90,386,386,73
12,2,100,3,141,364,364,65
12,3,100,3,183,378,378,77
12,4,100,3,96,343,343,66
13,0,100,3,153,316,316,66
13,1,100,3,255,335,335,72
13,2,100,3,129,308,308,64
13,3,100,3,99,350,350,64
13,4,100,3,117,324,324,70
14,0,100,3,150,314,314,60
14,1,100,3,111,383,383,70
14,2,100,3,120,404,404,79
14,3,100,3,243,394,394,67
14,4,100,3,114,334,334,68
15,0,100,3,102,397,397,78
15,1,100,3,165,365,365,73
15,2,100,3,210,387,387,76
15,3,100,3,129,346,346,66
15,4,100,3,129,306,306,66
16,0,100,3,147,397,397,78
16,1,100,3,189,406,406,79
16,2,100,3,189,314,314,62
16,3,100,3,105,319,319,66
16,4,100,3,207,452,452,79
17,0,100,3,93,334,334,60
17,1,100,3,135,336,336,66
17,2,100,3,87,408,408,78
17,3,100,3,117,354,354,74
17,4,100,3,75,375,375,67
18,0,100,3,108,361,361,73
18,1,100,3,219,354,354,73
18,2,100,3,99,360,360,70
18,3,100,3,69,330,330,66
18,4,100,3,147,354,354,69
19,0,100,3,96,333,333,66
19,1,100,3,105,446,446,86
19,2,100,3,78,468,468,84
19,3,100,3,51,370,370,72
19,4,100,3,99,394,394,71
20,0,100,3,78,378,378,76
20,1,100,3,132,326,326,64
20,2,100,3,141,395,395,76
20,3,100,3,75,362,362,66
20,4,100,3,111,383,383,77
21,0,100,3,171,362,362,65
21,1,100,3,168,376,376,68
21,2,100,3,144,354,354,64
21,3,100,3,129,432,432,86
21,4,100,3,90,357,357,68
22,0,100,3,234,359,359,72
22,1,100,3,105,403,403,71
22,2,100,3,102,414,414,79
22,3,100,3,141,328,328,66
22,4,100,3,84,311,311,64
23,0,100,3,105,359,359,67
23,1,100,3,144,361,361,66
23,2,100,3,183,345,345,74
23,3,100,3,93,294,294,60
23,4,100,3,111,348,348,68
24,0,100,3,156,408,408,81
24,1,100,3,45,340,340,63
24,2,100,3,99,339,339,70
24,3,100,3,153,377,377,76
24,4,100,3,138,333,333,62
25,0,100,3,99,332,332,68
25,1,100,3,96,331,331,64
25,2,100,3,93,360,360,68
25,3,100,3,84,422,422,78
25,4,100,3,90,370,370,76
26,0,100,3,75,324,324,64
26,1,100,3,168,385,385,74
26,2,100,3,102,317,317,68
26,3,100,3,105,404,404,80
26,4,100,3,126,316,316,64
27,0,100,3,108,360,360,67
27,1,100,3,141,378,378,70
27,2,100,3,69,323,323,68
27,3,100,3,192,362,362,72
