graphid,repeatid,vertices, edges, ticks, min-degree, d-bound, nodes-deleted
0,0,100,2,7,1,100,0
0,1,100,2,1,1,100,0
0,2,100,2,2,1,100,0
0,3,100,2,2,1,100,0
0,4,100,2,3,1,100,0
1,0,100,2,6,1,100,0
1,1,100,2,1,1,100,0
1,2,100,2,2,1,100,0
1,3,100,2,3,1,100,0
1,4,100,2,1,1,100,0
2,0,100,2,7,1,100,0
2,1,100,2,5,1,100,0
2,2,100,2,2,1,100,0
2,3,100,2,1,1,100,0
2,4,100,2,1,1,100,0
3,0,100,2,8,1,100,0
3,1,100,2,1,1,100,0
3,2,100,2,1,1,100,0
3,3,100,2,3,1,100,0
3,4,100,2,1,1,100,0
4,0,100,2,8,1,100,0
4,1,100,2,1,1,100,0
4,2,100,2,1,1,100,0
4,3,100,2,1,1,100,0
4,4,100,2,2,1,100,0
5,0,100,2,8,1,100,0
5,1,100,2,1,1,100,0
5,2,100,2,1,1,100,0
5,3,100,2,2,1,100,0
5,4,100,2,2,1,100,0
6,0,100,2,10,1,100,0
6,1,100,2,2,1,100,0
6,2,100,2,1,1,100,0
6,3,100,2,1,1,100,0
6,4,100,2,1,1,100,0
7,0,100,2,9,1,100,0
7,1,100,2,1,1,100,0
7,2,100,2,3,1,100,0
7,3,100,2,1,1,100,0
7,4,100,2,1,1,100,0
8,0,100,2,7,1,100,0
8,1,100,2,1,1,100,0
8,2,100,2,1,1,100,0
8,3,100,2,4,1,100,0
8,4,100,2,2,1,100,0
9,0,100,2,7,1,100,0
9,1,100,2,3,1,100,0
9,2,100,2,1,1,100,0
9,3,100,2,1,1,100,0
9,4,100,2,1,1,100,0
10,0,100,2,6,1,100,0
10,1,100,2,1,1,100,0
10,2,100,2,1,1,100,0
10,3,100,2,1,1,100,0
10,4,100,2,1,1,100,0
11,0,100,2,6,1,100,0
11,1,100,2,2,1,100,0
11,2,100,2,2,1,100,0
11,3,100,2,1,1,100,0
11,4,100,2,2,1,100,0
12,0,100,2,6,1,100,0
12,1,100,2,1,1,100,0
12,2,100,2,2,1,100,0
12,3,100,2,3,1,100,0
12,4,100,2,1,1,100,0
13,0,100,2,8,1,100,0
13,1,100,2,1,1,100,0
13,2,100,2,1,1,100,0
13,3,100,2,3,1,100,0
13,4,100,2,1,1,100,0
14,0,100,2,7,1,100,0
14,1,100,2,3,1,100,0
14,2,100,2,1,1,100,0
14,3,100,2,1,1,100,0
14,4,100,2,1,1,100,0
15,0,100,2,7,1,100,0
15,1,100,2,3,1,100,0
15,2,100,2,1,1,100,0
15,3,100,2,2,1,100,0
15,4,100,2,1,1,100,0
16,0,100,2,6,1,100,0
16,1,100,2,2,1,100,0
16,2,100,2,2,1,100,0
16,3,100,2,2,1,100,0
16,4,100,2,1,1,100,0
17,0,100,2,8,1,100,0
17,1,100,2,1,1,100,0
17,2,100,2,4,1,100,0
17,3,100,2,1,1,100,0
17,4,100,2,1,1,100,0
18,0,100,2,7,1,100,0
18,1,100,2,1,1,100,0
18,2,100,2,1,1,100,0
18,3,100,2,1,1,100,0
18,4,100,2,1,1,100,0
19,0,100,2,9,1,100,0
19,1,100,2,1,1,100,0
19,2,100,2,1,1,100,0
19,3,100,2,2,1,100,0
19,4,100,2,1,1,100,0
20,0,100,2,8,1,100,0
20,1,100,2,3,1,100,0
20,2,100,2,1,1,100,0
20,3,100,2,1,1,100,0
20,4,100,2,1,1,100,0
21,0,100,2,6,1,100,0
21,1,100,2,1,1,100,0
21,2,100,2,1,1,100,0
21,3,100,2,2,1,100,0
21,4,100,2,1,1,100,0
22,0,100,2,6,1,100,0
22,1,100,2,1,1,100,0
22,2,100,2,4,1,100,0
22,3,100,2,5,1,100,0
22,4,100,2,1,1,100,0
23,0,100,2,6,1,100,0
23,1,100,2,1,1,100,0
23,2,100,2,1,1,100,0
23,3,100,2,2,1,100,0
23,4,100,2,1,1,100,0
24,0,100,2,9,1,100,0
24,1,100,2,2,1,100,0
24,2,100,2,1,1,100,0
24,3,100,2,1,1,100,0
24,4,100,2,1,1,100,0
