graphid,repeatid,vertices, edges, ticks, num-messages-sent,num-bits-sent,num-broadcasts-sent
0,0,100,3,24,596,596,109
0,1,100,3,30,509,509,86
0,2,100,3,15,491,491,93
0,3,100,3,24,579,579,107
0,4,100,3,21,614,614,113
1,0,100,3,21,527,527,97
1,1,100,3,15,578,578,108
1,2,100,3,12,579,579,97
1,3,100,3,54,550,550,106
1,4,100,3,30,595,595,104
2,0,100,3,24,594,594,106
2,1,100,3,21,441,441,85
2,2,100,3,18,608,608,107
2,3,100,3,33,488,488,95
2,4,100,3,27,546,546,103
3,0,100,3,30,615,615,110
3,1,100,3,21,541,541,102
3,2,100,3,24,609,609,114
3,3,100,3,36,513,513,96
3,4,100,3,12,512,512,98
4,0,100,3,27,524,524,94
4,1,100,3,15,580,580,111
4,2,100,3,21,642,642,110
4,3,100,3,18,575,575,102
4,4,100,3,15,512,512,97
5,0,100,3,24,591,591,105
5,1,100,3,12,457,457,82
5,2,100,3,30,610,610,112
5,3,100,3,27,579,579,106
5,4,100,3,36,615,615,112
6,0,100,3,18,539,539,95
6,1,100,3,45,614,614,107
6,2,100,3,12,536,536,94
6,3,100,3,24,602,602,108
6,4,100,3,12,471,471,87
7,0,100,3,15,561,561,98
7,1,100,3,42,567,567,108
7,2,100,3,33,504,504,92
7,3,100,3,54,593,593,107
7,4,100,3,30,535,535,98
8,0,100,3,60,516,516,93
8,1,100,3,18,578,578,101
8,2,100,3,45,593,593,105
8,3,100,3,12,545,545,94
8,4,100,3,36,547,547,95
9,0,100,3,18,505,505,93
9,1,100,3,12,589,589,107
9,2,100,3,21,515,515,97
9,3,100,3,21,530,530,102
9,4,100,3,18,544,544,94
10,0,100,3,15,574,574,101
10,1,100,3,18,479,479,87
10,2,100,3,24,508,508,94
10,3,100,3,15,516,516,96
10,4,100,3,27,563,563,106
11,0,100,3,36,541,541,102
11,1,100,3,42,597,597,105
11,2,100,3,27,576,576,100
11,3,100,3,15,601,601,111
11,4,100,3,36,594,594,106
12,0,100,3,24,552,552,105
12,1,100,3,51,609,609,109
12,2,100,3,15,579,579,103
12,3,100,3,42,544,544,101
12,4,100,3,24,549,549,101
13,0,100,3,15,546,546,101
13,1,100,3,24,589,589,109
13,2,100,3,21,569,569,103
13,3,100,3,36,635,635,118
13,4,100,3,18,463,463,87
14,0,100,3,27,549,549,94
14,1,100,3,69,582,582,101
14,2,100,3,15,569,569,100
14,3,100,3,36,542,542,94
14,4,100,3,33,567,567,104
15,0,100,3,30,563,563,107
15,1,100,3,36,531,531,104
15,2,100,3,30,517,517,99
15,3,100,3,51,553,553,98
15,4,100,3,24,539,539,103
16,0,100,3,42,688,688,125
16,1,100,3,15,564,564,110
16,2,100,3,18,506,506,97
16,3,100,3,15,565,565,107
16,4,100,3,21,494,494,97
17,0,100,3,30,593,593,104
17,1,100,3,42,606,606,105
17,2,100,3,21,581,581,107
17,3,100,3,18,571,571,101
17,4,100,3,12,530,530,100
18,0,100,3,33,532,532,100
18,1,100,3,75,603,603,114
18,2,100,3,27,627,627,120
18,3,100,3,48,499,499,91
18,4,100,3,27,581,581,107
19,0,100,3,18,562,562,101
19,1,100,3,18,639,639,112
19,2,100,3,45,494,494,92
19,3,100,3,21,517,517,98
19,4,100,3,15,568,568,100
20,0,100,3,39,558,558,99
20,1,100,3,27,593,593,104
20,2,100,3,24,606,606,109
20,3,100,3,15,584,584,101
20,4,100,3,24,541,541,104
21,0,100,3,27,548,548,99
21,1,100,3,15,537,537,97
21,2,100,3,15,548,548,93
21,3,100,3,15,575,575,97
21,4,100,3,24,606,606,112
22,0,100,3,12,471,471,90
22,1,100,3,24,615,615,108
22,2,100,3,21,485,485,89
