graphid,repeatid,vertices, edges, ticks, num-messages-sent,num-bits-sent,num-broadcasts-sent,M,tick-finished
0,0,100,3,228,392,392,78,3,120
0,1,100,3,228,384,384,71,3,132
0,2,100,3,228,416,416,74,3,150
0,3,100,3,228,323,323,66,3,165
0,4,100,3,228,354,354,67,3,165
0,0,100,3,312,384,384,73,4,96
0,1,100,3,312,395,395,67,4,105
0,2,100,3,312,370,370,69,4,228
0,3,100,3,312,366,366,72,4,132
0,4,100,3,312,331,331,64,4,180
0,0,100,3,396,343,343,72,5,345
0,1,100,3,396,392,392,76,5,147
0,2,100,3,396,375,375,72,5,138
0,3,100,3,396,380,380,69,5,123
0,4,100,3,396,347,347,68,5,111
0,0,100,3,468,328,328,56,6,60
0,1,100,3,468,343,343,64,6,111
0,2,100,3,468,358,358,72,6,258
0,3,100,3,468,449,449,82,6,144
0,4,100,3,468,334,334,62,6,84
0,0,100,3,552,322,322,64,7,144
0,1,100,3,552,347,347,66,7,111
0,2,100,3,552,340,340,62,7,132
0,3,100,3,552,333,333,66,7,180
0,4,100,3,552,385,385,80,7,162
0,0,100,3,1188,402,402,76,15,213
0,1,100,3,1188,393,393,76,15,135
0,2,100,3,1188,365,365,68,15,105
0,3,100,3,1188,347,347,58,15,186
0,4,100,3,1188,376,376,73,15,183
0,0,100,3,2700,340,340,62,34,60
0,1,100,3,2700,307,307,58,34,78
0,2,100,3,2700,341,341,70,34,114
0,3,100,3,2700,375,375,75,34,171
0,4,100,3,2700,434,434,82,34,156
1,0,100,3,228,386,386,75,3,180
1,1,100,3,228,386,386,68,3,153
1,2,100,3,228,389,389,70,3,75
1,3,100,3,228,370,370,75,3,144
1,4,100,3,228,386,386,74,3,156
1,0,100,3,312,380,380,66,4,195
1,1,100,3,312,328,328,64,4,93
1,2,100,3,312,386,386,70,4,162
1,3,100,3,312,397,397,75,4,93
1,4,100,3,312,349,349,66,4,102
1,0,100,3,396,336,336,62,5,384
1,1,100,3,396,313,313,62,5,114
1,2,100,3,396,332,332,64,5,177
1,3,100,3,396,386,386,74,5,105
1,4,100,3,396,335,335,61,5,195
1,0,100,3,468,351,351,70,6,222
1,1,100,3,468,359,359,71,6,129
1,2,100,3,468,350,350,66,6,303
1,3,100,3,468,353,353,72,6,135
1,4,100,3,468,385,385,72,6,87
1,0,100,3,552,322,322,64,7,213
1,1,100,3,552,376,376,72,7,156
1,2,100,3,552,372,372,72,7,183
1,3,100,3,552,351,351,62,7,108
1,4,100,3,552,372,372,70,7,72
1,0,100,3,1188,332,332,64,15,99
1,1,100,3,1188,381,381,70,15,156
1,2,100,3,1188,386,386,72,15,117
1,3,100,3,1188,355,355,70,15,246
1,4,100,3,1188,353,353,66,15,243
1,0,100,3,2700,467,467,85,34,114
1,1,100,3,2700,322,322,66,34,180
1,2,100,3,2700,364,364,67,34,153
1,3,100,3,2700,320,320,62,34,201
1,4,100,3,2700,410,410,76,34,186
2,0,100,3,228,341,341,74,3,123
2,1,100,3,228,385,385,80,3,201
2,2,100,3,228,344,344,64,3,129
2,3,100,3,228,357,357,75,3,120
2,4,100,3,228,366,366,63,3,165
2,0,100,3,312,333,333,62,4,96
2,1,100,3,312,369,369,71,4,171
2,2,100,3,312,324,324,70,4,90
2,3,100,3,312,355,355,72,4,90
2,4,100,3,312,305,305,62,4,177
2,0,100,3,396,336,336,62,5,153
2,1,100,3,396,347,347,70,5,114
2,2,100,3,396,384,384,74,5,165
2,3,100,3,396,358,358,66,5,57
2,4,100,3,396,374,374,72,5,105
2,0,100,3,468,355,355,78,6,102
2,1,100,3,468,327,327,62,6,126
2,2,100,3,468,386,386,79,6,192
2,3,100,3,468,333,333,68,6,93
2,4,100,3,468,365,365,74,6,120
2,0,100,3,552,320,320,66,7,246
2,1,100,3,552,346,346,72,7,81
2,2,100,3,552,380,380,81,7,222
2,3,100,3,552,357,357,73,7,222
2,4,100,3,552,392,392,78,7,141
2,0,100,3,1188,298,298,62,15,81
2,1,100,3,1188,320,320,65,15,84
2,2,100,3,1188,391,391,78,15,108
2,3,100,3,1188,350,350,69,15,189
2,4,100,3,1188,340,340,74,15,204
2,0,100,3,2700,345,345,70,34,156
2,1,100,3,2700,332,332,65,34,99
2,2,100,3,2700,312,312,62,34,96
2,3,100,3,2700,377,377,74,34,105
2,4,100,3,2700,389,389,80,34,174
3,0,100,3,228,375,375,76,3,225
3,1,100,3,228,352,352,66,3,93
3,2,100,3,228,321,321,70,3,141
3,3,100,3,228,343,343,70,3,144
3,4,100,3,228,296,296,62,3,105
3,0,100,3,312,379,379,77,4,63
3,1,100,3,312,362,362,70,4,216
3,2,100,3,312,315,315,66,4,204
3,3,100,3,312,363,363,77,4,138
3,4,100,3,312,385,385,72,4,162
3,0,100,3,396,347,347,71,5,288
3,1,100,3,396,309,309,68,5,81
3,2,100,3,396,316,316,60,5,180
3,3,100,3,396,332,332,65,5,78
3,4,100,3,396,351,351,74,5,177
3,0,100,3,468,360,360,76,6,117
3,1,100,3,468,365,365,76,6,195
3,2,100,3,468,302,302,62,6,102
3,3,100,3,468,333,333,70,6,261
3,4,100,3,468,387,387,72,6,102
3,0,100,3,552,360,360,67,7,330
3,1,100,3,552,386,386,74,7,195
3,2,100,3,552,387,387,78,7,153
3,3,100,3,552,326,326,66,7,141
3,4,100,3,552,319,319,64,7,165
3,0,100,3,1188,414,414,79,15,129
3,1,100,3,1188,318,318,68,15,141
3,2,100,3,1188,316,316,64,15,102
3,3,100,3,1188,316,316,64,15,147
3,4,100,3,1188,362,362,74,15,141
3,0,100,3,2700,331,331,68,34,237
3,1,100,3,2700,378,378,75,34,141
3,2,100,3,2700,327,327,64,34,228
3,3,100,3,2700,346,346,64,34,210
3,4,100,3,2700,358,358,72,34,174
4,0,100,3,228,326,326,70,3,111
4,1,100,3,228,343,343,70,3,81
4,2,100,3,228,349,349,67,3,135
4,3,100,3,228,389,389,74,3,186
4,4,100,3,228,308,308,58,3,162
4,0,100,3,312,369,369,67,4,69
4,1,100,3,312,317,317,60,4,147
4,2,100,3,312,345,345,69,4,141
4,3,100,3,312,336,336,66,4,129
4,4,100,3,312,354,354,67,4,195
4,0,100,3,396,328,328,64,5,105
4,1,100,3,396,368,368,67,5,66
4,2,100,3,396,342,342,68,5,108
4,3,100,3,396,338,338,58,5,87
4,4,100,3,396,361,361,71,5,330
4,0,100,3,468,334,334,62,6,126
4,1,100,3,468,332,332,64,6,219
4,2,100,3,468,341,341,62,6,117
4,3,100,3,468,404,404,82,6,135
4,4,100,3,468,348,348,69,6,246
4,0,100,3,552,392,392,71,7,156
4,1,100,3,552,441,441,80,7,189
4,2,100,3,552,323,323,66,7,129
4,3,100,3,552,324,324,65,7,180
4,4,100,3,552,387,387,72,7,162
4,0,100,3,1188,370,370,78,15,252
4,1,100,3,1188,392,392,76,15,129
4,2,100,3,1188,393,393,75,15,150
4,3,100,3,1188,407,407,72,15,141
4,4,100,3,1188,368,368,78,15,156
4,0,100,3,2700,401,401,73,34,126
4,1,100,3,2700,379,379,70,34,120
4,2,100,3,2700,354,354,66,34,219
4,3,100,3,2700,365,365,72,34,108
4,4,100,3,2700,383,383,75,34,162
