graphid,repeatid,vertices, edges, ticks, num-messages-sent,num-bits-sent,num-broadcasts-sent
0,0,100,3,90,145,145,64
0,1,100,3,45,194,203,78
0,2,100,3,51,201,240,81
0,3,100,3,102,186,201,70
0,4,100,3,165,177,189,74
1,0,100,3,120,221,248,76
1,1,100,3,84,205,226,78
1,2,100,3,129,166,175,60
1,3,100,3,66,159,159,64
1,4,100,3,90,167,179,72
2,0,100,3,51,177,189,72
2,1,100,3,111,208,217,80
2,2,100,3,84,186,195,78
2,3,100,3,153,200,221,76
2,4,100,3,108,172,193,74
3,0,100,3,105,189,201,74
3,1,100,3,63,203,248,86
3,2,100,3,57,221,245,82
3,3,100,3,51,174,180,74
3,4,100,3,201,191,203,74
4,0,100,3,72,174,195,72
4,1,100,3,114,216,237,84
4,2,100,3,75,167,182,73
4,3,100,3,177,147,150,68
4,4,100,3,60,198,225,76
5,0,100,3,162,217,238,84
5,1,100,3,51,221,245,82
5,2,100,3,87,183,201,68
5,3,100,3,105,178,187,74
5,4,100,3,90,163,169,70
6,0,100,3,93,171,189,66
6,1,100,3,72,189,228,74
6,2,100,3,93,189,201,72
6,3,100,3,63,173,182,64
6,4,100,3,90,253,292,88
7,0,100,3,132,151,154,66
7,1,100,3,132,166,172,72
7,2,100,3,81,218,242,84
7,3,100,3,75,169,181,70
7,4,100,3,174,179,206,73
8,0,100,3,57,149,158,66
8,1,100,3,63,199,217,76
8,2,100,3,66,187,208,72
8,3,100,3,72,213,237,84
8,4,100,3,51,158,161,62
9,0,100,3,123,198,213,76
9,1,100,3,54,203,245,80
9,2,100,3,144,188,206,78
9,3,100,3,192,195,219,69
9,4,100,3,129,186,195,74
10,0,100,3,81,193,220,79
10,1,100,3,72,204,228,81
10,2,100,3,45,168,180,74
10,3,100,3,54,159,162,72
10,4,100,3,63,181,193,74
11,0,100,3,102,180,192,80
11,1,100,3,135,162,165,74
11,2,100,3,99,176,188,76
11,3,100,3,75,170,179,70
11,4,100,3,60,162,165,70
12,0,100,3,39,195,216,76
12,1,100,3,108,179,191,79
12,2,100,3,72,194,206,76
12,3,100,3,144,232,265,89
12,4,100,3,42,178,187,78
13,0,100,3,60,145,148,62
13,1,100,3,78,170,179,68
13,2,100,3,90,194,212,78
13,3,100,3,90,180,192,76
13,4,100,3,255,175,187,74
14,0,100,3,57,173,188,70
14,1,100,3,51,149,149,58
14,2,100,3,84,231,276,89
14,3,100,3,75,147,147,66
14,4,100,3,102,185,212,72
15,0,100,3,93,195,228,84
15,1,100,3,183,160,166,70
15,2,100,3,105,164,179,70
15,3,100,3,225,175,187,76
15,4,100,3,81,166,169,76
16,0,100,3,87,177,183,82
16,1,100,3,132,177,186,76
16,2,100,3,102,180,192,74
16,3,100,3,48,182,221,76
16,4,100,3,219,178,181,76
17,0,100,3,72,178,226,74
17,1,100,3,96,175,190,72
17,2,100,3,138,183,195,76
17,3,100,3,93,172,187,68
17,4,100,3,42,211,232,77
18,0,100,3,75,189,198,78
18,1,100,3,48,157,166,68
18,2,100,3,114,169,181,74
18,3,100,3,87,161,167,72
18,4,100,3,60,182,206,74
19,0,100,3,111,217,256,83
19,1,100,3,90,190,208,74
19,2,100,3,93,175,184,70
19,3,100,3,78,168,174,72
19,4,100,3,75,180,213,76
20,0,100,3,48,165,177,74
20,1,100,3,42,198,228,75
20,2,100,3,87,178,193,70
20,3,100,3,54,182,188,70
20,4,100,3,51,185,212,76
21,0,100,3,48,166,178,66
21,1,100,3,111,172,175,68
21,2,100,3,117,167,170,68
21,3,100,3,66,176,182,74
21,4,100,3,96,171,174,66
22,0,100,3,69,154,154,68
22,1,100,3,90,177,210,80
22,2,100,3,135,185,191,72
22,3,100,3,144,179,191,76
22,4,100,3,90,175,187,76
23,0,100,3,165,169,187,71
23,1,100,3,81,179,200,81
23,2,100,3,84,176,188,80
23,3,100,3,138,181,193,80
23,4,100,3,81,177,183,70
24,0,100,3,141,168,171,70
24,1,100,3,117,182,188,74
24,2,100,3,63,168,186,68
24,3,100,3,63,169,178,70
24,4,100,3,165,164,167,70
25,0,100,3,111,207,222,76
25,1,100,3,75,165,168,68
25,2,100,3,192,194,197,78
25,3,100,3,72,186,192,74
25,4,100,3,57,174,186,72
26,0,100,3,114,180,198,72
26,1,100,3,249,182,185,72
26,2,100,3,57,192,201,74
26,3,100,3,57,184,199,75
26,4,100,3,108,185,194,74
27,0,100,3,216,193,202,76
27,1,100,3,66,166,175,72
27,2,100,3,114,208,232,84
27,3,100,3,78,213,240,81
27,4,100,3,87,192,201,74
28,0,100,3,96,188,200,80
28,1,100,3,48,187,208,77
28,2,100,3,75,182,200,80
28,3,100,3,81,169,175,72
28,4,100,3,105,183,195,76
29,0,100,3,60,182,200,70
29,1,100,3,93,173,176,74
29,2,100,3,78,180,192,75
29,3,100,3,87,226,247,84
29,4,100,3,147,148,157,70
30,0,100,3,66,174,180,74
30,1,100,3,54,164,164,68
30,2,100,3,66,199,223,82
30,3,100,3,66,207,225,82
30,4,100,3,93,167,170,76
31,0,100,3,51,173,191,73
31,1,100,3,54,183,204,79
31,2,100,3,42,178,190,77
31,3,100,3,39,154,169,69
31,4,100,3,84,205,229,76
32,0,100,3,42,159,168,71
32,1,100,3,96,207,234,82
32,2,100,3,51,172,178,74
32,3,100,3,84,166,175,72
32,4,100,3,117,204,237,82
33,0,100,3,99,177,192,77
33,1,100,3,69,201,234,79
33,2,100,3,72,185,197,78
33,3,100,3,84,207,228,78
33,4,100,3,75,174,180,72
34,0,100,3,102,180,201,67
34,1,100,3,51,186,246,79
34,2,100,3,54,244,280,88
34,3,100,3,168,209,236,82
34,4,100,3,99,176,191,71
35,0,100,3,105,156,159,70
35,1,100,3,96,186,204,77
35,2,100,3,72,170,182,70
35,3,100,3,138,201,216,78
35,4,100,3,90,167,173,68
36,0,100,3,204,164,170,68
36,1,100,3,45,201,219,72
36,2,100,3,123,192,213,77
36,3,100,3,69,187,223,75
36,4,100,3,93,159,162,64
37,0,100,3,93,161,161,66
37,1,100,3,210,179,191,72
37,2,100,3,129,184,190,80
37,3,100,3,120,185,191,76
37,4,100,3,84,174,177,72
38,0,100,3,39,180,189,68
