epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1714479666154,2024-04-30T15:21:06.154,0.000,-0.167,0.038,0.998
1714479666164,2024-04-30T15:21:06.164,0.010,-0.173,0.042,1.009
1714479666174,2024-04-30T15:21:06.174,0.020,-0.174,0.042,1.007
1714479666184,2024-04-30T15:21:06.184,0.030,-0.168,0.042,1.017
1714479666194,2024-04-30T15:21:06.194,0.040,-0.154,0.044,1.026
1714479666204,2024-04-30T15:21:06.204,0.050,-0.152,0.053,1.035
1714479666214,2024-04-30T15:21:06.214,0.060,-0.162,0.057,1.033
1714479666224,2024-04-30T15:21:06.224,0.070,-0.160,0.057,1.021
1714479666234,2024-04-30T15:21:06.234,0.080,-0.159,0.052,1.022
1714479666244,2024-04-30T15:21:06.244,0.090,-0.157,0.048,1.023
1714479666254,2024-04-30T15:21:06.254,0.100,-0.154,0.050,1.018
1714479666264,2024-04-30T15:21:06.264,0.110,-0.149,0.049,1.014
1714479666274,2024-04-30T15:21:06.274,0.120,-0.146,0.042,1.010
1714479666284,2024-04-30T15:21:06.284,0.130,-0.143,0.039,1.011
1714479666294,2024-04-30T15:21:06.294,0.140,-0.150,0.032,1.011
1714479666304,2024-04-30T15:21:06.304,0.150,-0.158,0.030,1.010
1714479666314,2024-04-30T15:21:06.314,0.160,-0.157,0.036,1.004
1714479666324,2024-04-30T15:21:06.324,0.170,-0.163,0.038,0.999
1714479666334,2024-04-30T15:21:06.334,0.180,-0.168,0.036,0.996
1714479666344,2024-04-30T15:21:06.344,0.190,-0.167,0.036,0.995
1714479666354,2024-04-30T15:21:06.354,0.200,-0.164,0.034,0.997
1714479666364,2024-04-30T15:21:06.364,0.210,-0.158,0.031,0.996
1714479666374,2024-04-30T15:21:06.374,0.220,-0.154,0.031,0.997
1714479666384,2024-04-30T15:21:06.384,0.230,-0.156,0.033,0.992
1714479666394,2024-04-30T15:21:06.394,0.240,-0.163,0.032,0.988
1714479666404,2024-04-30T15:21:06.404,0.250,-0.164,0.025,0.987
1714479666414,2024-04-30T15:21:06.414,0.260,-0.164,0.022,0.989
1714479666424,2024-04-30T15:21:06.424,0.270,-0.161,0.022,0.984
1714479666434,2024-04-30T15:21:06.434,0.280,-0.159,0.024,0.982
1714479666444,2024-04-30T15:21:06.444,0.290,-0.162,0.022,0.985
1714479666454,2024-04-30T15:21:06.454,0.300,-0.166,0.020,0.989
1714479666464,2024-04-30T15:21:06.464,0.310,-0.160,0.020,0.991
1714479666474,2024-04-30T15:21:06.474,0.320,-0.156,0.022,0.994
1714479666484,2024-04-30T15:21:06.484,0.330,-0.162,0.022,0.995
1714479666494,2024-04-30T15:21:06.494,0.340,-0.166,0.029,0.991
1714479666504,2024-04-30T15:21:06.504,0.350,-0.164,0.028,0.986
1714479666514,2024-04-30T15:21:06.514,0.360,-0.158,0.021,0.985
1714479666524,2024-04-30T15:21:06.524,0.370,-0.160,0.023,0.990
1714479666534,2024-04-30T15:21:06.534,0.380,-0.155,0.024,0.996
1714479666544,2024-04-30T15:21:06.544,0.390,-0.144,0.025,0.994
1714479666554,2024-04-30T15:21:06.554,0.400,-0.146,0.026,0.996
1714479666564,2024-04-30T15:21:06.564,0.410,-0.149,0.031,0.996
1714479666574,2024-04-30T15:21:06.574,0.420,-0.156,0.028,0.993
1714479666584,2024-04-30T15:21:06.584,0.430,-0.163,0.025,0.998
1714479666594,2024-04-30T15:21:06.594,0.440,-0.160,0.025,0.999
1714479666604,2024-04-30T15:21:06.604,0.450,-0.154,0.027,1.000
1714479666614,2024-04-30T15:21:06.614,0.460,-0.154,0.027,0.998
1714479666624,2024-04-30T15:21:06.624,0.470,-0.154,0.026,0.990
1714479666634,2024-04-30T15:21:06.634,0.480,-0.147,0.023,0.992
1714479666644,2024-04-30T15:21:06.644,0.490,-0.149,0.020,0.994
1714479666654,2024-04-30T15:21:06.654,0.500,-0.155,0.017,1.000
1714479666664,2024-04-30T15:21:06.664,0.510,-0.151,0.018,0.999
1714479666674,2024-04-30T15:21:06.674,0.520,-0.151,0.021,0.999
1714479666684,2024-04-30T15:21:06.684,0.530,-0.156,0.023,0.995
1714479666694,2024-04-30T15:21:06.694,0.540,-0.160,0.023,0.996
1714479666704,2024-04-30T15:21:06.704,0.550,-0.168,0.022,0.994
1714479666714,2024-04-30T15:21:06.714,0.560,-0.171,0.022,0.989
1714479666724,2024-04-30T15:21:06.724,0.570,-0.157,0.021,0.987
1714479666734,2024-04-30T15:21:06.734,0.580,-0.153,0.019,0.990
1714479666744,2024-04-30T15:21:06.744,0.590,-0.153,0.019,0.996
1714479666754,2024-04-30T15:21:06.754,0.600,-0.144,0.021,0.997
1714479666764,2024-04-30T15:21:06.764,0.610,-0.145,0.025,1.000
1714479666774,2024-04-30T15:21:06.774,0.620,-0.146,0.029,1.000
1714479666784,2024-04-30T15:21:06.784,0.630,-0.152,0.024,0.992
1714479666794,2024-04-30T15:21:06.794,0.640,-0.155,0.022,0.988
1714479666804,2024-04-30T15:21:06.804,0.650,-0.162,0.022,0.986
1714479666814,2024-04-30T15:21:06.814,0.660,-0.160,0.020,0.987
1714479666824,2024-04-30T15:21:06.824,0.670,-0.154,0.019,0.988
1714479666834,2024-04-30T15:21:06.834,0.680,-0.149,0.023,0.995
1714479666844,2024-04-30T15:21:06.844,0.690,-0.149,0.025,0.995
1714479666854,2024-04-30T15:21:06.854,0.700,-0.152,0.026,0.993
1714479666864,2024-04-30T15:21:06.864,0.710,-0.153,0.024,0.995
1714479666874,2024-04-30T15:21:06.874,0.720,-0.148,0.030,1.000
