epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1751288483248,2025-06-30T16:01:23.248,0.000,0.015,0.307,1.589
1751288483258,2025-06-30T16:01:23.258,0.010,-0.025,0.414,1.644
1751288483268,2025-06-30T16:01:23.268,0.020,-0.052,0.503,1.751
1751288483278,2025-06-30T16:01:23.278,0.030,-0.069,0.565,1.956
1751288483288,2025-06-30T16:01:23.288,0.040,-0.065,0.589,2.162
1751288483298,2025-06-30T16:01:23.298,0.050,-0.011,0.593,2.255
1751288483308,2025-06-30T16:01:23.308,0.060,0.032,0.607,2.186
1751288483318,2025-06-30T16:01:23.318,0.070,0.006,0.626,2.029
1751288483328,2025-06-30T16:01:23.328,0.080,-0.035,0.621,1.894
1751288483338,2025-06-30T16:01:23.338,0.090,-0.028,0.578,1.792
1751288483348,2025-06-30T16:01:23.348,0.100,0.002,0.504,1.683
1751288483358,2025-06-30T16:01:23.358,0.110,0.021,0.444,1.540
1751288483368,2025-06-30T16:01:23.368,0.120,0.003,0.394,1.362
1751288483378,2025-06-30T16:01:23.378,0.130,-0.015,0.366,1.150
1751288483388,2025-06-30T16:01:23.388,0.140,-0.023,0.330,0.989
1751288483398,2025-06-30T16:01:23.398,0.150,-0.013,0.278,0.850
1751288483408,2025-06-30T16:01:23.408,0.160,0.011,0.224,0.746
1751288483418,2025-06-30T16:01:23.418,0.170,0.024,0.182,0.636
1751288483428,2025-06-30T16:01:23.428,0.180,0.059,0.145,0.486
1751288483438,2025-06-30T16:01:23.438,0.190,0.091,0.104,0.352
1751288483448,2025-06-30T16:01:23.448,0.200,0.090,0.071,0.251
1751288483458,2025-06-30T16:01:23.458,0.210,0.062,0.026,0.150
1751288483468,2025-06-30T16:01:23.468,0.220,0.018,-0.021,0.063
1751288483478,2025-06-30T16:01:23.478,0.230,-0.037,-0.065,-0.012
1751288483488,2025-06-30T16:01:23.488,0.240,-0.091,-0.107,-0.069
1751288483498,2025-06-30T16:01:23.498,0.250,-0.132,-0.148,-0.109
1751288483508,2025-06-30T16:01:23.508,0.260,-0.146,-0.185,-0.143
1751288483518,2025-06-30T16:01:23.518,0.270,-0.152,-0.231,-0.177
1751288483528,2025-06-30T16:01:23.528,0.280,-0.149,-0.290,-0.203
1751288483538,2025-06-30T16:01:23.538,0.290,-0.144,-0.345,-0.219
1751288483548,2025-06-30T16:01:23.548,0.300,-0.137,-0.397,-0.233
1751288483558,2025-06-30T16:01:23.558,0.310,-0.126,-0.440,-0.236
1751288483568,2025-06-30T16:01:23.568,0.320,-0.118,-0.470,-0.214
1751288483578,2025-06-30T16:01:23.578,0.330,-0.133,-0.484,-0.203
1751288483588,2025-06-30T16:01:23.588,0.340,-0.156,-0.496,-0.207
1751288483598,2025-06-30T16:01:23.598,0.350,-0.183,-0.506,-0.199
1751288483608,2025-06-30T16:01:23.608,0.360,-0.191,-0.509,-0.193
1751288483618,2025-06-30T16:01:23.618,0.370,-0.216,-0.506,-0.180
1751288483628,2025-06-30T16:01:23.628,0.380,-0.244,-0.509,-0.145
1751288483638,2025-06-30T16:01:23.638,0.390,-0.247,-0.518,-0.054
1751288483648,2025-06-30T16:01:23.648,0.400,-0.201,-0.527,0.057
1751288483658,2025-06-30T16:01:23.658,0.410,-0.145,-0.514,0.140
