epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1751288483170,2025-06-30T16:01:23.170,0.000,10.427,0.427,22.683
1751288483180,2025-06-30T16:01:23.180,0.010,10.610,-0.671,22.317
1751288483190,2025-06-30T16:01:23.190,0.020,10.488,-2.622,21.585
1751288483200,2025-06-30T16:01:23.200,0.030,10.122,-2.134,22.012
1751288483210,2025-06-30T16:01:23.210,0.040,8.841,2.866,22.683
1751288483220,2025-06-30T16:01:23.220,0.050,6.402,12.988,22.317
1751288483230,2025-06-30T16:01:23.230,0.060,2.744,28.049,21.098
1751288483240,2025-06-30T16:01:23.240,0.070,-2.500,44.329,18.293
1751288483250,2025-06-30T16:01:23.250,0.080,-9.024,59.207,13.415
1751288483260,2025-06-30T16:01:23.260,0.090,-15.854,69.634,7.439
1751288483270,2025-06-30T16:01:23.270,0.100,-23.780,72.561,0.915
1751288483280,2025-06-30T16:01:23.280,0.110,-32.866,69.024,-6.524
1751288483290,2025-06-30T16:01:23.290,0.120,-40.915,63.171,-13.354
1751288483300,2025-06-30T16:01:23.300,0.130,-48.841,59.512,-18.049
1751288483310,2025-06-30T16:01:23.310,0.140,-58.841,58.963,-21.463
1751288483320,2025-06-30T16:01:23.320,0.150,-70.732,61.890,-25.671
1751288483330,2025-06-30T16:01:23.330,0.160,-83.841,63.110,-29.512
1751288483340,2025-06-30T16:01:23.340,0.170,-99.878,56.951,-32.866
1751288483350,2025-06-30T16:01:23.350,0.180,-117.195,45.183,-34.146
1751288483360,2025-06-30T16:01:23.360,0.190,-133.171,33.963,-32.073
1751288483370,2025-06-30T16:01:23.370,0.200,-146.098,28.537,-26.707
1751288483380,2025-06-30T16:01:23.380,0.210,-155.244,26.524,-21.646
1751288483390,2025-06-30T16:01:23.390,0.220,-163.598,23.720,-15.854
1751288483400,2025-06-30T16:01:23.400,0.230,-171.585,18.841,-10.610
1751288483410,2025-06-30T16:01:23.410,0.240,-174.634,12.561,-7.378
1751288483420,2025-06-30T16:01:23.420,0.250,-174.024,9.146,-5.000
1751288483430,2025-06-30T16:01:23.430,0.260,-171.585,9.451,-4.451
1751288483440,2025-06-30T16:01:23.440,0.270,-168.720,11.098,-4.756
1751288483450,2025-06-30T16:01:23.450,0.280,-163.659,17.012,-4.695
1751288483460,2025-06-30T16:01:23.460,0.290,-156.341,26.890,-4.207
1751288483470,2025-06-30T16:01:23.470,0.300,-148.537,36.951,-4.207
1751288483480,2025-06-30T16:01:23.480,0.310,-140.183,42.744,-4.573
1751288483490,2025-06-30T16:01:23.490,0.320,-130.976,44.146,-4.634
1751288483500,2025-06-30T16:01:23.500,0.330,-121.463,41.463,-4.695
1751288483510,2025-06-30T16:01:23.510,0.340,-111.951,33.780,-6.098
1751288483520,2025-06-30T16:01:23.520,0.350,-101.951,22.378,-6.585
1751288483530,2025-06-30T16:01:23.530,0.360,-92.500,10.061,-5.854
1751288483540,2025-06-30T16:01:23.540,0.370,-82.561,-0.671,-5.000
1751288483550,2025-06-30T16:01:23.550,0.380,-70.610,-7.256,-4.878
1751288483560,2025-06-30T16:01:23.560,0.390,-57.622,-7.744,-5.671
1751288483570,2025-06-30T16:01:23.570,0.400,-43.841,-4.817,-8.476
1751288483580,2025-06-30T16:01:23.580,0.410,-29.451,-0.061,-12.317
1751288483590,2025-06-30T16:01:23.590,0.420,-14.939,6.159,-16.159
1751288483600,2025-06-30T16:01:23.600,0.430,-0.915,11.768,-20.061
1751288483610,2025-06-30T16:01:23.610,0.440,13.354,14.878,-23.232
1751288483620,2025-06-30T16:01:23.620,0.450,28.110,15.305,-26.159
1751288483630,2025-06-30T16:01:23.630,0.460,42.561,12.561,-28.659
1751288483640,2025-06-30T16:01:23.640,0.470,56.890,7.073,-30.854
1751288483650,2025-06-30T16:01:23.650,0.480,71.098,0.061,-32.256
1751288483660,2025-06-30T16:01:23.660,0.490,84.817,-4.939,-32.744
1751288483670,2025-06-30T16:01:23.670,0.500,97.378,-4.268,-33.537
1751288483680,2025-06-30T16:01:23.680,0.510,109.512,0.427,-35.549
1751288483690,2025-06-30T16:01:23.690,0.520,120.854,5.244,-38.780
1751288483700,2025-06-30T16:01:23.700,0.530,131.768,7.378,-41.890
1751288483710,2025-06-30T16:01:23.710,0.540,144.085,4.695,-45.610
1751288483720,2025-06-30T16:01:23.720,0.550,156.524,-2.866,-49.390
1751288483730,2025-06-30T16:01:23.730,0.560,167.378,-12.378,-49.939
1751288483740,2025-06-30T16:01:23.740,0.570,177.012,-19.024,-48.780
1751288483750,2025-06-30T16:01:23.750,0.580,185.000,-18.110,-47.988
1751288483760,2025-06-30T16:01:23.760,0.590,191.463,-7.683,-44.512
1751288483770,2025-06-30T16:01:23.770,0.600,194.268,6.220,-39.329
1751288483780,2025-06-30T16:01:23.780,0.610,189.817,17.195,-35.732
