epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1751275140149,2025-06-30T12.19.00.149,0.000,-0.093,0.123,1.096
1751275140159,2025-06-30T12.19.00.159,0.010,-0.086,0.118,1.076
1751275140169,2025-06-30T12.19.00.169,0.020,-0.083,0.113,1.054
1751275140179,2025-06-30T12.19.00.179,0.030,-0.075,0.112,1.043
1751275140189,2025-06-30T12.19.00.189,0.040,-0.058,0.109,1.033
1751275140199,2025-06-30T12.19.00.199,0.050,-0.049,0.103,1.018
1751275140209,2025-06-30T12.19.00.209,0.060,-0.057,0.093,1.006
1751275140219,2025-06-30T12.19.00.219,0.070,-0.060,0.081,1.004
1751275140229,2025-06-30T12.19.00.229,0.080,-0.047,0.081,1.002
1751275140239,2025-06-30T12.19.00.239,0.090,-0.040,0.081,0.995
1751275140249,2025-06-30T12.19.00.249,0.100,-0.045,0.087,0.988
1751275140259,2025-06-30T12.19.00.259,0.110,-0.052,0.083,0.978
1751275140269,2025-06-30T12.19.00.269,0.120,-0.062,0.084,0.970
1751275140279,2025-06-30T12.19.00.279,0.130,-0.077,0.086,0.961
1751275140289,2025-06-30T12.19.00.289,0.140,-0.085,0.086,0.965
1751275140299,2025-06-30T12.19.00.299,0.150,-0.085,0.081,0.978
1751275140309,2025-06-30T12.19.00.309,0.160,-0.080,0.080,0.988
1751275140319,2025-06-30T12.19.00.319,0.170,-0.070,0.082,0.988
1751275140329,2025-06-30T12.19.00.329,0.180,-0.074,0.077,0.985
1751275140339,2025-06-30T12.19.00.339,0.190,-0.086,0.080,0.986
1751275140349,2025-06-30T12.19.00.349,0.200,-0.092,0.077,0.993
1751275140359,2025-06-30T12.19.00.359,0.210,-0.091,0.076,0.989
1751275140369,2025-06-30T12.19.00.369,0.220,-0.083,0.083,0.981
1751275140379,2025-06-30T12.19.00.379,0.230,-0.081,0.083,0.977
1751275140389,2025-06-30T12.19.00.389,0.240,-0.079,0.079,0.976
1751275140399,2025-06-30T12.19.00.399,0.250,-0.075,0.072,0.981
1751275140409,2025-06-30T12.19.00.409,0.260,-0.065,0.067,0.999
1751275140419,2025-06-30T12.19.00.419,0.270,-0.042,0.064,1.016
