epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1751275140149,2025-06-30T12.19.00.149,0.000,-6.646,-15.793,0.610
1751275140159,2025-06-30T12.19.00.159,0.010,-6.707,-16.280,1.341
1751275140169,2025-06-30T12.19.00.169,0.020,-7.256,-16.463,1.098
1751275140179,2025-06-30T12.19.00.179,0.030,-7.805,-16.341,0.976
1751275140189,2025-06-30T12.19.00.189,0.040,-7.988,-15.671,1.037
1751275140199,2025-06-30T12.19.00.199,0.050,-7.500,-14.146,1.220
1751275140209,2025-06-30T12.19.00.209,0.060,-6.890,-11.768,1.707
1751275140219,2025-06-30T12.19.00.219,0.070,-6.585,-9.451,1.646
1751275140229,2025-06-30T12.19.00.229,0.080,-5.732,-6.951,1.037
1751275140239,2025-06-30T12.19.00.239,0.090,-4.756,-3.902,0.122
1751275140249,2025-06-30T12.19.00.249,0.100,-4.024,-0.610,-0.793
1751275140259,2025-06-30T12.19.00.259,0.110,-2.988,1.463,-1.585
1751275140269,2025-06-30T12.19.00.269,0.120,-2.256,2.378,-2.378
1751275140279,2025-06-30T12.19.00.279,0.130,-2.134,1.646,-2.500
1751275140289,2025-06-30T12.19.00.289,0.140,-2.378,-0.366,-1.890
1751275140299,2025-06-30T12.19.00.299,0.150,-2.439,-2.134,-1.341
1751275140309,2025-06-30T12.19.00.309,0.160,-2.561,-3.110,-0.976
1751275140319,2025-06-30T12.19.00.319,0.170,-2.317,-3.720,-0.183
1751275140329,2025-06-30T12.19.00.329,0.180,-2.134,-4.268,0.671
1751275140339,2025-06-30T12.19.00.339,0.190,-2.012,-5.549,1.098
1751275140349,2025-06-30T12.19.00.349,0.200,-2.073,-8.598,1.159
1751275140359,2025-06-30T12.19.00.359,0.210,-2.439,-12.134,1.463
1751275140369,2025-06-30T12.19.00.369,0.220,-2.561,-15.854,1.829
1751275140379,2025-06-30T12.19.00.379,0.230,-2.805,-20.000,2.256
1751275140389,2025-06-30T12.19.00.389,0.240,-2.927,-23.354,2.805
1751275140399,2025-06-30T12.19.00.399,0.250,-2.866,-25.305,2.927
1751275140409,2025-06-30T12.19.00.409,0.260,-2.683,-26.159,2.805
1751275140419,2025-06-30T12.19.00.419,0.270,-2.073,-26.402,2.866
1751275140429,2025-06-30T12.19.00.429,0.280,-1.829,-24.573,3.293
1751275140439,2025-06-30T12.19.00.439,0.290,-2.073,-20.427,3.841
1751275140449,2025-06-30T12.19.00.449,0.300,-2.317,-14.695,3.659
1751275140459,2025-06-30T12.19.00.459,0.310,-2.134,-7.622,2.927
1751275140469,2025-06-30T12.19.00.469,0.320,-1.341,-0.610,2.256
1751275140479,2025-06-30T12.19.00.479,0.330,-0.793,4.695,1.159
1751275140489,2025-06-30T12.19.00.489,0.340,-0.915,8.537,0.122
1751275140499,2025-06-30T12.19.00.499,0.350,-1.098,10.549,-1.098
1751275140509,2025-06-30T12.19.00.509,0.360,-2.500,9.756,-2.317
1751275140519,2025-06-30T12.19.00.519,0.370,-4.390,8.415,-3.415
1751275140529,2025-06-30T12.19.00.529,0.380,-5.671,7.988,-4.085
