epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1750790695765,2025-06-24T21:44:55.765,0.000,0.051,0.465,2.195
1750790695775,2025-06-24T21:44:55.775,0.010,0.147,0.452,2.260
1750790695785,2025-06-24T21:44:55.785,0.020,0.221,0.435,2.263
1750790695795,2025-06-24T21:44:55.795,0.030,0.202,0.417,2.232
1750790695805,2025-06-24T21:44:55.805,0.040,0.124,0.413,2.173
1750790695815,2025-06-24T21:44:55.815,0.050,0.061,0.423,2.123
1750790695825,2025-06-24T21:44:55.825,0.060,0.025,0.426,2.081
1750790695835,2025-06-24T21:44:55.835,0.070,0.037,0.422,2.012
1750790695845,2025-06-24T21:44:55.845,0.080,0.076,0.413,1.941
1750790695855,2025-06-24T21:44:55.855,0.090,0.097,0.387,1.875
1750790695865,2025-06-24T21:44:55.865,0.100,0.110,0.375,1.803
1750790695875,2025-06-24T21:44:55.875,0.110,0.118,0.371,1.716
1750790695885,2025-06-24T21:44:55.885,0.120,0.112,0.353,1.642
1750790695895,2025-06-24T21:44:55.895,0.130,0.125,0.341,1.554
1750790695905,2025-06-24T21:44:55.905,0.140,0.123,0.330,1.467
1750790695915,2025-06-24T21:44:55.915,0.150,0.087,0.320,1.364
1750790695925,2025-06-24T21:44:55.925,0.160,0.081,0.315,1.272
1750790695935,2025-06-24T21:44:55.935,0.170,0.080,0.309,1.196
1750790695945,2025-06-24T21:44:55.945,0.180,0.072,0.280,1.101
1750790695955,2025-06-24T21:44:55.955,0.190,0.099,0.247,1.006
1750790695965,2025-06-24T21:44:55.965,0.200,0.116,0.228,0.901
1750790695975,2025-06-24T21:44:55.975,0.210,0.100,0.208,0.795
1750790695985,2025-06-24T21:44:55.985,0.220,0.083,0.171,0.697
1750790695995,2025-06-24T21:44:55.995,0.230,0.057,0.117,0.623
1750790696005,2025-06-24T21:44:56.005,0.240,0.031,0.063,0.543
1750790696015,2025-06-24T21:44:56.015,0.250,-0.001,0.038,0.458
1750790696025,2025-06-24T21:44:56.025,0.260,-0.048,0.020,0.365
1750790696035,2025-06-24T21:44:56.035,0.270,-0.101,-0.008,0.295
1750790696045,2025-06-24T21:44:56.045,0.280,-0.119,-0.051,0.240
1750790696055,2025-06-24T21:44:56.055,0.290,-0.107,-0.080,0.191
