epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1750790819386,2025-06-24T21:46:59.386,0.000,-45.610,68.415,105.732
1750790819396,2025-06-24T21:46:59.396,0.010,-44.756,69.024,104.878
1750790819406,2025-06-24T21:46:59.406,0.020,-42.927,70.854,100.793
1750790819416,2025-06-24T21:46:59.416,0.030,-40.671,71.768,94.634
1750790819426,2025-06-24T21:46:59.426,0.040,-38.841,70.671,88.171
1750790819436,2025-06-24T21:46:59.436,0.050,-37.561,68.293,81.463
1750790819446,2025-06-24T21:46:59.446,0.060,-36.951,65.427,74.512
1750790819456,2025-06-24T21:46:59.456,0.070,-36.829,61.707,67.439
1750790819466,2025-06-24T21:46:59.466,0.080,-37.134,56.341,60.671
1750790819476,2025-06-24T21:46:59.476,0.090,-37.317,50.549,54.451
1750790819486,2025-06-24T21:46:59.486,0.100,-37.012,44.329,47.866
1750790819496,2025-06-24T21:46:59.496,0.110,-36.220,37.988,41.463
1750790819506,2025-06-24T21:46:59.506,0.120,-34.878,32.500,34.939
1750790819516,2025-06-24T21:46:59.516,0.130,-32.805,27.683,27.622
1750790819526,2025-06-24T21:46:59.526,0.140,-30.427,22.927,19.756
1750790819536,2025-06-24T21:46:59.536,0.150,-28.110,18.171,11.585
1750790819546,2025-06-24T21:46:59.546,0.160,-25.915,11.280,3.659
1750790819556,2025-06-24T21:46:59.556,0.170,-23.780,1.098,-5.183
1750790819566,2025-06-24T21:46:59.566,0.180,-20.732,-12.073,-15.366
1750790819576,2025-06-24T21:46:59.576,0.190,-16.037,-25.366,-28.232
1750790819586,2025-06-24T21:46:59.586,0.200,-10.122,-34.878,-43.720
1750790819596,2025-06-24T21:46:59.596,0.210,-3.354,-40.915,-59.573
1750790819606,2025-06-24T21:46:59.606,0.220,4.146,-46.098,-74.695
1750790819616,2025-06-24T21:46:59.616,0.230,11.524,-51.220,-88.598
1750790819626,2025-06-24T21:46:59.626,0.240,17.622,-55.427,-99.939
1750790819636,2025-06-24T21:46:59.636,0.250,21.463,-60.061,-106.890
1750790819646,2025-06-24T21:46:59.646,0.260,22.988,-65.305,-109.390
1750790819656,2025-06-24T21:46:59.656,0.270,24.268,-70.671,-108.841
1750790819666,2025-06-24T21:46:59.666,0.280,25.488,-74.207,-105.793
1750790819676,2025-06-24T21:46:59.676,0.290,26.463,-71.951,-99.878
1750790819686,2025-06-24T21:46:59.686,0.300,27.561,-63.720,-93.354
1750790819696,2025-06-24T21:46:59.696,0.310,28.659,-53.049,-87.500
1750790819706,2025-06-24T21:46:59.706,0.320,28.963,-44.024,-81.829
1750790819716,2025-06-24T21:46:59.716,0.330,28.049,-39.207,-76.280
1750790819726,2025-06-24T21:46:59.726,0.340,25.427,-39.024,-72.378
1750790819736,2025-06-24T21:46:59.736,0.350,21.951,-41.220,-71.220
1750790819746,2025-06-24T21:46:59.746,0.360,19.390,-44.390,-71.402
1750790819756,2025-06-24T21:46:59.756,0.370,17.134,-48.293,-73.293
1750790819766,2025-06-24T21:46:59.766,0.380,14.573,-54.329,-76.402
1750790819776,2025-06-24T21:46:59.776,0.390,12.439,-63.841,-80.000
1750790819786,2025-06-24T21:46:59.786,0.400,11.037,-76.951,-84.085
1750790819796,2025-06-24T21:46:59.796,0.410,9.512,-92.927,-85.793
1750790819806,2025-06-24T21:46:59.806,0.420,8.049,-109.878,-84.756
1750790819816,2025-06-24T21:46:59.816,0.430,7.500,-123.659,-84.817
1750790819826,2025-06-24T21:46:59.826,0.440,6.402,-133.110,-83.537
1750790819836,2025-06-24T21:46:59.836,0.450,6.159,-137.256,-80.915
1750790819846,2025-06-24T21:46:59.846,0.460,7.805,-136.524,-78.354
1750790819856,2025-06-24T21:46:59.856,0.470,10.122,-129.878,-75.854
1750790819866,2025-06-24T21:46:59.866,0.480,13.354,-117.195,-73.354
1750790819876,2025-06-24T21:46:59.876,0.490,17.561,-101.159,-71.341
1750790819886,2025-06-24T21:46:59.886,0.500,22.317,-83.659,-69.451
1750790819896,2025-06-24T21:46:59.896,0.510,27.195,-66.524,-67.988
1750790819906,2025-06-24T21:46:59.906,0.520,31.707,-52.012,-66.890
1750790819916,2025-06-24T21:46:59.916,0.530,35.183,-41.524,-65.915
1750790819926,2025-06-24T21:46:59.926,0.540,37.439,-33.902,-64.756
1750790819936,2025-06-24T21:46:59.936,0.550,39.146,-28.354,-63.293
1750790819946,2025-06-24T21:46:59.946,0.560,40.000,-24.756,-61.585
