epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1751286348143,2025-06-30T15:25:48.143,0.000,-0.196,0.093,0.456
1751286348153,2025-06-30T15:25:48.153,0.010,-0.065,0.103,0.537
1751286348163,2025-06-30T15:25:48.163,0.020,0.059,0.129,0.590
1751286348173,2025-06-30T15:25:48.173,0.030,0.079,0.193,0.649
1751286348183,2025-06-30T15:25:48.183,0.040,0.084,0.249,0.677
1751286348193,2025-06-30T15:25:48.193,0.050,0.087,0.311,0.695
1751286348203,2025-06-30T15:25:48.203,0.060,0.116,0.380,0.733
1751286348213,2025-06-30T15:25:48.213,0.070,0.161,0.443,0.794
1751286348223,2025-06-30T15:25:48.223,0.080,0.175,0.496,0.865
1751286348233,2025-06-30T15:25:48.233,0.090,0.156,0.547,0.980
1751286348243,2025-06-30T15:25:48.243,0.100,0.140,0.583,1.083
1751286348253,2025-06-30T15:25:48.253,0.110,0.221,0.606,1.172
1751286348263,2025-06-30T15:25:48.263,0.120,0.341,0.634,1.265
1751286348273,2025-06-30T15:25:48.273,0.130,0.413,0.673,1.367
1751286348283,2025-06-30T15:25:48.283,0.140,0.412,0.699,1.464
1751286348293,2025-06-30T15:25:48.293,0.150,0.362,0.695,1.545
1751286348303,2025-06-30T15:25:48.303,0.160,0.323,0.690,1.630
1751286348313,2025-06-30T15:25:48.313,0.170,0.303,0.678,1.727
1751286348323,2025-06-30T15:25:48.323,0.180,0.305,0.665,1.811
1751286348333,2025-06-30T15:25:48.333,0.190,0.332,0.667,1.884
1751286348343,2025-06-30T15:25:48.343,0.200,0.313,0.667,1.944
1751286348353,2025-06-30T15:25:48.353,0.210,0.288,0.635,2.007
1751286348363,2025-06-30T15:25:48.363,0.220,0.296,0.613,2.039
1751286348373,2025-06-30T15:25:48.373,0.230,0.291,0.623,2.049
1751286348383,2025-06-30T15:25:48.383,0.240,0.265,0.638,2.056
1751286348393,2025-06-30T15:25:48.393,0.250,0.240,0.648,2.034
1751286348403,2025-06-30T15:25:48.403,0.260,0.226,0.647,1.979
1751286348413,2025-06-30T15:25:48.413,0.270,0.233,0.657,1.922
1751286348423,2025-06-30T15:25:48.423,0.280,0.230,0.668,1.850
1751286348433,2025-06-30T15:25:48.433,0.290,0.223,0.658,1.772
1751286348443,2025-06-30T15:25:48.443,0.300,0.223,0.643,1.702
1751286348453,2025-06-30T15:25:48.453,0.310,0.219,0.639,1.619
1751286348463,2025-06-30T15:25:48.463,0.320,0.195,0.636,1.540
1751286348473,2025-06-30T15:25:48.473,0.330,0.162,0.622,1.463
1751286348483,2025-06-30T15:25:48.483,0.340,0.137,0.612,1.379
1751286348493,2025-06-30T15:25:48.493,0.350,0.112,0.609,1.301
1751286348503,2025-06-30T15:25:48.503,0.360,0.078,0.600,1.237
1751286348513,2025-06-30T15:25:48.513,0.370,0.049,0.580,1.153
1751286348523,2025-06-30T15:25:48.523,0.380,0.037,0.564,1.070
1751286348533,2025-06-30T15:25:48.533,0.390,0.028,0.540,0.999
