epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1751286348065,2025-06-30T15:25:48.065,0.000,44.024,-50.793,1.707
1751286348075,2025-06-30T15:25:48.075,0.010,46.098,-48.232,1.098
1751286348085,2025-06-30T15:25:48.085,0.020,53.780,-38.354,-1.829
1751286348095,2025-06-30T15:25:48.095,0.030,63.171,-28.720,-5.244
1751286348105,2025-06-30T15:25:48.105,0.040,70.427,-26.829,-8.232
1751286348115,2025-06-30T15:25:48.115,0.050,76.037,-34.817,-12.073
1751286348125,2025-06-30T15:25:48.125,0.060,80.732,-53.720,-16.220
1751286348135,2025-06-30T15:25:48.135,0.070,85.244,-79.207,-19.573
1751286348145,2025-06-30T15:25:48.145,0.080,89.329,-102.439,-23.232
1751286348155,2025-06-30T15:25:48.155,0.090,94.451,-113.354,-27.927
1751286348165,2025-06-30T15:25:48.165,0.100,102.439,-108.537,-31.951
1751286348175,2025-06-30T15:25:48.175,0.110,110.854,-92.744,-36.829
1751286348185,2025-06-30T15:25:48.185,0.120,118.598,-75.366,-41.890
1751286348195,2025-06-30T15:25:48.195,0.130,126.524,-61.098,-45.305
1751286348205,2025-06-30T15:25:48.205,0.140,133.415,-48.841,-48.720
1751286348215,2025-06-30T15:25:48.215,0.150,139.024,-37.988,-51.951
1751286348225,2025-06-30T15:25:48.225,0.160,143.659,-29.634,-53.841
1751286348235,2025-06-30T15:25:48.235,0.170,146.951,-26.220,-53.598
1751286348245,2025-06-30T15:25:48.245,0.180,148.598,-27.866,-51.768
1751286348255,2025-06-30T15:25:48.255,0.190,147.256,-31.768,-49.756
1751286348265,2025-06-30T15:25:48.265,0.200,144.634,-29.695,-47.073
1751286348275,2025-06-30T15:25:48.275,0.210,142.256,-17.561,-44.634
1751286348285,2025-06-30T15:25:48.285,0.220,137.195,0.427,-42.012
1751286348295,2025-06-30T15:25:48.295,0.230,130.549,15.671,-38.537
1751286348305,2025-06-30T15:25:48.305,0.240,122.378,23.293,-34.085
1751286348315,2025-06-30T15:25:48.315,0.250,112.012,24.024,-29.451
1751286348325,2025-06-30T15:25:48.325,0.260,100.366,22.012,-25.244
1751286348335,2025-06-30T15:25:48.335,0.270,87.744,19.756,-21.280
1751286348345,2025-06-30T15:25:48.345,0.280,74.390,18.780,-17.012
1751286348355,2025-06-30T15:25:48.355,0.290,60.122,19.390,-12.500
1751286348365,2025-06-30T15:25:48.365,0.300,45.183,19.390,-8.171
1751286348375,2025-06-30T15:25:48.375,0.310,28.720,19.573,-4.451
1751286348385,2025-06-30T15:25:48.385,0.320,11.951,21.524,-1.159
1751286348395,2025-06-30T15:25:48.395,0.330,-4.817,22.195,1.524
1751286348405,2025-06-30T15:25:48.405,0.340,-21.890,20.061,4.329
1751286348415,2025-06-30T15:25:48.415,0.350,-37.805,17.195,7.622
1751286348425,2025-06-30T15:25:48.425,0.360,-52.256,15.793,10.427
1751286348435,2025-06-30T15:25:48.435,0.370,-65.244,15.793,13.171
1751286348445,2025-06-30T15:25:48.445,0.380,-76.463,17.378,16.341
1751286348455,2025-06-30T15:25:48.455,0.390,-86.159,20.305,19.634
1751286348465,2025-06-30T15:25:48.465,0.400,-94.817,24.085,22.073
1751286348475,2025-06-30T15:25:48.475,0.410,-102.439,28.110,24.695
1751286348485,2025-06-30T15:25:48.485,0.420,-109.329,30.305,26.829
1751286348495,2025-06-30T15:25:48.495,0.430,-116.037,30.244,28.049
1751286348505,2025-06-30T15:25:48.505,0.440,-121.951,28.841,29.634
1751286348515,2025-06-30T15:25:48.515,0.450,-127.134,25.061,31.402
1751286348525,2025-06-30T15:25:48.525,0.460,-132.073,19.085,33.171
1751286348535,2025-06-30T15:25:48.535,0.470,-136.159,13.232,35.427
1751286348545,2025-06-30T15:25:48.545,0.480,-138.902,8.293,38.293
1751286348555,2025-06-30T15:25:48.555,0.490,-141.098,4.024,41.768
1751286348565,2025-06-30T15:25:48.565,0.500,-141.768,0.610,44.939
1751286348575,2025-06-30T15:25:48.575,0.510,-140.976,-2.744,46.951
1751286348585,2025-06-30T15:25:48.585,0.520,-139.512,-8.537,48.354
1751286348595,2025-06-30T15:25:48.595,0.530,-137.927,-19.512,51.159
1751286348605,2025-06-30T15:25:48.605,0.540,-135.366,-34.146,52.317
1751286348615,2025-06-30T15:25:48.615,0.550,-130.915,-49.756,50.427
1751286348625,2025-06-30T15:25:48.625,0.560,-123.537,-61.463,46.646
1751286348635,2025-06-30T15:25:48.635,0.570,-112.988,-59.878,40.122
1751286348645,2025-06-30T15:25:48.645,0.580,-98.354,-42.195,29.634
1751286348655,2025-06-30T15:25:48.655,0.590,-82.378,-15.183,16.646
1751286348665,2025-06-30T15:25:48.665,0.600,-67.256,10.976,5.427
1751286348675,2025-06-30T15:25:48.675,0.610,-52.805,29.878,-2.744
1751286348685,2025-06-30T15:25:48.685,0.620,-39.634,40.976,-8.293
1751286348695,2025-06-30T15:25:48.695,0.630,-28.293,47.622,-11.220
1751286348705,2025-06-30T15:25:48.705,0.640,-18.476,50.671,-11.707
1751286348715,2025-06-30T15:25:48.715,0.650,-10.000,47.927,-11.341
1751286348725,2025-06-30T15:25:48.725,0.660,-5.427,40.732,-10.061
1751286348735,2025-06-30T15:25:48.735,0.670,-3.171,33.963,-8.171
1751286348745,2025-06-30T15:25:48.745,0.680,-1.159,31.220,-6.159
1751286348755,2025-06-30T15:25:48.755,0.690,0.305,30.549,-3.841
1751286348765,2025-06-30T15:25:48.765,0.700,1.098,27.622,-2.927
1751286348775,2025-06-30T15:25:48.775,0.710,1.585,23.476,-2.012
1751286348785,2025-06-30T15:25:48.785,0.720,2.134,20.244,-0.793
1751286348795,2025-06-30T15:25:48.795,0.730,2.378,18.902,0.244
1751286348805,2025-06-30T15:25:48.805,0.740,3.049,19.146,1.707
1751286348815,2025-06-30T15:25:48.815,0.750,3.659,18.841,3.354
1751286348825,2025-06-30T15:25:48.825,0.760,4.024,16.768,4.512
1751286348835,2025-06-30T15:25:48.835,0.770,4.512,14.634,5.488
1751286348845,2025-06-30T15:25:48.845,0.780,4.390,12.683,5.732
1751286348855,2025-06-30T15:25:48.855,0.790,3.476,9.939,5.305
1751286348865,2025-06-30T15:25:48.865,0.800,2.561,5.305,4.512
1751286348875,2025-06-30T15:25:48.875,0.810,1.341,-0.610,3.720
1751286348885,2025-06-30T15:25:48.885,0.820,0.854,-4.756,3.354
1751286348895,2025-06-30T15:25:48.895,0.830,0.854,-5.915,2.622
1751286348905,2025-06-30T15:25:48.905,0.840,1.098,-4.390,2.744
1751286348915,2025-06-30T15:25:48.915,0.850,1.768,-0.854,3.171
1751286348925,2025-06-30T15:25:48.925,0.860,2.317,2.256,2.988
1751286348935,2025-06-30T15:25:48.935,0.870,2.317,3.537,2.927
1751286348945,2025-06-30T15:25:48.945,0.880,2.073,2.744,3.171
1751286348955,2025-06-30T15:25:48.955,0.890,1.585,-0.854,3.049
1751286348965,2025-06-30T15:25:48.965,0.900,1.280,-6.402,3.232
1751286348975,2025-06-30T15:25:48.975,0.910,1.524,-11.646,3.476
1751286348985,2025-06-30T15:25:48.985,0.920,2.195,-15.366,3.841
1751286348995,2025-06-30T15:25:48.995,0.930,3.963,-18.598,4.451
1751286349005,2025-06-30T15:25:49.005,0.940,6.037,-22.256,5.183
1751286349015,2025-06-30T15:25:49.015,0.950,9.085,-26.768,6.037
1751286349025,2025-06-30T15:25:49.025,0.960,14.451,-30.793,5.793
1751286349035,2025-06-30T15:25:49.035,0.970,22.744,-30.915,4.268
1751286349045,2025-06-30T15:25:49.045,0.980,34.878,-24.756,0.488
1751286349055,2025-06-30T15:25:49.055,0.990,48.537,-13.537,-5.427
1751286349065,2025-06-30T15:25:49.065,1.000,61.707,-4.207,-12.195
1751286349075,2025-06-30T15:25:49.075,1.010,74.817,2.683,-18.476
1751286349085,2025-06-30T15:25:49.085,1.020,87.134,7.927,-23.720
1751286349095,2025-06-30T15:25:49.095,1.030,97.805,8.659,-28.354
1751286349105,2025-06-30T15:25:49.105,1.040,107.927,6.463,-31.707
1751286349115,2025-06-30T15:25:49.115,1.050,117.927,5.793,-35.305
1751286349125,2025-06-30T15:25:49.125,1.060,127.134,6.951,-40.610
1751286349135,2025-06-30T15:25:49.135,1.070,135.488,7.500,-44.512
1751286349145,2025-06-30T15:25:49.145,1.080,141.037,5.366,-46.524
1751286349155,2025-06-30T15:25:49.155,1.090,145.244,-1.159,-47.073
1751286349165,2025-06-30T15:25:49.165,1.100,148.537,-11.159,-45.305
1751286349175,2025-06-30T15:25:49.175,1.110,151.037,-19.573,-44.268
1751286349185,2025-06-30T15:25:49.185,1.120,153.232,-24.512,-42.866
1751286349195,2025-06-30T15:25:49.195,1.130,154.268,-23.415,-41.524
1751286349205,2025-06-30T15:25:49.205,1.140,153.537,-14.573,-40.183
1751286349215,2025-06-30T15:25:49.215,1.150,152.683,2.500,-38.415
1751286349225,2025-06-30T15:25:49.225,1.160,150.061,18.110,-36.890
1751286349235,2025-06-30T15:25:49.235,1.170,143.963,24.939,-34.207
1751286349245,2025-06-30T15:25:49.245,1.180,136.280,26.768,-31.585
1751286349255,2025-06-30T15:25:49.255,1.190,127.073,26.220,-29.085
1751286349265,2025-06-30T15:25:49.265,1.200,116.037,24.939,-25.793
1751286349275,2025-06-30T15:25:49.275,1.210,104.207,26.585,-21.646
1751286349285,2025-06-30T15:25:49.285,1.220,92.317,30.976,-17.256
1751286349295,2025-06-30T15:25:49.295,1.230,79.756,33.293,-13.476
1751286349305,2025-06-30T15:25:49.305,1.240,66.829,30.061,-9.634
1751286349315,2025-06-30T15:25:49.315,1.250,52.134,21.037,-6.341
1751286349325,2025-06-30T15:25:49.325,1.260,36.585,10.122,-3.232
1751286349335,2025-06-30T15:25:49.335,1.270,21.037,-0.122,-0.976
1751286349345,2025-06-30T15:25:49.345,1.280,5.427,-9.207,0.610
1751286349355,2025-06-30T15:25:49.355,1.290,-9.390,-12.561,2.683
1751286349365,2025-06-30T15:25:49.365,1.300,-22.195,-8.780,3.963
1751286349375,2025-06-30T15:25:49.375,1.310,-33.720,-2.134,4.451
1751286349385,2025-06-30T15:25:49.385,1.320,-44.634,4.817,5.061
1751286349395,2025-06-30T15:25:49.395,1.330,-55.488,11.037,5.549
1751286349405,2025-06-30T15:25:49.405,1.340,-65.732,14.695,6.220
1751286349415,2025-06-30T15:25:49.415,1.350,-75.793,14.573,7.134
1751286349425,2025-06-30T15:25:49.425,1.360,-85.854,11.220,8.841
1751286349435,2025-06-30T15:25:49.435,1.370,-95.183,6.585,10.854
1751286349445,2025-06-30T15:25:49.445,1.380,-103.598,3.537,12.378
1751286349455,2025-06-30T15:25:49.455,1.390,-111.220,1.037,14.146
1751286349465,2025-06-30T15:25:49.465,1.400,-118.232,-1.463,15.915
1751286349475,2025-06-30T15:25:49.475,1.410,-124.146,-2.927,17.866
1751286349485,2025-06-30T15:25:49.485,1.420,-129.634,-4.512,19.268
1751286349495,2025-06-30T15:25:49.495,1.430,-133.902,-6.707,20.976
1751286349505,2025-06-30T15:25:49.505,1.440,-136.890,-9.878,23.780
1751286349515,2025-06-30T15:25:49.515,1.450,-140.732,-12.866,26.159
1751286349525,2025-06-30T15:25:49.525,1.460,-142.378,-13.598,29.207
1751286349535,2025-06-30T15:25:49.535,1.470,-142.256,-11.951,33.049
1751286349545,2025-06-30T15:25:49.545,1.480,-141.463,-11.463,36.402
1751286349555,2025-06-30T15:25:49.555,1.490,-139.207,-12.317,40.732
1751286349565,2025-06-30T15:25:49.565,1.500,-136.037,-12.805,45.793
1751286349575,2025-06-30T15:25:49.575,1.510,-131.951,-12.866,49.573
1751286349585,2025-06-30T15:25:49.585,1.520,-125.671,-13.780,51.220
1751286349595,2025-06-30T15:25:49.595,1.530,-116.829,-13.780,49.329
1751286349605,2025-06-30T15:25:49.605,1.540,-106.341,-10.732,44.695
1751286349615,2025-06-30T15:25:49.615,1.550,-94.451,-3.780,37.561
1751286349625,2025-06-30T15:25:49.625,1.560,-82.073,5.061,27.500
1751286349635,2025-06-30T15:25:49.635,1.570,-69.512,14.695,16.646
1751286349645,2025-06-30T15:25:49.645,1.580,-57.500,24.207,6.829
1751286349655,2025-06-30T15:25:49.655,1.590,-47.073,32.500,-1.585
1751286349665,2025-06-30T15:25:49.665,1.600,-37.683,37.500,-7.805
1751286349675,2025-06-30T15:25:49.675,1.610,-28.841,35.488,-11.463
1751286349685,2025-06-30T15:25:49.685,1.620,-22.439,30.183,-12.439
1751286349695,2025-06-30T15:25:49.695,1.630,-18.049,26.220,-12.256
1751286349705,2025-06-30T15:25:49.705,1.640,-15.000,23.902,-11.829
1751286349715,2025-06-30T15:25:49.715,1.650,-13.171,22.195,-10.061
1751286349725,2025-06-30T15:25:49.725,1.660,-12.195,20.305,-7.622
1751286349735,2025-06-30T15:25:49.735,1.670,-11.524,18.476,-5.427
1751286349745,2025-06-30T15:25:49.745,1.680,-10.549,17.012,-2.622
1751286349755,2025-06-30T15:25:49.755,1.690,-9.756,16.220,0.305
1751286349765,2025-06-30T15:25:49.765,1.700,-9.146,15.854,2.561
1751286349775,2025-06-30T15:25:49.775,1.710,-8.232,14.817,4.573
1751286349785,2025-06-30T15:25:49.785,1.720,-7.500,13.476,6.463
1751286349795,2025-06-30T15:25:49.795,1.730,-5.793,14.451,7.805
1751286349805,2025-06-30T15:25:49.805,1.740,-4.024,16.768,8.598
1751286349815,2025-06-30T15:25:49.815,1.750,-2.988,19.207,9.390
1751286349825,2025-06-30T15:25:49.825,1.760,-2.317,21.280,10.000
1751286349835,2025-06-30T15:25:49.835,1.770,-1.707,21.159,10.305
1751286349845,2025-06-30T15:25:49.845,1.780,-1.585,19.329,10.671
1751286349855,2025-06-30T15:25:49.855,1.790,-1.402,16.341,10.488
1751286349865,2025-06-30T15:25:49.865,1.800,-1.341,12.805,10.061
1751286349875,2025-06-30T15:25:49.875,1.810,-1.585,9.146,9.451
1751286349885,2025-06-30T15:25:49.885,1.820,-1.646,4.451,9.024
1751286349895,2025-06-30T15:25:49.895,1.830,-1.402,-1.098,8.841
1751286349905,2025-06-30T15:25:49.905,1.840,-0.793,-6.524,8.171
1751286349915,2025-06-30T15:25:49.915,1.850,0.183,-10.305,6.524
1751286349925,2025-06-30T15:25:49.925,1.860,2.073,-11.220,5.488
1751286349935,2025-06-30T15:25:49.935,1.870,4.878,-9.695,4.512
1751286349945,2025-06-30T15:25:49.945,1.880,7.561,-6.646,3.049
1751286349955,2025-06-30T15:25:49.955,1.890,10.427,-4.207,2.561
1751286349965,2025-06-30T15:25:49.965,1.900,12.683,-3.659,2.195
