epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1751288544010,2025-06-30T16:02:24.010,0.000,-7.073,-17.439,-4.451
1751288544020,2025-06-30T16:02:24.020,0.010,-5.976,-15.854,-4.146
1751288544030,2025-06-30T16:02:24.030,0.020,-0.793,-7.744,-4.512
1751288544040,2025-06-30T16:02:24.040,0.030,4.512,-1.890,-7.317
1751288544050,2025-06-30T16:02:24.050,0.040,7.927,-0.793,-12.195
1751288544060,2025-06-30T16:02:24.060,0.050,10.793,-1.037,-16.951
1751288544070,2025-06-30T16:02:24.070,0.060,12.988,-2.134,-20.976
1751288544080,2025-06-30T16:02:24.080,0.070,14.817,-4.390,-24.207
1751288544090,2025-06-30T16:02:24.090,0.080,17.195,-7.683,-26.646
1751288544100,2025-06-30T16:02:24.100,0.090,19.634,-11.829,-27.927
1751288544110,2025-06-30T16:02:24.110,0.100,21.951,-16.402,-27.683
1751288544120,2025-06-30T16:02:24.120,0.110,24.695,-21.768,-26.098
1751288544130,2025-06-30T16:02:24.130,0.120,27.866,-28.232,-23.659
1751288544140,2025-06-30T16:02:24.140,0.130,30.976,-34.756,-21.280
1751288544150,2025-06-30T16:02:24.150,0.140,34.695,-40.305,-18.720
1751288544160,2025-06-30T16:02:24.160,0.150,39.146,-45.244,-15.854
1751288544170,2025-06-30T16:02:24.170,0.160,43.841,-49.268,-12.378
1751288544180,2025-06-30T16:02:24.180,0.170,48.354,-51.463,-8.720
1751288544190,2025-06-30T16:02:24.190,0.180,53.110,-52.683,-5.610
1751288544200,2025-06-30T16:02:24.200,0.190,56.646,-54.634,-3.232
1751288544210,2025-06-30T16:02:24.210,0.200,59.573,-57.134,-0.671
1751288544220,2025-06-30T16:02:24.220,0.210,63.232,-59.573,1.463
1751288544230,2025-06-30T16:02:24.230,0.220,67.866,-62.439,2.805
1751288544240,2025-06-30T16:02:24.240,0.230,72.866,-64.024,2.988
1751288544250,2025-06-30T16:02:24.250,0.240,78.476,-61.829,2.500
1751288544260,2025-06-30T16:02:24.260,0.250,85.000,-55.976,0.915
1751288544270,2025-06-30T16:02:24.270,0.260,91.951,-48.780,-1.646
1751288544280,2025-06-30T16:02:24.280,0.270,98.537,-40.671,-5.793
1751288544290,2025-06-30T16:02:24.290,0.280,105.061,-33.841,-10.366
1751288544300,2025-06-30T16:02:24.300,0.290,111.098,-30.122,-13.659
1751288544310,2025-06-30T16:02:24.310,0.300,115.793,-29.817,-16.402
1751288544320,2025-06-30T16:02:24.320,0.310,119.756,-33.780,-19.329
1751288544330,2025-06-30T16:02:24.330,0.320,123.537,-40.000,-22.012
1751288544340,2025-06-30T16:02:24.340,0.330,127.500,-44.939,-23.841
1751288544350,2025-06-30T16:02:24.350,0.340,132.378,-44.573,-24.207
1751288544360,2025-06-30T16:02:24.360,0.350,136.280,-40.427,-23.293
1751288544370,2025-06-30T16:02:24.370,0.360,139.634,-37.256,-22.134
1751288544380,2025-06-30T16:02:24.380,0.370,142.073,-35.671,-21.220
1751288544390,2025-06-30T16:02:24.390,0.380,142.378,-36.341,-20.976
1751288544400,2025-06-30T16:02:24.400,0.390,139.756,-43.110,-20.610
1751288544410,2025-06-30T16:02:24.410,0.400,135.427,-56.280,-19.329
1751288544420,2025-06-30T16:02:24.420,0.410,130.122,-70.183,-18.598
1751288544430,2025-06-30T16:02:24.430,0.420,125.122,-77.988,-19.207
1751288544440,2025-06-30T16:02:24.440,0.430,120.854,-76.341,-18.293
1751288544450,2025-06-30T16:02:24.450,0.440,117.317,-62.744,-13.537
1751288544460,2025-06-30T16:02:24.460,0.450,112.500,-37.561,-6.890
1751288544470,2025-06-30T16:02:24.470,0.460,106.037,-6.463,-0.732
1751288544480,2025-06-30T16:02:24.480,0.470,96.463,21.098,4.573
1751288544490,2025-06-30T16:02:24.490,0.480,83.598,35.183,8.780
