epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1751275298069,2025-06-30T12.21.38.069,0.000,-0.133,-0.102,1.034
1751275298079,2025-06-30T12.21.38.079,0.010,-0.160,-0.100,1.059
1751275298089,2025-06-30T12.21.38.089,0.020,-0.188,-0.097,1.071
1751275298099,2025-06-30T12.21.38.099,0.030,-0.183,-0.094,1.071
1751275298109,2025-06-30T12.21.38.109,0.040,-0.171,-0.090,1.070
1751275298119,2025-06-30T12.21.38.119,0.050,-0.170,-0.088,1.075
1751275298129,2025-06-30T12.21.38.129,0.060,-0.172,-0.088,1.076
1751275298139,2025-06-30T12.21.38.139,0.070,-0.174,-0.087,1.070
1751275298149,2025-06-30T12.21.38.149,0.080,-0.176,-0.083,1.068
1751275298159,2025-06-30T12.21.38.159,0.090,-0.173,-0.082,1.060
1751275298169,2025-06-30T12.21.38.169,0.100,-0.169,-0.081,1.048
1751275298179,2025-06-30T12.21.38.179,0.110,-0.183,-0.081,1.032
1751275298189,2025-06-30T12.21.38.189,0.120,-0.187,-0.079,1.023
1751275298199,2025-06-30T12.21.38.199,0.130,-0.182,-0.080,1.019
1751275298209,2025-06-30T12.21.38.209,0.140,-0.177,-0.081,1.016
1751275298219,2025-06-30T12.21.38.219,0.150,-0.169,-0.082,1.032
1751275298229,2025-06-30T12.21.38.229,0.160,-0.153,-0.082,1.046
1751275298239,2025-06-30T12.21.38.239,0.170,-0.148,-0.078,1.036
1751275298249,2025-06-30T12.21.38.249,0.180,-0.155,-0.077,1.026
1751275298259,2025-06-30T12.21.38.259,0.190,-0.157,-0.078,1.016
1751275298269,2025-06-30T12.21.38.269,0.200,-0.163,-0.080,1.005
1751275298279,2025-06-30T12.21.38.279,0.210,-0.165,-0.076,1.004
1751275298289,2025-06-30T12.21.38.289,0.220,-0.164,-0.073,0.991
1751275298299,2025-06-30T12.21.38.299,0.230,-0.167,-0.076,0.978
1751275298309,2025-06-30T12.21.38.309,0.240,-0.163,-0.081,0.976
1751275298319,2025-06-30T12.21.38.319,0.250,-0.156,-0.088,0.978
1751275298329,2025-06-30T12.21.38.329,0.260,-0.152,-0.093,0.988
1751275298339,2025-06-30T12.21.38.339,0.270,-0.148,-0.091,0.984
1751275298349,2025-06-30T12.21.38.349,0.280,-0.148,-0.089,0.979
1751275298359,2025-06-30T12.21.38.359,0.290,-0.156,-0.087,0.977
1751275298369,2025-06-30T12.21.38.369,0.300,-0.167,-0.089,0.966
1751275298379,2025-06-30T12.21.38.379,0.310,-0.178,-0.085,0.950
1751275298389,2025-06-30T12.21.38.389,0.320,-0.181,-0.083,0.941
1751275298399,2025-06-30T12.21.38.399,0.330,-0.172,-0.082,0.938
1751275298409,2025-06-30T12.21.38.409,0.340,-0.162,-0.082,0.937
1751275298419,2025-06-30T12.21.38.419,0.350,-0.160,-0.083,0.931
1751275298429,2025-06-30T12.21.38.429,0.360,-0.165,-0.081,0.914
1751275298439,2025-06-30T12.21.38.439,0.370,-0.168,-0.080,0.901
1751275298449,2025-06-30T12.21.38.449,0.380,-0.163,-0.087,0.897
1751275298459,2025-06-30T12.21.38.459,0.390,-0.152,-0.082,0.890
1751275298469,2025-06-30T12.21.38.469,0.400,-0.144,-0.077,0.875
1751275298479,2025-06-30T12.21.38.479,0.410,-0.139,-0.077,0.859
1751275298489,2025-06-30T12.21.38.489,0.420,-0.130,-0.076,0.837
1751275298499,2025-06-30T12.21.38.499,0.430,-0.122,-0.076,0.813
1751275298509,2025-06-30T12.21.38.509,0.440,-0.114,-0.069,0.788
1751275298519,2025-06-30T12.21.38.519,0.450,-0.111,-0.062,0.757
1751275298529,2025-06-30T12.21.38.529,0.460,-0.107,-0.050,0.743
1751275298539,2025-06-30T12.21.38.539,0.470,-0.093,-0.042,0.727
1751275298549,2025-06-30T12.21.38.549,0.480,-0.087,-0.034,0.706
1751275298559,2025-06-30T12.21.38.559,0.490,-0.071,-0.021,0.681
1751275298569,2025-06-30T12.21.38.569,0.500,-0.043,-0.008,0.675
1751275298579,2025-06-30T12.21.38.579,0.510,-0.021,-0.002,0.678
1751275298589,2025-06-30T12.21.38.589,0.520,0.000,0.004,0.705
1751275298599,2025-06-30T12.21.38.599,0.530,0.029,0.009,0.746
1751275298609,2025-06-30T12.21.38.609,0.540,0.043,0.016,0.769
1751275298619,2025-06-30T12.21.38.619,0.550,0.022,0.029,0.767
1751275298629,2025-06-30T12.21.38.629,0.560,-0.036,0.044,0.761
1751275298639,2025-06-30T12.21.38.639,0.570,-0.083,0.051,0.760
1751275298649,2025-06-30T12.21.38.649,0.580,-0.088,0.049,0.764
1751275298659,2025-06-30T12.21.38.659,0.590,-0.066,0.053,0.778
1751275298669,2025-06-30T12.21.38.669,0.600,-0.022,0.062,0.802
1751275298679,2025-06-30T12.21.38.679,0.610,0.013,0.071,0.824
1751275298689,2025-06-30T12.21.38.689,0.620,0.029,0.072,0.850
1751275298699,2025-06-30T12.21.38.699,0.630,0.029,0.083,0.887
1751275298709,2025-06-30T12.21.38.709,0.640,0.015,0.106,0.924
1751275298719,2025-06-30T12.21.38.719,0.650,0.001,0.126,0.955
1751275298729,2025-06-30T12.21.38.729,0.660,-0.030,0.156,0.983
1751275298739,2025-06-30T12.21.38.739,0.670,-0.065,0.174,1.004
1751275298749,2025-06-30T12.21.38.749,0.680,-0.100,0.190,1.015
1751275298759,2025-06-30T12.21.38.759,0.690,-0.112,0.202,1.025
1751275298769,2025-06-30T12.21.38.769,0.700,-0.100,0.216,1.041
1751275298779,2025-06-30T12.21.38.779,0.710,-0.076,0.233,1.062
1751275298789,2025-06-30T12.21.38.789,0.720,-0.047,0.253,1.070
1751275298799,2025-06-30T12.21.38.799,0.730,-0.032,0.268,1.086
1751275298809,2025-06-30T12.21.38.809,0.740,-0.021,0.273,1.101
1751275298819,2025-06-30T12.21.38.819,0.750,-0.032,0.278,1.125
1751275298829,2025-06-30T12.21.38.829,0.760,-0.045,0.287,1.142
1751275298839,2025-06-30T12.21.38.839,0.770,-0.043,0.293,1.152
1751275298849,2025-06-30T12.21.38.849,0.780,-0.055,0.302,1.163
1751275298859,2025-06-30T12.21.38.859,0.790,-0.064,0.314,1.164
1751275298869,2025-06-30T12.21.38.869,0.800,-0.063,0.326,1.164
1751275298879,2025-06-30T12.21.38.879,0.810,-0.054,0.336,1.168
1751275298889,2025-06-30T12.21.38.889,0.820,-0.035,0.347,1.177
1751275298899,2025-06-30T12.21.38.899,0.830,-0.027,0.355,1.189
1751275298909,2025-06-30T12.21.38.909,0.840,-0.026,0.357,1.211
1751275298919,2025-06-30T12.21.38.919,0.850,-0.019,0.357,1.229
1751275298929,2025-06-30T12.21.38.929,0.860,-0.006,0.367,1.253
1751275298939,2025-06-30T12.21.38.939,0.870,-0.002,0.373,1.272
1751275298949,2025-06-30T12.21.38.949,0.880,0.000,0.379,1.282
1751275298959,2025-06-30T12.21.38.959,0.890,0.004,0.383,1.298
1751275298969,2025-06-30T12.21.38.969,0.900,0.021,0.380,1.307
1751275298979,2025-06-30T12.21.38.979,0.910,0.029,0.376,1.305
1751275298989,2025-06-30T12.21.38.989,0.920,0.026,0.381,1.295
1751275298999,2025-06-30T12.21.38.999,0.930,0.009,0.389,1.280
1751275299009,2025-06-30T12.21.39.009,0.940,-0.003,0.392,1.272
1751275299019,2025-06-30T12.21.39.019,0.950,-0.002,0.394,1.271
1751275299029,2025-06-30T12.21.39.029,0.960,-0.002,0.396,1.261
1751275299039,2025-06-30T12.21.39.039,0.970,-0.003,0.394,1.246
1751275299049,2025-06-30T12.21.39.049,0.980,-0.015,0.392,1.225
1751275299059,2025-06-30T12.21.39.059,0.990,-0.020,0.389,1.208
1751275299069,2025-06-30T12.21.39.069,1.000,-0.006,0.385,1.204
1751275299079,2025-06-30T12.21.39.079,1.010,0.011,0.382,1.200
1751275299089,2025-06-30T12.21.39.089,1.020,0.021,0.374,1.205
1751275299099,2025-06-30T12.21.39.099,1.030,0.021,0.371,1.220
1751275299109,2025-06-30T12.21.39.109,1.040,0.018,0.369,1.241
1751275299119,2025-06-30T12.21.39.119,1.050,0.012,0.374,1.270
1751275299129,2025-06-30T12.21.39.129,1.060,-0.006,0.377,1.303
1751275299139,2025-06-30T12.21.39.139,1.070,-0.014,0.387,1.320
1751275299149,2025-06-30T12.21.39.149,1.080,-0.015,0.395,1.318
1751275299159,2025-06-30T12.21.39.159,1.090,-0.025,0.390,1.311
1751275299169,2025-06-30T12.21.39.169,1.100,-0.047,0.383,1.292
1751275299179,2025-06-30T12.21.39.179,1.110,-0.054,0.385,1.279
1751275299189,2025-06-30T12.21.39.189,1.120,-0.046,0.380,1.269
1751275299199,2025-06-30T12.21.39.199,1.130,-0.049,0.370,1.263
1751275299209,2025-06-30T12.21.39.209,1.140,-0.047,0.359,1.254
1751275299219,2025-06-30T12.21.39.219,1.150,-0.026,0.346,1.248
1751275299229,2025-06-30T12.21.39.229,1.160,-0.009,0.337,1.241
1751275299239,2025-06-30T12.21.39.239,1.170,0.009,0.336,1.236
1751275299249,2025-06-30T12.21.39.249,1.180,0.038,0.333,1.222
1751275299259,2025-06-30T12.21.39.259,1.190,0.057,0.323,1.192
1751275299269,2025-06-30T12.21.39.269,1.200,0.061,0.312,1.158
1751275299279,2025-06-30T12.21.39.279,1.210,0.052,0.298,1.130
1751275299289,2025-06-30T12.21.39.289,1.220,0.028,0.287,1.089
1751275299299,2025-06-30T12.21.39.299,1.230,0.004,0.273,1.050
1751275299309,2025-06-30T12.21.39.309,1.240,-0.013,0.266,1.018
1751275299319,2025-06-30T12.21.39.319,1.250,-0.014,0.254,0.981
1751275299329,2025-06-30T12.21.39.329,1.260,-0.014,0.238,0.944
1751275299339,2025-06-30T12.21.39.339,1.270,-0.014,0.224,0.919
1751275299349,2025-06-30T12.21.39.349,1.280,-0.001,0.201,0.903
1751275299359,2025-06-30T12.21.39.359,1.290,0.022,0.176,0.887
1751275299369,2025-06-30T12.21.39.369,1.300,0.031,0.160,0.877
1751275299379,2025-06-30T12.21.39.379,1.310,0.027,0.151,0.865
1751275299389,2025-06-30T12.21.39.389,1.320,0.025,0.129,0.854
1751275299399,2025-06-30T12.21.39.399,1.330,0.019,0.111,0.856
1751275299409,2025-06-30T12.21.39.409,1.340,0.007,0.102,0.861
1751275299419,2025-06-30T12.21.39.419,1.350,-0.013,0.088,0.851
1751275299429,2025-06-30T12.21.39.429,1.360,-0.057,0.073,0.843
1751275299439,2025-06-30T12.21.39.439,1.370,-0.081,0.064,0.858
1751275299449,2025-06-30T12.21.39.449,1.380,-0.087,0.048,0.875
