epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1751275298072,2025-06-30T12.21.38.072,0.000,10.732,-3.232,0.854
1751275298082,2025-06-30T12.21.38.082,0.010,10.305,-3.232,1.280
1751275298092,2025-06-30T12.21.38.092,0.020,8.354,-6.220,1.402
1751275298102,2025-06-30T12.21.38.102,0.030,6.890,-9.207,1.159
1751275298112,2025-06-30T12.21.38.112,0.040,6.220,-9.817,0.976
1751275298122,2025-06-30T12.21.38.122,0.050,5.671,-9.695,0.976
1751275298132,2025-06-30T12.21.38.132,0.060,4.512,-9.878,0.854
1751275298142,2025-06-30T12.21.38.142,0.070,3.659,-9.573,1.159
1751275298152,2025-06-30T12.21.38.152,0.080,2.927,-8.598,1.768
1751275298162,2025-06-30T12.21.38.162,0.090,2.317,-7.988,2.439
1751275298172,2025-06-30T12.21.38.172,0.100,2.256,-7.500,3.171
1751275298182,2025-06-30T12.21.38.182,0.110,1.951,-8.354,3.841
1751275298192,2025-06-30T12.21.38.192,0.120,1.280,-10.122,4.146
1751275298202,2025-06-30T12.21.38.202,0.130,0.854,-11.463,3.902
1751275298212,2025-06-30T12.21.38.212,0.140,0.610,-11.463,3.415
1751275298222,2025-06-30T12.21.38.222,0.150,0.305,-9.756,2.866
1751275298232,2025-06-30T12.21.38.232,0.160,0.427,-7.256,2.134
1751275298242,2025-06-30T12.21.38.242,0.170,0.671,-4.451,1.585
1751275298252,2025-06-30T12.21.38.252,0.180,0.671,-1.951,1.768
1751275298262,2025-06-30T12.21.38.262,0.190,0.305,-0.732,2.012
1751275298272,2025-06-30T12.21.38.272,0.200,0.061,-0.671,1.951
1751275298282,2025-06-30T12.21.38.282,0.210,0.000,-1.646,2.012
1751275298292,2025-06-30T12.21.38.292,0.220,-0.061,-3.415,2.256
1751275298302,2025-06-30T12.21.38.302,0.230,-0.122,-4.939,2.439
1751275298312,2025-06-30T12.21.38.312,0.240,0.000,-5.366,2.500
1751275298322,2025-06-30T12.21.38.322,0.250,0.427,-4.268,2.256
1751275298332,2025-06-30T12.21.38.332,0.260,0.976,-2.378,2.012
1751275298342,2025-06-30T12.21.38.342,0.270,1.524,-0.793,1.951
1751275298352,2025-06-30T12.21.38.352,0.280,2.012,0.183,2.073
1751275298362,2025-06-30T12.21.38.362,0.290,2.378,0.488,2.317
1751275298372,2025-06-30T12.21.38.372,0.300,2.622,-0.427,2.378
1751275298382,2025-06-30T12.21.38.382,0.310,2.622,-2.561,2.317
1751275298392,2025-06-30T12.21.38.392,0.320,2.500,-4.329,2.195
1751275298402,2025-06-30T12.21.38.402,0.330,2.805,-5.061,2.012
1751275298412,2025-06-30T12.21.38.412,0.340,3.354,-5.793,1.951
1751275298422,2025-06-30T12.21.38.422,0.350,3.963,-6.707,1.768
1751275298432,2025-06-30T12.21.38.432,0.360,4.756,-7.622,1.646
1751275298442,2025-06-30T12.21.38.442,0.370,5.610,-8.537,1.707
1751275298452,2025-06-30T12.21.38.452,0.380,6.707,-9.329,1.524
1751275298462,2025-06-30T12.21.38.462,0.390,8.110,-9.085,0.915
1751275298472,2025-06-30T12.21.38.472,0.400,9.939,-8.232,0.549
1751275298482,2025-06-30T12.21.38.482,0.410,11.585,-7.744,0.305
1751275298492,2025-06-30T12.21.38.492,0.420,13.415,-7.622,0.122
1751275298502,2025-06-30T12.21.38.502,0.430,15.488,-7.622,0.000
1751275298512,2025-06-30T12.21.38.512,0.440,17.927,-8.537,0.000
1751275298522,2025-06-30T12.21.38.522,0.450,20.427,-10.244,0.244
1751275298532,2025-06-30T12.21.38.532,0.460,22.866,-12.317,0.976
1751275298542,2025-06-30T12.21.38.542,0.470,25.427,-15.061,1.951
1751275298552,2025-06-30T12.21.38.552,0.480,27.927,-18.415,2.622
1751275298562,2025-06-30T12.21.38.562,0.490,30.488,-21.585,3.598
1751275298572,2025-06-30T12.21.38.572,0.500,33.659,-23.476,5.122
1751275298582,2025-06-30T12.21.38.582,0.510,37.256,-23.415,6.829
1751275298592,2025-06-30T12.21.38.592,0.520,40.915,-21.280,8.780
1751275298602,2025-06-30T12.21.38.602,0.530,44.207,-17.439,10.610
1751275298612,2025-06-30T12.21.38.612,0.540,47.378,-14.817,11.768
1751275298622,2025-06-30T12.21.38.622,0.550,50.061,-18.293,13.049
1751275298632,2025-06-30T12.21.38.632,0.560,51.220,-27.195,15.122
1751275298642,2025-06-30T12.21.38.642,0.570,51.646,-38.110,16.585
1751275298652,2025-06-30T12.21.38.652,0.580,52.866,-47.073,16.220
1751275298662,2025-06-30T12.21.38.662,0.590,54.817,-51.707,15.366
1751275298672,2025-06-30T12.21.38.672,0.600,57.561,-51.037,14.817
1751275298682,2025-06-30T12.21.38.682,0.610,60.976,-43.780,14.085
1751275298692,2025-06-30T12.21.38.692,0.620,64.695,-33.049,12.988
1751275298702,2025-06-30T12.21.38.702,0.630,67.622,-22.561,11.707
1751275298712,2025-06-30T12.21.38.712,0.640,69.512,-13.110,11.098
1751275298722,2025-06-30T12.21.38.722,0.650,71.280,-7.195,10.671
1751275298732,2025-06-30T12.21.38.732,0.660,72.195,-5.305,10.000
1751275298742,2025-06-30T12.21.38.742,0.670,72.317,-8.110,9.756
1751275298752,2025-06-30T12.21.38.752,0.680,71.646,-13.720,9.817
1751275298762,2025-06-30T12.21.38.762,0.690,70.793,-19.756,9.512
1751275298772,2025-06-30T12.21.38.772,0.700,69.878,-23.049,8.110
1751275298782,2025-06-30T12.21.38.782,0.710,69.451,-23.659,6.341
1751275298792,2025-06-30T12.21.38.792,0.720,69.146,-21.707,4.878
1751275298802,2025-06-30T12.21.38.802,0.730,68.598,-17.378,4.512
1751275298812,2025-06-30T12.21.38.812,0.740,67.988,-13.415,4.878
1751275298822,2025-06-30T12.21.38.822,0.750,66.463,-11.098,4.817
1751275298832,2025-06-30T12.21.38.832,0.760,64.390,-10.427,5.305
1751275298842,2025-06-30T12.21.38.842,0.770,62.439,-9.939,5.488
1751275298852,2025-06-30T12.21.38.852,0.780,60.244,-10.610,4.939
1751275298862,2025-06-30T12.21.38.862,0.790,57.622,-12.256,4.329
1751275298872,2025-06-30T12.21.38.872,0.800,54.878,-14.329,3.780
1751275298882,2025-06-30T12.21.38.882,0.810,52.439,-15.915,3.476
1751275298892,2025-06-30T12.21.38.892,0.820,50.793,-17.439,2.622
1751275298902,2025-06-30T12.21.38.902,0.830,49.329,-18.110,1.890
1751275298912,2025-06-30T12.21.38.912,0.840,47.439,-18.293,1.951
1751275298922,2025-06-30T12.21.38.922,0.850,44.756,-18.841,1.585
1751275298932,2025-06-30T12.21.38.932,0.860,41.524,-18.659,1.402
1751275298942,2025-06-30T12.21.38.942,0.870,37.866,-18.415,1.768
1751275298952,2025-06-30T12.21.38.952,0.880,33.841,-18.476,2.134
1751275298962,2025-06-30T12.21.38.962,0.890,29.207,-16.646,2.561
1751275298972,2025-06-30T12.21.38.972,0.900,25.244,-12.683,2.134
