epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1750844197897.00,2025-06-25T12:36:37.897,0,160.732,-61.341,-9.512
1750844197907.00,2025-06-25T12:36:37.907,0.01,160.732,-60.122,-9.634
1750844197917.00,2025-06-25T12:36:37.917,0.02,159.451,-55.366,-8.963
1750844197927.00,2025-06-25T12:36:37.927,0.03,156.159,-42.988,-5.732
1750844197937.00,2025-06-25T12:36:37.937,0.04,150,-23.598,-0.183
1750844197947.00,2025-06-25T12:36:37.947,0.05,140.61,-5,5.854
1750844197957.00,2025-06-25T12:36:37.957,0.06,128.598,5.305,10.61
1750844197967.00,2025-06-25T12:36:37.967,0.07,114.39,4.207,12.744
1750844197977.00,2025-06-25T12:36:37.977,0.08,100.366,-6.159,13.415
1750844197987.00,2025-06-25T12:36:37.987,0.09,85.488,-17.378,14.39
1750844197997.00,2025-06-25T12:36:37.997,0.1,69.878,-20.915,15.61
1750844198007.00,2025-06-25T12:36:38.007,0.11,55.366,-10.854,15.732
1750844198017.00,2025-06-25T12:36:38.017,0.12,39.634,6.829,13.78
1750844198027.00,2025-06-25T12:36:38.027,0.13,21.829,21.037,12.012
1750844198037.00,2025-06-25T12:36:38.037,0.14,3.902,25.854,10.549
1750844198047.00,2025-06-25T12:36:38.047,0.15,-13.415,22.134,9.085
1750844198057.00,2025-06-25T12:36:38.057,0.16,-30.366,15.122,8.354
1750844198067.00,2025-06-25T12:36:38.067,0.17,-46.22,10.793,8.232
1750844198077.00,2025-06-25T12:36:38.077,0.18,-59.817,13.72,7.744
1750844198087.00,2025-06-25T12:36:38.087,0.19,-71.22,22.195,7.5
1750844198097.00,2025-06-25T12:36:38.097,0.2,-81.951,30.61,8.11
1750844198107.00,2025-06-25T12:36:38.107,0.21,-92.073,36.951,9.146
1750844198117.00,2025-06-25T12:36:38.117,0.22,-101.341,41.341,9.512
1750844198127.00,2025-06-25T12:36:38.127,0.23,-109.329,44.207,9.512
1750844198137.00,2025-06-25T12:36:38.137,0.24,-117.073,46.159,8.841
1750844198147.00,2025-06-25T12:36:38.147,0.25,-124.207,45.915,8.415
1750844198157.00,2025-06-25T12:36:38.157,0.26,-129.451,42.439,8.11
1750844198167.00,2025-06-25T12:36:38.167,0.27,-134.024,37.622,8.598
1750844198177.00,2025-06-25T12:36:38.177,0.28,-138.232,34.451,9.329
1750844198187.00,2025-06-25T12:36:38.187,0.29,-139.329,36.646,10.366
1750844198197.00,2025-06-25T12:36:38.197,0.3,-140.427,41.402,10.915
1750844198207.00,2025-06-25T12:36:38.207,0.31,-139.451,45.549,11.341
1750844198217.00,2025-06-25T12:36:38.217,0.32,-135.427,48.72,11.951
1750844198227.00,2025-06-25T12:36:38.227,0.33,-130.549,48.476,11.585
1750844198237.00,2025-06-25T12:36:38.237,0.34,-125.671,45.793,10.244
1750844198247.00,2025-06-25T12:36:38.247,0.35,-120.061,41.829,8.11
1750844198257.00,2025-06-25T12:36:38.257,0.36,-113.902,35.793,5.366
1750844198267.00,2025-06-25T12:36:38.267,0.37,-107.256,28.171,3.232
1750844198277.00,2025-06-25T12:36:38.277,0.38,-100.244,20.793,2.073
1750844198287.00,2025-06-25T12:36:38.287,0.39,-92.622,17.5,1.585
1750844198297.00,2025-06-25T12:36:38.297,0.4,-84.39,19.207,1.646
1750844198307.00,2025-06-25T12:36:38.307,0.41,-76.707,23.232,1.951
1750844198317.00,2025-06-25T12:36:38.317,0.42,-69.024,25.915,1.768
1750844198327.00,2025-06-25T12:36:38.327,0.43,-61.524,21.707,2.5
1750844198337.00,2025-06-25T12:36:38.337,0.44,-54.573,11.463,4.39
1750844198347.00,2025-06-25T12:36:38.347,0.45,-47.744,0.793,5.305
1750844198357.00,2025-06-25T12:36:38.357,0.46,-40.061,-8.171,4.817
1750844198367.00,2025-06-25T12:36:38.367,0.47,-31.89,-14.573,4.39
1750844198377.00,2025-06-25T12:36:38.377,0.48,-23.049,-20.61,4.268
1750844198387.00,2025-06-25T12:36:38.387,0.49,-13.232,-26.402,3.72
1750844198397.00,2025-06-25T12:36:38.397,0.5,-2.683,-31.28,2.744
1750844198407.00,2025-06-25T12:36:38.407,0.51,8.293,-36.463,2.134
1750844198417.00,2025-06-25T12:36:38.417,0.52,19.39,-42.134,1.951
1750844198427.00,2025-06-25T12:36:38.427,0.53,31.098,-46.829,1.585
1750844198437.00,2025-06-25T12:36:38.437,0.54,42.622,-51.28,1.28
1750844198447.00,2025-06-25T12:36:38.447,0.55,53.78,-55.122,1.098
1750844198457.00,2025-06-25T12:36:38.457,0.56,65,-57.622,0.732
1750844198467.00,2025-06-25T12:36:38.467,0.57,76.341,-59.329,0.244
1750844198477.00,2025-06-25T12:36:38.477,0.58,87.378,-59.024,-0.061
1750844198487.00,2025-06-25T12:36:38.487,0.59,97.744,-57.195,0.061
1750844198497.00,2025-06-25T12:36:38.497,0.6,108.293,-57.073,-1.159
1750844198507.00,2025-06-25T12:36:38.507,0.61,118.902,-59.024,-2.805
1750844198517.00,2025-06-25T12:36:38.517,0.62,129.573,-65.061,-2.317
1750844198527.00,2025-06-25T12:36:38.527,0.63,139.878,-72.378,-0.427
1750844198537.00,2025-06-25T12:36:38.537,0.64,149.146,-74.573,3.11
1750844198547.00,2025-06-25T12:36:38.547,0.65,157.317,-67.622,4.939
1750844198557.00,2025-06-25T12:36:38.557,0.66,164.451,-48.293,5.244
1750844198567.00,2025-06-25T12:36:38.567,0.67,169.451,-21.646,6.707
1750844198577.00,2025-06-25T12:36:38.577,0.68,171.341,5.793,7.805
1750844198587.00,2025-06-25T12:36:38.587,0.69,169.817,23.11,8.232
1750844198597.00,2025-06-25T12:36:38.597,0.7,162.195,26.22,10.366
1750844198607.00,2025-06-25T12:36:38.607,0.71,148.293,20.732,12.378
1750844198617.00,2025-06-25T12:36:38.617,0.72,131.768,11.28,11.951
1750844198627.00,2025-06-25T12:36:38.627,0.73,112.317,0.305,12.012
1750844198637.00,2025-06-25T12:36:38.637,0.74,89.756,-5.854,12.134
1750844198647.00,2025-06-25T12:36:38.647,0.75,66.707,-2.012,11.341
1750844198657.00,2025-06-25T12:36:38.657,0.76,45.061,5.854,10.732
1750844198667.00,2025-06-25T12:36:38.667,0.77,24.329,8.902,11.098
1750844198677.00,2025-06-25T12:36:38.677,0.78,3.476,6.28,12.256
1750844198687.00,2025-06-25T12:36:38.687,0.79,-16.402,6.341,13.78
1750844198697.00,2025-06-25T12:36:38.697,0.8,-34.39,11.22,14.146
1750844198707.00,2025-06-25T12:36:38.707,0.81,-50.915,15.732,13.293
1750844198717.00,2025-06-25T12:36:38.717,0.82,-66.098,16.951,13.293
1750844198727.00,2025-06-25T12:36:38.727,0.83,-78.963,17.988,13.841
1750844198737.00,2025-06-25T12:36:38.737,0.84,-90.244,22.073,13.963
