epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1750845258229,2025-06-25T12:54:18.229,0.000,-0.029,0.060,1.003
1750845258239,2025-06-25T12:54:18.239,0.010,-0.028,0.059,1.014
1750845258249,2025-06-25T12:54:18.249,0.020,-0.030,0.057,1.008
1750845258259,2025-06-25T12:54:18.259,0.030,-0.030,0.060,1.009
1750845258269,2025-06-25T12:54:18.269,0.040,-0.026,0.058,1.011
1750845258279,2025-06-25T12:54:18.279,0.050,-0.029,0.059,1.013
1750845258289,2025-06-25T12:54:18.289,0.060,-0.030,0.057,1.011
1750845258299,2025-06-25T12:54:18.299,0.070,-0.033,0.058,1.010
1750845258309,2025-06-25T12:54:18.309,0.080,-0.032,0.061,1.013
1750845258319,2025-06-25T12:54:18.319,0.090,-0.029,0.065,1.011
1750845258329,2025-06-25T12:54:18.329,0.100,-0.032,0.063,1.011
1750845258339,2025-06-25T12:54:18.339,0.110,-0.032,0.061,1.012
1750845258349,2025-06-25T12:54:18.349,0.120,-0.030,0.063,1.012
1750845258359,2025-06-25T12:54:18.359,0.130,-0.025,0.065,1.016
1750845258369,2025-06-25T12:54:18.369,0.140,-0.023,0.071,1.024
1750845258379,2025-06-25T12:54:18.379,0.150,-0.030,0.073,1.018
1750845258389,2025-06-25T12:54:18.389,0.160,-0.016,0.069,1.022
1750845258399,2025-06-25T12:54:18.399,0.170,-0.022,0.068,1.020
1750845258409,2025-06-25T12:54:18.409,0.180,-0.044,0.063,1.009
1750845258419,2025-06-25T12:54:18.419,0.190,-0.053,0.059,1.007
1750845258429,2025-06-25T12:54:18.429,0.200,-0.055,0.063,1.010
1750845258439,2025-06-25T12:54:18.439,0.210,-0.057,0.066,1.004
1750845258449,2025-06-25T12:54:18.449,0.220,-0.061,0.063,1.000
1750845258459,2025-06-25T12:54:18.459,0.230,-0.053,0.063,1.001
1750845258469,2025-06-25T12:54:18.469,0.240,-0.061,0.063,1.004
1750845258479,2025-06-25T12:54:18.479,0.250,-0.076,0.061,1.006
1750845258489,2025-06-25T12:54:18.489,0.260,-0.100,0.062,1.006
1750845258499,2025-06-25T12:54:18.499,0.270,-0.111,0.064,1.001
1750845258509,2025-06-25T12:54:18.509,0.280,-0.143,0.059,0.995
1750845258519,2025-06-25T12:54:18.519,0.290,-0.111,0.055,0.997
