epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1751276291294,2025-06-30T12.38.11.294,0.000,12.073,31.768,13.232
1751276291304,2025-06-30T12.38.11.304,0.010,11.646,31.768,13.476
1751276291314,2025-06-30T12.38.11.314,0.020,12.744,28.232,13.659
1751276291324,2025-06-30T12.38.11.324,0.030,13.963,24.390,13.659
1751276291334,2025-06-30T12.38.11.334,0.040,15.183,18.354,13.902
1751276291344,2025-06-30T12.38.11.344,0.050,16.159,9.024,14.329
1751276291354,2025-06-30T12.38.11.354,0.060,16.768,0.976,14.390
1751276291364,2025-06-30T12.38.11.364,0.070,17.927,-2.805,13.963
1751276291374,2025-06-30T12.38.11.374,0.080,18.963,-1.768,14.756
1751276291384,2025-06-30T12.38.11.384,0.090,20.488,1.524,15.976
1751276291394,2025-06-30T12.38.11.394,0.100,21.829,2.988,16.585
1751276291404,2025-06-30T12.38.11.404,0.110,21.951,2.073,15.976
1751276291414,2025-06-30T12.38.11.414,0.120,21.951,1.402,14.512
1751276291424,2025-06-30T12.38.11.424,0.130,22.195,2.500,14.268
1751276291434,2025-06-30T12.38.11.434,0.140,22.073,3.293,15.000
1751276291444,2025-06-30T12.38.11.444,0.150,21.829,3.537,14.268
1751276291454,2025-06-30T12.38.11.454,0.160,21.524,3.598,13.598
1751276291464,2025-06-30T12.38.11.464,0.170,20.915,3.415,13.720
1751276291474,2025-06-30T12.38.11.474,0.180,19.939,3.049,13.293
1751276291484,2025-06-30T12.38.11.484,0.190,19.024,2.927,12.378
1751276291494,2025-06-30T12.38.11.494,0.200,18.293,3.171,12.012
1751276291504,2025-06-30T12.38.11.504,0.210,17.439,2.744,11.890
1751276291514,2025-06-30T12.38.11.514,0.220,16.646,2.195,11.707
1751276291524,2025-06-30T12.38.11.524,0.230,15.305,2.805,11.098
1751276291534,2025-06-30T12.38.11.534,0.240,14.390,3.659,9.817
1751276291544,2025-06-30T12.38.11.544,0.250,13.232,2.927,9.085
1751276291554,2025-06-30T12.38.11.554,0.260,11.951,0.671,8.720
1751276291564,2025-06-30T12.38.11.564,0.270,10.549,-0.854,8.110
1751276291574,2025-06-30T12.38.11.574,0.280,9.268,-1.159,6.768
1751276291584,2025-06-30T12.38.11.584,0.290,8.354,-1.402,5.976
1751276291594,2025-06-30T12.38.11.594,0.300,7.317,-2.256,5.549
1751276291604,2025-06-30T12.38.11.604,0.310,6.585,-3.110,5.122
1751276291614,2025-06-30T12.38.11.614,0.320,6.220,-4.451,4.817
1751276291624,2025-06-30T12.38.11.624,0.330,5.732,-5.427,4.512
1751276291634,2025-06-30T12.38.11.634,0.340,5.488,-5.305,4.512
1751276291644,2025-06-30T12.38.11.644,0.350,5.549,-4.634,4.878
1751276291654,2025-06-30T12.38.11.654,0.360,5.549,-4.268,4.878
1751276291664,2025-06-30T12.38.11.664,0.370,5.366,-4.512,4.207
1751276291674,2025-06-30T12.38.11.674,0.380,5.061,-4.085,3.476
1751276291684,2025-06-30T12.38.11.684,0.390,5.000,-3.476,2.744
1751276291694,2025-06-30T12.38.11.694,0.400,4.573,-3.049,1.829
1751276291704,2025-06-30T12.38.11.704,0.410,4.085,-2.256,0.854
1751276291714,2025-06-30T12.38.11.714,0.420,3.963,-1.646,-0.061
1751276291724,2025-06-30T12.38.11.724,0.430,3.659,-1.890,-0.854
1751276291734,2025-06-30T12.38.11.734,0.440,3.293,-2.378,-1.646
1751276291744,2025-06-30T12.38.11.744,0.450,3.049,-2.500,-2.256
1751276291754,2025-06-30T12.38.11.754,0.460,3.049,-2.683,-2.683
1751276291764,2025-06-30T12.38.11.764,0.470,2.988,-3.720,-2.683
1751276291774,2025-06-30T12.38.11.774,0.480,2.317,-4.878,-3.049
1751276291784,2025-06-30T12.38.11.784,0.490,1.951,-5.183,-4.146
1751276291794,2025-06-30T12.38.11.794,0.500,1.646,-4.695,-4.573
1751276291804,2025-06-30T12.38.11.804,0.510,1.098,-3.780,-4.329
1751276291814,2025-06-30T12.38.11.814,0.520,0.549,-2.378,-4.390
1751276291824,2025-06-30T12.38.11.824,0.530,-0.061,-1.098,-4.878
1751276291834,2025-06-30T12.38.11.834,0.540,-0.610,-0.793,-5.610
1751276291844,2025-06-30T12.38.11.844,0.550,-1.280,-1.220,-6.341
1751276291854,2025-06-30T12.38.11.854,0.560,-1.829,-1.098,-6.646
1751276291864,2025-06-30T12.38.11.864,0.570,-2.134,-0.732,-6.768
1751276291874,2025-06-30T12.38.11.874,0.580,-2.561,-0.854,-7.073
1751276291884,2025-06-30T12.38.11.884,0.590,-3.049,-1.585,-7.622
1751276291894,2025-06-30T12.38.11.894,0.600,-3.415,-2.134,-8.415
1751276291904,2025-06-30T12.38.11.904,0.610,-3.841,-1.646,-9.451
1751276291914,2025-06-30T12.38.11.914,0.620,-4.329,-0.183,-10.183
1751276291924,2025-06-30T12.38.11.924,0.630,-4.817,1.768,-10.366
1751276291934,2025-06-30T12.38.11.934,0.640,-5.427,3.293,-10.732
1751276291944,2025-06-30T12.38.11.944,0.650,-6.220,3.110,-11.585
1751276291954,2025-06-30T12.38.11.954,0.660,-7.256,1.585,-12.256
1751276291964,2025-06-30T12.38.11.964,0.670,-7.927,0.122,-12.988
1751276291974,2025-06-30T12.38.11.974,0.680,-8.476,-1.463,-13.110
1751276291984,2025-06-30T12.38.11.984,0.690,-8.902,-2.500,-13.415
1751276291994,2025-06-30T12.38.11.994,0.700,-8.841,-2.500,-14.024
1751276292004,2025-06-30T12.38.12.004,0.710,-8.293,-2.683,-14.024
1751276292014,2025-06-30T12.38.12.014,0.720,-7.744,-3.415,-14.024
1751276292024,2025-06-30T12.38.12.024,0.730,-7.195,-4.268,-14.390
1751276292034,2025-06-30T12.38.12.034,0.740,-6.341,-5.793,-14.695
1751276292044,2025-06-30T12.38.12.044,0.750,-5.854,-8.780,-14.817
1751276292054,2025-06-30T12.38.12.054,0.760,-5.610,-11.646,-14.878
1751276292064,2025-06-30T12.38.12.064,0.770,-4.634,-14.329,-15.488
1751276292074,2025-06-30T12.38.12.074,0.780,-3.963,-18.598,-15.549
1751276292084,2025-06-30T12.38.12.084,0.790,-3.415,-24.268,-16.098
1751276292094,2025-06-30T12.38.12.094,0.800,-2.988,-30.000,-17.561
1751276292104,2025-06-30T12.38.12.104,0.810,-2.805,-34.024,-18.720
1751276292114,2025-06-30T12.38.12.114,0.820,-2.805,-35.488,-19.939
1751276292124,2025-06-30T12.38.12.124,0.830,-3.841,-32.317,-20.793
1751276292134,2025-06-30T12.38.12.134,0.840,-4.451,-24.207,-21.463
1751276292144,2025-06-30T12.38.12.144,0.850,-5.488,-12.805,-22.012
1751276292154,2025-06-30T12.38.12.154,0.860,-6.646,-1.768,-22.744
1751276292164,2025-06-30T12.38.12.164,0.870,-7.683,5.732,-23.110
