epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1751275732600,2025-06-30T12.28.52.600,0.000,0.259,-0.048,0.981
1751275732610,2025-06-30T12.28.52.610,0.010,0.271,-0.046,0.994
1751275732620,2025-06-30T12.28.52.620,0.020,0.271,-0.043,0.993
1751275732630,2025-06-30T12.28.52.630,0.030,0.279,-0.041,0.991
1751275732640,2025-06-30T12.28.52.640,0.040,0.313,-0.033,0.990
1751275732650,2025-06-30T12.28.52.650,0.050,0.330,-0.043,0.996
1751275732660,2025-06-30T12.28.52.660,0.060,0.327,-0.058,1.003
1751275732670,2025-06-30T12.28.52.670,0.070,0.315,-0.062,1.009
1751275732680,2025-06-30T12.28.52.680,0.080,0.301,-0.066,1.010
1751275732690,2025-06-30T12.28.52.690,0.090,0.301,-0.066,1.004
1751275732700,2025-06-30T12.28.52.700,0.100,0.320,-0.058,0.994
1751275732710,2025-06-30T12.28.52.710,0.110,0.341,-0.051,0.984
1751275732720,2025-06-30T12.28.52.720,0.120,0.353,-0.049,0.980
1751275732730,2025-06-30T12.28.52.730,0.130,0.347,-0.062,0.984
1751275732740,2025-06-30T12.28.52.740,0.140,0.332,-0.070,0.984
1751275732750,2025-06-30T12.28.52.750,0.150,0.324,-0.075,0.989
1751275732760,2025-06-30T12.28.52.760,0.160,0.324,-0.075,0.994
1751275732770,2025-06-30T12.28.52.770,0.170,0.331,-0.071,0.989
1751275732780,2025-06-30T12.28.52.780,0.180,0.339,-0.065,0.976
1751275732790,2025-06-30T12.28.52.790,0.190,0.348,-0.063,0.967
1751275732800,2025-06-30T12.28.52.800,0.200,0.350,-0.069,0.966
1751275732810,2025-06-30T12.28.52.810,0.210,0.351,-0.076,0.972
1751275732820,2025-06-30T12.28.52.820,0.220,0.364,-0.079,0.979
1751275732830,2025-06-30T12.28.52.830,0.230,0.383,-0.076,0.978
1751275732840,2025-06-30T12.28.52.840,0.240,0.378,-0.076,0.969
1751275732850,2025-06-30T12.28.52.850,0.250,0.359,-0.087,0.968
1751275732860,2025-06-30T12.28.52.860,0.260,0.353,-0.097,0.966
1751275732870,2025-06-30T12.28.52.870,0.270,0.364,-0.095,0.960
