epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1750844321635.00,2025-06-25T12:38:41.635,0,-0.151,0.066,1.037
1750844321645.00,2025-06-25T12:38:41.645,0.01,-0.188,0.06,1.023
1750844321655.00,2025-06-25T12:38:41.655,0.02,-0.2,0.068,1
1750844321665.00,2025-06-25T12:38:41.665,0.03,-0.207,0.079,0.992
1750844321675.00,2025-06-25T12:38:41.675,0.04,-0.186,0.076,0.993
1750844321685.00,2025-06-25T12:38:41.685,0.05,-0.201,0.071,0.974
1750844321695.00,2025-06-25T12:38:41.695,0.06,-0.229,0.072,0.957
1750844321705.00,2025-06-25T12:38:41.705,0.07,-0.222,0.074,0.956
1750844321715.00,2025-06-25T12:38:41.715,0.08,-0.198,0.08,0.967
1750844321725.00,2025-06-25T12:38:41.725,0.09,-0.18,0.075,0.968
1750844321735.00,2025-06-25T12:38:41.735,0.1,-0.171,0.066,0.963
1750844321745.00,2025-06-25T12:38:41.745,0.11,-0.173,0.063,0.955
1750844321755.00,2025-06-25T12:38:41.755,0.12,-0.18,0.062,0.946
1750844321765.00,2025-06-25T12:38:41.765,0.13,-0.149,0.07,0.963
1750844321775.00,2025-06-25T12:38:41.775,0.14,-0.114,0.078,0.973
1750844321785.00,2025-06-25T12:38:41.785,0.15,-0.08,0.085,0.987
1750844321795.00,2025-06-25T12:38:41.795,0.16,-0.045,0.098,1.013
1750844321805.00,2025-06-25T12:38:41.805,0.17,-0.02,0.091,1.041
1750844321815.00,2025-06-25T12:38:41.815,0.18,0.024,0.076,1.07
1750844321825.00,2025-06-25T12:38:41.825,0.19,0.069,0.067,1.078
1750844321835.00,2025-06-25T12:38:41.835,0.2,0.088,0.064,1.077
1750844321845.00,2025-06-25T12:38:41.845,0.21,0.09,0.069,1.076
1750844321855.00,2025-06-25T12:38:41.855,0.22,0.109,0.078,1.077
1750844321865.00,2025-06-25T12:38:41.865,0.23,0.14,0.088,1.083
1750844321875.00,2025-06-25T12:38:41.875,0.24,0.142,0.098,1.081
1750844321885.00,2025-06-25T12:38:41.885,0.25,0.139,0.099,1.078
1750844321895.00,2025-06-25T12:38:41.895,0.26,0.158,0.099,1.068
1750844321905.00,2025-06-25T12:38:41.905,0.27,0.155,0.106,1.063
1750844321915.00,2025-06-25T12:38:41.915,0.28,0.139,0.117,1.05
1750844321925.00,2025-06-25T12:38:41.925,0.29,0.141,0.148,1.031
1750844321935.00,2025-06-25T12:38:41.935,0.3,0.116,0.194,1.021
1750844321945.00,2025-06-25T12:38:41.945,0.31,0.08,0.223,0.997
1750844321955.00,2025-06-25T12:38:41.955,0.32,0.023,0.257,0.957
1750844321965.00,2025-06-25T12:38:41.965,0.33,-0.049,0.29,0.92
1750844321975.00,2025-06-25T12:38:41.975,0.34,-0.101,0.317,0.917
1750844321985.00,2025-06-25T12:38:41.985,0.35,-0.15,0.348,0.93
1750844321995.00,2025-06-25T12:38:41.995,0.36,-0.209,0.387,0.952
1750844322005.00,2025-06-25T12:38:42.005,0.37,-0.274,0.42,0.961
1750844322015.00,2025-06-25T12:38:42.015,0.38,-0.351,0.448,0.95
1750844322025.00,2025-06-25T12:38:42.025,0.39,-0.431,0.47,0.938
1750844322035.00,2025-06-25T12:38:42.035,0.4,-0.56,0.484,0.912
1750844322045.00,2025-06-25T12:38:42.045,0.41,-0.689,0.498,0.91
1750844322055.00,2025-06-25T12:38:42.055,0.42,-0.764,0.504,0.929
1750844322065.00,2025-06-25T12:38:42.065,0.43,-0.828,0.502,0.951
1750844322075.00,2025-06-25T12:38:42.075,0.44,-0.876,0.497,0.936
1750844322085.00,2025-06-25T12:38:42.085,0.45,-0.96,0.492,0.893
1750844322095.00,2025-06-25T12:38:42.095,0.46,-1.095,0.465,0.855
1750844322105.00,2025-06-25T12:38:42.105,0.47,-1.141,0.41,0.848
1750844322115.00,2025-06-25T12:38:42.115,0.48,-1.111,0.396,0.856
1750844322125.00,2025-06-25T12:38:42.125,0.49,-1.103,0.408,0.86
1750844322135.00,2025-06-25T12:38:42.135,0.5,-1.082,0.404,0.863
1750844322145.00,2025-06-25T12:38:42.145,0.51,-1.078,0.399,0.829
1750844322155.00,2025-06-25T12:38:42.155,0.52,-1.108,0.386,0.791
1750844322165.00,2025-06-25T12:38:42.165,0.53,-1.061,0.354,0.774
1750844322175.00,2025-06-25T12:38:42.175,0.54,-1.02,0.359,0.772
1750844322185.00,2025-06-25T12:38:42.185,0.55,-1.024,0.373,0.761
1750844322195.00,2025-06-25T12:38:42.195,0.56,-0.983,0.367,0.747
1750844322205.00,2025-06-25T12:38:42.205,0.57,-0.922,0.362,0.723
1750844322215.00,2025-06-25T12:38:42.215,0.58,-0.898,0.344,0.701
1750844322225.00,2025-06-25T12:38:42.225,0.59,-0.841,0.319,0.695
1750844322235.00,2025-06-25T12:38:42.235,0.6,-0.805,0.328,0.688
1750844322245.00,2025-06-25T12:38:42.245,0.61,-0.771,0.324,0.684
1750844322255.00,2025-06-25T12:38:42.255,0.62,-0.732,0.316,0.693
1750844322265.00,2025-06-25T12:38:42.265,0.63,-0.673,0.312,0.711
1750844322275.00,2025-06-25T12:38:42.275,0.64,-0.583,0.314,0.731
1750844322285.00,2025-06-25T12:38:42.285,0.65,-0.508,0.319,0.76
1750844322295.00,2025-06-25T12:38:42.295,0.66,-0.462,0.316,0.76
1750844322305.00,2025-06-25T12:38:42.305,0.67,-0.414,0.318,0.759
