epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1750844590874,2025-06-25T12:43:10.874,0.000,2.622,-0.854,-4.817
1750844590884,2025-06-25T12:43:10.884,0.010,3.232,0.427,-5.183
1750844590894,2025-06-25T12:43:10.894,0.020,4.024,4.939,-3.049
1750844590904,2025-06-25T12:43:10.904,0.030,4.573,7.622,0.976
1750844590914,2025-06-25T12:43:10.914,0.040,3.963,7.683,5.488
1750844590924,2025-06-25T12:43:10.924,0.050,2.317,6.524,11.463
1750844590934,2025-06-25T12:43:10.934,0.060,-0.305,5.976,20.000
1750844590944,2025-06-25T12:43:10.944,0.070,-3.232,5.854,28.415
1750844590954,2025-06-25T12:43:10.954,0.080,-6.463,6.768,38.293
1750844590964,2025-06-25T12:43:10.964,0.090,-10.183,9.390,51.463
1750844590974,2025-06-25T12:43:10.974,0.100,-14.329,10.488,65.610
1750844590984,2025-06-25T12:43:10.984,0.110,-19.756,7.805,78.354
1750844590994,2025-06-25T12:43:10.994,0.120,-24.634,3.841,89.573
1750844591004,2025-06-25T12:43:11.004,0.130,-28.171,0.305,100.000
1750844591014,2025-06-25T12:43:11.014,0.140,-30.427,-1.220,108.354
1750844591024,2025-06-25T12:43:11.024,0.150,-32.317,-1.280,115.061
1750844591034,2025-06-25T12:43:11.034,0.160,-33.963,-2.134,121.280
1750844591044,2025-06-25T12:43:11.044,0.170,-35.610,-3.171,127.317
1750844591054,2025-06-25T12:43:11.054,0.180,-37.012,-3.598,132.927
1750844591064,2025-06-25T12:43:11.064,0.190,-37.927,-3.232,137.988
1750844591074,2025-06-25T12:43:11.074,0.200,-38.659,-3.049,142.744
1750844591084,2025-06-25T12:43:11.084,0.210,-39.878,-5.793,146.402
1750844591094,2025-06-25T12:43:11.094,0.220,-41.829,-12.622,148.598
1750844591104,2025-06-25T12:43:11.104,0.230,-43.232,-20.061,150.000
1750844591114,2025-06-25T12:43:11.114,0.240,-44.085,-24.024,149.756
1750844591124,2025-06-25T12:43:11.124,0.250,-43.476,-23.780,147.500
1750844591134,2025-06-25T12:43:11.134,0.260,-41.829,-19.817,143.963
1750844591144,2025-06-25T12:43:11.144,0.270,-39.573,-12.988,139.207
1750844591154,2025-06-25T12:43:11.154,0.280,-36.220,-3.659,132.439
1750844591164,2025-06-25T12:43:11.164,0.290,-32.378,5.915,122.134
1750844591174,2025-06-25T12:43:11.174,0.300,-28.780,12.866,108.841
1750844591184,2025-06-25T12:43:11.184,0.310,-24.207,16.768,93.720
1750844591194,2025-06-25T12:43:11.194,0.320,-19.756,21.951,75.427
1750844591204,2025-06-25T12:43:11.204,0.330,-15.305,28.598,55.732
1750844591214,2025-06-25T12:43:11.214,0.340,-10.915,31.890,37.561
1750844591224,2025-06-25T12:43:11.224,0.350,-8.049,28.720,20.793
1750844591234,2025-06-25T12:43:11.234,0.360,-5.549,18.476,5.610
1750844591244,2025-06-25T12:43:11.244,0.370,-3.780,7.134,-7.073
1750844591254,2025-06-25T12:43:11.254,0.380,-2.988,-0.854,-18.049
1750844591264,2025-06-25T12:43:11.264,0.390,-1.768,-5.305,-26.890
1750844591274,2025-06-25T12:43:11.274,0.400,0.000,-6.402,-34.024
1750844591284,2025-06-25T12:43:11.284,0.410,1.646,-4.939,-41.890
1750844591294,2025-06-25T12:43:11.294,0.420,4.024,-3.171,-51.159
1750844591304,2025-06-25T12:43:11.304,0.430,7.073,-0.610,-62.317
1750844591314,2025-06-25T12:43:11.314,0.440,10.732,3.049,-74.634
1750844591324,2025-06-25T12:43:11.324,0.450,14.390,7.195,-86.220
1750844591334,2025-06-25T12:43:11.334,0.460,18.049,11.707,-95.976
1750844591344,2025-06-25T12:43:11.344,0.470,21.220,14.939,-104.390
1750844591354,2025-06-25T12:43:11.354,0.480,23.232,13.659,-112.012
1750844591364,2025-06-25T12:43:11.364,0.490,25.122,8.598,-119.390
1750844591374,2025-06-25T12:43:11.374,0.500,26.890,2.866,-126.524
1750844591384,2025-06-25T12:43:11.384,0.510,28.049,-0.305,-132.927
1750844591394,2025-06-25T12:43:11.394,0.520,30.000,1.098,-138.354
1750844591404,2025-06-25T12:43:11.404,0.530,32.683,6.220,-142.805
1750844591414,2025-06-25T12:43:11.414,0.540,35.061,11.646,-145.488
1750844591424,2025-06-25T12:43:11.424,0.550,37.683,14.817,-147.927
1750844591434,2025-06-25T12:43:11.434,0.560,40.183,16.890,-150.610
1750844591444,2025-06-25T12:43:11.444,0.570,43.293,20.671,-152.866
1750844591454,2025-06-25T12:43:11.454,0.580,46.829,27.012,-154.390
1750844591464,2025-06-25T12:43:11.464,0.590,50.000,34.756,-154.207
1750844591474,2025-06-25T12:43:11.474,0.600,51.280,41.280,-149.634
1750844591484,2025-06-25T12:43:11.484,0.610,49.817,43.537,-138.476
1750844591494,2025-06-25T12:43:11.494,0.620,45.244,41.037,-120.915
1750844591504,2025-06-25T12:43:11.504,0.630,39.390,35.976,-98.963
1750844591514,2025-06-25T12:43:11.514,0.640,32.500,30.854,-75.000
1750844591524,2025-06-25T12:43:11.524,0.650,25.671,25.122,-52.012
1750844591534,2025-06-25T12:43:11.534,0.660,19.085,17.256,-33.110
1750844591544,2025-06-25T12:43:11.544,0.670,12.195,8.171,-19.939
1750844591554,2025-06-25T12:43:11.554,0.680,6.890,0.000,-11.951
1750844591564,2025-06-25T12:43:11.564,0.690,3.476,-7.256,-7.744
1750844591574,2025-06-25T12:43:11.574,0.700,0.549,-11.951,-6.037
1750844591584,2025-06-25T12:43:11.584,0.710,-1.280,-14.268,-5.183
1750844591594,2025-06-25T12:43:11.594,0.720,-2.012,-14.024,-3.720
1750844591604,2025-06-25T12:43:11.604,0.730,-2.012,-12.317,-1.524
1750844591614,2025-06-25T12:43:11.614,0.740,-1.890,-11.159,0.732
