epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1751288607269,2025-06-30T16:03:27.269,0.000,-0.591,0.113,0.955
1751288607279,2025-06-30T16:03:27.279,0.010,-0.559,0.115,0.958
1751288607289,2025-06-30T16:03:27.289,0.020,-0.532,0.114,0.950
1751288607299,2025-06-30T16:03:27.299,0.030,-0.511,0.108,0.938
1751288607309,2025-06-30T16:03:27.309,0.040,-0.487,0.106,0.936
1751288607319,2025-06-30T16:03:27.319,0.050,-0.452,0.098,0.938
1751288607329,2025-06-30T16:03:27.329,0.060,-0.412,0.088,0.940
1751288607339,2025-06-30T16:03:27.339,0.070,-0.373,0.094,0.931
1751288607349,2025-06-30T16:03:27.349,0.080,-0.334,0.093,0.923
1751288607359,2025-06-30T16:03:27.359,0.090,-0.311,0.095,0.920
1751288607369,2025-06-30T16:03:27.369,0.100,-0.294,0.101,0.931
1751288607379,2025-06-30T16:03:27.379,0.110,-0.251,0.090,0.953
1751288607389,2025-06-30T16:03:27.389,0.120,-0.201,0.082,0.970
1751288607399,2025-06-30T16:03:27.399,0.130,-0.179,0.080,0.963
1751288607409,2025-06-30T16:03:27.409,0.140,-0.180,0.084,0.949
1751288607419,2025-06-30T16:03:27.419,0.150,-0.162,0.089,0.950
1751288607429,2025-06-30T16:03:27.429,0.160,-0.123,0.095,0.941
1751288607439,2025-06-30T16:03:27.439,0.170,-0.096,0.100,0.934
1751288607449,2025-06-30T16:03:27.449,0.180,-0.049,0.094,0.923
1751288607459,2025-06-30T16:03:27.459,0.190,0.023,0.085,0.936
1751288607469,2025-06-30T16:03:27.469,0.200,0.094,0.086,0.950
1751288607479,2025-06-30T16:03:27.479,0.210,0.124,0.086,0.954
1751288607489,2025-06-30T16:03:27.489,0.220,0.152,0.063,0.967
1751288607499,2025-06-30T16:03:27.499,0.230,0.207,0.023,0.996
1751288607509,2025-06-30T16:03:27.509,0.240,0.259,-0.008,1.037
1751288607519,2025-06-30T16:03:27.519,0.250,0.344,-0.041,1.078
1751288607529,2025-06-30T16:03:27.529,0.260,0.395,-0.072,1.113
1751288607539,2025-06-30T16:03:27.539,0.270,0.357,-0.098,1.146
1751288607549,2025-06-30T16:03:27.549,0.280,0.280,-0.122,1.163
1751288607559,2025-06-30T16:03:27.559,0.290,0.246,-0.132,1.181
1751288607569,2025-06-30T16:03:27.569,0.300,0.242,-0.129,1.193
1751288607579,2025-06-30T16:03:27.579,0.310,0.256,-0.133,1.228
1751288607589,2025-06-30T16:03:27.589,0.320,0.329,-0.146,1.269
1751288607599,2025-06-30T16:03:27.599,0.330,0.440,-0.146,1.311
1751288607609,2025-06-30T16:03:27.609,0.340,0.527,-0.140,1.348
1751288607619,2025-06-30T16:03:27.619,0.350,0.581,-0.140,1.380
1751288607629,2025-06-30T16:03:27.629,0.360,0.580,-0.149,1.407
1751288607639,2025-06-30T16:03:27.639,0.370,0.560,-0.152,1.426
1751288607649,2025-06-30T16:03:27.649,0.380,0.575,-0.131,1.446
1751288607659,2025-06-30T16:03:27.659,0.390,0.591,-0.087,1.446
1751288607669,2025-06-30T16:03:27.669,0.400,0.588,-0.040,1.398
1751288607679,2025-06-30T16:03:27.679,0.410,0.563,0.011,1.319
1751288607689,2025-06-30T16:03:27.689,0.420,0.536,0.078,1.215
1751288607699,2025-06-30T16:03:27.699,0.430,0.529,0.155,1.127
1751288607709,2025-06-30T16:03:27.709,0.440,0.549,0.225,1.059
1751288607719,2025-06-30T16:03:27.719,0.450,0.543,0.294,1.016
1751288607729,2025-06-30T16:03:27.729,0.460,0.535,0.343,1.006
1751288607739,2025-06-30T16:03:27.739,0.470,0.536,0.376,1.022
1751288607749,2025-06-30T16:03:27.749,0.480,0.503,0.403,1.030
1751288607759,2025-06-30T16:03:27.759,0.490,0.438,0.409,1.027
1751288607769,2025-06-30T16:03:27.769,0.500,0.368,0.389,1.015
1751288607779,2025-06-30T16:03:27.779,0.510,0.290,0.385,0.999
1751288607789,2025-06-30T16:03:27.789,0.520,0.188,0.405,1.004
1751288607799,2025-06-30T16:03:27.799,0.530,0.078,0.408,1.009
1751288607809,2025-06-30T16:03:27.809,0.540,-0.006,0.407,1.021
1751288607819,2025-06-30T16:03:27.819,0.550,-0.083,0.401,1.037
1751288607829,2025-06-30T16:03:27.829,0.560,-0.160,0.387,1.032
1751288607839,2025-06-30T16:03:27.839,0.570,-0.244,0.378,1.010
1751288607849,2025-06-30T16:03:27.849,0.580,-0.340,0.372,0.989
1751288607859,2025-06-30T16:03:27.859,0.590,-0.442,0.357,0.963
1751288607869,2025-06-30T16:03:27.869,0.600,-0.524,0.345,0.920
1751288607879,2025-06-30T16:03:27.879,0.610,-0.574,0.332,0.883
1751288607889,2025-06-30T16:03:27.889,0.620,-0.593,0.325,0.863
1751288607899,2025-06-30T16:03:27.899,0.630,-0.604,0.315,0.840
1751288607909,2025-06-30T16:03:27.909,0.640,-0.605,0.294,0.818
1751288607919,2025-06-30T16:03:27.919,0.650,-0.566,0.253,0.796
1751288607929,2025-06-30T16:03:27.929,0.660,-0.519,0.226,0.784
1751288607939,2025-06-30T16:03:27.939,0.670,-0.512,0.214,0.766
1751288607949,2025-06-30T16:03:27.949,0.680,-0.507,0.193,0.749
1751288607959,2025-06-30T16:03:27.959,0.690,-0.469,0.169,0.743
1751288607969,2025-06-30T16:03:27.969,0.700,-0.407,0.156,0.762
1751288607979,2025-06-30T16:03:27.979,0.710,-0.369,0.139,0.788
1751288607989,2025-06-30T16:03:27.989,0.720,-0.361,0.116,0.801
1751288607999,2025-06-30T16:03:27.999,0.730,-0.359,0.095,0.816
1751288608009,2025-06-30T16:03:28.009,0.740,-0.348,0.080,0.832
1751288608019,2025-06-30T16:03:28.019,0.750,-0.329,0.073,0.835
1751288608029,2025-06-30T16:03:28.029,0.760,-0.338,0.079,0.837
1751288608039,2025-06-30T16:03:28.039,0.770,-0.346,0.094,0.841
1751288608049,2025-06-30T16:03:28.049,0.780,-0.361,0.107,0.858
1751288608059,2025-06-30T16:03:28.059,0.790,-0.354,0.101,0.889
1751288608069,2025-06-30T16:03:28.069,0.800,-0.330,0.086,0.930
1751288608079,2025-06-30T16:03:28.079,0.810,-0.298,0.072,0.965
1751288608089,2025-06-30T16:03:28.089,0.820,-0.276,0.063,0.995
1751288608099,2025-06-30T16:03:28.099,0.830,-0.271,0.059,1.003
1751288608109,2025-06-30T16:03:28.109,0.840,-0.301,0.052,1.010
1751288608119,2025-06-30T16:03:28.119,0.850,-0.348,0.031,1.028
1751288608129,2025-06-30T16:03:28.129,0.860,-0.386,0.018,1.035
1751288608139,2025-06-30T16:03:28.139,0.870,-0.406,0.031,1.013
1751288608149,2025-06-30T16:03:28.149,0.880,-0.416,0.048,1.013
1751288608159,2025-06-30T16:03:28.159,0.890,-0.423,0.027,1.062
1751288608169,2025-06-30T16:03:28.169,0.900,-0.375,-0.014,1.146
1751288608179,2025-06-30T16:03:28.179,0.910,-0.296,-0.036,1.211
1751288608189,2025-06-30T16:03:28.189,0.920,-0.268,-0.011,1.241
1751288608199,2025-06-30T16:03:28.199,0.930,-0.287,0.032,1.249
1751288608209,2025-06-30T16:03:28.209,0.940,-0.356,0.070,1.242
1751288608219,2025-06-30T16:03:28.219,0.950,-0.434,0.104,1.212
1751288608229,2025-06-30T16:03:28.229,0.960,-0.459,0.156,1.167
1751288608239,2025-06-30T16:03:28.239,0.970,-0.457,0.225,1.129
1751288608249,2025-06-30T16:03:28.249,0.980,-0.454,0.273,1.092
1751288608259,2025-06-30T16:03:28.259,0.990,-0.445,0.297,1.023
1751288608269,2025-06-30T16:03:28.269,1.000,-0.425,0.307,0.955
1751288608279,2025-06-30T16:03:28.279,1.010,-0.396,0.306,0.888
1751288608289,2025-06-30T16:03:28.289,1.020,-0.352,0.301,0.829
1751288608299,2025-06-30T16:03:28.299,1.030,-0.344,0.299,0.774
1751288608309,2025-06-30T16:03:28.309,1.040,-0.378,0.296,0.724
1751288608319,2025-06-30T16:03:28.319,1.050,-0.382,0.280,0.691
1751288608329,2025-06-30T16:03:28.329,1.060,-0.396,0.264,0.673
1751288608339,2025-06-30T16:03:28.339,1.070,-0.449,0.261,0.664
1751288608349,2025-06-30T16:03:28.349,1.080,-0.464,0.237,0.695
1751288608359,2025-06-30T16:03:28.359,1.090,-0.472,0.215,0.770
1751288608369,2025-06-30T16:03:28.369,1.100,-0.490,0.194,0.842
1751288608379,2025-06-30T16:03:28.379,1.110,-0.493,0.181,0.896
1751288608389,2025-06-30T16:03:28.389,1.120,-0.534,0.174,0.940
1751288608399,2025-06-30T16:03:28.399,1.130,-0.602,0.160,0.978
1751288608409,2025-06-30T16:03:28.409,1.140,-0.665,0.147,1.010
1751288608419,2025-06-30T16:03:28.419,1.150,-0.739,0.140,1.006
1751288608429,2025-06-30T16:03:28.429,1.160,-0.804,0.141,0.980
1751288608439,2025-06-30T16:03:28.439,1.170,-0.844,0.146,0.946
1751288608449,2025-06-30T16:03:28.449,1.180,-0.860,0.154,0.924
1751288608459,2025-06-30T16:03:28.459,1.190,-0.820,0.156,0.921
1751288608469,2025-06-30T16:03:28.469,1.200,-0.735,0.159,0.917
1751288608479,2025-06-30T16:03:28.479,1.210,-0.672,0.167,0.909
1751288608489,2025-06-30T16:03:28.489,1.220,-0.592,0.172,0.901
1751288608499,2025-06-30T16:03:28.499,1.230,-0.501,0.178,0.891
1751288608509,2025-06-30T16:03:28.509,1.240,-0.438,0.196,0.890
1751288608519,2025-06-30T16:03:28.519,1.250,-0.360,0.215,0.896
1751288608529,2025-06-30T16:03:28.529,1.260,-0.289,0.220,0.876
1751288608539,2025-06-30T16:03:28.539,1.270,-0.245,0.222,0.851
1751288608549,2025-06-30T16:03:28.549,1.280,-0.183,0.214,0.841
1751288608559,2025-06-30T16:03:28.559,1.290,-0.138,0.203,0.849
1751288608569,2025-06-30T16:03:28.569,1.300,-0.076,0.201,0.878
1751288608579,2025-06-30T16:03:28.579,1.310,0.006,0.197,0.908
1751288608589,2025-06-30T16:03:28.589,1.320,0.076,0.170,0.935
1751288608599,2025-06-30T16:03:28.599,1.330,0.134,0.134,0.973
1751288608609,2025-06-30T16:03:28.609,1.340,0.200,0.097,1.026
1751288608619,2025-06-30T16:03:28.619,1.350,0.250,0.055,1.081
1751288608629,2025-06-30T16:03:28.629,1.360,0.270,0.000,1.104
1751288608639,2025-06-30T16:03:28.639,1.370,0.274,-0.032,1.107
1751288608649,2025-06-30T16:03:28.649,1.380,0.275,-0.035,1.125
1751288608659,2025-06-30T16:03:28.659,1.390,0.283,-0.020,1.146
1751288608669,2025-06-30T16:03:28.669,1.400,0.268,-0.006,1.158
1751288608679,2025-06-30T16:03:28.679,1.410,0.229,-0.018,1.176
1751288608689,2025-06-30T16:03:28.689,1.420,0.220,-0.046,1.182
1751288608699,2025-06-30T16:03:28.699,1.430,0.269,-0.060,1.196
1751288608709,2025-06-30T16:03:28.709,1.440,0.314,-0.065,1.199
1751288608719,2025-06-30T16:03:28.719,1.450,0.350,-0.081,1.203
1751288608729,2025-06-30T16:03:28.729,1.460,0.385,-0.102,1.240
1751288608739,2025-06-30T16:03:28.739,1.470,0.423,-0.125,1.285
