epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1751275555056,2025-06-30T12.25.55.056,0.000,-0.268,-0.042,1.056
1751275555066,2025-06-30T12.25.55.066,0.010,-0.292,-0.049,1.059
1751275555076,2025-06-30T12.25.55.076,0.020,-0.300,-0.048,1.038
1751275555086,2025-06-30T12.25.55.086,0.030,-0.302,-0.052,1.021
1751275555096,2025-06-30T12.25.55.096,0.040,-0.291,-0.049,1.018
1751275555106,2025-06-30T12.25.55.106,0.050,-0.279,-0.051,1.021
1751275555116,2025-06-30T12.25.55.116,0.060,-0.262,-0.061,1.021
1751275555126,2025-06-30T12.25.55.126,0.070,-0.253,-0.059,1.014
1751275555136,2025-06-30T12.25.55.136,0.080,-0.251,-0.057,1.003
1751275555146,2025-06-30T12.25.55.146,0.090,-0.241,-0.053,0.998
1751275555156,2025-06-30T12.25.55.156,0.100,-0.225,-0.046,0.985
1751275555166,2025-06-30T12.25.55.166,0.110,-0.223,-0.042,0.970
1751275555176,2025-06-30T12.25.55.176,0.120,-0.230,-0.044,0.973
1751275555186,2025-06-30T12.25.55.186,0.130,-0.193,-0.050,0.986
1751275555196,2025-06-30T12.25.55.196,0.140,-0.164,-0.059,0.996
1751275555206,2025-06-30T12.25.55.206,0.150,-0.156,-0.062,0.994
1751275555216,2025-06-30T12.25.55.216,0.160,-0.147,-0.058,0.994
1751275555226,2025-06-30T12.25.55.226,0.170,-0.129,-0.061,0.997
1751275555236,2025-06-30T12.25.55.236,0.180,-0.118,-0.066,1.000
1751275555246,2025-06-30T12.25.55.246,0.190,-0.124,-0.068,0.999
1751275555256,2025-06-30T12.25.55.256,0.200,-0.131,-0.072,0.996
1751275555266,2025-06-30T12.25.55.266,0.210,-0.138,-0.075,0.989
1751275555276,2025-06-30T12.25.55.276,0.220,-0.119,-0.069,0.979
1751275555286,2025-06-30T12.25.55.286,0.230,-0.081,-0.059,0.970
1751275555296,2025-06-30T12.25.55.296,0.240,-0.055,-0.062,0.972
1751275555306,2025-06-30T12.25.55.306,0.250,-0.044,-0.073,0.974
1751275555316,2025-06-30T12.25.55.316,0.260,-0.049,-0.080,0.971
1751275555326,2025-06-30T12.25.55.326,0.270,-0.051,-0.090,0.975
1751275555336,2025-06-30T12.25.55.336,0.280,-0.046,-0.095,0.991
1751275555346,2025-06-30T12.25.55.346,0.290,-0.032,-0.085,1.009
1751275555356,2025-06-30T12.25.55.356,0.300,-0.031,-0.079,1.014
1751275555366,2025-06-30T12.25.55.366,0.310,-0.043,-0.081,1.009
1751275555376,2025-06-30T12.25.55.376,0.320,-0.038,-0.080,1.007
1751275555386,2025-06-30T12.25.55.386,0.330,-0.012,-0.080,1.015
1751275555396,2025-06-30T12.25.55.396,0.340,0.020,-0.083,1.027
1751275555406,2025-06-30T12.25.55.406,0.350,0.035,-0.078,1.040
1751275555416,2025-06-30T12.25.55.416,0.360,0.019,-0.072,1.044
1751275555426,2025-06-30T12.25.55.426,0.370,-0.001,-0.077,1.047
1751275555436,2025-06-30T12.25.55.436,0.380,-0.011,-0.077,1.044
1751275555446,2025-06-30T12.25.55.446,0.390,-0.022,-0.077,1.036
1751275555456,2025-06-30T12.25.55.456,0.400,-0.036,-0.072,1.032
1751275555466,2025-06-30T12.25.55.466,0.410,-0.025,-0.065,1.031
1751275555476,2025-06-30T12.25.55.476,0.420,-0.008,-0.074,1.042
1751275555486,2025-06-30T12.25.55.486,0.430,0.003,-0.083,1.041
1751275555496,2025-06-30T12.25.55.496,0.440,0.012,-0.080,1.035
1751275555506,2025-06-30T12.25.55.506,0.450,0.015,-0.076,1.037
1751275555516,2025-06-30T12.25.55.516,0.460,-0.000,-0.077,1.037
1751275555526,2025-06-30T12.25.55.526,0.470,-0.021,-0.072,1.032
1751275555536,2025-06-30T12.25.55.536,0.480,-0.040,-0.076,1.032
1751275555546,2025-06-30T12.25.55.546,0.490,-0.047,-0.081,1.037
1751275555556,2025-06-30T12.25.55.556,0.500,-0.035,-0.081,1.031
1751275555566,2025-06-30T12.25.55.566,0.510,-0.037,-0.075,1.021
1751275555576,2025-06-30T12.25.55.576,0.520,-0.062,-0.075,1.016
