epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1751288728161,2025-06-30T16:05:28.161,0.000,60.000,-80.000,80.793
1751288728171,2025-06-30T16:05:28.171,0.010,60.915,-81.402,79.146
1751288728181,2025-06-30T16:05:28.181,0.020,63.780,-84.024,72.439
1751288728191,2025-06-30T16:05:28.191,0.030,68.841,-81.646,63.293
1751288728201,2025-06-30T16:05:28.201,0.040,74.146,-72.256,55.000
1751288728211,2025-06-30T16:05:28.211,0.050,79.939,-60.061,46.341
1751288728221,2025-06-30T16:05:28.221,0.060,85.244,-51.402,35.549
1751288728231,2025-06-30T16:05:28.231,0.070,89.146,-49.024,23.415
1751288728241,2025-06-30T16:05:28.241,0.080,90.854,-49.878,10.183
1751288728251,2025-06-30T16:05:28.251,0.090,92.317,-48.537,-3.476
1751288728261,2025-06-30T16:05:28.261,0.100,93.232,-39.756,-15.610
1751288728271,2025-06-30T16:05:28.271,0.110,93.354,-25.915,-26.768
1751288728281,2025-06-30T16:05:28.281,0.120,91.951,-10.366,-36.768
1751288728291,2025-06-30T16:05:28.291,0.130,90.183,3.841,-45.122
1751288728301,2025-06-30T16:05:28.301,0.140,87.256,10.305,-53.110
1751288728311,2025-06-30T16:05:28.311,0.150,83.293,8.171,-60.854
1751288728321,2025-06-30T16:05:28.321,0.160,79.085,-0.549,-68.598
1751288728331,2025-06-30T16:05:28.331,0.170,73.415,-12.012,-77.195
1751288728341,2025-06-30T16:05:28.341,0.180,66.646,-20.854,-85.610
1751288728351,2025-06-30T16:05:28.351,0.190,60.488,-20.610,-93.537
1751288728361,2025-06-30T16:05:28.361,0.200,55.488,-11.463,-101.829
1751288728371,2025-06-30T16:05:28.371,0.210,50.122,0.366,-111.463
1751288728381,2025-06-30T16:05:28.381,0.220,44.939,8.476,-120.793
1751288728391,2025-06-30T16:05:28.391,0.230,39.817,10.732,-129.878
1751288728401,2025-06-30T16:05:28.401,0.240,33.963,9.756,-136.646
1751288728411,2025-06-30T16:05:28.411,0.250,27.866,4.573,-137.256
1751288728421,2025-06-30T16:05:28.421,0.260,20.854,-1.341,-132.012
1751288728431,2025-06-30T16:05:28.431,0.270,13.720,-0.976,-123.171
1751288728441,2025-06-30T16:05:28.441,0.280,7.012,7.683,-112.439
1751288728451,2025-06-30T16:05:28.451,0.290,-0.366,22.866,-100.366
1751288728461,2025-06-30T16:05:28.461,0.300,-9.329,40.610,-89.329
1751288728471,2025-06-30T16:05:28.471,0.310,-20.793,54.329,-82.805
1751288728481,2025-06-30T16:05:28.481,0.320,-36.037,56.341,-81.341
1751288728491,2025-06-30T16:05:28.491,0.330,-53.476,45.671,-82.134
1751288728501,2025-06-30T16:05:28.501,0.340,-70.061,26.646,-82.744
1751288728511,2025-06-30T16:05:28.511,0.350,-84.207,6.280,-80.122
1751288728521,2025-06-30T16:05:28.521,0.360,-92.805,-8.049,-72.256
1751288728531,2025-06-30T16:05:28.531,0.370,-96.768,-10.793,-61.098
1751288728541,2025-06-30T16:05:28.541,0.380,-96.646,-2.195,-49.390
1751288728551,2025-06-30T16:05:28.551,0.390,-94.817,13.537,-37.622
1751288728561,2025-06-30T16:05:28.561,0.400,-92.195,30.793,-25.854
1751288728571,2025-06-30T16:05:28.571,0.410,-90.366,42.317,-14.634
1751288728581,2025-06-30T16:05:28.581,0.420,-89.634,44.085,-4.390
1751288728591,2025-06-30T16:05:28.591,0.430,-90.183,38.720,5.427
1751288728601,2025-06-30T16:05:28.601,0.440,-91.646,31.280,14.756
1751288728611,2025-06-30T16:05:28.611,0.450,-93.720,25.244,22.012
1751288728621,2025-06-30T16:05:28.621,0.460,-95.427,21.402,27.683
1751288728631,2025-06-30T16:05:28.631,0.470,-96.524,18.963,33.780
1751288728641,2025-06-30T16:05:28.641,0.480,-97.073,17.134,41.159
1751288728651,2025-06-30T16:05:28.651,0.490,-96.829,15.061,49.878
1751288728661,2025-06-30T16:05:28.661,0.500,-96.280,11.463,59.512
1751288728671,2025-06-30T16:05:28.671,0.510,-95.183,5.549,68.902
1751288728681,2025-06-30T16:05:28.681,0.520,-93.232,-1.098,77.561
1751288728691,2025-06-30T16:05:28.691,0.530,-90.305,-8.537,85.915
1751288728701,2025-06-30T16:05:28.701,0.540,-86.646,-18.354,93.476
1751288728711,2025-06-30T16:05:28.711,0.550,-82.561,-31.220,99.329
1751288728721,2025-06-30T16:05:28.721,0.560,-76.524,-41.402,104.146
1751288728731,2025-06-30T16:05:28.731,0.570,-67.439,-42.866,107.378
1751288728741,2025-06-30T16:05:28.741,0.580,-55.610,-32.561,107.561
1751288728751,2025-06-30T16:05:28.751,0.590,-42.805,-11.037,106.402
1751288728761,2025-06-30T16:05:28.761,0.600,-29.756,18.110,106.524
1751288728771,2025-06-30T16:05:28.771,0.610,-16.402,47.439,107.256
1751288728781,2025-06-30T16:05:28.781,0.620,-5.976,70.305,107.866
1751288728791,2025-06-30T16:05:28.791,0.630,0.427,84.451,110.000
1751288728801,2025-06-30T16:05:28.801,0.640,4.146,88.415,112.622
1751288728811,2025-06-30T16:05:28.811,0.650,4.817,82.622,115.488
1751288728821,2025-06-30T16:05:28.821,0.660,4.390,68.537,116.890
1751288728831,2025-06-30T16:05:28.831,0.670,1.890,47.500,114.451
1751288728841,2025-06-30T16:05:28.841,0.680,-3.049,24.878,111.280
1751288728851,2025-06-30T16:05:28.851,0.690,-5.671,9.024,110.183
1751288728861,2025-06-30T16:05:28.861,0.700,-5.854,3.780,108.720
1751288728871,2025-06-30T16:05:28.871,0.710,-3.841,7.012,107.866
1751288728881,2025-06-30T16:05:28.881,0.720,-1.524,14.634,108.720
1751288728891,2025-06-30T16:05:28.891,0.730,1.463,24.024,110.488
1751288728901,2025-06-30T16:05:28.901,0.740,4.756,34.085,113.110
1751288728911,2025-06-30T16:05:28.911,0.750,6.646,41.220,117.622
1751288728921,2025-06-30T16:05:28.921,0.760,6.951,43.902,122.195
1751288728931,2025-06-30T16:05:28.931,0.770,5.366,43.293,126.402
1751288728941,2025-06-30T16:05:28.941,0.780,3.659,40.183,130.244
1751288728951,2025-06-30T16:05:28.951,0.790,2.012,37.134,134.756
1751288728961,2025-06-30T16:05:28.961,0.800,0.549,36.463,139.573
1751288728971,2025-06-30T16:05:28.971,0.810,-2.073,38.598,145.244
1751288728981,2025-06-30T16:05:28.981,0.820,-5.854,42.378,152.134
1751288728991,2025-06-30T16:05:28.991,0.830,-11.585,44.756,157.866
1751288729001,2025-06-30T16:05:29.001,0.840,-19.268,45.183,162.683
1751288729011,2025-06-30T16:05:29.011,0.850,-27.317,45.122,167.439
1751288729021,2025-06-30T16:05:29.021,0.860,-35.793,43.537,172.195
1751288729031,2025-06-30T16:05:29.031,0.870,-44.634,38.963,177.561
1751288729041,2025-06-30T16:05:29.041,0.880,-52.805,31.463,184.390
1751288729051,2025-06-30T16:05:29.051,0.890,-59.878,22.073,192.500
1751288729061,2025-06-30T16:05:29.061,0.900,-65.366,11.951,201.098
1751288729071,2025-06-30T16:05:29.071,0.910,-69.878,2.134,209.634
1751288729081,2025-06-30T16:05:29.081,0.920,-72.805,-5.976,217.317
1751288729091,2025-06-30T16:05:29.091,0.930,-73.720,-10.915,224.268
1751288729101,2025-06-30T16:05:29.101,0.940,-73.354,-13.598,230.244
1751288729111,2025-06-30T16:05:29.111,0.950,-72.195,-14.268,235.183
1751288729121,2025-06-30T16:05:29.121,0.960,-70.122,-12.439,239.146
1751288729131,2025-06-30T16:05:29.131,0.970,-67.988,-9.573,241.585
1751288729141,2025-06-30T16:05:29.141,0.980,-65.549,-7.683,242.805
1751288729151,2025-06-30T16:05:29.151,0.990,-62.683,-6.280,243.841
1751288729161,2025-06-30T16:05:29.161,1.000,-59.756,-6.341,245.183
1751288729171,2025-06-30T16:05:29.171,1.010,-56.524,-9.329,246.463
1751288729181,2025-06-30T16:05:29.181,1.020,-52.195,-15.488,246.524
