epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1751274849892,2025-06-30T12.14.09.892,0.000,0.223,0.218,1.082
1751274849902,2025-06-30T12.14.09.902,0.010,0.183,0.218,1.069
1751274849912,2025-06-30T12.14.09.912,0.020,0.156,0.211,1.024
1751274849922,2025-06-30T12.14.09.922,0.030,0.144,0.191,0.983
1751274849932,2025-06-30T12.14.09.932,0.040,0.148,0.176,0.959
1751274849942,2025-06-30T12.14.09.942,0.050,0.165,0.160,0.936
1751274849952,2025-06-30T12.14.09.952,0.060,0.192,0.145,0.925
1751274849962,2025-06-30T12.14.09.962,0.070,0.225,0.125,0.918
1751274849972,2025-06-30T12.14.09.972,0.080,0.250,0.109,0.896
1751274849982,2025-06-30T12.14.09.982,0.090,0.262,0.087,0.885
1751274849992,2025-06-30T12.14.09.992,0.100,0.260,0.074,0.866
1751274850002,2025-06-30T12.14.10.002,0.110,0.227,0.074,0.833
1751274850012,2025-06-30T12.14.10.012,0.120,0.186,0.070,0.798
1751274850022,2025-06-30T12.14.10.022,0.130,0.167,0.065,0.771
1751274850032,2025-06-30T12.14.10.032,0.140,0.162,0.047,0.755
1751274850042,2025-06-30T12.14.10.042,0.150,0.126,0.033,0.740
1751274850052,2025-06-30T12.14.10.052,0.160,0.084,0.022,0.728
1751274850062,2025-06-30T12.14.10.062,0.170,0.074,0.000,0.731
1751274850072,2025-06-30T12.14.10.072,0.180,0.078,-0.018,0.745
1751274850082,2025-06-30T12.14.10.082,0.190,0.089,-0.026,0.756
1751274850092,2025-06-30T12.14.10.092,0.200,0.075,-0.026,0.748
1751274850102,2025-06-30T12.14.10.102,0.210,0.025,-0.029,0.735
1751274850112,2025-06-30T12.14.10.112,0.220,-0.035,-0.029,0.719
1751274850122,2025-06-30T12.14.10.122,0.230,-0.105,-0.025,0.704
1751274850132,2025-06-30T12.14.10.132,0.240,-0.160,-0.028,0.703
1751274850142,2025-06-30T12.14.10.142,0.250,-0.189,-0.034,0.725
1751274850152,2025-06-30T12.14.10.152,0.260,-0.193,-0.038,0.753
1751274850162,2025-06-30T12.14.10.162,0.270,-0.198,-0.041,0.782
1751274850172,2025-06-30T12.14.10.172,0.280,-0.226,-0.042,0.799
1751274850182,2025-06-30T12.14.10.182,0.290,-0.270,-0.033,0.804
1751274850192,2025-06-30T12.14.10.192,0.300,-0.297,-0.025,0.812
1751274850202,2025-06-30T12.14.10.202,0.310,-0.299,-0.012,0.825
1751274850212,2025-06-30T12.14.10.212,0.320,-0.275,-0.002,0.836
1751274850222,2025-06-30T12.14.10.222,0.330,-0.239,0.002,0.852
1751274850232,2025-06-30T12.14.10.232,0.340,-0.206,0.014,0.872
