epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1751274849893,2025-06-30T12.14.09.893,0.000,-61.280,6.402,1.463
1751274849903,2025-06-30T12.14.09.903,0.010,-61.585,4.695,2.134
1751274849913,2025-06-30T12.14.09.913,0.020,-63.049,-3.659,5.854
1751274849923,2025-06-30T12.14.09.923,0.030,-65.122,-15.305,9.939
1751274849933,2025-06-30T12.14.09.933,0.040,-66.890,-24.756,12.378
1751274849943,2025-06-30T12.14.09.943,0.050,-68.110,-30.671,14.207
1751274849953,2025-06-30T12.14.09.953,0.060,-68.415,-32.012,16.463
1751274849963,2025-06-30T12.14.09.963,0.070,-67.622,-29.024,19.390
1751274849973,2025-06-30T12.14.09.973,0.080,-66.037,-22.927,22.195
1751274849983,2025-06-30T12.14.09.983,0.090,-64.024,-15.488,25.976
1751274849993,2025-06-30T12.14.09.993,0.100,-61.159,-10.061,28.963
1751274850003,2025-06-30T12.14.10.003,0.110,-58.598,-7.378,31.220
1751274850013,2025-06-30T12.14.10.013,0.120,-55.976,-7.500,34.207
1751274850023,2025-06-30T12.14.10.023,0.130,-52.988,-8.720,37.317
1751274850033,2025-06-30T12.14.10.033,0.140,-50.000,-11.463,39.634
1751274850043,2025-06-30T12.14.10.043,0.150,-47.012,-16.402,40.549
1751274850053,2025-06-30T12.14.10.053,0.160,-44.695,-20.854,41.524
1751274850063,2025-06-30T12.14.10.063,0.170,-41.951,-23.293,43.232
1751274850073,2025-06-30T12.14.10.073,0.180,-38.537,-21.463,43.537
1751274850083,2025-06-30T12.14.10.083,0.190,-34.817,-15.183,42.683
1751274850093,2025-06-30T12.14.10.093,0.200,-30.976,-7.805,42.195
1751274850103,2025-06-30T12.14.10.103,0.210,-27.561,-2.683,42.378
1751274850113,2025-06-30T12.14.10.113,0.220,-24.512,-1.280,41.951
1751274850123,2025-06-30T12.14.10.123,0.230,-21.890,-2.744,40.427
1751274850133,2025-06-30T12.14.10.133,0.240,-19.329,-4.573,39.024
1751274850143,2025-06-30T12.14.10.143,0.250,-16.951,-5.244,37.927
1751274850153,2025-06-30T12.14.10.153,0.260,-14.695,-4.817,36.524
1751274850163,2025-06-30T12.14.10.163,0.270,-12.073,-4.024,34.817
1751274850173,2025-06-30T12.14.10.173,0.280,-9.634,-4.390,33.110
1751274850183,2025-06-30T12.14.10.183,0.290,-7.683,-8.110,31.280
1751274850193,2025-06-30T12.14.10.193,0.300,-6.220,-14.512,28.902
1751274850203,2025-06-30T12.14.10.203,0.310,-5.122,-19.268,26.159
1751274850213,2025-06-30T12.14.10.213,0.320,-3.720,-19.878,23.293
1751274850223,2025-06-30T12.14.10.223,0.330,-1.341,-17.195,19.573
1751274850233,2025-06-30T12.14.10.233,0.340,1.220,-12.378,15.000
1751274850243,2025-06-30T12.14.10.243,0.350,4.390,-7.378,10.000
1751274850253,2025-06-30T12.14.10.253,0.360,7.561,-3.415,5.122
1751274850263,2025-06-30T12.14.10.263,0.370,9.695,-0.549,1.768
1751274850273,2025-06-30T12.14.10.273,0.380,11.585,2.134,-1.341
1751274850283,2025-06-30T12.14.10.283,0.390,13.049,4.817,-5.183
1751274850293,2025-06-30T12.14.10.293,0.400,13.720,6.098,-7.744
1751274850303,2025-06-30T12.14.10.303,0.410,13.415,6.463,-8.963
1751274850313,2025-06-30T12.14.10.313,0.420,12.866,6.280,-10.183
1751274850323,2025-06-30T12.14.10.323,0.430,12.134,6.159,-11.220
1751274850333,2025-06-30T12.14.10.333,0.440,10.732,6.524,-11.037
1751274850343,2025-06-30T12.14.10.343,0.450,9.024,6.402,-10.061
1751274850353,2025-06-30T12.14.10.353,0.460,7.195,4.878,-9.085
1751274850363,2025-06-30T12.14.10.363,0.470,5.122,2.561,-7.561
1751274850373,2025-06-30T12.14.10.373,0.480,3.232,-0.122,-6.098
1751274850383,2025-06-30T12.14.10.383,0.490,1.768,-2.256,-5.244
1751274850393,2025-06-30T12.14.10.393,0.500,0.976,-3.171,-4.756
1751274850403,2025-06-30T12.14.10.403,0.510,0.549,-1.280,-4.329
1751274850413,2025-06-30T12.14.10.413,0.520,0.732,2.866,-4.207
1751274850423,2025-06-30T12.14.10.423,0.530,0.915,7.012,-4.329
1751274850433,2025-06-30T12.14.10.433,0.540,0.488,7.073,-3.537
1751274850443,2025-06-30T12.14.10.443,0.550,-0.549,1.707,-2.073
1751274850453,2025-06-30T12.14.10.453,0.560,-2.134,-4.817,-0.976
1751274850463,2025-06-30T12.14.10.463,0.570,-2.805,-8.476,0.305
1751274850473,2025-06-30T12.14.10.473,0.580,-3.049,-9.207,1.951
1751274850483,2025-06-30T12.14.10.483,0.590,-3.293,-8.049,3.415
1751274850493,2025-06-30T12.14.10.493,0.600,-3.659,-5.366,4.939
1751274850503,2025-06-30T12.14.10.503,0.610,-3.902,-1.220,6.463
1751274850513,2025-06-30T12.14.10.513,0.620,-3.963,3.415,7.317
1751274850523,2025-06-30T12.14.10.523,0.630,-4.024,6.463,7.988
1751274850533,2025-06-30T12.14.10.533,0.640,-3.963,7.195,8.659
1751274850543,2025-06-30T12.14.10.543,0.650,-3.841,6.220,9.695
1751274850553,2025-06-30T12.14.10.553,0.660,-3.598,5.000,10.854
1751274850563,2025-06-30T12.14.10.563,0.670,-3.720,3.171,11.890
1751274850573,2025-06-30T12.14.10.573,0.680,-3.537,1.463,12.805
1751274850583,2025-06-30T12.14.10.583,0.690,-3.293,0.915,13.841
1751274850593,2025-06-30T12.14.10.593,0.700,-2.683,1.280,15.244
1751274850603,2025-06-30T12.14.10.603,0.710,-2.012,2.012,16.707
1751274850613,2025-06-30T12.14.10.613,0.720,-1.220,2.073,18.110
