epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1750844444552,2025-06-25T12:40:44.552,0.000,-14.756,11.402,30.427
1750844444562,2025-06-25T12:40:44.562,0.010,-13.963,12.317,30.000
1750844444572,2025-06-25T12:40:44.572,0.020,-12.073,13.171,27.622
1750844444582,2025-06-25T12:40:44.582,0.030,-10.976,11.890,25.671
1750844444592,2025-06-25T12:40:44.592,0.040,-10.305,9.695,25.000
1750844444602,2025-06-25T12:40:44.602,0.050,-8.841,7.500,25.000
1750844444612,2025-06-25T12:40:44.612,0.060,-8.720,4.451,24.390
1750844444622,2025-06-25T12:40:44.622,0.070,-8.354,1.037,23.293
1750844444632,2025-06-25T12:40:44.632,0.080,-7.317,-2.195,21.341
1750844444642,2025-06-25T12:40:44.642,0.090,-6.220,-7.134,19.573
1750844444652,2025-06-25T12:40:44.652,0.100,-5.122,-12.988,19.695
1750844444662,2025-06-25T12:40:44.662,0.110,-3.963,-18.598,20.854
1750844444672,2025-06-25T12:40:44.672,0.120,-2.317,-23.780,22.805
1750844444682,2025-06-25T12:40:44.682,0.130,-0.488,-28.110,26.341
1750844444692,2025-06-25T12:40:44.692,0.140,0.122,-32.134,30.427
1750844444702,2025-06-25T12:40:44.702,0.150,1.280,-37.561,34.451
1750844444712,2025-06-25T12:40:44.712,0.160,3.415,-43.841,38.049
1750844444722,2025-06-25T12:40:44.722,0.170,6.402,-49.878,42.012
1750844444732,2025-06-25T12:40:44.732,0.180,10.000,-55.244,46.524
1750844444742,2025-06-25T12:40:44.742,0.190,13.902,-61.402,50.793
1750844444752,2025-06-25T12:40:44.752,0.200,18.537,-66.646,55.000
1750844444762,2025-06-25T12:40:44.762,0.210,24.451,-68.963,59.329
1750844444772,2025-06-25T12:40:44.772,0.220,32.073,-69.268,62.866
1750844444782,2025-06-25T12:40:44.782,0.230,39.573,-69.512,65.122
1750844444792,2025-06-25T12:40:44.792,0.240,47.134,-71.890,66.280
1750844444802,2025-06-25T12:40:44.802,0.250,55.488,-77.317,64.451
1750844444812,2025-06-25T12:40:44.812,0.260,63.720,-85.427,59.817
1750844444822,2025-06-25T12:40:44.822,0.270,72.927,-96.402,54.695
1750844444832,2025-06-25T12:40:44.832,0.280,83.476,-102.500,48.476
1750844444842,2025-06-25T12:40:44.842,0.290,95.732,-98.598,41.280
1750844444852,2025-06-25T12:40:44.852,0.300,109.756,-83.598,33.598
1750844444862,2025-06-25T12:40:44.862,0.310,123.902,-59.878,24.573
1750844444872,2025-06-25T12:40:44.872,0.320,137.622,-35.610,15.122
1750844444882,2025-06-25T12:40:44.882,0.330,147.134,-20.671,4.939
1750844444892,2025-06-25T12:40:44.892,0.340,150.854,-15.366,-6.159
1750844444902,2025-06-25T12:40:44.902,0.350,148.293,-9.451,-19.390
1750844444912,2025-06-25T12:40:44.912,0.360,142.073,-8.902,-34.329
1750844444922,2025-06-25T12:40:44.922,0.370,133.841,-22.195,-48.232
1750844444932,2025-06-25T12:40:44.932,0.380,124.878,-42.500,-60.122
1750844444942,2025-06-25T12:40:44.942,0.390,116.037,-53.902,-70.488
1750844444952,2025-06-25T12:40:44.952,0.400,109.268,-45.244,-79.939
1750844444962,2025-06-25T12:40:44.962,0.410,102.439,-22.805,-89.756
1750844444972,2025-06-25T12:40:44.972,0.420,94.878,-1.585,-99.268
1750844444982,2025-06-25T12:40:44.982,0.430,86.463,8.720,-107.012
1750844444992,2025-06-25T12:40:44.992,0.440,75.305,8.963,-115.976
1750844445002,2025-06-25T12:40:45.002,0.450,63.415,4.695,-125.793
1750844445012,2025-06-25T12:40:45.012,0.460,52.439,-0.061,-134.695
1750844445022,2025-06-25T12:40:45.022,0.470,41.037,-4.146,-142.805
1750844445032,2025-06-25T12:40:45.032,0.480,28.720,-6.524,-148.110
1750844445042,2025-06-25T12:40:45.042,0.490,14.817,-5.366,-148.293
1750844445052,2025-06-25T12:40:45.052,0.500,-1.037,-2.317,-143.720
1750844445062,2025-06-25T12:40:45.062,0.510,-16.646,3.171,-134.756
1750844445072,2025-06-25T12:40:45.072,0.520,-30.610,12.134,-123.720
1750844445082,2025-06-25T12:40:45.082,0.530,-41.707,20.549,-115.488
1750844445092,2025-06-25T12:40:45.092,0.540,-51.463,24.146,-109.329
1750844445102,2025-06-25T12:40:45.102,0.550,-60.976,25.854,-104.451
1750844445112,2025-06-25T12:40:45.112,0.560,-69.817,27.195,-100.915
1750844445122,2025-06-25T12:40:45.122,0.570,-78.049,27.805,-95.000
1750844445132,2025-06-25T12:40:45.132,0.580,-86.402,25.488,-85.732
1750844445142,2025-06-25T12:40:45.142,0.590,-95.549,20.549,-73.780
1750844445152,2025-06-25T12:40:45.152,0.600,-104.573,15.854,-60.976
1750844445162,2025-06-25T12:40:45.162,0.610,-112.317,12.134,-49.268
1750844445172,2025-06-25T12:40:45.172,0.620,-117.927,8.354,-39.634
1750844445182,2025-06-25T12:40:45.182,0.630,-121.098,4.085,-31.524
1750844445192,2025-06-25T12:40:45.192,0.640,-122.988,0.122,-23.720
