epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1751285343714,2025-06-30T15:09:03.714,0.000,0.760,-0.070,0.861
1751285343724,2025-06-30T15:09:03.724,0.010,0.719,-0.064,0.929
1751285343734,2025-06-30T15:09:03.734,0.020,0.698,-0.059,0.978
1751285343744,2025-06-30T15:09:03.744,0.030,0.699,-0.035,1.068
1751285343754,2025-06-30T15:09:03.754,0.040,0.706,-0.009,1.125
1751285343764,2025-06-30T15:09:03.764,0.050,0.728,-0.000,1.196
1751285343774,2025-06-30T15:09:03.774,0.060,0.716,0.018,1.263
1751285343784,2025-06-30T15:09:03.784,0.070,0.677,0.033,1.352
1751285343794,2025-06-30T15:09:03.794,0.080,0.668,0.053,1.428
1751285343804,2025-06-30T15:09:03.804,0.090,0.635,0.089,1.485
1751285343814,2025-06-30T15:09:03.814,0.100,0.580,0.129,1.537
1751285343824,2025-06-30T15:09:03.824,0.110,0.566,0.168,1.588
1751285343834,2025-06-30T15:09:03.834,0.120,0.565,0.221,1.635
1751285343844,2025-06-30T15:09:03.844,0.130,0.523,0.278,1.670
1751285343854,2025-06-30T15:09:03.854,0.140,0.472,0.316,1.714
1751285343864,2025-06-30T15:09:03.864,0.150,0.416,0.336,1.752
1751285343874,2025-06-30T15:09:03.874,0.160,0.364,0.351,1.763
1751285343884,2025-06-30T15:09:03.884,0.170,0.295,0.371,1.744
1751285343894,2025-06-30T15:09:03.894,0.180,0.218,0.392,1.724
1751285343904,2025-06-30T15:09:03.904,0.190,0.158,0.411,1.700
1751285343914,2025-06-30T15:09:03.914,0.200,0.130,0.414,1.664
1751285343924,2025-06-30T15:09:03.924,0.210,0.104,0.411,1.626
1751285343934,2025-06-30T15:09:03.934,0.220,0.055,0.419,1.594
1751285343944,2025-06-30T15:09:03.944,0.230,-0.018,0.416,1.546
1751285343954,2025-06-30T15:09:03.954,0.240,-0.090,0.403,1.483
1751285343964,2025-06-30T15:09:03.964,0.250,-0.142,0.384,1.423
1751285343974,2025-06-30T15:09:03.974,0.260,-0.163,0.356,1.388
1751285343984,2025-06-30T15:09:03.984,0.270,-0.199,0.338,1.339
1751285343994,2025-06-30T15:09:03.994,0.280,-0.277,0.334,1.263
1751285344004,2025-06-30T15:09:04.004,0.290,-0.341,0.304,1.184
1751285344014,2025-06-30T15:09:04.014,0.300,-0.347,0.265,1.118
1751285344024,2025-06-30T15:09:04.024,0.310,-0.325,0.236,1.067
1751285344034,2025-06-30T15:09:04.034,0.320,-0.332,0.224,1.016
1751285344044,2025-06-30T15:09:04.044,0.330,-0.372,0.209,0.963
1751285344054,2025-06-30T15:09:04.054,0.340,-0.429,0.181,0.895
1751285344064,2025-06-30T15:09:04.064,0.350,-0.438,0.135,0.840
1751285344074,2025-06-30T15:09:04.074,0.360,-0.375,0.098,0.797
1751285344084,2025-06-30T15:09:04.084,0.370,-0.336,0.079,0.762
1751285344094,2025-06-30T15:09:04.094,0.380,-0.315,0.060,0.715
1751285344104,2025-06-30T15:09:04.104,0.390,-0.270,0.045,0.676
1751285344114,2025-06-30T15:09:04.114,0.400,-0.219,0.020,0.659
1751285344124,2025-06-30T15:09:04.124,0.410,-0.190,-0.021,0.631
1751285344134,2025-06-30T15:09:04.134,0.420,-0.133,-0.053,0.619
1751285344144,2025-06-30T15:09:04.144,0.430,-0.055,-0.071,0.625
1751285344154,2025-06-30T15:09:04.154,0.440,0.002,-0.091,0.621
1751285344164,2025-06-30T15:09:04.164,0.450,0.043,-0.117,0.628
1751285344174,2025-06-30T15:09:04.174,0.460,0.072,-0.134,0.655
1751285344184,2025-06-30T15:09:04.184,0.470,0.105,-0.137,0.692
1751285344194,2025-06-30T15:09:04.194,0.480,0.146,-0.143,0.727
1751285344204,2025-06-30T15:09:04.204,0.490,0.185,-0.147,0.751
1751285344214,2025-06-30T15:09:04.214,0.500,0.231,-0.149,0.758
1751285344224,2025-06-30T15:09:04.224,0.510,0.249,-0.154,0.772
1751285344234,2025-06-30T15:09:04.234,0.520,0.230,-0.171,0.787
1751285344244,2025-06-30T15:09:04.244,0.530,0.207,-0.198,0.798
1751285344254,2025-06-30T15:09:04.254,0.540,0.147,-0.209,0.814
1751285344264,2025-06-30T15:09:04.264,0.550,0.077,-0.209,0.832
1751285344274,2025-06-30T15:09:04.274,0.560,0.046,-0.221,0.864
1751285344284,2025-06-30T15:09:04.284,0.570,0.048,-0.229,0.898
1751285344294,2025-06-30T15:09:04.294,0.580,0.049,-0.226,0.931
1751285344304,2025-06-30T15:09:04.304,0.590,0.009,-0.208,0.940
1751285344314,2025-06-30T15:09:04.314,0.600,-0.076,-0.197,0.928
1751285344324,2025-06-30T15:09:04.324,0.610,-0.150,-0.198,0.898
1751285344334,2025-06-30T15:09:04.334,0.620,-0.166,-0.214,0.873
1751285344344,2025-06-30T15:09:04.344,0.630,-0.177,-0.219,0.858
1751285344354,2025-06-30T15:09:04.354,0.640,-0.203,-0.205,0.838
1751285344364,2025-06-30T15:09:04.364,0.650,-0.220,-0.184,0.819
1751285344374,2025-06-30T15:09:04.374,0.660,-0.200,-0.154,0.813
1751285344384,2025-06-30T15:09:04.384,0.670,-0.198,-0.120,0.807
1751285344394,2025-06-30T15:09:04.394,0.680,-0.205,-0.103,0.782
1751285344404,2025-06-30T15:09:04.404,0.690,-0.204,-0.095,0.749
1751285344414,2025-06-30T15:09:04.414,0.700,-0.205,-0.090,0.731
1751285344424,2025-06-30T15:09:04.424,0.710,-0.195,-0.081,0.719
1751285344434,2025-06-30T15:09:04.434,0.720,-0.210,-0.060,0.703
1751285344444,2025-06-30T15:09:04.444,0.730,-0.206,-0.054,0.691
1751285344454,2025-06-30T15:09:04.454,0.740,-0.160,-0.053,0.674
1751285344464,2025-06-30T15:09:04.464,0.750,-0.118,-0.041,0.666
1751285344474,2025-06-30T15:09:04.474,0.760,-0.056,-0.034,0.664
1751285344484,2025-06-30T15:09:04.484,0.770,0.022,-0.037,0.683
1751285344494,2025-06-30T15:09:04.494,0.780,0.083,-0.044,0.706
1751285344504,2025-06-30T15:09:04.504,0.790,0.119,-0.048,0.737
1751285344514,2025-06-30T15:09:04.514,0.800,0.132,-0.042,0.756
1751285344524,2025-06-30T15:09:04.524,0.810,0.145,-0.015,0.753
1751285344534,2025-06-30T15:09:04.534,0.820,0.200,0.022,0.729
1751285344544,2025-06-30T15:09:04.544,0.830,0.304,0.042,0.699
1751285344554,2025-06-30T15:09:04.554,0.840,0.392,0.035,0.678
1751285344564,2025-06-30T15:09:04.564,0.850,0.469,-0.002,0.720
1751285344574,2025-06-30T15:09:04.574,0.860,0.560,-0.049,0.791
1751285344584,2025-06-30T15:09:04.584,0.870,0.625,-0.078,0.875
1751285344594,2025-06-30T15:09:04.594,0.880,0.617,-0.082,0.924
1751285344604,2025-06-30T15:09:04.604,0.890,0.616,-0.070,0.941
1751285344614,2025-06-30T15:09:04.614,0.900,0.651,-0.055,0.979
1751285344624,2025-06-30T15:09:04.624,0.910,0.693,-0.034,1.009
1751285344634,2025-06-30T15:09:04.634,0.920,0.756,-0.025,1.054
1751285344644,2025-06-30T15:09:04.644,0.930,0.813,-0.037,1.146
1751285344654,2025-06-30T15:09:04.654,0.940,0.852,-0.056,1.224
1751285344664,2025-06-30T15:09:04.664,0.950,0.891,-0.068,1.306
1751285344674,2025-06-30T15:09:04.674,0.960,0.879,-0.044,1.367
1751285344684,2025-06-30T15:09:04.684,0.970,0.819,0.004,1.415
1751285344694,2025-06-30T15:09:04.694,0.980,0.746,0.056,1.470
1751285344704,2025-06-30T15:09:04.704,0.990,0.708,0.109,1.516
1751285344714,2025-06-30T15:09:04.714,1.000,0.687,0.162,1.553
1751285344724,2025-06-30T15:09:04.724,1.010,0.641,0.208,1.596
1751285344734,2025-06-30T15:09:04.734,1.020,0.600,0.244,1.627
1751285344744,2025-06-30T15:09:04.744,1.030,0.555,0.261,1.654
1751285344754,2025-06-30T15:09:04.754,1.040,0.495,0.281,1.663
1751285344764,2025-06-30T15:09:04.764,1.050,0.425,0.307,1.668
1751285344774,2025-06-30T15:09:04.774,1.060,0.347,0.334,1.659
1751285344784,2025-06-30T15:09:04.784,1.070,0.276,0.350,1.635
1751285344794,2025-06-30T15:09:04.794,1.080,0.213,0.359,1.604
1751285344804,2025-06-30T15:09:04.804,1.090,0.140,0.370,1.575
1751285344814,2025-06-30T15:09:04.814,1.100,0.075,0.371,1.542
1751285344824,2025-06-30T15:09:04.824,1.110,0.021,0.360,1.504
1751285344834,2025-06-30T15:09:04.834,1.120,-0.036,0.349,1.465
1751285344844,2025-06-30T15:09:04.844,1.130,-0.076,0.336,1.409
1751285344854,2025-06-30T15:09:04.854,1.140,-0.104,0.332,1.356
1751285344864,2025-06-30T15:09:04.864,1.150,-0.134,0.325,1.315
1751285344874,2025-06-30T15:09:04.874,1.160,-0.165,0.317,1.267
1751285344884,2025-06-30T15:09:04.884,1.170,-0.175,0.301,1.212
1751285344894,2025-06-30T15:09:04.894,1.180,-0.229,0.291,1.167
1751285344904,2025-06-30T15:09:04.904,1.190,-0.279,0.269,1.117
1751285344914,2025-06-30T15:09:04.914,1.200,-0.282,0.236,1.073
