epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1751288803300,2025-06-30T16:06:43.300,0.000,-0.386,0.536,0.565
1751288803310,2025-06-30T16:06:43.310,0.010,-0.260,0.512,0.530
1751288803320,2025-06-30T16:06:43.320,0.020,-0.158,0.472,0.451
1751288803330,2025-06-30T16:06:43.330,0.030,-0.079,0.413,0.390
1751288803340,2025-06-30T16:06:43.340,0.040,0.000,0.331,0.396
1751288803350,2025-06-30T16:06:43.350,0.050,0.066,0.253,0.387
1751288803360,2025-06-30T16:06:43.360,0.060,0.120,0.195,0.364
1751288803370,2025-06-30T16:06:43.370,0.070,0.147,0.150,0.378
1751288803380,2025-06-30T16:06:43.380,0.080,0.170,0.087,0.400
1751288803390,2025-06-30T16:06:43.390,0.090,0.192,0.018,0.442
1751288803400,2025-06-30T16:06:43.400,0.100,0.172,-0.046,0.505
1751288803410,2025-06-30T16:06:43.410,0.110,0.189,-0.091,0.544
1751288803420,2025-06-30T16:06:43.420,0.120,0.264,-0.119,0.568
1751288803430,2025-06-30T16:06:43.430,0.130,0.311,-0.124,0.604
1751288803440,2025-06-30T16:06:43.440,0.140,0.303,-0.107,0.650
1751288803450,2025-06-30T16:06:43.450,0.150,0.300,-0.102,0.683
1751288803460,2025-06-30T16:06:43.460,0.160,0.332,-0.107,0.686
1751288803470,2025-06-30T16:06:43.470,0.170,0.352,-0.108,0.701
1751288803480,2025-06-30T16:06:43.480,0.180,0.338,-0.094,0.706
1751288803490,2025-06-30T16:06:43.490,0.190,0.274,-0.067,0.721
1751288803500,2025-06-30T16:06:43.500,0.200,0.208,-0.040,0.741
1751288803510,2025-06-30T16:06:43.510,0.210,0.169,-0.033,0.746
1751288803520,2025-06-30T16:06:43.520,0.220,0.147,-0.037,0.750
1751288803530,2025-06-30T16:06:43.530,0.230,0.089,-0.027,0.739
1751288803540,2025-06-30T16:06:43.540,0.240,0.005,-0.009,0.723
1751288803550,2025-06-30T16:06:43.550,0.250,-0.042,0.003,0.737
1751288803560,2025-06-30T16:06:43.560,0.260,-0.060,0.010,0.736
1751288803570,2025-06-30T16:06:43.570,0.270,-0.067,0.019,0.721
1751288803580,2025-06-30T16:06:43.580,0.280,-0.084,0.021,0.700
1751288803590,2025-06-30T16:06:43.590,0.290,-0.108,0.019,0.665
1751288803600,2025-06-30T16:06:43.600,0.300,-0.125,0.022,0.621
