epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1750844508009,2025-06-25T12:41:48.009,0.000,-96.280,23.963,-7.988
1750844508019,2025-06-25T12:41:48.019,0.010,-95.732,24.085,-10.122
1750844508029,2025-06-25T12:41:48.029,0.020,-92.195,22.927,-22.744
1750844508039,2025-06-25T12:41:48.039,0.030,-86.951,21.280,-37.378
1750844508049,2025-06-25T12:41:48.049,0.040,-81.951,18.476,-50.854
1750844508059,2025-06-25T12:41:48.059,0.050,-74.695,16.646,-62.500
1750844508069,2025-06-25T12:41:48.069,0.060,-66.707,18.354,-72.927
1750844508079,2025-06-25T12:41:48.079,0.070,-57.866,21.402,-81.768
1750844508089,2025-06-25T12:41:48.089,0.080,-47.866,24.268,-87.744
1750844508099,2025-06-25T12:41:48.099,0.090,-36.524,26.585,-92.439
1750844508109,2025-06-25T12:41:48.109,0.100,-25.427,31.829,-96.585
1750844508119,2025-06-25T12:41:48.119,0.110,-14.756,41.402,-99.451
1750844508129,2025-06-25T12:41:48.129,0.120,-3.841,49.695,-100.488
1750844508139,2025-06-25T12:41:48.139,0.130,4.634,52.378,-98.598
1750844508149,2025-06-25T12:41:48.149,0.140,9.085,46.524,-93.841
1750844508159,2025-06-25T12:41:48.159,0.150,9.512,37.378,-85.915
1750844508169,2025-06-25T12:41:48.169,0.160,7.744,30.366,-72.805
1750844508179,2025-06-25T12:41:48.179,0.170,4.390,28.720,-54.268
1750844508189,2025-06-25T12:41:48.189,0.180,0.549,29.817,-31.768
1750844508199,2025-06-25T12:41:48.199,0.190,-2.805,28.415,-9.268
1750844508209,2025-06-25T12:41:48.209,0.200,-6.768,20.915,8.171
1750844508219,2025-06-25T12:41:48.219,0.210,-10.366,11.707,18.476
1750844508229,2025-06-25T12:41:48.229,0.220,-12.561,4.878,24.939
1750844508239,2025-06-25T12:41:48.239,0.230,-13.780,3.415,29.085
1750844508249,2025-06-25T12:41:48.249,0.240,-14.451,5.610,29.878
1750844508259,2025-06-25T12:41:48.259,0.250,-14.939,5.305,29.878
1750844508269,2025-06-25T12:41:48.269,0.260,-15.732,1.585,29.146
1750844508279,2025-06-25T12:41:48.279,0.270,-16.463,-2.866,27.073
1750844508289,2025-06-25T12:41:48.289,0.280,-15.793,-6.646,23.598
1750844508299,2025-06-25T12:41:48.299,0.290,-15.061,-8.537,17.866
1750844508309,2025-06-25T12:41:48.309,0.300,-13.963,-8.841,10.915
1750844508319,2025-06-25T12:41:48.319,0.310,-11.829,-6.707,4.146
1750844508329,2025-06-25T12:41:48.329,0.320,-9.573,-2.500,-3.049
1750844508339,2025-06-25T12:41:48.339,0.330,-7.866,0.427,-9.573
1750844508349,2025-06-25T12:41:48.349,0.340,-6.463,-0.244,-15.366
1750844508359,2025-06-25T12:41:48.359,0.350,-5.854,-2.622,-21.402
1750844508369,2025-06-25T12:41:48.369,0.360,-5.366,-7.622,-26.890
1750844508379,2025-06-25T12:41:48.379,0.370,-4.573,-15.366,-30.854
1750844508389,2025-06-25T12:41:48.389,0.380,-3.598,-22.866,-35.061
1750844508399,2025-06-25T12:41:48.399,0.390,-1.768,-29.146,-38.902
1750844508409,2025-06-25T12:41:48.409,0.400,2.012,-32.500,-42.134
1750844508419,2025-06-25T12:41:48.419,0.410,7.988,-30.061,-46.646
1750844508429,2025-06-25T12:41:48.429,0.420,15.183,-22.561,-52.134
1750844508439,2025-06-25T12:41:48.439,0.430,22.622,-14.024,-57.622
1750844508449,2025-06-25T12:41:48.449,0.440,30.244,-7.866,-63.049
1750844508459,2025-06-25T12:41:48.459,0.450,37.500,-5.366,-67.866
1750844508469,2025-06-25T12:41:48.469,0.460,44.085,-6.890,-71.463
1750844508479,2025-06-25T12:41:48.479,0.470,49.878,-13.659,-74.207
1750844508489,2025-06-25T12:41:48.489,0.480,54.634,-26.280,-75.976
1750844508499,2025-06-25T12:41:48.499,0.490,60.427,-39.207,-78.232
1750844508509,2025-06-25T12:41:48.509,0.500,68.476,-47.866,-81.585
1750844508519,2025-06-25T12:41:48.519,0.510,76.159,-48.476,-84.207
1750844508529,2025-06-25T12:41:48.529,0.520,82.988,-40.976,-84.085
1750844508539,2025-06-25T12:41:48.539,0.530,89.390,-27.317,-82.622
1750844508549,2025-06-25T12:41:48.549,0.540,95.976,-10.915,-81.463
1750844508559,2025-06-25T12:41:48.559,0.550,103.293,0.671,-80.854
1750844508569,2025-06-25T12:41:48.569,0.560,107.866,-0.061,-77.012
1750844508579,2025-06-25T12:41:48.579,0.570,107.073,-13.476,-65.549
1750844508589,2025-06-25T12:41:48.589,0.580,102.134,-32.500,-48.232
1750844508599,2025-06-25T12:41:48.599,0.590,96.890,-46.585,-27.988
1750844508609,2025-06-25T12:41:48.609,0.600,92.073,-48.902,-6.585
1750844508619,2025-06-25T12:41:48.619,0.610,87.500,-40.244,16.646
1750844508629,2025-06-25T12:41:48.629,0.620,84.207,-24.329,37.866
1750844508639,2025-06-25T12:41:48.639,0.630,80.427,-8.232,52.744
1750844508649,2025-06-25T12:41:48.649,0.640,75.610,1.951,64.146
1750844508659,2025-06-25T12:41:48.659,0.650,69.329,5.976,75.183
1750844508669,2025-06-25T12:41:48.669,0.660,61.768,5.732,85.000
1750844508679,2025-06-25T12:41:48.679,0.670,52.927,2.683,93.902
1750844508689,2025-06-25T12:41:48.689,0.680,43.659,-0.549,102.988
1750844508699,2025-06-25T12:41:48.699,0.690,35.610,-0.671,110.854
1750844508709,2025-06-25T12:41:48.709,0.700,28.598,2.988,116.524
1750844508719,2025-06-25T12:41:48.719,0.710,21.098,8.293,120.915
1750844508729,2025-06-25T12:41:48.729,0.720,13.841,13.963,124.634
1750844508739,2025-06-25T12:41:48.739,0.730,5.610,20.610,127.683
1750844508749,2025-06-25T12:41:48.749,0.740,-3.476,30.732,131.098
1750844508759,2025-06-25T12:41:48.759,0.750,-11.829,44.512,133.902
1750844508769,2025-06-25T12:41:48.769,0.760,-19.085,59.573,134.634
1750844508779,2025-06-25T12:41:48.779,0.770,-27.805,70.732,132.927
1750844508789,2025-06-25T12:41:48.789,0.780,-37.988,70.976,129.451
1750844508799,2025-06-25T12:41:48.799,0.790,-48.354,61.951,123.232
1750844508809,2025-06-25T12:41:48.809,0.800,-58.354,49.451,114.207
1750844508819,2025-06-25T12:41:48.819,0.810,-67.500,38.415,103.659
1750844508829,2025-06-25T12:41:48.829,0.820,-75.183,31.098,93.537
1750844508839,2025-06-25T12:41:48.839,0.830,-80.549,26.646,84.268
1750844508849,2025-06-25T12:41:48.849,0.840,-84.878,25.366,74.512
1750844508859,2025-06-25T12:41:48.859,0.850,-87.073,27.622,64.756
