epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1750789378593.00,2025-06-24T21:22:58.593,0,0.076,0.048,1.01
1750789378603.00,2025-06-24T21:22:58.603,0.01,0.124,0.037,1.015
1750789378613.00,2025-06-24T21:22:58.613,0.02,0.145,0.028,1.01
1750789378623.00,2025-06-24T21:22:58.623,0.03,0.138,0.03,1.012
1750789378633.00,2025-06-24T21:22:58.633,0.04,0.124,0.031,1.006
1750789378643.00,2025-06-24T21:22:58.643,0.05,0.122,0.037,0.994
1750789378653.00,2025-06-24T21:22:58.653,0.06,0.141,0.04,0.986
1750789378663.00,2025-06-24T21:22:58.663,0.07,0.175,0.03,0.981
1750789378673.00,2025-06-24T21:22:58.673,0.08,0.205,0.019,0.988
1750789378683.00,2025-06-24T21:22:58.683,0.09,0.219,0.011,0.989
1750789378693.00,2025-06-24T21:22:58.693,0.1,0.209,0.008,0.979
1750789378703.00,2025-06-24T21:22:58.703,0.11,0.195,0.006,0.965
1750789378713.00,2025-06-24T21:22:58.713,0.12,0.205,0.008,0.959
1750789378723.00,2025-06-24T21:22:58.723,0.13,0.23,0.005,0.959
1750789378733.00,2025-06-24T21:22:58.733,0.14,0.255,0.005,0.958
1750789378743.00,2025-06-24T21:22:58.743,0.15,0.276,0.002,0.956
1750789378753.00,2025-06-24T21:22:58.753,0.16,0.29,0,0.96
1750789378763.00,2025-06-24T21:22:58.763,0.17,0.299,0.002,0.964
1750789378773.00,2025-06-24T21:22:58.773,0.18,0.321,0.003,0.955
1750789378783.00,2025-06-24T21:22:58.783,0.19,0.337,0.004,0.951
1750789378793.00,2025-06-24T21:22:58.793,0.2,0.34,0.005,0.956
1750789378803.00,2025-06-24T21:22:58.803,0.21,0.335,0.007,0.953
1750789378813.00,2025-06-24T21:22:58.813,0.22,0.319,0.009,0.951
1750789378823.00,2025-06-24T21:22:58.823,0.23,0.306,0.01,0.95
1750789378833.00,2025-06-24T21:22:58.833,0.24,0.312,0.007,0.945
1750789378843.00,2025-06-24T21:22:58.843,0.25,0.349,-0.005,0.956
1750789378853.00,2025-06-24T21:22:58.853,0.26,0.434,0,0.932
1750789378863.00,2025-06-24T21:22:58.863,0.27,0.581,0.006,0.907
1750789378873.00,2025-06-24T21:22:58.873,0.28,0.757,0.015,0.899
1750789378883.00,2025-06-24T21:22:58.883,0.29,0.832,0.003,0.924
1750789378893.00,2025-06-24T21:22:58.893,0.3,0.78,-0.021,0.847
1750789378903.00,2025-06-24T21:22:58.903,0.31,0.556,0.015,0.664
1750789378913.00,2025-06-24T21:22:58.913,0.32,0.068,0.073,0.526
1750789378923.00,2025-06-24T21:22:58.923,0.33,-0.453,0.075,0.442
1750789378933.00,2025-06-24T21:22:58.933,0.34,-0.959,0.099,0.393
1750789378943.00,2025-06-24T21:22:58.943,0.35,-1.41,0.186,0.408
1750789378953.00,2025-06-24T21:22:58.953,0.36,-1.568,0.28,0.448
1750789378963.00,2025-06-24T21:22:58.963,0.37,-1.393,0.292,0.496
1750789378973.00,2025-06-24T21:22:58.973,0.38,-1.034,0.24,0.608
1750789378983.00,2025-06-24T21:22:58.983,0.39,-0.763,0.232,0.737
1750789378993.00,2025-06-24T21:22:58.993,0.4,-0.668,0.217,0.802
1750789379003.00,2025-06-24T21:22:59.003,0.41,-0.682,0.185,0.795
1750789379013.00,2025-06-24T21:22:59.013,0.42,-0.718,0.167,0.792
1750789379023.00,2025-06-24T21:22:59.023,0.43,-0.73,0.175,0.794
1750789379033.00,2025-06-24T21:22:59.033,0.44,-0.768,0.172,0.771
1750789379043.00,2025-06-24T21:22:59.043,0.45,-0.826,0.166,0.741
1750789379053.00,2025-06-24T21:22:59.053,0.46,-0.888,0.163,0.707
1750789379063.00,2025-06-24T21:22:59.063,0.47,-0.917,0.157,0.725
1750789379073.00,2025-06-24T21:22:59.073,0.48,-0.887,0.183,0.777
1750789379083.00,2025-06-24T21:22:59.083,0.49,-0.815,0.183,0.805
1750789379093.00,2025-06-24T21:22:59.093,0.5,-0.676,0.161,0.836
1750789379103.00,2025-06-24T21:22:59.103,0.51,-0.514,0.153,0.878
1750789379113.00,2025-06-24T21:22:59.113,0.52,-0.39,0.122,0.923
1750789379123.00,2025-06-24T21:22:59.123,0.53,-0.305,0.1,0.961
1750789379133.00,2025-06-24T21:22:59.133,0.54,-0.244,0.112,1.006
1750789379143.00,2025-06-24T21:22:59.143,0.55,-0.195,0.13,1.038
1750789379153.00,2025-06-24T21:22:59.153,0.56,-0.166,0.127,1.048
1750789379163.00,2025-06-24T21:22:59.163,0.57,-0.153,0.122,1.052
1750789379173.00,2025-06-24T21:22:59.173,0.58,-0.128,0.117,1.058
1750789379183.00,2025-06-24T21:22:59.183,0.59,-0.09,0.111,1.05
1750789379193.00,2025-06-24T21:22:59.193,0.6,-0.049,0.106,1.052
1750789379203.00,2025-06-24T21:22:59.203,0.61,0.001,0.099,1.049
1750789379213.00,2025-06-24T21:22:59.213,0.62,0.049,0.084,1.047
1750789379223.00,2025-06-24T21:22:59.223,0.63,0.073,0.066,1.039
1750789379233.00,2025-06-24T21:22:59.233,0.64,0.074,0.052,1.035
1750789379243.00,2025-06-24T21:22:59.243,0.65,0.064,0.047,1.037
1750789379253.00,2025-06-24T21:22:59.253,0.66,0.058,0.046,1.021
1750789379263.00,2025-06-24T21:22:59.263,0.67,0.046,0.045,1.004
