epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1750789378605.00,2025-06-24T21:22:58.605,0,-20.244,-106.585,4.39
1750789378615.00,2025-06-24T21:22:58.615,0.01,-19.695,-104.085,4.756
1750789378625.00,2025-06-24T21:22:58.625,0.02,-18.537,-96.098,4.329
1750789378635.00,2025-06-24T21:22:58.635,0.03,-16.646,-87.622,4.207
1750789378645.00,2025-06-24T21:22:58.645,0.04,-15.366,-83.598,4.207
1750789378655.00,2025-06-24T21:22:58.655,0.05,-15.854,-81.463,4.207
1750789378665.00,2025-06-24T21:22:58.665,0.06,-16.037,-78.415,4.39
1750789378675.00,2025-06-24T21:22:58.675,0.07,-15.793,-73.293,4.573
1750789378685.00,2025-06-24T21:22:58.685,0.08,-14.573,-66.28,4.39
1750789378695.00,2025-06-24T21:22:58.695,0.09,-13.598,-59.329,4.329
1750789378705.00,2025-06-24T21:22:58.705,0.1,-12.805,-54.817,3.659
1750789378715.00,2025-06-24T21:22:58.715,0.11,-12.256,-52.073,2.927
1750789378725.00,2025-06-24T21:22:58.725,0.12,-11.585,-49.146,2.134
1750789378735.00,2025-06-24T21:22:58.735,0.13,-10.732,-45.061,1.159
1750789378745.00,2025-06-24T21:22:58.745,0.14,-9.512,-38.72,0.244
1750789378755.00,2025-06-24T21:22:58.755,0.15,-8.11,-30.854,-0.366
1750789378765.00,2025-06-24T21:22:58.765,0.16,-6.463,-21.646,-0.732
1750789378775.00,2025-06-24T21:22:58.775,0.17,-4.634,-10.61,-1.159
1750789378785.00,2025-06-24T21:22:58.785,0.18,-2.927,2.195,-1.341
1750789378795.00,2025-06-24T21:22:58.795,0.19,-0.793,16.707,-1.585
1750789378805.00,2025-06-24T21:22:58.805,0.2,1.951,31.89,-1.768
1750789378815.00,2025-06-24T21:22:58.815,0.21,4.695,45.427,-1.707
1750789378825.00,2025-06-24T21:22:58.825,0.22,7.012,57.256,-1.646
1750789378835.00,2025-06-24T21:22:58.835,0.23,9.085,69.207,-1.524
1750789378845.00,2025-06-24T21:22:58.845,0.24,13.354,86.341,-1.341
1750789378855.00,2025-06-24T21:22:58.855,0.25,20.915,117.622,-1.098
1750789378865.00,2025-06-24T21:22:58.865,0.26,26.037,173.171,-0.366
1750789378875.00,2025-06-24T21:22:58.875,0.27,29.39,257.134,0.549
1750789378885.00,2025-06-24T21:22:58.885,0.28,36.28,367.744,2.012
1750789378895.00,2025-06-24T21:22:58.895,0.29,54.939,493.72,3.72
1750789378905.00,2025-06-24T21:22:58.905,0.3,79.573,608.049,8.659
1750789378915.00,2025-06-24T21:22:58.915,0.31,100.488,687.256,13.841
1750789378925.00,2025-06-24T21:22:58.925,0.32,114.817,706.89,18.963
1750789378935.00,2025-06-24T21:22:58.935,0.33,116.707,644.878,22.439
1750789378945.00,2025-06-24T21:22:58.945,0.34,100.915,515.244,19.39
1750789378955.00,2025-06-24T21:22:58.955,0.35,64.878,347.988,13.78
1750789378965.00,2025-06-24T21:22:58.965,0.36,26.951,185.427,6.524
1750789378975.00,2025-06-24T21:22:58.975,0.37,2.439,66.524,1.646
1750789378985.00,2025-06-24T21:22:58.985,0.38,-7.866,2.439,0.976
1750789378995.00,2025-06-24T21:22:58.995,0.39,-9.329,-19.39,0.366
1750789379005.00,2025-06-24T21:22:59.005,0.4,-8.354,-24.756,1.89
1750789379015.00,2025-06-24T21:22:59.015,0.41,-7.317,-29.756,3.963
1750789379025.00,2025-06-24T21:22:59.025,0.42,-6.341,-38.476,5.122
1750789379035.00,2025-06-24T21:22:59.035,0.43,-5.366,-50.061,6.037
1750789379045.00,2025-06-24T21:22:59.045,0.44,-4.756,-68.049,8.537
1750789379055.00,2025-06-24T21:22:59.055,0.45,-5.427,-96.28,10.61
1750789379065.00,2025-06-24T21:22:59.065,0.46,-7.988,-134.695,10.183
1750789379075.00,2025-06-24T21:22:59.075,0.47,-14.207,-180.183,8.049
1750789379085.00,2025-06-24T21:22:59.085,0.48,-22.805,-225.366,3.11
1750789379095.00,2025-06-24T21:22:59.095,0.49,-29.695,-261.098,-1.707
1750789379105.00,2025-06-24T21:22:59.105,0.5,-33.476,-280,-4.878
1750789379115.00,2025-06-24T21:22:59.115,0.51,-34.634,-282.195,-7.744
1750789379125.00,2025-06-24T21:22:59.125,0.52,-32.134,-274.756,-9.939
1750789379135.00,2025-06-24T21:22:59.135,0.53,-28.963,-261.585,-12.073
1750789379145.00,2025-06-24T21:22:59.145,0.54,-27.256,-246.341,-12.988
1750789379155.00,2025-06-24T21:22:59.155,0.55,-26.585,-230.915,-11.768
1750789379165.00,2025-06-24T21:22:59.165,0.56,-26.22,-217.012,-9.268
1750789379175.00,2025-06-24T21:22:59.175,0.57,-26.646,-204.146,-6.585
1750789379185.00,2025-06-24T21:22:59.185,0.58,-27.195,-191.098,-3.841
1750789379195.00,2025-06-24T21:22:59.195,0.59,-27.866,-177.073,-1.098
1750789379205.00,2025-06-24T21:22:59.205,0.6,-28.171,-160.854,2.012
1750789379215.00,2025-06-24T21:22:59.215,0.61,-27.744,-142.134,4.756
1750789379225.00,2025-06-24T21:22:59.225,0.62,-25.793,-121.768,6.28
1750789379235.00,2025-06-24T21:22:59.235,0.63,-22.927,-101.89,6.524
1750789379245.00,2025-06-24T21:22:59.245,0.64,-20.915,-85.915,5.976
1750789379255.00,2025-06-24T21:22:59.255,0.65,-18.841,-73.78,5
1750789379265.00,2025-06-24T21:22:59.265,0.66,-16.707,-65.915,3.537
1750789379275.00,2025-06-24T21:22:59.275,0.67,-16.22,-62.866,2.5
1750789379285.00,2025-06-24T21:22:59.285,0.68,-15.976,-62.317,1.89
1750789379295.00,2025-06-24T21:22:59.295,0.69,-15.854,-65,1.22
1750789379305.00,2025-06-24T21:22:59.305,0.7,-16.037,-66.829,0.244
1750789379315.00,2025-06-24T21:22:59.315,0.71,-16.707,-65.732,0
1750789379325.00,2025-06-24T21:22:59.325,0.72,-16.707,-59.756,0
1750789379335.00,2025-06-24T21:22:59.335,0.73,-15.122,-49.207,0.183
1750789379345.00,2025-06-24T21:22:59.345,0.74,-13.049,-38.171,0.122
