epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1751285518672,2025-06-30T15:11:58.672,0.000,0.822,-0.185,0.535
1751285518682,2025-06-30T15:11:58.682,0.010,0.874,-0.180,0.508
1751285518692,2025-06-30T15:11:58.692,0.020,0.962,-0.211,0.494
1751285518702,2025-06-30T15:11:58.702,0.030,1.030,-0.241,0.501
1751285518712,2025-06-30T15:11:58.712,0.040,1.036,-0.245,0.510
1751285518722,2025-06-30T15:11:58.722,0.050,0.955,-0.237,0.512
1751285518732,2025-06-30T15:11:58.732,0.060,0.827,-0.228,0.502
1751285518742,2025-06-30T15:11:58.742,0.070,0.734,-0.217,0.505
1751285518752,2025-06-30T15:11:58.752,0.080,0.729,-0.208,0.515
1751285518762,2025-06-30T15:11:58.762,0.090,0.765,-0.215,0.532
1751285518772,2025-06-30T15:11:58.772,0.100,0.745,-0.221,0.543
1751285518782,2025-06-30T15:11:58.782,0.110,0.732,-0.217,0.544
1751285518792,2025-06-30T15:11:58.792,0.120,0.798,-0.221,0.559
1751285518802,2025-06-30T15:11:58.802,0.130,0.865,-0.226,0.564
1751285518812,2025-06-30T15:11:58.812,0.140,0.917,-0.231,0.566
1751285518822,2025-06-30T15:11:58.822,0.150,0.974,-0.239,0.559
1751285518832,2025-06-30T15:11:58.832,0.160,1.019,-0.239,0.564
1751285518842,2025-06-30T15:11:58.842,0.170,1.033,-0.237,0.571
1751285518852,2025-06-30T15:11:58.852,0.180,1.002,-0.232,0.538
1751285518862,2025-06-30T15:11:58.862,0.190,0.833,-0.187,0.591
1751285518872,2025-06-30T15:11:58.872,0.200,0.482,-0.132,0.644
1751285518882,2025-06-30T15:11:58.882,0.210,0.260,-0.135,0.642
1751285518892,2025-06-30T15:11:58.892,0.220,0.043,-0.124,0.736
1751285518902,2025-06-30T15:11:58.902,0.230,-0.385,-0.057,0.897
1751285518912,2025-06-30T15:11:58.912,0.240,-0.590,-0.042,0.910
1751285518922,2025-06-30T15:11:58.922,0.250,-0.483,-0.044,0.891
1751285518932,2025-06-30T15:11:58.932,0.260,-0.342,-0.022,0.887
1751285518942,2025-06-30T15:11:58.942,0.270,-0.194,-0.027,0.877
1751285518952,2025-06-30T15:11:58.952,0.280,0.020,-0.072,0.898
1751285518962,2025-06-30T15:11:58.962,0.290,0.237,-0.102,0.954
1751285518972,2025-06-30T15:11:58.972,0.300,0.384,-0.101,1.024
1751285518982,2025-06-30T15:11:58.982,0.310,0.423,-0.112,1.078
1751285518992,2025-06-30T15:11:58.992,0.320,0.369,-0.120,1.089
1751285519002,2025-06-30T15:11:59.002,0.330,0.260,-0.117,1.080
1751285519012,2025-06-30T15:11:59.012,0.340,0.146,-0.102,1.075
1751285519022,2025-06-30T15:11:59.022,0.350,0.087,-0.076,1.058
1751285519032,2025-06-30T15:11:59.032,0.360,0.058,-0.059,1.040
1751285519042,2025-06-30T15:11:59.042,0.370,0.019,-0.044,1.020
1751285519052,2025-06-30T15:11:59.052,0.380,-0.033,-0.036,1.011
1751285519062,2025-06-30T15:11:59.062,0.390,-0.090,-0.027,1.001
1751285519072,2025-06-30T15:11:59.072,0.400,-0.118,-0.023,0.996
1751285519082,2025-06-30T15:11:59.082,0.410,-0.147,-0.018,1.009
1751285519092,2025-06-30T15:11:59.092,0.420,-0.226,-0.007,1.032
1751285519102,2025-06-30T15:11:59.102,0.430,-0.304,-0.004,1.038
1751285519112,2025-06-30T15:11:59.112,0.440,-0.337,-0.003,1.028
1751285519122,2025-06-30T15:11:59.122,0.450,-0.350,0.010,1.016
1751285519132,2025-06-30T15:11:59.132,0.460,-0.343,0.019,1.003
1751285519142,2025-06-30T15:11:59.142,0.470,-0.318,0.016,1.007
1751285519152,2025-06-30T15:11:59.152,0.480,-0.279,0.006,1.021
1751285519162,2025-06-30T15:11:59.162,0.490,-0.216,-0.010,1.030
1751285519172,2025-06-30T15:11:59.172,0.500,-0.167,-0.019,1.042
1751285519182,2025-06-30T15:11:59.182,0.510,-0.153,-0.017,1.043
1751285519192,2025-06-30T15:11:59.192,0.520,-0.158,-0.008,1.050
1751285519202,2025-06-30T15:11:59.202,0.530,-0.181,0.002,1.037
1751285519212,2025-06-30T15:11:59.212,0.540,-0.202,0.004,1.024
1751285519222,2025-06-30T15:11:59.222,0.550,-0.211,0.001,1.011
1751285519232,2025-06-30T15:11:59.232,0.560,-0.208,0.001,1.001
1751285519242,2025-06-30T15:11:59.242,0.570,-0.200,0.000,1.001
1751285519252,2025-06-30T15:11:59.252,0.580,-0.199,0.010,0.997
1751285519262,2025-06-30T15:11:59.262,0.590,-0.194,0.012,0.996
1751285519272,2025-06-30T15:11:59.272,0.600,-0.200,0.006,1.003
1751285519282,2025-06-30T15:11:59.282,0.610,-0.208,-0.011,1.002
1751285519292,2025-06-30T15:11:59.292,0.620,-0.201,-0.020,1.002
1751285519302,2025-06-30T15:11:59.302,0.630,-0.201,-0.018,0.995
1751285519312,2025-06-30T15:11:59.312,0.640,-0.218,-0.012,0.995
1751285519322,2025-06-30T15:11:59.322,0.650,-0.217,-0.015,1.001
1751285519332,2025-06-30T15:11:59.332,0.660,-0.200,-0.021,1.007
1751285519342,2025-06-30T15:11:59.342,0.670,-0.194,-0.017,1.015
1751285519352,2025-06-30T15:11:59.352,0.680,-0.179,-0.026,1.015
1751285519362,2025-06-30T15:11:59.362,0.690,-0.158,-0.028,1.024
1751285519372,2025-06-30T15:11:59.372,0.700,-0.158,-0.025,1.026
1751285519382,2025-06-30T15:11:59.382,0.710,-0.154,-0.031,1.011
1751285519392,2025-06-30T15:11:59.392,0.720,-0.135,-0.035,1.005
1751285519402,2025-06-30T15:11:59.402,0.730,-0.101,-0.034,1.011
1751285519412,2025-06-30T15:11:59.412,0.740,-0.047,-0.047,0.996
1751285519422,2025-06-30T15:11:59.422,0.750,0.003,-0.053,0.991
1751285519432,2025-06-30T15:11:59.432,0.760,0.028,-0.053,0.977
1751285519442,2025-06-30T15:11:59.442,0.770,0.032,-0.053,0.978
1751285519452,2025-06-30T15:11:59.452,0.780,0.029,-0.061,0.978
1751285519462,2025-06-30T15:11:59.462,0.790,0.040,-0.057,0.953
1751285519472,2025-06-30T15:11:59.472,0.800,0.076,-0.057,0.926
1751285519482,2025-06-30T15:11:59.482,0.810,0.144,-0.073,0.889
1751285519492,2025-06-30T15:11:59.492,0.820,0.298,-0.109,0.824
1751285519502,2025-06-30T15:11:59.502,0.830,0.489,-0.146,0.800
1751285519512,2025-06-30T15:11:59.512,0.840,0.651,-0.172,0.796
