epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1751285518683,2025-06-30T15:11:58.683,0.000,-9.146,-79.939,8.110
1751285518693,2025-06-30T15:11:58.693,0.010,-8.780,-74.024,7.439
1751285518703,2025-06-30T15:11:58.703,0.020,-6.159,-43.415,5.488
1751285518713,2025-06-30T15:11:58.713,0.030,-2.378,1.829,2.500
1751285518723,2025-06-30T15:11:58.723,0.040,1.341,41.951,-0.305
1751285518733,2025-06-30T15:11:58.733,0.050,4.512,67.927,-1.646
1751285518743,2025-06-30T15:11:58.743,0.060,6.463,75.610,-1.768
1751285518753,2025-06-30T15:11:58.753,0.070,6.524,72.195,-2.012
1751285518763,2025-06-30T15:11:58.763,0.080,6.037,71.159,-3.049
1751285518773,2025-06-30T15:11:58.773,0.090,7.317,72.561,-3.232
1751285518783,2025-06-30T15:11:58.783,0.100,7.988,71.646,-1.951
1751285518793,2025-06-30T15:11:58.793,0.110,8.110,76.220,-2.561
1751285518803,2025-06-30T15:11:58.803,0.120,9.878,93.720,-4.268
1751285518813,2025-06-30T15:11:58.813,0.130,12.927,127.012,-5.976
1751285518823,2025-06-30T15:11:58.823,0.140,18.476,177.683,-8.963
1751285518833,2025-06-30T15:11:58.833,0.150,27.256,243.841,-12.744
1751285518843,2025-06-30T15:11:58.843,0.160,38.659,322.317,-16.037
1751285518853,2025-06-30T15:11:58.853,0.170,54.024,410.427,-18.293
1751285518863,2025-06-30T15:11:58.863,0.180,70.244,486.768,-21.098
1751285518873,2025-06-30T15:11:58.873,0.190,81.524,526.768,-22.500
1751285518883,2025-06-30T15:11:58.883,0.200,84.878,539.817,-19.512
1751285518893,2025-06-30T15:11:58.893,0.210,86.829,513.476,-14.878
1751285518903,2025-06-30T15:11:58.903,0.220,81.951,425.854,-12.134
1751285518913,2025-06-30T15:11:58.913,0.230,62.073,301.463,-5.061
1751285518923,2025-06-30T15:11:58.923,0.240,42.378,168.354,3.902
1751285518933,2025-06-30T15:11:58.933,0.250,28.720,54.573,6.463
1751285518943,2025-06-30T15:11:58.943,0.260,16.037,-25.000,5.061
1751285518953,2025-06-30T15:11:58.953,0.270,4.756,-64.817,4.207
1751285518963,2025-06-30T15:11:58.963,0.280,-0.488,-64.085,2.500
1751285518973,2025-06-30T15:11:58.973,0.290,0.000,-32.805,-0.610
1751285518983,2025-06-30T15:11:58.983,0.300,3.598,14.695,-3.415
1751285518993,2025-06-30T15:11:58.993,0.310,9.817,63.232,-5.000
1751285519003,2025-06-30T15:11:59.003,0.320,17.073,100.732,-5.976
1751285519013,2025-06-30T15:11:59.013,0.330,22.683,122.439,-4.390
1751285519023,2025-06-30T15:11:59.023,0.340,25.976,134.329,-1.098
1751285519033,2025-06-30T15:11:59.033,0.350,27.622,144.085,1.585
1751285519043,2025-06-30T15:11:59.043,0.360,28.902,155.122,2.561
1751285519053,2025-06-30T15:11:59.053,0.370,30.061,165.732,1.585
1751285519063,2025-06-30T15:11:59.063,0.380,30.854,171.707,-0.488
1751285519073,2025-06-30T15:11:59.073,0.390,31.220,172.256,-2.866
1751285519083,2025-06-30T15:11:59.083,0.400,30.915,167.805,-4.207
1751285519093,2025-06-30T15:11:59.093,0.410,29.634,154.817,-5.366
1751285519103,2025-06-30T15:11:59.103,0.420,26.402,129.817,-5.854
1751285519113,2025-06-30T15:11:59.113,0.430,21.463,96.280,-4.695
1751285519123,2025-06-30T15:11:59.123,0.440,16.220,61.585,-3.110
