epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1751288959044,2025-06-30T16:09:19.044,0.000,-8.659,59.207,-8.963
1751288959054,2025-06-30T16:09:19.054,0.010,-7.073,63.354,-7.805
1751288959064,2025-06-30T16:09:19.064,0.020,-3.049,78.476,-5.183
1751288959074,2025-06-30T16:09:19.074,0.030,1.037,96.890,-3.354
1751288959084,2025-06-30T16:09:19.084,0.040,5.671,122.073,-2.134
1751288959094,2025-06-30T16:09:19.094,0.050,13.476,165.366,0.793
1751288959104,2025-06-30T16:09:19.104,0.060,25.671,227.988,3.476
1751288959114,2025-06-30T16:09:19.114,0.070,40.610,304.146,6.463
1751288959124,2025-06-30T16:09:19.124,0.080,57.683,387.744,10.061
1751288959134,2025-06-30T16:09:19.134,0.090,75.061,473.232,13.293
1751288959144,2025-06-30T16:09:19.144,0.100,91.524,551.098,16.220
1751288959154,2025-06-30T16:09:19.154,0.110,105.427,605.122,19.756
1751288959164,2025-06-30T16:09:19.164,0.120,111.280,631.159,23.963
1751288959174,2025-06-30T16:09:19.174,0.130,111.037,634.451,29.451
1751288959184,2025-06-30T16:09:19.184,0.140,107.866,610.305,33.293
1751288959194,2025-06-30T16:09:19.194,0.150,98.841,553.659,29.390
1751288959204,2025-06-30T16:09:19.204,0.160,82.439,460.488,18.171
1751288959214,2025-06-30T16:09:19.214,0.170,59.024,338.293,5.671
1751288959224,2025-06-30T16:09:19.224,0.180,34.939,206.829,-2.744
1751288959234,2025-06-30T16:09:19.234,0.190,12.988,88.598,-9.512
1751288959244,2025-06-30T16:09:19.244,0.200,-4.207,-0.915,-13.841
1751288959254,2025-06-30T16:09:19.254,0.210,-16.585,-55.854,-14.085
1751288959264,2025-06-30T16:09:19.264,0.220,-21.829,-77.134,-10.793
1751288959274,2025-06-30T16:09:19.274,0.230,-21.402,-70.427,-6.463
1751288959284,2025-06-30T16:09:19.284,0.240,-16.707,-46.037,-1.402
1751288959294,2025-06-30T16:09:19.294,0.250,-9.573,-14.573,3.354
1751288959304,2025-06-30T16:09:19.304,0.260,-2.256,15.366,7.500
1751288959314,2025-06-30T16:09:19.314,0.270,3.780,37.622,10.366
1751288959324,2025-06-30T16:09:19.324,0.280,7.195,49.390,12.256
1751288959334,2025-06-30T16:09:19.334,0.290,8.476,52.073,12.439
1751288959344,2025-06-30T16:09:19.344,0.300,8.598,47.439,11.220
1751288959354,2025-06-30T16:09:19.354,0.310,7.866,35.000,9.268
1751288959364,2025-06-30T16:09:19.364,0.320,5.122,18.780,7.378
1751288959374,2025-06-30T16:09:19.374,0.330,2.195,4.756,6.159
1751288959384,2025-06-30T16:09:19.384,0.340,0.427,-2.805,5.366
1751288959394,2025-06-30T16:09:19.394,0.350,-0.122,-3.415,5.976
1751288959404,2025-06-30T16:09:19.404,0.360,-0.305,1.646,8.293
1751288959414,2025-06-30T16:09:19.414,0.370,0.183,9.634,12.134
1751288959424,2025-06-30T16:09:19.424,0.380,0.427,16.220,16.585
1751288959434,2025-06-30T16:09:19.434,0.390,-0.061,17.195,20.427
1751288959444,2025-06-30T16:09:19.444,0.400,-1.524,11.402,23.232
1751288959454,2025-06-30T16:09:19.454,0.410,-3.537,1.280,26.037
1751288959464,2025-06-30T16:09:19.464,0.420,-4.268,-8.963,29.085
1751288959474,2025-06-30T16:09:19.474,0.430,-4.390,-15.244,30.854
1751288959484,2025-06-30T16:09:19.484,0.440,-3.841,-15.000,31.098
1751288959494,2025-06-30T16:09:19.494,0.450,-1.159,-11.585,29.268
1751288959504,2025-06-30T16:09:19.504,0.460,2.317,-7.622,27.256
1751288959514,2025-06-30T16:09:19.514,0.470,4.939,-4.695,31.890
1751288959524,2025-06-30T16:09:19.524,0.480,6.829,-10.061,37.561
1751288959534,2025-06-30T16:09:19.534,0.490,8.171,-16.707,35.549
1751288959544,2025-06-30T16:09:19.544,0.500,10.305,-15.305,31.463
1751288959554,2025-06-30T16:09:19.554,0.510,10.854,-11.280,29.939
1751288959564,2025-06-30T16:09:19.564,0.520,9.756,-9.451,29.451
1751288959574,2025-06-30T16:09:19.574,0.530,7.927,-7.439,27.805
1751288959584,2025-06-30T16:09:19.584,0.540,4.268,-4.390,24.146
1751288959594,2025-06-30T16:09:19.594,0.550,-0.854,-4.878,18.720
1751288959604,2025-06-30T16:09:19.604,0.560,-5.915,-10.671,13.659
1751288959614,2025-06-30T16:09:19.614,0.570,-10.122,-21.463,11.280
1751288959624,2025-06-30T16:09:19.624,0.580,-13.841,-39.939,9.939
1751288959634,2025-06-30T16:09:19.634,0.590,-17.317,-67.073,9.573
1751288959644,2025-06-30T16:09:19.644,0.600,-20.122,-100.427,9.695
1751288959654,2025-06-30T16:09:19.654,0.610,-23.049,-135.244,9.573
1751288959664,2025-06-30T16:09:19.664,0.620,-24.878,-171.280,9.878
1751288959674,2025-06-30T16:09:19.674,0.630,-26.585,-208.537,10.915
1751288959684,2025-06-30T16:09:19.684,0.640,-26.707,-245.793,12.439
1751288959694,2025-06-30T16:09:19.694,0.650,-28.171,-279.756,12.805
1751288959704,2025-06-30T16:09:19.704,0.660,-29.512,-305.427,12.012
1751288959714,2025-06-30T16:09:19.714,0.670,-29.329,-324.268,8.537
1751288959724,2025-06-30T16:09:19.724,0.680,-30.244,-338.049,2.195
1751288959734,2025-06-30T16:09:19.734,0.690,-31.768,-350.183,-3.780
1751288959744,2025-06-30T16:09:19.744,0.700,-34.817,-365.305,-8.963
1751288959754,2025-06-30T16:09:19.754,0.710,-40.610,-386.220,-12.561
1751288959764,2025-06-30T16:09:19.764,0.720,-46.768,-407.744,-12.927
1751288959774,2025-06-30T16:09:19.774,0.730,-53.049,-432.012,-12.927
1751288959784,2025-06-30T16:09:19.784,0.740,-58.720,-449.329,-13.598
1751288959794,2025-06-30T16:09:19.794,0.750,-60.000,-450.061,-12.622
1751288959804,2025-06-30T16:09:19.804,0.760,-56.768,-425.854,-10.061
1751288959814,2025-06-30T16:09:19.814,0.770,-50.854,-370.061,-6.646
1751288959824,2025-06-30T16:09:19.824,0.780,-41.524,-295.427,-4.512
1751288959834,2025-06-30T16:09:19.834,0.790,-31.037,-217.134,-3.232
1751288959844,2025-06-30T16:09:19.844,0.800,-21.524,-144.573,-3.232
1751288959854,2025-06-30T16:09:19.854,0.810,-12.317,-83.415,-3.902
1751288959864,2025-06-30T16:09:19.864,0.820,-4.878,-36.098,-5.488
1751288959874,2025-06-30T16:09:19.874,0.830,0.122,-4.329,-6.768
1751288959884,2025-06-30T16:09:19.884,0.840,2.622,13.110,-8.049
1751288959894,2025-06-30T16:09:19.894,0.850,3.232,23.720,-7.317
1751288959904,2025-06-30T16:09:19.904,0.860,3.963,36.037,-5.610
1751288959914,2025-06-30T16:09:19.914,0.870,5.610,52.134,-3.659
1751288959924,2025-06-30T16:09:19.924,0.880,7.622,70.854,-1.341
1751288959934,2025-06-30T16:09:19.934,0.890,9.939,88.415,0.549
1751288959944,2025-06-30T16:09:19.944,0.900,10.732,101.829,1.585
1751288959954,2025-06-30T16:09:19.954,0.910,10.732,113.780,2.500
1751288959964,2025-06-30T16:09:19.964,0.920,12.744,131.829,2.683
1751288959974,2025-06-30T16:09:19.974,0.930,17.439,163.232,2.195
1751288959984,2025-06-30T16:09:19.984,0.940,24.939,213.720,2.866
1751288959994,2025-06-30T16:09:19.994,0.950,35.427,282.988,5.122
1751288960004,2025-06-30T16:09:20.004,0.960,48.720,364.207,8.171
1751288960014,2025-06-30T16:09:20.014,0.970,64.207,449.390,10.732
1751288960024,2025-06-30T16:09:20.024,0.980,79.390,527.988,12.439
1751288960034,2025-06-30T16:09:20.034,0.990,95.854,584.512,11.707
1751288960044,2025-06-30T16:09:20.044,1.000,110.183,616.037,8.720
1751288960054,2025-06-30T16:09:20.054,1.010,117.744,625.854,9.512
1751288960064,2025-06-30T16:09:20.064,1.020,118.598,613.354,13.963
1751288960074,2025-06-30T16:09:20.074,1.030,117.683,569.512,15.427
