epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1750790310615,2025-06-24T21:38:30.615,0.000,0.738,-0.086,0.847
1750790310625,2025-06-24T21:38:30.625,0.010,0.658,-0.062,0.832
1750790310635,2025-06-24T21:38:30.635,0.020,0.636,-0.053,0.810
1750790310645,2025-06-24T21:38:30.645,0.030,0.678,-0.073,0.795
1750790310655,2025-06-24T21:38:30.655,0.040,0.745,-0.091,0.789
1750790310665,2025-06-24T21:38:30.665,0.050,0.792,-0.095,0.806
1750790310675,2025-06-24T21:38:30.675,0.060,0.817,-0.097,0.813
1750790310685,2025-06-24T21:38:30.685,0.070,0.826,-0.095,0.815
1750790310695,2025-06-24T21:38:30.695,0.080,0.868,-0.098,0.815
1750790310705,2025-06-24T21:38:30.705,0.090,0.943,-0.106,0.828
1750790310715,2025-06-24T21:38:30.715,0.100,0.967,-0.106,0.814
1750790310725,2025-06-24T21:38:30.725,0.110,0.873,-0.077,0.803
1750790310735,2025-06-24T21:38:30.735,0.120,0.685,-0.058,0.757
1750790310745,2025-06-24T21:38:30.745,0.130,0.467,-0.040,0.690
1750790310755,2025-06-24T21:38:30.755,0.140,0.243,-0.008,0.669
1750790310765,2025-06-24T21:38:30.765,0.150,-0.002,0.015,0.600
1750790310775,2025-06-24T21:38:30.775,0.160,-0.343,0.060,0.595
1750790310785,2025-06-24T21:38:30.785,0.170,-0.722,0.087,0.608
1750790310795,2025-06-24T21:38:30.795,0.180,-0.884,0.077,0.695
1750790310805,2025-06-24T21:38:30.805,0.190,-0.881,0.092,0.788
1750790310815,2025-06-24T21:38:30.815,0.200,-0.773,0.118,0.869
1750790310825,2025-06-24T21:38:30.825,0.210,-0.581,0.136,0.909
1750790310835,2025-06-24T21:38:30.835,0.220,-0.317,0.154,0.946
1750790310845,2025-06-24T21:38:30.845,0.230,-0.098,0.125,0.974
1750790310855,2025-06-24T21:38:30.855,0.240,0.014,0.074,1.024
1750790310865,2025-06-24T21:38:30.865,0.250,0.006,0.053,1.063
1750790310875,2025-06-24T21:38:30.875,0.260,-0.099,0.067,1.046
1750790310885,2025-06-24T21:38:30.885,0.270,-0.239,0.081,1.003
1750790310895,2025-06-24T21:38:30.895,0.280,-0.351,0.104,0.961
1750790310905,2025-06-24T21:38:30.905,0.290,-0.423,0.124,0.935
1750790310915,2025-06-24T21:38:30.915,0.300,-0.450,0.123,0.929
1750790310925,2025-06-24T21:38:30.925,0.310,-0.432,0.113,0.929
1750790310935,2025-06-24T21:38:30.935,0.320,-0.384,0.104,0.954
1750790310945,2025-06-24T21:38:30.945,0.330,-0.321,0.091,0.989
1750790310955,2025-06-24T21:38:30.955,0.340,-0.273,0.083,1.006
1750790310965,2025-06-24T21:38:30.965,0.350,-0.248,0.090,1.011
