epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1750790310615,2025-06-24T21:38:30.615,0.000,-13.841,-48.720,1.098
1750790310625,2025-06-24T21:38:30.625,0.010,-12.927,-44.634,2.012
1750790310635,2025-06-24T21:38:30.635,0.020,-9.939,-26.463,3.841
1750790310645,2025-06-24T21:38:30.645,0.030,-4.512,0.244,5.854
1750790310655,2025-06-24T21:38:30.655,0.040,0.793,30.427,6.402
1750790310665,2025-06-24T21:38:30.665,0.050,6.585,65.854,6.159
1750790310675,2025-06-24T21:38:30.675,0.060,13.110,106.402,5.854
1750790310685,2025-06-24T21:38:30.685,0.070,20.000,156.159,5.122
1750790310695,2025-06-24T21:38:30.695,0.080,29.207,219.634,4.817
1750790310705,2025-06-24T21:38:30.705,0.090,41.159,296.098,5.610
1750790310715,2025-06-24T21:38:30.715,0.100,51.951,374.817,7.256
1750790310725,2025-06-24T21:38:30.725,0.110,63.476,446.707,7.683
1750790310735,2025-06-24T21:38:30.735,0.120,75.915,501.524,7.866
1750790310745,2025-06-24T21:38:30.745,0.130,85.061,533.110,8.659
1750790310755,2025-06-24T21:38:30.755,0.140,92.256,539.207,9.390
1750790310765,2025-06-24T21:38:30.765,0.150,93.049,514.512,7.012
1750790310775,2025-06-24T21:38:30.775,0.160,88.476,457.927,-1.829
1750790310785,2025-06-24T21:38:30.785,0.170,75.244,359.634,-9.878
1750790310795,2025-06-24T21:38:30.795,0.180,59.390,234.024,-16.829
1750790310805,2025-06-24T21:38:30.805,0.190,43.354,113.232,-21.585
1750790310815,2025-06-24T21:38:30.815,0.200,28.354,20.427,-21.707
1750790310825,2025-06-24T21:38:30.825,0.210,10.671,-31.280,-16.951
1750790310835,2025-06-24T21:38:30.835,0.220,-5.244,-41.585,-11.341
1750790310845,2025-06-24T21:38:30.845,0.230,-10.061,-20.183,-6.829
1750790310855,2025-06-24T21:38:30.855,0.240,-2.988,16.159,-2.195
1750790310865,2025-06-24T21:38:30.865,0.250,6.768,50.732,2.500
1750790310875,2025-06-24T21:38:30.875,0.260,13.232,70.122,6.280
1750790310885,2025-06-24T21:38:30.885,0.270,15.488,70.488,7.927
1750790310895,2025-06-24T21:38:30.895,0.280,13.537,56.768,7.500
1750790310905,2025-06-24T21:38:30.905,0.290,9.207,35.732,5.427
1750790310915,2025-06-24T21:38:30.915,0.300,5.061,13.476,2.988
1750790310925,2025-06-24T21:38:30.925,0.310,1.341,-5.427,0.549
1750790310935,2025-06-24T21:38:30.935,0.320,-1.037,-17.134,-1.280
1750790310945,2025-06-24T21:38:30.945,0.330,-0.854,-20.610,-1.890
1750790310955,2025-06-24T21:38:30.955,0.340,0.671,-16.341,-1.585
1750790310965,2025-06-24T21:38:30.965,0.350,2.134,-7.927,-0.427
1750790310975,2025-06-24T21:38:30.975,0.360,3.659,0.854,1.098
1750790310985,2025-06-24T21:38:30.985,0.370,4.085,6.098,2.134
1750790310995,2025-06-24T21:38:30.995,0.380,3.171,5.366,2.195
1750790311005,2025-06-24T21:38:31.005,0.390,1.159,0.244,1.768
1750790311015,2025-06-24T21:38:31.015,0.400,-1.098,-7.256,1.341
1750790311025,2025-06-24T21:38:31.025,0.410,-2.683,-16.220,0.732
1750790311035,2025-06-24T21:38:31.035,0.420,-4.146,-25.915,-0.244
1750790311045,2025-06-24T21:38:31.045,0.430,-5.610,-36.220,-0.671
1750790311055,2025-06-24T21:38:31.055,0.440,-7.073,-48.354,-0.549
1750790311065,2025-06-24T21:38:31.065,0.450,-9.756,-62.805,-0.610
1750790311075,2025-06-24T21:38:31.075,0.460,-12.561,-78.171,-0.366
1750790311085,2025-06-24T21:38:31.085,0.470,-13.354,-96.890,1.037
1750790311095,2025-06-24T21:38:31.095,0.480,-16.341,-121.098,2.012
1750790311105,2025-06-24T21:38:31.105,0.490,-20.915,-150.732,1.829
1750790311115,2025-06-24T21:38:31.115,0.500,-27.073,-180.366,1.768
1750790311125,2025-06-24T21:38:31.125,0.510,-32.256,-209.451,4.268
1750790311135,2025-06-24T21:38:31.135,0.520,-37.622,-237.500,6.402
1750790311145,2025-06-24T21:38:31.145,0.530,-42.561,-268.110,7.073
1750790311155,2025-06-24T21:38:31.155,0.540,-50.122,-306.646,8.293
1750790311165,2025-06-24T21:38:31.165,0.550,-59.207,-354.695,11.585
1750790311175,2025-06-24T21:38:31.175,0.560,-71.220,-406.280,12.927
1750790311185,2025-06-24T21:38:31.185,0.570,-79.939,-451.037,13.171
1750790311195,2025-06-24T21:38:31.195,0.580,-84.146,-477.805,15.061
1750790311205,2025-06-24T21:38:31.205,0.590,-86.159,-480.427,18.720
1750790311215,2025-06-24T21:38:31.215,0.600,-82.683,-452.805,23.598
1750790311225,2025-06-24T21:38:31.225,0.610,-76.646,-395.305,27.500
1750790311235,2025-06-24T21:38:31.235,0.620,-64.756,-314.146,25.061
1750790311245,2025-06-24T21:38:31.245,0.630,-50.427,-223.110,19.329
1750790311255,2025-06-24T21:38:31.255,0.640,-37.439,-138.963,13.476
1750790311265,2025-06-24T21:38:31.265,0.650,-26.341,-72.744,7.744
1750790311275,2025-06-24T21:38:31.275,0.660,-16.890,-26.585,2.683
1750790311285,2025-06-24T21:38:31.285,0.670,-9.085,3.841,-1.159
1750790311295,2025-06-24T21:38:31.295,0.680,-3.171,23.902,-2.744
1750790311305,2025-06-24T21:38:31.305,0.690,1.768,42.744,-3.232
1750790311315,2025-06-24T21:38:31.315,0.700,7.195,64.634,-2.988
1750790311325,2025-06-24T21:38:31.325,0.710,11.098,83.659,-2.866
1750790311335,2025-06-24T21:38:31.335,0.720,14.207,97.805,-3.659
1750790311345,2025-06-24T21:38:31.345,0.730,17.073,109.024,-4.451
1750790311355,2025-06-24T21:38:31.355,0.740,20.183,123.232,-4.573
1750790311365,2025-06-24T21:38:31.365,0.750,24.024,148.720,-3.963
1750790311375,2025-06-24T21:38:31.375,0.760,30.122,191.280,-3.720
1750790311385,2025-06-24T21:38:31.385,0.770,39.634,250.732,-4.146
1750790311395,2025-06-24T21:38:31.395,0.780,49.756,317.012,-4.817
1750790311405,2025-06-24T21:38:31.405,0.790,59.329,379.573,-5.610
1750790311415,2025-06-24T21:38:31.415,0.800,69.146,431.037,-5.610
1750790311425,2025-06-24T21:38:31.425,0.810,77.927,460.488,-4.329
1750790311435,2025-06-24T21:38:31.435,0.820,84.329,456.463,-3.354
1750790311445,2025-06-24T21:38:31.445,0.830,84.390,412.256,-3.354
1750790311455,2025-06-24T21:38:31.455,0.840,77.622,330.671,-5.488
1750790311465,2025-06-24T21:38:31.465,0.850,60.427,227.073,-12.256
1750790311475,2025-06-24T21:38:31.475,0.860,39.146,123.780,-15.610
1750790311485,2025-06-24T21:38:31.485,0.870,21.159,46.768,-13.232
1750790311495,2025-06-24T21:38:31.495,0.880,10.854,12.012,-11.585
1750790311505,2025-06-24T21:38:31.505,0.890,6.402,13.232,-11.463
1750790311515,2025-06-24T21:38:31.515,0.900,9.207,32.744,-9.573
1750790311525,2025-06-24T21:38:31.525,0.910,14.085,53.476,-6.707
1750790311535,2025-06-24T21:38:31.535,0.920,17.256,66.220,-2.927
1750790311545,2025-06-24T21:38:31.545,0.930,17.500,70.549,1.829
1750790311555,2025-06-24T21:38:31.555,0.940,16.524,68.293,5.244
1750790311565,2025-06-24T21:38:31.565,0.950,14.939,62.317,5.488
1750790311575,2025-06-24T21:38:31.575,0.960,13.598,53.476,3.659
1750790311585,2025-06-24T21:38:31.585,0.970,12.561,40.183,1.890
1750790311595,2025-06-24T21:38:31.595,0.980,10.671,23.415,-0.183
1750790311605,2025-06-24T21:38:31.605,0.990,8.476,7.378,-2.012
1750790311615,2025-06-24T21:38:31.615,1.000,7.378,-3.720,-3.110
1750790311625,2025-06-24T21:38:31.625,1.010,6.524,-6.829,-3.537
1750790311635,2025-06-24T21:38:31.635,1.020,6.159,-3.598,-2.805
1750790311645,2025-06-24T21:38:31.645,1.030,7.073,3.537,-1.524
1750790311655,2025-06-24T21:38:31.655,1.040,7.500,11.646,-0.732
1750790311665,2025-06-24T21:38:31.665,1.050,6.890,18.598,0.183
1750790311675,2025-06-24T21:38:31.675,1.060,6.402,21.585,1.098
1750790311685,2025-06-24T21:38:31.685,1.070,5.427,19.146,1.220
1750790311695,2025-06-24T21:38:31.695,1.080,3.232,11.159,0.671
1750790311705,2025-06-24T21:38:31.705,1.090,0.366,0.061,0.366
1750790311715,2025-06-24T21:38:31.715,1.100,-2.195,-9.695,0.732
1750790311725,2025-06-24T21:38:31.725,1.110,-4.146,-14.390,0.549
1750790311735,2025-06-24T21:38:31.735,1.120,-5.610,-13.963,0.305
1750790311745,2025-06-24T21:38:31.745,1.130,-5.488,-12.622,0.610
1750790311755,2025-06-24T21:38:31.755,1.140,-4.817,-13.476,0.854
1750790311765,2025-06-24T21:38:31.765,1.150,-4.756,-19.146,1.159
1750790311775,2025-06-24T21:38:31.775,1.160,-5.122,-33.049,1.707
1750790311785,2025-06-24T21:38:31.785,1.170,-7.683,-55.000,1.402
1750790311795,2025-06-24T21:38:31.795,1.180,-12.378,-81.341,1.037
1750790311805,2025-06-24T21:38:31.805,1.190,-17.073,-107.805,1.646
1750790311815,2025-06-24T21:38:31.815,1.200,-21.768,-131.341,2.744
1750790311825,2025-06-24T21:38:31.825,1.210,-24.939,-151.646,3.171
1750790311835,2025-06-24T21:38:31.835,1.220,-27.500,-170.000,3.780
1750790311845,2025-06-24T21:38:31.845,1.230,-30.671,-187.561,4.939
1750790311855,2025-06-24T21:38:31.855,1.240,-32.805,-207.256,7.439
1750790311865,2025-06-24T21:38:31.865,1.250,-36.159,-237.439,11.159
1750790311875,2025-06-24T21:38:31.875,1.260,-43.476,-284.512,14.451
1750790311885,2025-06-24T21:38:31.885,1.270,-55.793,-351.220,15.610
1750790311895,2025-06-24T21:38:31.895,1.280,-69.024,-424.634,15.305
1750790311905,2025-06-24T21:38:31.905,1.290,-82.988,-496.220,19.695
1750790311915,2025-06-24T21:38:31.915,1.300,-93.171,-543.171,28.232
1750790311925,2025-06-24T21:38:31.925,1.310,-96.463,-547.012,36.585
1750790311935,2025-06-24T21:38:31.935,1.320,-92.866,-502.622,37.134
1750790311945,2025-06-24T21:38:31.945,1.330,-79.085,-419.878,30.488
1750790311955,2025-06-24T21:38:31.955,1.340,-64.024,-325.854,21.341
1750790311965,2025-06-24T21:38:31.965,1.350,-49.451,-241.220,12.012
1750790311975,2025-06-24T21:38:31.975,1.360,-38.232,-171.585,5.061
1750790311985,2025-06-24T21:38:31.985,1.370,-28.110,-116.220,0.183
1750790311995,2025-06-24T21:38:31.995,1.380,-18.902,-71.646,-3.963
1750790312005,2025-06-24T21:38:32.005,1.390,-9.634,-33.171,-7.622
1750790312015,2025-06-24T21:38:32.015,1.400,-0.732,3.841,-9.451
1750790312025,2025-06-24T21:38:32.025,1.410,7.012,41.159,-9.939
1750790312035,2025-06-24T21:38:32.035,1.420,13.598,77.927,-9.451
1750790312045,2025-06-24T21:38:32.045,1.430,18.537,106.280,-8.232
1750790312055,2025-06-24T21:38:32.055,1.440,21.951,120.549,-7.622
1750790312065,2025-06-24T21:38:32.065,1.450,23.598,119.817,-7.683
1750790312075,2025-06-24T21:38:32.075,1.460,22.561,110.671,-7.317
1750790312085,2025-06-24T21:38:32.085,1.470,20.976,101.768,-6.220
1750790312095,2025-06-24T21:38:32.095,1.480,20.793,102.073,-5.488
1750790312105,2025-06-24T21:38:32.105,1.490,24.207,123.720,-5.366
1750790312115,2025-06-24T21:38:32.115,1.500,30.610,170.122,-5.854
1750790312125,2025-06-24T21:38:32.125,1.510,40.061,238.720,-7.134
1750790312135,2025-06-24T21:38:32.135,1.520,52.134,322.561,-8.537
1750790312145,2025-06-24T21:38:32.145,1.530,66.037,405.305,-9.451
1750790312155,2025-06-24T21:38:32.155,1.540,79.390,472.927,-10.061
1750790312165,2025-06-24T21:38:32.165,1.550,90.427,518.049,-8.476
1750790312175,2025-06-24T21:38:32.175,1.560,97.317,537.683,-5.061
1750790312185,2025-06-24T21:38:32.185,1.570,101.220,537.012,-2.866
1750790312195,2025-06-24T21:38:32.195,1.580,100.610,518.232,-2.683
1750790312205,2025-06-24T21:38:32.205,1.590,96.890,474.329,-5.183
1750790312215,2025-06-24T21:38:32.215,1.600,87.683,404.390,-12.378
1750790312225,2025-06-24T21:38:32.225,1.610,73.110,306.098,-18.415
1750790312235,2025-06-24T21:38:32.235,1.620,59.695,196.768,-23.293
1750790312245,2025-06-24T21:38:32.245,1.630,49.451,98.598,-25.305
1750790312255,2025-06-24T21:38:32.255,1.640,33.841,28.902,-25.183
1750790312265,2025-06-24T21:38:32.265,1.650,9.634,0.000,-19.451
