epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1714823975925,2024-05-04T14:59:35.925,0.000,1.098,5.610,-1.646
1714823975935,2024-05-04T14:59:35.935,0.010,1.220,5.061,-1.646
1714823975945,2024-05-04T14:59:35.945,0.020,0.427,4.512,-1.646
1714823975955,2024-05-04T14:59:35.955,0.030,0.305,4.512,-1.220
1714823975965,2024-05-04T14:59:35.965,0.040,0.366,4.024,-0.793
1714823975975,2024-05-04T14:59:35.975,0.050,0.488,3.049,-0.122
1714823975985,2024-05-04T14:59:35.985,0.060,0.915,2.744,0.488
1714823975995,2024-05-04T14:59:35.995,0.070,0.976,3.110,0.366
1714823976005,2024-05-04T14:59:36.005,0.080,0.976,3.902,0.122
1714823976015,2024-05-04T14:59:36.015,0.090,1.463,4.756,0.183
1714823976025,2024-05-04T14:59:36.025,0.100,1.768,4.817,-0.305
1714823976035,2024-05-04T14:59:36.035,0.110,2.195,4.390,-0.854
1714823976045,2024-05-04T14:59:36.045,0.120,2.500,4.878,-1.037
1714823976055,2024-05-04T14:59:36.055,0.130,3.293,6.463,-1.341
1714823976065,2024-05-04T14:59:36.065,0.140,4.756,8.476,-1.341
1714823976075,2024-05-04T14:59:36.075,0.150,4.390,8.902,-1.463
1714823976085,2024-05-04T14:59:36.085,0.160,3.049,8.110,-1.768
1714823976095,2024-05-04T14:59:36.095,0.170,2.683,6.220,-1.463
1714823976105,2024-05-04T14:59:36.105,0.180,2.683,3.293,-0.976
1714823976115,2024-05-04T14:59:36.115,0.190,3.293,1.159,-0.122
1714823976125,2024-05-04T14:59:36.125,0.200,4.268,0.732,0.305
1714823976135,2024-05-04T14:59:36.135,0.210,4.634,1.524,0.488
1714823976145,2024-05-04T14:59:36.145,0.220,4.817,2.683,0.671
1714823976155,2024-05-04T14:59:36.155,0.230,5.488,3.598,0.976
1714823976165,2024-05-04T14:59:36.165,0.240,5.976,3.659,1.098
1714823976175,2024-05-04T14:59:36.175,0.250,5.976,2.866,1.220
1714823976185,2024-05-04T14:59:36.185,0.260,5.183,3.171,2.134
1714823976195,2024-05-04T14:59:36.195,0.270,4.817,4.939,3.049
1714823976205,2024-05-04T14:59:36.205,0.280,5.305,6.159,3.232
1714823976215,2024-05-04T14:59:36.215,0.290,5.000,5.732,3.476
1714823976225,2024-05-04T14:59:36.225,0.300,4.268,5.122,3.720
1714823976235,2024-05-04T14:59:36.235,0.310,3.659,4.024,3.354
1714823976245,2024-05-04T14:59:36.245,0.320,3.780,3.293,3.780
1714823976255,2024-05-04T14:59:36.255,0.330,4.024,3.659,4.207
1714823976265,2024-05-04T14:59:36.265,0.340,4.024,4.878,4.146
1714823976275,2024-05-04T14:59:36.275,0.350,4.268,5.671,4.878
1714823976285,2024-05-04T14:59:36.285,0.360,4.085,3.598,5.549
1714823976295,2024-05-04T14:59:36.295,0.370,4.329,-0.671,6.220
1714823976305,2024-05-04T14:59:36.305,0.380,6.220,-6.768,8.171
1714823976315,2024-05-04T14:59:36.315,0.390,7.561,-16.280,8.841
1714823976325,2024-05-04T14:59:36.325,0.400,8.110,-27.927,10.366
1714823976335,2024-05-04T14:59:36.335,0.410,8.537,-40.427,13.780
1714823976345,2024-05-04T14:59:36.345,0.420,7.988,-51.402,15.854
1714823976355,2024-05-04T14:59:36.355,0.430,6.585,-59.756,17.134
1714823976365,2024-05-04T14:59:36.365,0.440,5.610,-62.012,18.049
1714823976375,2024-05-04T14:59:36.375,0.450,7.378,-62.012,18.415
1714823976385,2024-05-04T14:59:36.385,0.460,9.573,-69.939,18.293
1714823976395,2024-05-04T14:59:36.395,0.470,11.829,-88.354,19.085
1714823976405,2024-05-04T14:59:36.405,0.480,14.512,-110.305,19.573
1714823976415,2024-05-04T14:59:36.415,0.490,18.110,-120.427,19.756
1714823976425,2024-05-04T14:59:36.425,0.500,21.098,-113.110,15.976
1714823976435,2024-05-04T14:59:36.435,0.510,25.671,-93.476,9.085
1714823976445,2024-05-04T14:59:36.445,0.520,31.951,-68.659,5.061
1714823976455,2024-05-04T14:59:36.455,0.530,34.817,-44.329,-0.122
1714823976465,2024-05-04T14:59:36.465,0.540,35.549,-19.024,-6.829
1714823976475,2024-05-04T14:59:36.475,0.550,39.573,5.854,-16.707
1714823976485,2024-05-04T14:59:36.485,0.560,46.280,23.476,-29.817
1714823976495,2024-05-04T14:59:36.495,0.570,50.366,33.476,-41.463
1714823976505,2024-05-04T14:59:36.505,0.580,51.280,41.890,-59.573
1714823976515,2024-05-04T14:59:36.515,0.590,52.378,55.854,-79.695
1714823976525,2024-05-04T14:59:36.525,0.600,51.646,68.902,-90.732
1714823976535,2024-05-04T14:59:36.535,0.610,43.415,74.939,-96.524
1714823976545,2024-05-04T14:59:36.545,0.620,29.085,89.329,-109.756
1714823976555,2024-05-04T14:59:36.555,0.630,24.878,117.500,-115.366
1714823976565,2024-05-04T14:59:36.565,0.640,13.232,122.927,-112.927
1714823976575,2024-05-04T14:59:36.575,0.650,-8.476,108.476,-119.878
1714823976585,2024-05-04T14:59:36.585,0.660,9.268,114.817,-112.256
1714823976595,2024-05-04T14:59:36.595,0.670,13.841,124.817,-95.366
1714823976605,2024-05-04T14:59:36.605,0.680,-15.854,117.500,-106.402
1714823976615,2024-05-04T14:59:36.615,0.690,-44.390,103.720,-94.512
1714823976625,2024-05-04T14:59:36.625,0.700,-82.683,113.293,-65.976
1714823976635,2024-05-04T14:59:36.635,0.710,-116.280,164.085,-42.744
1714823976645,2024-05-04T14:59:36.645,0.720,-130.854,229.939,-20.854
1714823976655,2024-05-04T14:59:36.655,0.730,-140.732,275.854,-4.695
1714823976665,2024-05-04T14:59:36.665,0.740,-149.634,301.280,7.073
1714823976675,2024-05-04T14:59:36.675,0.750,-140.122,317.805,20.610
1714823976685,2024-05-04T14:59:36.685,0.760,-126.890,311.585,37.622
1714823976695,2024-05-04T14:59:36.695,0.770,-120.000,278.232,71.037
1714823976705,2024-05-04T14:59:36.705,0.780,-101.098,236.098,114.878
1714823976715,2024-05-04T14:59:36.715,0.790,-64.695,163.902,141.829
1714823976725,2024-05-04T14:59:36.725,0.800,-52.561,84.146,158.049
1714823976735,2024-05-04T14:59:36.735,0.810,-44.329,66.707,176.098
1714823976745,2024-05-04T14:59:36.745,0.820,-19.146,36.951,137.744
1714823976755,2024-05-04T14:59:36.755,0.830,-9.024,6.402,86.585
1714823976765,2024-05-04T14:59:36.765,0.840,3.415,11.280,100.305
1714823976775,2024-05-04T14:59:36.775,0.850,23.659,1.890,117.988
1714823976785,2024-05-04T14:59:36.785,0.860,45.671,-32.317,84.146
1714823976795,2024-05-04T14:59:36.795,0.870,58.415,-56.768,55.000
1714823976805,2024-05-04T14:59:36.805,0.880,60.671,-57.927,49.329
1714823976815,2024-05-04T14:59:36.815,0.890,62.866,-53.415,39.268
1714823976825,2024-05-04T14:59:36.825,0.900,62.195,-53.354,23.354
1714823976835,2024-05-04T14:59:36.835,0.910,57.988,-54.878,9.756
1714823976845,2024-05-04T14:59:36.845,0.920,53.659,-49.939,0.427
1714823976855,2024-05-04T14:59:36.855,0.930,51.646,-37.134,-6.646
1714823976865,2024-05-04T14:59:36.865,0.940,48.902,-24.207,-15.488
1714823976875,2024-05-04T14:59:36.875,0.950,45.976,-15.610,-24.939
1714823976885,2024-05-04T14:59:36.885,0.960,44.085,-16.890,-30.000
1714823976895,2024-05-04T14:59:36.895,0.970,39.817,-26.646,-36.098
1714823976905,2024-05-04T14:59:36.905,0.980,32.500,-44.024,-42.012
1714823976915,2024-05-04T14:59:36.915,0.990,27.073,-67.500,-46.707
1714823976925,2024-05-04T14:59:36.925,1.000,26.159,-84.817,-48.537
1714823976935,2024-05-04T14:59:36.935,1.010,21.402,-78.780,-44.634
1714823976945,2024-05-04T14:59:36.945,1.020,13.780,-55.061,-42.012
1714823976955,2024-05-04T14:59:36.955,1.030,9.024,-30.488,-41.585
1714823976965,2024-05-04T14:59:36.965,1.040,7.378,-14.024,-47.073
1714823976975,2024-05-04T14:59:36.975,1.050,10.000,3.720,-48.415
1714823976985,2024-05-04T14:59:36.985,1.060,7.561,19.085,-37.073
1714823976995,2024-05-04T14:59:36.995,1.070,0.305,43.841,-30.671
1714823977005,2024-05-04T14:59:37.005,1.080,-3.476,71.220,-25.244
1714823977015,2024-05-04T14:59:37.015,1.090,-6.585,78.476,-18.902
1714823977025,2024-05-04T14:59:37.025,1.100,-12.195,68.659,-13.415
1714823977035,2024-05-04T14:59:37.035,1.110,-19.756,56.463,-7.439
1714823977045,2024-05-04T14:59:37.045,1.120,-27.500,48.293,-3.232
1714823977055,2024-05-04T14:59:37.055,1.130,-31.951,44.939,-0.549
1714823977065,2024-05-04T14:59:37.065,1.140,-30.000,46.037,2.317
1714823977075,2024-05-04T14:59:37.075,1.150,-23.537,42.134,3.476
1714823977085,2024-05-04T14:59:37.085,1.160,-17.195,25.976,2.805
1714823977095,2024-05-04T14:59:37.095,1.170,-13.720,6.280,3.049
1714823977105,2024-05-04T14:59:37.105,1.180,-10.488,-5.976,3.902
1714823977115,2024-05-04T14:59:37.115,1.190,-7.073,-8.659,4.817
1714823977125,2024-05-04T14:59:37.125,1.200,-5.366,-3.171,5.122
1714823977135,2024-05-04T14:59:37.135,1.210,-1.951,1.951,4.451
1714823977145,2024-05-04T14:59:37.145,1.220,0.793,-1.341,5.061
1714823977155,2024-05-04T14:59:37.155,1.230,0.732,-10.427,7.439
1714823977165,2024-05-04T14:59:37.165,1.240,0.122,-20.305,8.293
1714823977175,2024-05-04T14:59:37.175,1.250,0.976,-27.561,7.683
1714823977185,2024-05-04T14:59:37.185,1.260,2.622,-32.988,7.927
1714823977195,2024-05-04T14:59:37.195,1.270,2.927,-36.159,9.939
1714823977205,2024-05-04T14:59:37.205,1.280,2.988,-35.976,12.927
1714823977215,2024-05-04T14:59:37.215,1.290,4.329,-40.122,15.732
1714823977225,2024-05-04T14:59:37.225,1.300,3.598,-47.988,19.634
1714823977235,2024-05-04T14:59:37.235,1.310,0.488,-53.720,22.805
1714823977245,2024-05-04T14:59:37.245,1.320,-1.524,-62.195,23.415
1714823977255,2024-05-04T14:59:37.255,1.330,-1.524,-77.378,22.744
1714823977265,2024-05-04T14:59:37.265,1.340,0.061,-101.829,22.805
