epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1714823555696,2024-05-04T14:52:35.696,0.000,-0.006,0.206,0.986
1714823555706,2024-05-04T14:52:35.706,0.010,-0.015,0.207,0.995
1714823555716,2024-05-04T14:52:35.716,0.020,-0.021,0.205,0.994
1714823555726,2024-05-04T14:52:35.726,0.030,-0.018,0.198,0.989
1714823555736,2024-05-04T14:52:35.736,0.040,-0.023,0.192,0.992
1714823555746,2024-05-04T14:52:35.746,0.050,-0.021,0.188,0.992
1714823555756,2024-05-04T14:52:35.756,0.060,-0.012,0.186,0.982
1714823555766,2024-05-04T14:52:35.766,0.070,-0.021,0.200,0.977
1714823555776,2024-05-04T14:52:35.776,0.080,-0.038,0.212,0.981
1714823555786,2024-05-04T14:52:35.786,0.090,-0.049,0.205,0.988
1714823555796,2024-05-04T14:52:35.796,0.100,-0.041,0.194,0.990
1714823555806,2024-05-04T14:52:35.806,0.110,-0.020,0.190,0.987
1714823555816,2024-05-04T14:52:35.816,0.120,-0.010,0.189,0.990
1714823555826,2024-05-04T14:52:35.826,0.130,-0.011,0.191,0.990
1714823555836,2024-05-04T14:52:35.836,0.140,-0.016,0.196,0.987
1714823555846,2024-05-04T14:52:35.846,0.150,-0.025,0.208,0.988
1714823555856,2024-05-04T14:52:35.856,0.160,-0.032,0.207,0.992
1714823555866,2024-05-04T14:52:35.866,0.170,-0.027,0.197,0.991
1714823555876,2024-05-04T14:52:35.876,0.180,-0.009,0.185,0.986
1714823555886,2024-05-04T14:52:35.886,0.190,0.004,0.192,0.984
1714823555896,2024-05-04T14:52:35.896,0.200,0.003,0.203,0.982
1714823555906,2024-05-04T14:52:35.906,0.210,-0.008,0.203,0.984
1714823555916,2024-05-04T14:52:35.916,0.220,-0.012,0.204,0.987
1714823555926,2024-05-04T14:52:35.926,0.230,-0.013,0.209,0.991
1714823555936,2024-05-04T14:52:35.936,0.240,-0.007,0.205,0.990
1714823555946,2024-05-04T14:52:35.946,0.250,-0.001,0.197,0.995
1714823555956,2024-05-04T14:52:35.956,0.260,0.011,0.188,0.993
1714823555966,2024-05-04T14:52:35.966,0.270,0.019,0.189,0.988
1714823555976,2024-05-04T14:52:35.976,0.280,0.011,0.195,0.987
1714823555986,2024-05-04T14:52:35.986,0.290,-0.010,0.203,0.993
1714823555996,2024-05-04T14:52:35.996,0.300,-0.025,0.209,0.992
1714823556006,2024-05-04T14:52:36.006,0.310,-0.026,0.197,0.989
1714823556016,2024-05-04T14:52:36.016,0.320,-0.021,0.188,0.989
1714823556026,2024-05-04T14:52:36.026,0.330,-0.014,0.184,0.984
1714823556036,2024-05-04T14:52:36.036,0.340,-0.012,0.183,0.981
1714823556046,2024-05-04T14:52:36.046,0.350,-0.014,0.181,0.979
1714823556056,2024-05-04T14:52:36.056,0.360,-0.016,0.190,0.977
1714823556066,2024-05-04T14:52:36.066,0.370,-0.030,0.209,0.981
1714823556076,2024-05-04T14:52:36.076,0.380,-0.042,0.207,0.978
1714823556086,2024-05-04T14:52:36.086,0.390,-0.028,0.191,0.984
1714823556096,2024-05-04T14:52:36.096,0.400,-0.003,0.185,0.979
1714823556106,2024-05-04T14:52:36.106,0.410,-0.010,0.183,0.963
1714823556116,2024-05-04T14:52:36.116,0.420,-0.038,0.191,0.958
1714823556126,2024-05-04T14:52:36.126,0.430,-0.021,0.201,0.963
1714823556136,2024-05-04T14:52:36.136,0.440,-0.011,0.203,0.975
1714823556146,2024-05-04T14:52:36.146,0.450,-0.022,0.209,0.980
1714823556156,2024-05-04T14:52:36.156,0.460,-0.020,0.221,0.984
1714823556166,2024-05-04T14:52:36.166,0.470,-0.000,0.215,0.992
1714823556176,2024-05-04T14:52:36.176,0.480,0.007,0.189,0.997
1714823556186,2024-05-04T14:52:36.186,0.490,0.021,0.185,0.998
1714823556196,2024-05-04T14:52:36.196,0.500,0.058,0.199,0.995
1714823556206,2024-05-04T14:52:36.206,0.510,0.054,0.221,0.977
1714823556216,2024-05-04T14:52:36.216,0.520,0.013,0.240,0.986
1714823556226,2024-05-04T14:52:36.226,0.530,-0.036,0.242,1.002
1714823556236,2024-05-04T14:52:36.236,0.540,-0.076,0.223,1.027
1714823556246,2024-05-04T14:52:36.246,0.550,-0.084,0.218,1.055
1714823556256,2024-05-04T14:52:36.256,0.560,-0.050,0.219,1.066
1714823556266,2024-05-04T14:52:36.266,0.570,-0.028,0.221,1.061
1714823556276,2024-05-04T14:52:36.276,0.580,-0.015,0.250,1.040
1714823556286,2024-05-04T14:52:36.286,0.590,-0.043,0.286,1.002
1714823556296,2024-05-04T14:52:36.296,0.600,-0.133,0.322,0.963
1714823556306,2024-05-04T14:52:36.306,0.610,-0.187,0.342,0.956
1714823556316,2024-05-04T14:52:36.316,0.620,-0.189,0.314,0.961
1714823556326,2024-05-04T14:52:36.326,0.630,-0.221,0.267,0.979
1714823556336,2024-05-04T14:52:36.336,0.640,-0.288,0.240,0.980
1714823556346,2024-05-04T14:52:36.346,0.650,-0.389,0.229,0.945
1714823556356,2024-05-04T14:52:36.356,0.660,-0.506,0.213,0.875
1714823556366,2024-05-04T14:52:36.366,0.670,-0.587,0.206,0.783
1714823556376,2024-05-04T14:52:36.376,0.680,-0.624,0.205,0.683
1714823556386,2024-05-04T14:52:36.386,0.690,-0.669,0.175,0.587
1714823556396,2024-05-04T14:52:36.396,0.700,-0.709,0.135,0.550
1714823556406,2024-05-04T14:52:36.406,0.710,-0.688,0.107,0.567
1714823556416,2024-05-04T14:52:36.416,0.720,-0.595,0.083,0.599
1714823556426,2024-05-04T14:52:36.426,0.730,-0.479,0.083,0.610
1714823556436,2024-05-04T14:52:36.436,0.740,-0.440,0.096,0.528
1714823556446,2024-05-04T14:52:36.446,0.750,-0.604,0.070,0.390
1714823556456,2024-05-04T14:52:36.456,0.760,-0.726,0.114,0.255
1714823556466,2024-05-04T14:52:36.466,0.770,-0.714,0.186,0.209
1714823556476,2024-05-04T14:52:36.476,0.780,-0.707,0.149,0.239
1714823556486,2024-05-04T14:52:36.486,0.790,-0.853,0.187,0.227
1714823556496,2024-05-04T14:52:36.496,0.800,-1.053,0.255,0.222
1714823556506,2024-05-04T14:52:36.506,0.810,-1.060,0.292,0.338
1714823556516,2024-05-04T14:52:36.516,0.820,-0.913,0.281,0.525
1714823556526,2024-05-04T14:52:36.526,0.830,-0.831,0.225,0.615
1714823556536,2024-05-04T14:52:36.536,0.840,-0.610,0.296,0.723
1714823556546,2024-05-04T14:52:36.546,0.850,-0.338,0.431,0.885
1714823556556,2024-05-04T14:52:36.556,0.860,-0.401,0.431,0.946
1714823556566,2024-05-04T14:52:36.566,0.870,-0.661,0.352,0.938
1714823556576,2024-05-04T14:52:36.576,0.880,-0.778,0.336,0.969
1714823556586,2024-05-04T14:52:36.586,0.890,-0.803,0.317,0.999
1714823556596,2024-05-04T14:52:36.596,0.900,-0.887,0.274,0.947
1714823556606,2024-05-04T14:52:36.606,0.910,-0.984,0.296,0.892
1714823556616,2024-05-04T14:52:36.616,0.920,-1.046,0.333,0.847
1714823556626,2024-05-04T14:52:36.626,0.930,-1.048,0.331,0.849
1714823556636,2024-05-04T14:52:36.636,0.940,-1.009,0.344,0.903
1714823556646,2024-05-04T14:52:36.646,0.950,-0.961,0.364,0.957
1714823556656,2024-05-04T14:52:36.656,0.960,-0.928,0.319,1.002
1714823556666,2024-05-04T14:52:36.666,0.970,-0.887,0.275,1.078
1714823556676,2024-05-04T14:52:36.676,0.980,-0.854,0.254,1.119
1714823556686,2024-05-04T14:52:36.686,0.990,-0.835,0.248,1.099
1714823556696,2024-05-04T14:52:36.696,1.000,-0.846,0.259,1.050
1714823556706,2024-05-04T14:52:36.706,1.010,-0.982,0.269,0.926
1714823556716,2024-05-04T14:52:36.716,1.020,-1.146,0.278,0.831
1714823556726,2024-05-04T14:52:36.726,1.030,-1.254,0.276,0.766
1714823556736,2024-05-04T14:52:36.736,1.040,-1.294,0.255,0.733
1714823556746,2024-05-04T14:52:36.746,1.050,-1.162,0.214,0.737
1714823556756,2024-05-04T14:52:36.756,1.060,-0.892,0.180,0.760
1714823556766,2024-05-04T14:52:36.766,1.070,-0.671,0.157,0.752
1714823556776,2024-05-04T14:52:36.776,1.080,-0.646,0.152,0.687
1714823556786,2024-05-04T14:52:36.786,1.090,-0.828,0.155,0.704
1714823556796,2024-05-04T14:52:36.796,1.100,-0.783,0.144,0.626
1714823556806,2024-05-04T14:52:36.806,1.110,-0.317,0.121,0.568
1714823556816,2024-05-04T14:52:36.816,1.120,0.111,0.156,0.567
1714823556826,2024-05-04T14:52:36.826,1.130,0.285,0.132,0.611
1714823556836,2024-05-04T14:52:36.836,1.140,0.458,0.042,0.607
1714823556846,2024-05-04T14:52:36.846,1.150,0.686,0.039,0.721
1714823556856,2024-05-04T14:52:36.856,1.160,0.604,0.081,0.870
1714823556866,2024-05-04T14:52:36.866,1.170,0.343,0.100,0.925
1714823556876,2024-05-04T14:52:36.876,1.180,0.160,0.088,0.930
1714823556886,2024-05-04T14:52:36.886,1.190,0.133,0.105,0.993
1714823556896,2024-05-04T14:52:36.896,1.200,0.224,0.192,1.040
1714823556906,2024-05-04T14:52:36.906,1.210,0.372,0.325,0.984
1714823556916,2024-05-04T14:52:36.916,1.220,0.385,0.435,0.847
1714823556926,2024-05-04T14:52:36.926,1.230,-0.086,0.241,0.925
1714823556936,2024-05-04T14:52:36.936,1.240,-0.334,0.183,0.874
1714823556946,2024-05-04T14:52:36.946,1.250,-0.166,0.341,0.831
1714823556956,2024-05-04T14:52:36.956,1.260,-0.146,0.308,0.825
1714823556966,2024-05-04T14:52:36.966,1.270,-0.270,0.174,0.824
