epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1714823555708,2024-05-04T14:52:35.708,0.000,0.183,-0.854,-1.951
1714823555718,2024-05-04T14:52:35.718,0.010,-0.061,-1.585,-2.195
1714823555728,2024-05-04T14:52:35.728,0.020,-0.366,-1.280,-1.951
1714823555738,2024-05-04T14:52:35.738,0.030,-0.244,-1.220,-2.073
1714823555748,2024-05-04T14:52:35.748,0.040,-0.305,-1.159,-2.073
1714823555758,2024-05-04T14:52:35.758,0.050,-0.183,-0.366,-2.195
1714823555768,2024-05-04T14:52:35.768,0.060,0.854,0.915,-1.585
1714823555778,2024-05-04T14:52:35.778,0.070,1.037,1.098,-0.976
1714823555788,2024-05-04T14:52:35.788,0.080,-0.366,-0.488,-0.488
1714823555798,2024-05-04T14:52:35.798,0.090,-1.220,-2.500,0.061
1714823555808,2024-05-04T14:52:35.808,0.100,-1.098,-3.415,0.549
1714823555818,2024-05-04T14:52:35.818,0.110,-0.427,-2.683,0.976
1714823555828,2024-05-04T14:52:35.828,0.120,0.366,-0.854,1.037
1714823555838,2024-05-04T14:52:35.838,0.130,1.220,0.427,1.159
1714823555848,2024-05-04T14:52:35.848,0.140,1.829,0.488,1.524
1714823555858,2024-05-04T14:52:35.858,0.150,1.280,-0.610,1.890
1714823555868,2024-05-04T14:52:35.868,0.160,0.000,-1.768,1.951
1714823555878,2024-05-04T14:52:35.878,0.170,-0.122,-2.439,1.768
1714823555888,2024-05-04T14:52:35.888,0.180,0.488,-1.890,1.951
1714823555898,2024-05-04T14:52:35.898,0.190,0.854,-0.488,2.134
1714823555908,2024-05-04T14:52:35.908,0.200,0.793,0.244,1.890
1714823555918,2024-05-04T14:52:35.918,0.210,0.732,-0.122,1.585
1714823555928,2024-05-04T14:52:35.928,0.220,0.488,-1.463,1.402
1714823555938,2024-05-04T14:52:35.938,0.230,-0.305,-2.683,1.159
1714823555948,2024-05-04T14:52:35.948,0.240,-0.915,-3.049,0.854
1714823555958,2024-05-04T14:52:35.958,0.250,-0.671,-2.256,0.488
1714823555968,2024-05-04T14:52:35.968,0.260,0.183,-0.427,0.183
1714823555978,2024-05-04T14:52:35.978,0.270,1.098,1.707,-0.061
1714823555988,2024-05-04T14:52:35.988,0.280,1.646,3.110,-0.183
1714823555998,2024-05-04T14:52:35.998,0.290,1.341,2.805,-0.305
1714823556008,2024-05-04T14:52:36.008,0.300,0.183,1.220,-0.549
1714823556018,2024-05-04T14:52:36.018,0.310,-0.183,0.183,-0.610
1714823556028,2024-05-04T14:52:36.028,0.320,0.366,0.244,-0.488
1714823556038,2024-05-04T14:52:36.038,0.330,0.732,1.037,-0.244
1714823556048,2024-05-04T14:52:36.048,0.340,0.915,2.073,0.000
1714823556058,2024-05-04T14:52:36.058,0.350,1.463,3.598,0.488
1714823556068,2024-05-04T14:52:36.068,0.360,1.890,4.390,1.159
1714823556078,2024-05-04T14:52:36.078,0.370,1.220,3.963,1.220
1714823556088,2024-05-04T14:52:36.088,0.380,0.671,2.012,0.549
1714823556098,2024-05-04T14:52:36.098,0.390,0.671,1.707,0.305
1714823556108,2024-05-04T14:52:36.108,0.400,2.256,4.329,0.610
1714823556118,2024-05-04T14:52:36.118,0.410,3.659,6.159,1.768
1714823556128,2024-05-04T14:52:36.128,0.420,4.817,6.463,1.037
1714823556138,2024-05-04T14:52:36.138,0.430,5.427,5.793,-0.061
1714823556148,2024-05-04T14:52:36.148,0.440,5.488,5.671,0.366
1714823556158,2024-05-04T14:52:36.158,0.450,5.732,7.317,0.671
1714823556168,2024-05-04T14:52:36.168,0.460,4.695,9.451,0.000
1714823556178,2024-05-04T14:52:36.178,0.470,3.476,11.890,-0.793
1714823556188,2024-05-04T14:52:36.188,0.480,4.390,18.232,-1.159
1714823556198,2024-05-04T14:52:36.198,0.490,6.341,29.085,-2.988
1714823556208,2024-05-04T14:52:36.208,0.500,8.232,40.305,-5.732
1714823556218,2024-05-04T14:52:36.218,0.510,7.988,53.293,-7.500
1714823556228,2024-05-04T14:52:36.228,0.520,7.073,66.280,-10.610
1714823556238,2024-05-04T14:52:36.238,0.530,7.134,75.671,-15.976
1714823556248,2024-05-04T14:52:36.248,0.540,9.329,79.268,-20.366
1714823556258,2024-05-04T14:52:36.258,0.550,9.939,78.902,-22.317
1714823556268,2024-05-04T14:52:36.268,0.560,9.451,80.854,-22.927
1714823556278,2024-05-04T14:52:36.278,0.570,10.915,90.976,-24.207
1714823556288,2024-05-04T14:52:36.288,0.580,12.439,106.829,-27.866
1714823556298,2024-05-04T14:52:36.298,0.590,11.646,123.720,-32.500
1714823556308,2024-05-04T14:52:36.308,0.600,7.317,140.000,-36.707
1714823556318,2024-05-04T14:52:36.318,0.610,3.293,158.049,-40.610
1714823556328,2024-05-04T14:52:36.328,0.620,3.110,182.805,-43.598
1714823556338,2024-05-04T14:52:36.338,0.630,6.159,214.817,-42.805
1714823556348,2024-05-04T14:52:36.348,0.640,8.476,240.488,-40.976
1714823556358,2024-05-04T14:52:36.358,0.650,8.902,256.890,-39.878
1714823556368,2024-05-04T14:52:36.368,0.660,10.488,273.232,-36.524
1714823556378,2024-05-04T14:52:36.378,0.670,12.256,291.037,-29.817
1714823556388,2024-05-04T14:52:36.388,0.680,13.476,308.110,-21.098
1714823556398,2024-05-04T14:52:36.398,0.690,16.951,318.537,-10.976
1714823556408,2024-05-04T14:52:36.408,0.700,21.646,316.951,2.378
1714823556418,2024-05-04T14:52:36.418,0.710,24.085,311.220,17.195
1714823556428,2024-05-04T14:52:36.428,0.720,22.073,306.341,30.671
1714823556438,2024-05-04T14:52:36.438,0.730,14.756,302.256,41.829
1714823556448,2024-05-04T14:52:36.448,0.740,4.024,297.256,51.341
1714823556458,2024-05-04T14:52:36.458,0.750,-3.171,282.134,63.476
1714823556468,2024-05-04T14:52:36.468,0.760,-13.720,260.854,78.415
1714823556478,2024-05-04T14:52:36.478,0.770,-25.366,238.354,85.244
1714823556488,2024-05-04T14:52:36.488,0.780,-27.866,213.537,87.683
1714823556498,2024-05-04T14:52:36.498,0.790,-35.061,177.195,85.793
1714823556508,2024-05-04T14:52:36.508,0.800,-44.939,126.951,78.049
1714823556518,2024-05-04T14:52:36.518,0.810,-55.671,79.329,63.720
1714823556528,2024-05-04T14:52:36.528,0.820,-63.963,37.561,41.220
1714823556538,2024-05-04T14:52:36.538,0.830,-62.561,2.683,27.073
1714823556548,2024-05-04T14:52:36.548,0.840,-63.293,-15.427,15.427
1714823556558,2024-05-04T14:52:36.558,0.850,-69.817,-26.037,-0.305
1714823556568,2024-05-04T14:52:36.568,0.860,-71.402,-46.646,-9.756
1714823556578,2024-05-04T14:52:36.578,0.870,-68.963,-73.841,-12.378
1714823556588,2024-05-04T14:52:36.588,0.880,-67.622,-97.683,-17.927
