epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1714823076562,2024-05-04T14:44:36.562,0.000,0.065,0.140,0.983
1714823076572,2024-05-04T14:44:36.572,0.010,0.066,0.123,0.984
1714823076582,2024-05-04T14:44:36.582,0.020,0.076,0.118,0.985
1714823076592,2024-05-04T14:44:36.592,0.030,0.084,0.129,0.983
1714823076602,2024-05-04T14:44:36.602,0.040,0.083,0.146,0.994
1714823076612,2024-05-04T14:44:36.612,0.050,0.074,0.153,0.998
1714823076622,2024-05-04T14:44:36.622,0.060,0.062,0.142,1.003
1714823076632,2024-05-04T14:44:36.632,0.070,0.065,0.130,1.003
1714823076642,2024-05-04T14:44:36.642,0.080,0.077,0.124,0.997
1714823076652,2024-05-04T14:44:36.652,0.090,0.087,0.126,0.988
1714823076662,2024-05-04T14:44:36.662,0.100,0.088,0.134,0.981
1714823076672,2024-05-04T14:44:36.672,0.110,0.077,0.154,0.988
1714823076682,2024-05-04T14:44:36.682,0.120,0.060,0.162,0.996
1714823076692,2024-05-04T14:44:36.692,0.130,0.048,0.147,1.003
1714823076702,2024-05-04T14:44:36.702,0.140,0.055,0.127,0.999
1714823076712,2024-05-04T14:44:36.712,0.150,0.066,0.124,0.995
1714823076722,2024-05-04T14:44:36.722,0.160,0.076,0.128,0.990
1714823076732,2024-05-04T14:44:36.732,0.170,0.084,0.146,0.992
1714823076742,2024-05-04T14:44:36.742,0.180,0.074,0.157,0.994
1714823076752,2024-05-04T14:44:36.752,0.190,0.056,0.148,0.988
1714823076762,2024-05-04T14:44:36.762,0.200,0.050,0.134,0.987
1714823076772,2024-05-04T14:44:36.772,0.210,0.057,0.130,0.990
1714823076782,2024-05-04T14:44:36.782,0.220,0.064,0.135,0.988
1714823076792,2024-05-04T14:44:36.792,0.230,0.072,0.137,0.982
1714823076802,2024-05-04T14:44:36.802,0.240,0.075,0.138,0.978
1714823076812,2024-05-04T14:44:36.812,0.250,0.063,0.144,0.971
1714823076822,2024-05-04T14:44:36.822,0.260,0.052,0.148,0.967
1714823076832,2024-05-04T14:44:36.832,0.270,0.048,0.153,0.974
1714823076842,2024-05-04T14:44:36.842,0.280,0.053,0.155,0.986
1714823076852,2024-05-04T14:44:36.852,0.290,0.065,0.144,0.988
1714823076862,2024-05-04T14:44:36.862,0.300,0.073,0.129,0.989
1714823076872,2024-05-04T14:44:36.872,0.310,0.076,0.135,0.988
1714823076882,2024-05-04T14:44:36.882,0.320,0.079,0.153,0.993
1714823076892,2024-05-04T14:44:36.892,0.330,0.065,0.157,1.001
1714823076902,2024-05-04T14:44:36.902,0.340,0.051,0.140,1.006
1714823076912,2024-05-04T14:44:36.912,0.350,0.054,0.124,1.011
1714823076922,2024-05-04T14:44:36.922,0.360,0.069,0.126,1.017
1714823076932,2024-05-04T14:44:36.932,0.370,0.078,0.129,1.011
1714823076942,2024-05-04T14:44:36.942,0.380,0.080,0.128,1.005
1714823076952,2024-05-04T14:44:36.952,0.390,0.071,0.135,1.005
