epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1714823076471,2024-05-04T14:44:36.471,0.000,1.951,4.512,-0.915
1714823076481,2024-05-04T14:44:36.481,0.010,2.134,4.695,-1.098
1714823076491,2024-05-04T14:44:36.491,0.020,1.768,4.024,-0.854
1714823076501,2024-05-04T14:44:36.501,0.030,1.463,2.805,-0.671
1714823076511,2024-05-04T14:44:36.511,0.040,1.646,2.195,-0.488
1714823076521,2024-05-04T14:44:36.521,0.050,1.890,2.439,-0.488
1714823076531,2024-05-04T14:44:36.531,0.060,2.500,2.988,-0.488
1714823076541,2024-05-04T14:44:36.541,0.070,2.744,2.622,0.183
1714823076551,2024-05-04T14:44:36.551,0.080,1.646,1.890,0.488
1714823076561,2024-05-04T14:44:36.561,0.090,0.122,1.402,0.488
1714823076571,2024-05-04T14:44:36.571,0.100,-0.427,1.341,0.183
1714823076581,2024-05-04T14:44:36.581,0.110,0.488,1.159,0.000
1714823076591,2024-05-04T14:44:36.591,0.120,1.646,1.463,0.122
1714823076601,2024-05-04T14:44:36.601,0.130,2.561,2.195,0.488
1714823076611,2024-05-04T14:44:36.611,0.140,2.012,2.378,0.427
1714823076621,2024-05-04T14:44:36.621,0.150,0.244,1.341,-0.183
1714823076631,2024-05-04T14:44:36.631,0.160,-0.122,0.183,-0.610
1714823076641,2024-05-04T14:44:36.641,0.170,0.732,-0.366,-0.976
1714823076651,2024-05-04T14:44:36.651,0.180,1.463,0.366,-1.280
1714823076661,2024-05-04T14:44:36.661,0.190,1.951,2.134,-1.341
1714823076671,2024-05-04T14:44:36.671,0.200,2.927,3.841,-0.793
1714823076681,2024-05-04T14:44:36.681,0.210,2.073,4.024,-0.488
1714823076691,2024-05-04T14:44:36.691,0.220,0.061,2.378,-0.915
1714823076701,2024-05-04T14:44:36.701,0.230,-0.732,-0.244,-1.098
1714823076711,2024-05-04T14:44:36.711,0.240,0.122,-1.890,-0.915
1714823076721,2024-05-04T14:44:36.721,0.250,1.341,-1.707,-0.915
