epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1714822418162,2024-05-04T14:33:38.162,0.000,0.013,-0.013,0.887
1714822418172,2024-05-04T14:33:38.172,0.010,0.057,0.065,0.914
1714822418182,2024-05-04T14:33:38.182,0.020,0.048,0.084,0.930
1714822418192,2024-05-04T14:33:38.192,0.030,0.029,0.040,0.916
1714822418202,2024-05-04T14:33:38.202,0.040,0.038,0.002,0.902
1714822418212,2024-05-04T14:33:38.212,0.050,0.050,0.015,0.911
1714822418222,2024-05-04T14:33:38.222,0.060,0.005,0.051,0.911
1714822418232,2024-05-04T14:33:38.232,0.070,-0.024,0.073,0.904
1714822418242,2024-05-04T14:33:38.242,0.080,-0.013,0.079,0.921
1714822418252,2024-05-04T14:33:38.252,0.090,-0.004,0.083,0.947
1714822418262,2024-05-04T14:33:38.262,0.100,0.006,0.084,0.952
1714822418272,2024-05-04T14:33:38.272,0.110,0.014,0.084,0.952
1714822418282,2024-05-04T14:33:38.282,0.120,0.034,0.081,0.937
1714822418292,2024-05-04T14:33:38.292,0.130,0.079,0.093,0.906
1714822418302,2024-05-04T14:33:38.302,0.140,0.074,0.101,0.886
1714822418312,2024-05-04T14:33:38.312,0.150,0.047,0.124,0.895
1714822418322,2024-05-04T14:33:38.322,0.160,0.038,0.149,0.926
1714822418332,2024-05-04T14:33:38.332,0.170,0.011,0.133,0.940
1714822418342,2024-05-04T14:33:38.342,0.180,-0.006,0.110,0.933
1714822418352,2024-05-04T14:33:38.352,0.190,0.032,0.118,0.942
1714822418362,2024-05-04T14:33:38.362,0.200,0.102,0.128,0.938
1714822418372,2024-05-04T14:33:38.372,0.210,0.126,0.146,0.931
1714822418382,2024-05-04T14:33:38.382,0.220,0.113,0.167,0.920
1714822418392,2024-05-04T14:33:38.392,0.230,0.092,0.163,0.917
1714822418402,2024-05-04T14:33:38.402,0.240,0.059,0.146,0.922
1714822418412,2024-05-04T14:33:38.412,0.250,0.027,0.149,0.917
1714822418422,2024-05-04T14:33:38.422,0.260,0.027,0.163,0.911
1714822418432,2024-05-04T14:33:38.432,0.270,0.064,0.167,0.908
1714822418442,2024-05-04T14:33:38.442,0.280,0.090,0.178,0.908
1714822418452,2024-05-04T14:33:38.452,0.290,0.092,0.196,0.914
1714822418462,2024-05-04T14:33:38.462,0.300,0.074,0.211,0.924
1714822418472,2024-05-04T14:33:38.472,0.310,0.055,0.210,0.933
1714822418482,2024-05-04T14:33:38.482,0.320,0.033,0.194,0.929
1714822418492,2024-05-04T14:33:38.492,0.330,0.017,0.185,0.916
1714822418502,2024-05-04T14:33:38.502,0.340,0.036,0.192,0.912
1714822418512,2024-05-04T14:33:38.512,0.350,0.058,0.206,0.914
1714822418522,2024-05-04T14:33:38.522,0.360,0.039,0.225,0.919
1714822418532,2024-05-04T14:33:38.532,0.370,0.021,0.232,0.930
1714822418542,2024-05-04T14:33:38.542,0.380,0.037,0.213,0.933
1714822418552,2024-05-04T14:33:38.552,0.390,0.051,0.194,0.920
1714822418562,2024-05-04T14:33:38.562,0.400,0.044,0.202,0.914
1714822418572,2024-05-04T14:33:38.572,0.410,0.027,0.209,0.901
1714822418582,2024-05-04T14:33:38.582,0.420,0.043,0.214,0.904
1714822418592,2024-05-04T14:33:38.592,0.430,0.058,0.249,0.927
1714822418602,2024-05-04T14:33:38.602,0.440,0.066,0.278,0.953
1714822418612,2024-05-04T14:33:38.612,0.450,0.076,0.257,0.958
1714822418622,2024-05-04T14:33:38.622,0.460,0.078,0.229,0.948
1714822418632,2024-05-04T14:33:38.632,0.470,0.081,0.219,0.932
1714822418642,2024-05-04T14:33:38.642,0.480,0.097,0.224,0.917
1714822418652,2024-05-04T14:33:38.652,0.490,0.095,0.234,0.911
1714822418662,2024-05-04T14:33:38.662,0.500,0.066,0.237,0.910
1714822418672,2024-05-04T14:33:38.672,0.510,0.029,0.248,0.912
1714822418682,2024-05-04T14:33:38.682,0.520,0.016,0.265,0.930
1714822418692,2024-05-04T14:33:38.692,0.530,0.025,0.262,0.944
1714822418702,2024-05-04T14:33:38.702,0.540,0.052,0.237,0.945
1714822418712,2024-05-04T14:33:38.712,0.550,0.104,0.230,0.938
1714822418722,2024-05-04T14:33:38.722,0.560,0.128,0.237,0.928
1714822418732,2024-05-04T14:33:38.732,0.570,0.114,0.245,0.917
1714822418742,2024-05-04T14:33:38.742,0.580,0.076,0.250,0.911
1714822418752,2024-05-04T14:33:38.752,0.590,0.043,0.245,0.923
1714822418762,2024-05-04T14:33:38.762,0.600,0.020,0.242,0.942
1714822418772,2024-05-04T14:33:38.772,0.610,-0.009,0.248,0.956
1714822418782,2024-05-04T14:33:38.782,0.620,0.004,0.242,0.962
1714822418792,2024-05-04T14:33:38.792,0.630,0.055,0.241,0.957
