epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1714822546187,2024-05-04T14:35:46.187,0.000,0.125,0.187,0.980
1714822546197,2024-05-04T14:35:46.197,0.010,0.137,0.195,0.987
1714822546207,2024-05-04T14:35:46.207,0.020,0.133,0.191,0.979
1714822546217,2024-05-04T14:35:46.217,0.030,0.122,0.183,0.976
1714822546227,2024-05-04T14:35:46.227,0.040,0.116,0.185,0.971
1714822546237,2024-05-04T14:35:46.237,0.050,0.108,0.193,0.967
1714822546247,2024-05-04T14:35:46.247,0.060,0.097,0.197,0.961
1714822546257,2024-05-04T14:35:46.257,0.070,0.100,0.202,0.961
1714822546267,2024-05-04T14:35:46.267,0.080,0.111,0.215,0.961
1714822546277,2024-05-04T14:35:46.277,0.090,0.112,0.224,0.965
1714822546287,2024-05-04T14:35:46.287,0.100,0.100,0.215,0.968
1714822546297,2024-05-04T14:35:46.297,0.110,0.091,0.206,0.966
1714822546307,2024-05-04T14:35:46.307,0.120,0.102,0.203,0.960
1714822546317,2024-05-04T14:35:46.317,0.130,0.110,0.204,0.957
1714822546327,2024-05-04T14:35:46.327,0.140,0.097,0.204,0.955
1714822546337,2024-05-04T14:35:46.337,0.150,0.081,0.203,0.957
1714822546347,2024-05-04T14:35:46.347,0.160,0.087,0.206,0.965
1714822546357,2024-05-04T14:35:46.357,0.170,0.101,0.205,0.973
1714822546367,2024-05-04T14:35:46.367,0.180,0.108,0.203,0.976
1714822546377,2024-05-04T14:35:46.377,0.190,0.113,0.202,0.976
1714822546387,2024-05-04T14:35:46.387,0.200,0.116,0.196,0.973
1714822546397,2024-05-04T14:35:46.397,0.210,0.116,0.197,0.964
1714822546407,2024-05-04T14:35:46.407,0.220,0.106,0.203,0.957
1714822546417,2024-05-04T14:35:46.417,0.230,0.096,0.212,0.960
1714822546427,2024-05-04T14:35:46.427,0.240,0.089,0.219,0.964
1714822546437,2024-05-04T14:35:46.437,0.250,0.096,0.213,0.968
1714822546447,2024-05-04T14:35:46.447,0.260,0.109,0.208,0.965
1714822546457,2024-05-04T14:35:46.457,0.270,0.114,0.202,0.963
1714822546467,2024-05-04T14:35:46.467,0.280,0.123,0.200,0.962
1714822546477,2024-05-04T14:35:46.477,0.290,0.135,0.209,0.963
1714822546487,2024-05-04T14:35:46.487,0.300,0.126,0.212,0.962
1714822546497,2024-05-04T14:35:46.497,0.310,0.112,0.214,0.965
1714822546507,2024-05-04T14:35:46.507,0.320,0.107,0.215,0.961
