epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1714822546198,2024-05-04T14:35:46.198,0.000,6.280,0.610,-1.829
1714822546208,2024-05-04T14:35:46.208,0.010,6.463,1.280,-2.378
1714822546218,2024-05-04T14:35:46.218,0.020,6.341,3.598,-2.073
1714822546228,2024-05-04T14:35:46.228,0.030,6.829,5.122,-2.256
1714822546238,2024-05-04T14:35:46.238,0.040,7.256,4.939,-2.500
1714822546248,2024-05-04T14:35:46.248,0.050,7.378,3.841,-2.744
1714822546258,2024-05-04T14:35:46.258,0.060,7.073,1.951,-2.927
1714822546268,2024-05-04T14:35:46.268,0.070,7.134,0.976,-2.439
1714822546278,2024-05-04T14:35:46.278,0.080,6.463,1.707,-1.890
1714822546288,2024-05-04T14:35:46.288,0.090,4.817,2.500,-1.890
1714822546298,2024-05-04T14:35:46.298,0.100,4.146,2.134,-2.073
1714822546308,2024-05-04T14:35:46.308,0.110,4.146,1.220,-1.829
1714822546318,2024-05-04T14:35:46.318,0.120,4.085,0.976,-1.585
1714822546328,2024-05-04T14:35:46.328,0.130,3.841,0.732,-1.524
1714822546338,2024-05-04T14:35:46.338,0.140,3.659,-0.122,-1.159
1714822546348,2024-05-04T14:35:46.348,0.150,3.598,-1.951,-0.427
1714822546358,2024-05-04T14:35:46.358,0.160,2.988,-2.805,0.366
1714822546368,2024-05-04T14:35:46.368,0.170,2.988,-2.012,0.976
1714822546378,2024-05-04T14:35:46.378,0.180,3.049,-0.549,1.341
1714822546388,2024-05-04T14:35:46.388,0.190,3.171,0.976,1.341
1714822546398,2024-05-04T14:35:46.398,0.200,3.598,2.500,1.341
1714822546408,2024-05-04T14:35:46.408,0.210,4.451,3.293,1.280
1714822546418,2024-05-04T14:35:46.418,0.220,4.939,2.683,1.585
1714822546428,2024-05-04T14:35:46.428,0.230,4.024,0.732,2.012
1714822546438,2024-05-04T14:35:46.438,0.240,2.744,-1.524,2.622
1714822546448,2024-05-04T14:35:46.448,0.250,2.256,-2.744,3.171
1714822546458,2024-05-04T14:35:46.458,0.260,2.073,-2.683,3.232
1714822546468,2024-05-04T14:35:46.468,0.270,2.683,-1.829,3.171
1714822546478,2024-05-04T14:35:46.478,0.280,3.354,-0.244,3.049
1714822546488,2024-05-04T14:35:46.488,0.290,2.927,1.463,2.866
1714822546498,2024-05-04T14:35:46.498,0.300,2.683,2.500,2.622
1714822546508,2024-05-04T14:35:46.508,0.310,2.195,2.500,2.439
1714822546518,2024-05-04T14:35:46.518,0.320,1.402,1.951,2.500
1714822546528,2024-05-04T14:35:46.528,0.330,1.159,1.463,2.622
1714822546538,2024-05-04T14:35:46.538,0.340,1.585,2.256,2.805
1714822546548,2024-05-04T14:35:46.548,0.350,2.317,4.512,2.927
1714822546558,2024-05-04T14:35:46.558,0.360,3.049,7.561,3.171
1714822546568,2024-05-04T14:35:46.568,0.370,3.354,9.939,3.659
1714822546578,2024-05-04T14:35:46.578,0.380,2.378,11.037,4.390
1714822546588,2024-05-04T14:35:46.588,0.390,1.341,11.220,4.756
1714822546598,2024-05-04T14:35:46.598,0.400,1.463,9.878,5.427
1714822546608,2024-05-04T14:35:46.608,0.410,2.134,7.744,5.976
1714822546618,2024-05-04T14:35:46.618,0.420,3.354,6.890,6.463
1714822546628,2024-05-04T14:35:46.628,0.430,4.390,8.232,6.890
1714822546638,2024-05-04T14:35:46.638,0.440,5.366,12.134,7.378
1714822546648,2024-05-04T14:35:46.648,0.450,6.280,17.988,8.415
1714822546658,2024-05-04T14:35:46.658,0.460,6.098,23.537,9.024
1714822546668,2024-05-04T14:35:46.668,0.470,6.098,26.890,10.854
1714822546678,2024-05-04T14:35:46.678,0.480,8.720,29.024,13.354
1714822546688,2024-05-04T14:35:46.688,0.490,13.293,31.098,14.878
1714822546698,2024-05-04T14:35:46.698,0.500,14.451,27.317,17.256
1714822546708,2024-05-04T14:35:46.708,0.510,14.024,20.366,18.354
1714822546718,2024-05-04T14:35:46.718,0.520,14.573,24.451,18.720
1714822546728,2024-05-04T14:35:46.728,0.530,15.976,42.256,18.780
1714822546738,2024-05-04T14:35:46.738,0.540,12.073,74.329,19.268
1714822546748,2024-05-04T14:35:46.748,0.550,6.707,108.415,17.317
1714822546758,2024-05-04T14:35:46.758,0.560,4.573,133.415,17.988
1714822546768,2024-05-04T14:35:46.768,0.570,5.183,145.854,20.488
1714822546778,2024-05-04T14:35:46.778,0.580,6.829,150.854,21.341
1714822546788,2024-05-04T14:35:46.788,0.590,6.707,156.463,21.951
1714822546798,2024-05-04T14:35:46.798,0.600,4.512,164.878,22.134
1714822546808,2024-05-04T14:35:46.808,0.610,4.695,170.183,22.744
1714822546818,2024-05-04T14:35:46.818,0.620,7.439,167.622,20.427
1714822546828,2024-05-04T14:35:46.828,0.630,9.634,165.671,22.500
1714822546838,2024-05-04T14:35:46.838,0.640,8.293,175.061,29.451
1714822546848,2024-05-04T14:35:46.848,0.650,6.890,186.646,28.537
1714822546858,2024-05-04T14:35:46.858,0.660,7.500,189.390,25.793
1714822546868,2024-05-04T14:35:46.868,0.670,8.902,183.659,27.073
1714822546878,2024-05-04T14:35:46.878,0.680,9.939,177.073,28.110
1714822546888,2024-05-04T14:35:46.888,0.690,10.549,174.878,28.780
1714822546898,2024-05-04T14:35:46.898,0.700,11.098,185.061,27.805
1714822546908,2024-05-04T14:35:46.908,0.710,10.671,208.659,25.671
1714822546918,2024-05-04T14:35:46.918,0.720,5.671,233.354,18.598
1714822546928,2024-05-04T14:35:46.928,0.730,2.561,250.122,8.232
1714822546938,2024-05-04T14:35:46.938,0.740,14.451,259.695,-2.622
1714822546948,2024-05-04T14:35:46.948,0.750,10.976,366.524,-24.085
1714822546958,2024-05-04T14:35:46.958,0.760,20.610,341.341,-41.951
1714822546968,2024-05-04T14:35:46.968,0.770,-0.244,315.366,-24.756
1714822546978,2024-05-04T14:35:46.978,0.780,15.000,305.244,-38.049
1714822546988,2024-05-04T14:35:46.988,0.790,28.537,299.634,-48.476
1714822546998,2024-05-04T14:35:46.998,0.800,49.329,305.366,-54.390
1714822547008,2024-05-04T14:35:47.008,0.810,72.927,300.061,-64.695
1714822547018,2024-05-04T14:35:47.018,0.820,91.280,289.512,-68.659
1714822547028,2024-05-04T14:35:47.028,0.830,104.756,282.744,-72.500
1714822547038,2024-05-04T14:35:47.038,0.840,115.427,275.976,-74.695
1714822547048,2024-05-04T14:35:47.048,0.850,132.805,273.537,-73.232
1714822547058,2024-05-04T14:35:47.058,0.860,149.634,261.646,-69.085
1714822547068,2024-05-04T14:35:47.068,0.870,164.390,244.878,-58.293
1714822547078,2024-05-04T14:35:47.078,0.880,177.500,224.634,-48.049
1714822547088,2024-05-04T14:35:47.088,0.890,181.037,196.341,-47.256
1714822547098,2024-05-04T14:35:47.098,0.900,165.610,165.793,-44.268
1714822547108,2024-05-04T14:35:47.108,0.910,147.683,122.683,-34.573
1714822547118,2024-05-04T14:35:47.118,0.920,159.268,48.841,-26.707
1714822547128,2024-05-04T14:35:47.128,0.930,180.915,-52.805,-7.378
1714822547138,2024-05-04T14:35:47.138,0.940,153.537,-128.354,4.939
1714822547148,2024-05-04T14:35:47.148,0.950,142.195,-134.756,2.927
1714822547158,2024-05-04T14:35:47.158,0.960,179.146,-113.049,-13.537
1714822547168,2024-05-04T14:35:47.168,0.970,179.024,-82.439,-9.817
1714822547178,2024-05-04T14:35:47.178,0.980,140.366,-36.159,-2.866
1714822547188,2024-05-04T14:35:47.188,0.990,96.951,4.634,-3.659
1714822547198,2024-05-04T14:35:47.198,1.000,53.232,2.683,-1.707
1714822547208,2024-05-04T14:35:47.208,1.010,9.024,-30.122,6.280
1714822547218,2024-05-04T14:35:47.218,1.020,-31.768,-56.280,17.500
1714822547228,2024-05-04T14:35:47.228,1.030,-64.268,-70.366,27.256
1714822547238,2024-05-04T14:35:47.238,1.040,-85.610,-83.659,31.890
1714822547248,2024-05-04T14:35:47.248,1.050,-96.037,-96.768,35.305
1714822547258,2024-05-04T14:35:47.258,1.060,-97.866,-107.439,38.780
1714822547268,2024-05-04T14:35:47.268,1.070,-97.256,-120.000,42.500
1714822547278,2024-05-04T14:35:47.278,1.080,-94.695,-140.488,45.671
1714822547288,2024-05-04T14:35:47.288,1.090,-91.768,-167.378,47.439
1714822547298,2024-05-04T14:35:47.298,1.100,-91.524,-193.841,48.963
1714822547308,2024-05-04T14:35:47.308,1.110,-93.232,-207.500,55.061
1714822547318,2024-05-04T14:35:47.318,1.120,-90.183,-207.500,63.232
1714822547328,2024-05-04T14:35:47.328,1.130,-83.171,-201.463,66.220
1714822547338,2024-05-04T14:35:47.338,1.140,-78.415,-196.341,66.463
1714822547348,2024-05-04T14:35:47.348,1.150,-74.207,-197.378,66.341
1714822547358,2024-05-04T14:35:47.358,1.160,-66.951,-204.390,66.341
1714822547368,2024-05-04T14:35:47.368,1.170,-59.939,-212.439,68.720
1714822547378,2024-05-04T14:35:47.378,1.180,-60.793,-212.805,72.134
1714822547388,2024-05-04T14:35:47.388,1.190,-61.220,-201.951,75.061
1714822547398,2024-05-04T14:35:47.398,1.200,-54.878,-185.061,75.061
1714822547408,2024-05-04T14:35:47.408,1.210,-47.866,-166.280,72.500
1714822547418,2024-05-04T14:35:47.418,1.220,-44.756,-151.890,70.244
1714822547428,2024-05-04T14:35:47.428,1.230,-42.622,-153.659,65.671
1714822547438,2024-05-04T14:35:47.438,1.240,-40.488,-173.659,57.073
1714822547448,2024-05-04T14:35:47.448,1.250,-38.537,-197.439,52.927
1714822547458,2024-05-04T14:35:47.458,1.260,-36.402,-210.061,53.232
1714822547468,2024-05-04T14:35:47.468,1.270,-32.622,-199.390,51.220
1714822547478,2024-05-04T14:35:47.478,1.280,-29.024,-170.305,47.805
1714822547488,2024-05-04T14:35:47.488,1.290,-29.451,-136.707,46.098
1714822547498,2024-05-04T14:35:47.498,1.300,-31.463,-110.061,44.268
1714822547508,2024-05-04T14:35:47.508,1.310,-31.707,-97.439,41.951
1714822547518,2024-05-04T14:35:47.518,1.320,-30.732,-102.195,39.878
1714822547528,2024-05-04T14:35:47.528,1.330,-29.512,-121.098,38.598
1714822547538,2024-05-04T14:35:47.538,1.340,-28.902,-146.037,38.720
1714822547548,2024-05-04T14:35:47.548,1.350,-27.195,-163.049,39.451
1714822547558,2024-05-04T14:35:47.558,1.360,-23.841,-165.488,39.878
1714822547568,2024-05-04T14:35:47.568,1.370,-21.280,-155.915,37.988
1714822547578,2024-05-04T14:35:47.578,1.380,-19.756,-139.756,37.500
1714822547588,2024-05-04T14:35:47.588,1.390,-20.061,-122.622,38.049
1714822547598,2024-05-04T14:35:47.598,1.400,-22.073,-114.207,36.829
1714822547608,2024-05-04T14:35:47.608,1.410,-23.171,-117.378,37.012
1714822547618,2024-05-04T14:35:47.618,1.420,-23.476,-123.049,38.598
1714822547628,2024-05-04T14:35:47.628,1.430,-24.085,-124.695,36.524
1714822547638,2024-05-04T14:35:47.638,1.440,-22.927,-124.695,32.866
1714822547648,2024-05-04T14:35:47.648,1.450,-20.976,-123.720,29.390
1714822547658,2024-05-04T14:35:47.658,1.460,-19.573,-121.646,26.402
1714822547668,2024-05-04T14:35:47.668,1.470,-17.683,-115.793,20.976
1714822547678,2024-05-04T14:35:47.678,1.480,-15.427,-106.402,14.207
1714822547688,2024-05-04T14:35:47.688,1.490,-15.183,-95.915,10.122
1714822547698,2024-05-04T14:35:47.698,1.500,-15.915,-84.268,7.622
1714822547708,2024-05-04T14:35:47.708,1.510,-15.732,-71.098,5.549
1714822547718,2024-05-04T14:35:47.718,1.520,-13.963,-56.646,3.780
1714822547728,2024-05-04T14:35:47.728,1.530,-11.585,-42.744,1.280
1714822547738,2024-05-04T14:35:47.738,1.540,-9.207,-30.061,-0.793
1714822547748,2024-05-04T14:35:47.748,1.550,-8.841,-18.841,-1.646
1714822547758,2024-05-04T14:35:47.758,1.560,-10.671,-11.159,-3.049
