epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1714822778396,2024-05-04T14:39:38.396,0.000,0.046,0.106,1.004
1714822778406,2024-05-04T14:39:38.406,0.010,0.064,0.115,1.012
1714822778416,2024-05-04T14:39:38.416,0.020,0.072,0.119,1.004
1714822778426,2024-05-04T14:39:38.426,0.030,0.068,0.123,1.000
1714822778436,2024-05-04T14:39:38.436,0.040,0.060,0.132,0.997
1714822778446,2024-05-04T14:39:38.446,0.050,0.060,0.132,0.990
1714822778456,2024-05-04T14:39:38.456,0.060,0.055,0.126,0.987
1714822778466,2024-05-04T14:39:38.466,0.070,0.054,0.124,0.989
1714822778476,2024-05-04T14:39:38.476,0.080,0.070,0.130,0.991
1714822778486,2024-05-04T14:39:38.486,0.090,0.080,0.132,0.991
1714822778496,2024-05-04T14:39:38.496,0.100,0.078,0.132,0.987
1714822778506,2024-05-04T14:39:38.506,0.110,0.072,0.134,0.984
1714822778516,2024-05-04T14:39:38.516,0.120,0.067,0.134,0.982
1714822778526,2024-05-04T14:39:38.526,0.130,0.065,0.132,0.986
1714822778536,2024-05-04T14:39:38.536,0.140,0.068,0.130,0.997
1714822778546,2024-05-04T14:39:38.546,0.150,0.067,0.122,0.998
1714822778556,2024-05-04T14:39:38.556,0.160,0.073,0.116,0.999
1714822778566,2024-05-04T14:39:38.566,0.170,0.078,0.122,1.000
1714822778576,2024-05-04T14:39:38.576,0.180,0.064,0.128,0.998
1714822778586,2024-05-04T14:39:38.586,0.190,0.042,0.126,0.996
1714822778596,2024-05-04T14:39:38.596,0.200,0.037,0.125,1.001
1714822778606,2024-05-04T14:39:38.606,0.210,0.035,0.120,1.004
1714822778616,2024-05-04T14:39:38.616,0.220,0.037,0.120,1.005
1714822778626,2024-05-04T14:39:38.626,0.230,0.045,0.118,1.010
1714822778636,2024-05-04T14:39:38.636,0.240,0.054,0.112,1.012
1714822778646,2024-05-04T14:39:38.646,0.250,0.077,0.116,1.012
1714822778656,2024-05-04T14:39:38.656,0.260,0.081,0.123,1.015
1714822778666,2024-05-04T14:39:38.666,0.270,0.067,0.133,1.012
1714822778676,2024-05-04T14:39:38.676,0.280,0.071,0.130,1.016
1714822778686,2024-05-04T14:39:38.686,0.290,0.070,0.118,1.021
1714822778696,2024-05-04T14:39:38.696,0.300,0.059,0.111,1.021
1714822778706,2024-05-04T14:39:38.706,0.310,0.070,0.114,1.015
1714822778716,2024-05-04T14:39:38.716,0.320,0.083,0.123,1.005
1714822778726,2024-05-04T14:39:38.726,0.330,0.080,0.128,1.001
1714822778736,2024-05-04T14:39:38.736,0.340,0.067,0.127,0.998
1714822778746,2024-05-04T14:39:38.746,0.350,0.062,0.124,0.999
1714822778756,2024-05-04T14:39:38.756,0.360,0.063,0.120,0.995
1714822778766,2024-05-04T14:39:38.766,0.370,0.067,0.124,0.993
1714822778776,2024-05-04T14:39:38.776,0.380,0.079,0.127,0.987
1714822778786,2024-05-04T14:39:38.786,0.390,0.066,0.127,0.991
1714822778796,2024-05-04T14:39:38.796,0.400,0.065,0.129,0.993
1714822778806,2024-05-04T14:39:38.806,0.410,0.073,0.128,0.990
1714822778816,2024-05-04T14:39:38.816,0.420,0.072,0.125,0.981
1714822778826,2024-05-04T14:39:38.826,0.430,0.054,0.115,0.977
1714822778836,2024-05-04T14:39:38.836,0.440,0.060,0.110,0.988
1714822778846,2024-05-04T14:39:38.846,0.450,0.085,0.117,0.998
1714822778856,2024-05-04T14:39:38.856,0.460,0.077,0.122,0.997
1714822778866,2024-05-04T14:39:38.866,0.470,0.036,0.121,0.989
1714822778876,2024-05-04T14:39:38.876,0.480,0.013,0.126,0.985
1714822778886,2024-05-04T14:39:38.886,0.490,0.014,0.134,0.993
1714822778896,2024-05-04T14:39:38.896,0.500,0.017,0.132,0.992
1714822778906,2024-05-04T14:39:38.906,0.510,0.020,0.136,0.991
1714822778916,2024-05-04T14:39:38.916,0.520,0.024,0.148,0.982
1714822778926,2024-05-04T14:39:38.926,0.530,0.021,0.146,0.968
1714822778936,2024-05-04T14:39:38.936,0.540,-0.000,0.138,0.963
1714822778946,2024-05-04T14:39:38.946,0.550,-0.012,0.146,0.975
1714822778956,2024-05-04T14:39:38.956,0.560,0.002,0.167,0.993
1714822778966,2024-05-04T14:39:38.966,0.570,0.007,0.175,1.004
1714822778976,2024-05-04T14:39:38.976,0.580,-0.001,0.167,1.012
1714822778986,2024-05-04T14:39:38.986,0.590,-0.005,0.155,1.021
1714822778996,2024-05-04T14:39:38.996,0.600,-0.003,0.155,1.018
1714822779006,2024-05-04T14:39:39.006,0.610,0.014,0.158,0.991
1714822779016,2024-05-04T14:39:39.016,0.620,0.030,0.167,0.967
1714822779026,2024-05-04T14:39:39.026,0.630,0.009,0.177,0.973
1714822779036,2024-05-04T14:39:39.036,0.640,-0.002,0.170,0.984
1714822779046,2024-05-04T14:39:39.046,0.650,-0.010,0.149,1.001
1714822779056,2024-05-04T14:39:39.056,0.660,-0.013,0.145,1.022
1714822779066,2024-05-04T14:39:39.066,0.670,0.003,0.160,1.057
1714822779076,2024-05-04T14:39:39.076,0.680,0.027,0.187,1.103
1714822779086,2024-05-04T14:39:39.086,0.690,0.034,0.193,1.151
1714822779096,2024-05-04T14:39:39.096,0.700,0.038,0.196,1.230
1714822779106,2024-05-04T14:39:39.106,0.710,0.040,0.208,1.318
1714822779116,2024-05-04T14:39:39.116,0.720,0.048,0.247,1.375
1714822779126,2024-05-04T14:39:39.126,0.730,0.054,0.269,1.387
1714822779136,2024-05-04T14:39:39.136,0.740,0.057,0.241,1.436
1714822779146,2024-05-04T14:39:39.146,0.750,0.026,0.181,1.522
1714822779156,2024-05-04T14:39:39.156,0.760,0.037,0.100,1.579
1714822779166,2024-05-04T14:39:39.166,0.770,0.083,0.056,1.599
1714822779176,2024-05-04T14:39:39.176,0.780,0.025,0.046,1.555
1714822779186,2024-05-04T14:39:39.186,0.790,-0.059,0.035,1.465
1714822779196,2024-05-04T14:39:39.196,0.800,-0.093,-0.003,1.318
1714822779206,2024-05-04T14:39:39.206,0.810,-0.081,-0.066,1.085
1714822779216,2024-05-04T14:39:39.216,0.820,0.016,-0.139,0.909
1714822779226,2024-05-04T14:39:39.226,0.830,0.183,-0.107,0.772
1714822779236,2024-05-04T14:39:39.236,0.840,0.253,-0.080,0.686
1714822779246,2024-05-04T14:39:39.246,0.850,0.192,-0.036,0.584
1714822779256,2024-05-04T14:39:39.256,0.860,0.042,0.088,0.521
1714822779266,2024-05-04T14:39:39.266,0.870,-0.144,0.214,0.513
1714822779276,2024-05-04T14:39:39.276,0.880,-0.279,0.259,0.519
1714822779286,2024-05-04T14:39:39.286,0.890,-0.299,0.272,0.543
1714822779296,2024-05-04T14:39:39.296,0.900,-0.238,0.264,0.652
1714822779306,2024-05-04T14:39:39.306,0.910,-0.172,0.295,0.828
1714822779316,2024-05-04T14:39:39.316,0.920,-0.259,0.344,0.879
1714822779326,2024-05-04T14:39:39.326,0.930,-0.254,0.293,0.850
1714822779336,2024-05-04T14:39:39.336,0.940,-0.193,0.268,0.787
1714822779346,2024-05-04T14:39:39.346,0.950,-0.137,0.292,0.729
1714822779356,2024-05-04T14:39:39.356,0.960,-0.220,0.323,0.641
1714822779366,2024-05-04T14:39:39.366,0.970,-0.297,0.402,0.571
1714822779376,2024-05-04T14:39:39.376,0.980,-0.164,0.560,0.571
1714822779386,2024-05-04T14:39:39.386,0.990,-0.014,0.671,0.637
1714822779396,2024-05-04T14:39:39.396,1.000,-0.013,0.652,0.669
1714822779406,2024-05-04T14:39:39.406,1.010,-0.093,0.597,0.667
1714822779416,2024-05-04T14:39:39.416,1.020,-0.115,0.602,0.632
1714822779426,2024-05-04T14:39:39.426,1.030,-0.094,0.609,0.593
1714822779436,2024-05-04T14:39:39.436,1.040,-0.086,0.616,0.611
1714822779446,2024-05-04T14:39:39.446,1.050,-0.079,0.609,0.657
1714822779456,2024-05-04T14:39:39.456,1.060,-0.056,0.594,0.663
1714822779466,2024-05-04T14:39:39.466,1.070,-0.046,0.563,0.651
1714822779476,2024-05-04T14:39:39.476,1.080,-0.067,0.528,0.709
1714822779486,2024-05-04T14:39:39.486,1.090,-0.096,0.498,0.827
1714822779496,2024-05-04T14:39:39.496,1.100,-0.145,0.483,0.902
1714822779506,2024-05-04T14:39:39.506,1.110,-0.180,0.500,0.886
1714822779516,2024-05-04T14:39:39.516,1.120,-0.206,0.500,0.900
1714822779526,2024-05-04T14:39:39.526,1.130,-0.259,0.509,0.853
1714822779536,2024-05-04T14:39:39.536,1.140,-0.244,0.490,0.796
1714822779546,2024-05-04T14:39:39.546,1.150,-0.180,0.457,0.778
1714822779556,2024-05-04T14:39:39.556,1.160,-0.122,0.466,0.738
1714822779566,2024-05-04T14:39:39.566,1.170,-0.084,0.506,0.769
1714822779576,2024-05-04T14:39:39.576,1.180,-0.121,0.545,0.744
1714822779586,2024-05-04T14:39:39.586,1.190,-0.183,0.485,0.755
1714822779596,2024-05-04T14:39:39.596,1.200,-0.218,0.367,0.842
1714822779606,2024-05-04T14:39:39.606,1.210,-0.197,0.326,0.905
1714822779616,2024-05-04T14:39:39.616,1.220,-0.132,0.348,0.973
1714822779626,2024-05-04T14:39:39.626,1.230,-0.102,0.393,1.033
1714822779636,2024-05-04T14:39:39.636,1.240,-0.087,0.446,1.013
1714822779646,2024-05-04T14:39:39.646,1.250,-0.016,0.460,0.962
1714822779656,2024-05-04T14:39:39.656,1.260,0.045,0.406,0.955
1714822779666,2024-05-04T14:39:39.666,1.270,0.058,0.353,0.956
1714822779676,2024-05-04T14:39:39.676,1.280,0.022,0.328,0.971
1714822779686,2024-05-04T14:39:39.686,1.290,-0.040,0.323,1.004
1714822779696,2024-05-04T14:39:39.696,1.300,-0.134,0.330,1.046
1714822779706,2024-05-04T14:39:39.706,1.310,-0.176,0.325,1.067
1714822779716,2024-05-04T14:39:39.716,1.320,-0.122,0.313,1.045
1714822779726,2024-05-04T14:39:39.726,1.330,-0.026,0.309,0.993
1714822779736,2024-05-04T14:39:39.736,1.340,0.040,0.307,0.924
1714822779746,2024-05-04T14:39:39.746,1.350,0.041,0.300,0.910
1714822779756,2024-05-04T14:39:39.756,1.360,-0.002,0.282,0.939
1714822779766,2024-05-04T14:39:39.766,1.370,-0.056,0.235,0.963
1714822779776,2024-05-04T14:39:39.776,1.380,-0.086,0.191,0.980
1714822779786,2024-05-04T14:39:39.786,1.390,-0.041,0.188,0.992
1714822779796,2024-05-04T14:39:39.796,1.400,0.025,0.235,1.011
1714822779806,2024-05-04T14:39:39.806,1.410,0.008,0.288,1.036
1714822779816,2024-05-04T14:39:39.816,1.420,-0.052,0.289,1.031
1714822779826,2024-05-04T14:39:39.826,1.430,-0.071,0.227,1.043
1714822779836,2024-05-04T14:39:39.836,1.440,-0.034,0.180,1.046
1714822779846,2024-05-04T14:39:39.846,1.450,0.009,0.189,1.040
1714822779856,2024-05-04T14:39:39.856,1.460,0.027,0.224,1.030
1714822779866,2024-05-04T14:39:39.866,1.470,0.011,0.230,1.021
1714822779876,2024-05-04T14:39:39.876,1.480,-0.002,0.218,1.006
1714822779886,2024-05-04T14:39:39.886,1.490,-0.000,0.211,0.994
1714822779896,2024-05-04T14:39:39.896,1.500,0.006,0.206,1.002
1714822779906,2024-05-04T14:39:39.906,1.510,0.017,0.199,1.020
1714822779916,2024-05-04T14:39:39.916,1.520,-0.002,0.180,1.021
1714822779926,2024-05-04T14:39:39.926,1.530,-0.014,0.174,1.004
1714822779936,2024-05-04T14:39:39.936,1.540,-0.007,0.195,0.993
1714822779946,2024-05-04T14:39:39.946,1.550,-0.002,0.223,0.986
1714822779956,2024-05-04T14:39:39.956,1.560,-0.035,0.231,0.978
1714822779966,2024-05-04T14:39:39.966,1.570,-0.081,0.209,0.971
