epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1714822778406,2024-05-04T14:39:38.406,0.000,0.732,-0.793,0.854
1714822778416,2024-05-04T14:39:38.416,0.010,0.854,-0.610,1.402
1714822778426,2024-05-04T14:39:38.426,0.020,1.098,0.610,1.646
1714822778436,2024-05-04T14:39:38.436,0.030,1.280,1.768,2.012
1714822778446,2024-05-04T14:39:38.446,0.040,1.037,1.890,2.073
1714822778456,2024-05-04T14:39:38.456,0.050,0.671,0.976,2.195
1714822778466,2024-05-04T14:39:38.466,0.060,1.098,-0.488,2.439
1714822778476,2024-05-04T14:39:38.476,0.070,1.402,-1.402,2.256
1714822778486,2024-05-04T14:39:38.486,0.080,1.037,-0.915,1.829
1714822778496,2024-05-04T14:39:38.496,0.090,0.732,-0.061,1.402
1714822778506,2024-05-04T14:39:38.506,0.100,0.305,0.549,0.976
1714822778516,2024-05-04T14:39:38.516,0.110,-0.305,0.488,0.671
1714822778526,2024-05-04T14:39:38.526,0.120,-0.671,-0.244,0.305
1714822778536,2024-05-04T14:39:38.536,0.130,-1.098,-0.732,-0.122
1714822778546,2024-05-04T14:39:38.546,0.140,-1.341,-0.549,-0.427
1714822778556,2024-05-04T14:39:38.556,0.150,-1.098,0.061,-0.854
1714822778566,2024-05-04T14:39:38.566,0.160,-0.366,1.463,-0.915
1714822778576,2024-05-04T14:39:38.576,0.170,-0.122,2.927,-1.037
1714822778586,2024-05-04T14:39:38.586,0.180,-0.427,2.805,-0.915
1714822778596,2024-05-04T14:39:38.596,0.190,-0.671,0.976,-0.793
1714822778606,2024-05-04T14:39:38.606,0.200,-0.732,-1.341,-0.488
1714822778616,2024-05-04T14:39:38.616,0.210,-0.610,-3.415,0.000
1714822778626,2024-05-04T14:39:38.626,0.220,-0.427,-4.756,0.244
1714822778636,2024-05-04T14:39:38.636,0.230,-0.244,-5.061,0.244
1714822778646,2024-05-04T14:39:38.646,0.240,0.671,-4.390,0.061
1714822778656,2024-05-04T14:39:38.656,0.250,1.463,-2.866,0.305
1714822778666,2024-05-04T14:39:38.666,0.260,1.341,-0.854,0.610
1714822778676,2024-05-04T14:39:38.676,0.270,0.854,0.122,0.854
1714822778686,2024-05-04T14:39:38.686,0.280,0.488,0.183,0.915
1714822778696,2024-05-04T14:39:38.696,0.290,1.098,0.061,1.280
1714822778706,2024-05-04T14:39:38.706,0.300,2.073,-0.366,1.341
1714822778716,2024-05-04T14:39:38.716,0.310,2.805,-0.183,1.341
1714822778726,2024-05-04T14:39:38.726,0.320,2.988,1.037,1.524
1714822778736,2024-05-04T14:39:38.736,0.330,2.622,2.195,1.768
1714822778746,2024-05-04T14:39:38.746,0.340,2.500,2.439,2.073
1714822778756,2024-05-04T14:39:38.756,0.350,2.988,2.256,2.134
1714822778766,2024-05-04T14:39:38.766,0.360,3.780,1.890,2.317
1714822778776,2024-05-04T14:39:38.776,0.370,4.085,1.768,2.439
1714822778786,2024-05-04T14:39:38.786,0.380,4.451,1.951,2.439
1714822778796,2024-05-04T14:39:38.796,0.390,5.000,3.415,3.110
1714822778806,2024-05-04T14:39:38.806,0.400,5.183,5.732,3.415
1714822778816,2024-05-04T14:39:38.816,0.410,5.610,8.171,4.451
1714822778826,2024-05-04T14:39:38.826,0.420,5.793,9.878,5.427
1714822778836,2024-05-04T14:39:38.836,0.430,6.829,12.866,6.341
1714822778846,2024-05-04T14:39:38.846,0.440,8.110,18.293,7.378
1714822778856,2024-05-04T14:39:38.856,0.450,8.049,23.963,7.622
1714822778866,2024-05-04T14:39:38.866,0.460,7.317,27.378,7.805
1714822778876,2024-05-04T14:39:38.876,0.470,7.500,27.317,8.598
1714822778886,2024-05-04T14:39:38.886,0.480,7.561,25.488,9.329
1714822778896,2024-05-04T14:39:38.896,0.490,7.073,24.634,9.573
1714822778906,2024-05-04T14:39:38.906,0.500,7.500,24.695,9.939
1714822778916,2024-05-04T14:39:38.916,0.510,7.500,24.329,10.183
1714822778926,2024-05-04T14:39:38.926,0.520,6.646,23.537,10.000
1714822778936,2024-05-04T14:39:38.936,0.530,7.134,20.854,9.817
1714822778946,2024-05-04T14:39:38.946,0.540,8.841,17.927,10.610
1714822778956,2024-05-04T14:39:38.956,0.550,9.939,16.646,11.220
1714822778966,2024-05-04T14:39:38.966,0.560,8.354,16.220,10.122
1714822778976,2024-05-04T14:39:38.976,0.570,5.610,15.610,8.902
1714822778986,2024-05-04T14:39:38.986,0.580,4.146,13.963,8.049
1714822778996,2024-05-04T14:39:38.996,0.590,3.780,11.280,6.890
1714822779006,2024-05-04T14:39:39.006,0.600,3.537,8.659,5.610
1714822779016,2024-05-04T14:39:39.016,0.610,3.476,5.549,5.183
