epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1750790757508,2025-06-24T21:45:57.508,0.000,-122.012,34.634,-14.329
1750790757518,2025-06-24T21:45:57.518,0.010,-121.341,34.695,-14.451
1750790757528,2025-06-24T21:45:57.528,0.020,-118.049,35.122,-14.024
1750790757538,2025-06-24T21:45:57.538,0.030,-113.598,32.988,-13.902
1750790757548,2025-06-24T21:45:57.548,0.040,-108.476,28.110,-13.354
1750790757558,2025-06-24T21:45:57.558,0.050,-102.439,21.646,-12.866
1750790757568,2025-06-24T21:45:57.568,0.060,-96.037,14.939,-13.354
1750790757578,2025-06-24T21:45:57.578,0.070,-88.659,8.537,-14.146
1750790757588,2025-06-24T21:45:57.588,0.080,-80.000,2.744,-14.268
1750790757598,2025-06-24T21:45:57.598,0.090,-71.220,-1.341,-13.963
1750790757608,2025-06-24T21:45:57.608,0.100,-61.646,-4.512,-13.963
1750790757618,2025-06-24T21:45:57.618,0.110,-51.341,-8.171,-14.329
1750790757628,2025-06-24T21:45:57.628,0.120,-40.183,-12.744,-15.000
1750790757638,2025-06-24T21:45:57.638,0.130,-29.024,-17.988,-15.183
1750790757648,2025-06-24T21:45:57.648,0.140,-17.317,-23.110,-15.366
1750790757658,2025-06-24T21:45:57.658,0.150,-4.939,-27.805,-14.817
1750790757668,2025-06-24T21:45:57.668,0.160,8.232,-31.280,-13.659
1750790757678,2025-06-24T21:45:57.678,0.170,21.768,-33.659,-11.951
1750790757688,2025-06-24T21:45:57.688,0.180,36.159,-35.488,-9.329
1750790757698,2025-06-24T21:45:57.698,0.190,49.817,-37.195,-6.280
1750790757708,2025-06-24T21:45:57.708,0.200,62.927,-37.317,-3.963
1750790757718,2025-06-24T21:45:57.718,0.210,76.220,-35.305,-2.378
1750790757728,2025-06-24T21:45:57.728,0.220,88.720,-33.537,-2.073
1750790757738,2025-06-24T21:45:57.738,0.230,100.854,-32.317,-2.866
1750790757748,2025-06-24T21:45:57.748,0.240,111.402,-34.573,-3.415
1750790757758,2025-06-24T21:45:57.758,0.250,119.268,-42.073,-3.476
1750790757768,2025-06-24T21:45:57.768,0.260,124.878,-49.939,-1.890
1750790757778,2025-06-24T21:45:57.778,0.270,129.817,-56.707,0.915
1750790757788,2025-06-24T21:45:57.788,0.280,133.232,-57.744,1.585
1750790757798,2025-06-24T21:45:57.798,0.290,135.000,-49.939,2.683
1750790757808,2025-06-24T21:45:57.808,0.300,135.732,-39.817,5.732
1750790757818,2025-06-24T21:45:57.818,0.310,133.780,-32.195,6.098
1750790757828,2025-06-24T21:45:57.828,0.320,127.988,-29.512,5.671
1750790757838,2025-06-24T21:45:57.838,0.330,118.354,-34.756,6.463
1750790757848,2025-06-24T21:45:57.848,0.340,106.280,-44.756,5.976
1750790757858,2025-06-24T21:45:57.858,0.350,94.390,-51.280,5.854
1750790757868,2025-06-24T21:45:57.868,0.360,85.427,-46.524,7.988
1750790757878,2025-06-24T21:45:57.878,0.370,78.415,-29.695,9.329
1750790757888,2025-06-24T21:45:57.888,0.380,71.037,-10.305,7.378
1750790757898,2025-06-24T21:45:57.898,0.390,59.939,-3.354,5.549
1750790757908,2025-06-24T21:45:57.908,0.400,45.366,-13.232,5.793
1750790757918,2025-06-24T21:45:57.918,0.410,30.488,-28.110,6.037
1750790757928,2025-06-24T21:45:57.928,0.420,18.902,-33.659,5.915
1750790757938,2025-06-24T21:45:57.938,0.430,12.256,-26.524,5.183
1750790757948,2025-06-24T21:45:57.948,0.440,8.232,-15.061,4.146
1750790757958,2025-06-24T21:45:57.958,0.450,3.415,-5.183,3.354
1750790757968,2025-06-24T21:45:57.968,0.460,-1.646,4.512,2.134
1750790757978,2025-06-24T21:45:57.978,0.470,-6.402,13.720,1.524
