epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1750844197897,2025-06-25T12:36:37.897,0.000,160.732,-61.341,-9.512
1750844197907,2025-06-25T12:36:37.907,0.010,160.732,-60.122,-9.634
1750844197917,2025-06-25T12:36:37.917,0.020,159.451,-55.366,-8.963
1750844197927,2025-06-25T12:36:37.927,0.030,156.159,-42.988,-5.732
1750844197937,2025-06-25T12:36:37.937,0.040,150.000,-23.598,-0.183
1750844197947,2025-06-25T12:36:37.947,0.050,140.610,-5.000,5.854
1750844197957,2025-06-25T12:36:37.957,0.060,128.598,5.305,10.610
1750844197967,2025-06-25T12:36:37.967,0.070,114.390,4.207,12.744
1750844197977,2025-06-25T12:36:37.977,0.080,100.366,-6.159,13.415
1750844197987,2025-06-25T12:36:37.987,0.090,85.488,-17.378,14.390
1750844197997,2025-06-25T12:36:37.997,0.100,69.878,-20.915,15.610
1750844198007,2025-06-25T12:36:38.007,0.110,55.366,-10.854,15.732
1750844198017,2025-06-25T12:36:38.017,0.120,39.634,6.829,13.780
1750844198027,2025-06-25T12:36:38.027,0.130,21.829,21.037,12.012
1750844198037,2025-06-25T12:36:38.037,0.140,3.902,25.854,10.549
1750844198047,2025-06-25T12:36:38.047,0.150,-13.415,22.134,9.085
1750844198057,2025-06-25T12:36:38.057,0.160,-30.366,15.122,8.354
1750844198067,2025-06-25T12:36:38.067,0.170,-46.220,10.793,8.232
1750844198077,2025-06-25T12:36:38.077,0.180,-59.817,13.720,7.744
1750844198087,2025-06-25T12:36:38.087,0.190,-71.220,22.195,7.500
1750844198097,2025-06-25T12:36:38.097,0.200,-81.951,30.610,8.110
1750844198107,2025-06-25T12:36:38.107,0.210,-92.073,36.951,9.146
1750844198117,2025-06-25T12:36:38.117,0.220,-101.341,41.341,9.512
1750844198127,2025-06-25T12:36:38.127,0.230,-109.329,44.207,9.512
1750844198137,2025-06-25T12:36:38.137,0.240,-117.073,46.159,8.841
1750844198147,2025-06-25T12:36:38.147,0.250,-124.207,45.915,8.415
1750844198157,2025-06-25T12:36:38.157,0.260,-129.451,42.439,8.110
1750844198167,2025-06-25T12:36:38.167,0.270,-134.024,37.622,8.598
1750844198177,2025-06-25T12:36:38.177,0.280,-138.232,34.451,9.329
1750844198187,2025-06-25T12:36:38.187,0.290,-139.329,36.646,10.366
1750844198197,2025-06-25T12:36:38.197,0.300,-140.427,41.402,10.915
1750844198207,2025-06-25T12:36:38.207,0.310,-139.451,45.549,11.341
1750844198217,2025-06-25T12:36:38.217,0.320,-135.427,48.720,11.951
1750844198227,2025-06-25T12:36:38.227,0.330,-130.549,48.476,11.585
1750844198237,2025-06-25T12:36:38.237,0.340,-125.671,45.793,10.244
1750844198247,2025-06-25T12:36:38.247,0.350,-120.061,41.829,8.110
1750844198257,2025-06-25T12:36:38.257,0.360,-113.902,35.793,5.366
1750844198267,2025-06-25T12:36:38.267,0.370,-107.256,28.171,3.232
1750844198277,2025-06-25T12:36:38.277,0.380,-100.244,20.793,2.073
1750844198287,2025-06-25T12:36:38.287,0.390,-92.622,17.500,1.585
1750844198297,2025-06-25T12:36:38.297,0.400,-84.390,19.207,1.646
1750844198307,2025-06-25T12:36:38.307,0.410,-76.707,23.232,1.951
1750844198317,2025-06-25T12:36:38.317,0.420,-69.024,25.915,1.768
1750844198327,2025-06-25T12:36:38.327,0.430,-61.524,21.707,2.500
1750844198337,2025-06-25T12:36:38.337,0.440,-54.573,11.463,4.390
1750844198347,2025-06-25T12:36:38.347,0.450,-47.744,0.793,5.305
1750844198357,2025-06-25T12:36:38.357,0.460,-40.061,-8.171,4.817
1750844198367,2025-06-25T12:36:38.367,0.470,-31.890,-14.573,4.390
1750844198377,2025-06-25T12:36:38.377,0.480,-23.049,-20.610,4.268
1750844198387,2025-06-25T12:36:38.387,0.490,-13.232,-26.402,3.720
1750844198397,2025-06-25T12:36:38.397,0.500,-2.683,-31.280,2.744
1750844198407,2025-06-25T12:36:38.407,0.510,8.293,-36.463,2.134
1750844198417,2025-06-25T12:36:38.417,0.520,19.390,-42.134,1.951
1750844198427,2025-06-25T12:36:38.427,0.530,31.098,-46.829,1.585
1750844198437,2025-06-25T12:36:38.437,0.540,42.622,-51.280,1.280
1750844198447,2025-06-25T12:36:38.447,0.550,53.780,-55.122,1.098
1750844198457,2025-06-25T12:36:38.457,0.560,65.000,-57.622,0.732
1750844198467,2025-06-25T12:36:38.467,0.570,76.341,-59.329,0.244
1750844198477,2025-06-25T12:36:38.477,0.580,87.378,-59.024,-0.061
1750844198487,2025-06-25T12:36:38.487,0.590,97.744,-57.195,0.061
1750844198497,2025-06-25T12:36:38.497,0.600,108.293,-57.073,-1.159
1750844198507,2025-06-25T12:36:38.507,0.610,118.902,-59.024,-2.805
1750844198517,2025-06-25T12:36:38.517,0.620,129.573,-65.061,-2.317
1750844198527,2025-06-25T12:36:38.527,0.630,139.878,-72.378,-0.427
1750844198537,2025-06-25T12:36:38.537,0.640,149.146,-74.573,3.110
1750844198547,2025-06-25T12:36:38.547,0.650,157.317,-67.622,4.939
1750844198557,2025-06-25T12:36:38.557,0.660,164.451,-48.293,5.244
1750844198567,2025-06-25T12:36:38.567,0.670,169.451,-21.646,6.707
1750844198577,2025-06-25T12:36:38.577,0.680,171.341,5.793,7.805
1750844198587,2025-06-25T12:36:38.587,0.690,169.817,23.110,8.232
1750844198597,2025-06-25T12:36:38.597,0.700,162.195,26.220,10.366
1750844198607,2025-06-25T12:36:38.607,0.710,148.293,20.732,12.378
1750844198617,2025-06-25T12:36:38.617,0.720,131.768,11.280,11.951
1750844198627,2025-06-25T12:36:38.627,0.730,112.317,0.305,12.012
1750844198637,2025-06-25T12:36:38.637,0.740,89.756,-5.854,12.134
1750844198647,2025-06-25T12:36:38.647,0.750,66.707,-2.012,11.341
1750844198657,2025-06-25T12:36:38.657,0.760,45.061,5.854,10.732
1750844198667,2025-06-25T12:36:38.667,0.770,24.329,8.902,11.098
1750844198677,2025-06-25T12:36:38.677,0.780,3.476,6.280,12.256
1750844198687,2025-06-25T12:36:38.687,0.790,-16.402,6.341,13.780
1750844198697,2025-06-25T12:36:38.697,0.800,-34.390,11.220,14.146
1750844198707,2025-06-25T12:36:38.707,0.810,-50.915,15.732,13.293
1750844198717,2025-06-25T12:36:38.717,0.820,-66.098,16.951,13.293
1750844198727,2025-06-25T12:36:38.727,0.830,-78.963,17.988,13.841
1750844198737,2025-06-25T12:36:38.737,0.840,-90.244,22.073,13.963
1750844198747,2025-06-25T12:36:38.747,0.850,-99.878,29.634,13.354
1750844198757,2025-06-25T12:36:38.757,0.860,-107.988,36.524,12.500
1750844198767,2025-06-25T12:36:38.767,0.870,-115.366,40.732,11.768
1750844198777,2025-06-25T12:36:38.777,0.880,-121.768,42.866,11.159
1750844198787,2025-06-25T12:36:38.787,0.890,-127.195,43.537,10.671
1750844198797,2025-06-25T12:36:38.797,0.900,-131.829,43.780,10.122
1750844198807,2025-06-25T12:36:38.807,0.910,-135.610,44.817,8.598
1750844198817,2025-06-25T12:36:38.817,0.920,-138.049,45.915,6.829
1750844198827,2025-06-25T12:36:38.827,0.930,-139.573,45.976,5.000
1750844198837,2025-06-25T12:36:38.837,0.940,-140.427,45.671,2.195
1750844198847,2025-06-25T12:36:38.847,0.950,-140.305,44.512,0.366
1750844198857,2025-06-25T12:36:38.857,0.960,-139.146,41.402,-0.854
1750844198867,2025-06-25T12:36:38.867,0.970,-137.012,37.439,-2.378
1750844198877,2025-06-25T12:36:38.877,0.980,-133.476,33.659,-2.805
1750844198887,2025-06-25T12:36:38.887,0.990,-128.598,30.976,-2.256
1750844198897,2025-06-25T12:36:38.897,1.000,-122.561,27.073,-1.463
1750844198907,2025-06-25T12:36:38.907,1.010,-116.646,22.134,-0.427
1750844198917,2025-06-25T12:36:38.917,1.020,-109.817,19.146,0.549
1750844198927,2025-06-25T12:36:38.927,1.030,-102.378,17.561,1.524
1750844198937,2025-06-25T12:36:38.937,1.040,-95.061,15.366,2.805
1750844198947,2025-06-25T12:36:38.947,1.050,-87.073,13.293,4.268
1750844198957,2025-06-25T12:36:38.957,1.060,-78.110,12.317,5.671
1750844198967,2025-06-25T12:36:38.967,1.070,-69.085,12.744,6.280
1750844198977,2025-06-25T12:36:38.977,1.080,-60.488,12.561,6.220
1750844198987,2025-06-25T12:36:38.987,1.090,-52.012,10.793,5.549
1750844198997,2025-06-25T12:36:38.997,1.100,-43.841,7.012,5.427
1750844199007,2025-06-25T12:36:39.007,1.110,-35.671,1.524,5.976
1750844199017,2025-06-25T12:36:39.017,1.120,-27.073,-2.500,5.488
1750844199027,2025-06-25T12:36:39.027,1.130,-17.500,-5.061,4.512
1750844199037,2025-06-25T12:36:39.037,1.140,-7.439,-8.780,4.817
1750844199047,2025-06-25T12:36:39.047,1.150,3.049,-13.476,5.488
1750844199057,2025-06-25T12:36:39.057,1.160,13.841,-18.902,5.854
1750844199067,2025-06-25T12:36:39.067,1.170,25.061,-24.634,5.732
1750844199077,2025-06-25T12:36:39.077,1.180,36.037,-29.695,5.427
1750844199087,2025-06-25T12:36:39.087,1.190,46.890,-30.366,3.354
1750844199097,2025-06-25T12:36:39.097,1.200,57.805,-28.659,0.183
1750844199107,2025-06-25T12:36:39.107,1.210,68.902,-28.598,-2.073
1750844199117,2025-06-25T12:36:39.117,1.220,80.183,-32.378,-4.634
1750844199127,2025-06-25T12:36:39.127,1.230,91.524,-40.549,-6.098
1750844199137,2025-06-25T12:36:39.137,1.240,102.805,-53.720,-5.793
1750844199147,2025-06-25T12:36:39.147,1.250,113.171,-69.512,-5.000
1750844199157,2025-06-25T12:36:39.157,1.260,123.171,-83.963,-2.805
1750844199167,2025-06-25T12:36:39.167,1.270,133.902,-92.561,0.488
1750844199177,2025-06-25T12:36:39.177,1.280,145.000,-92.744,2.378
1750844199187,2025-06-25T12:36:39.187,1.290,155.915,-84.878,3.232
1750844199197,2025-06-25T12:36:39.197,1.300,166.524,-72.073,2.683
1750844199207,2025-06-25T12:36:39.207,1.310,174.146,-56.402,1.037
1750844199217,2025-06-25T12:36:39.217,1.320,177.744,-37.805,1.829
1750844199227,2025-06-25T12:36:39.227,1.330,179.878,-17.500,4.085
1750844199237,2025-06-25T12:36:39.237,1.340,177.744,1.280,4.634
1750844199247,2025-06-25T12:36:39.247,1.350,168.720,8.476,6.524
1750844199257,2025-06-25T12:36:39.257,1.360,155.122,-1.463,8.841
1750844199267,2025-06-25T12:36:39.267,1.370,139.085,-21.890,9.634
1750844199277,2025-06-25T12:36:39.277,1.380,121.341,-42.622,10.000
1750844199287,2025-06-25T12:36:39.287,1.390,103.598,-53.963,11.098
1750844199297,2025-06-25T12:36:39.297,1.400,87.622,-48.110,13.780
1750844199307,2025-06-25T12:36:39.307,1.410,72.317,-25.793,16.098
1750844199317,2025-06-25T12:36:39.317,1.420,57.317,0.549,16.037
1750844199327,2025-06-25T12:36:39.327,1.430,42.073,16.707,15.488
1750844199337,2025-06-25T12:36:39.337,1.440,25.244,19.207,14.512
1750844199347,2025-06-25T12:36:39.347,1.450,7.866,15.671,12.805
1750844199357,2025-06-25T12:36:39.357,1.460,-9.085,12.012,9.329
1750844199367,2025-06-25T12:36:39.367,1.470,-24.634,9.817,6.159
1750844199377,2025-06-25T12:36:39.377,1.480,-38.476,10.976,4.024
1750844199387,2025-06-25T12:36:39.387,1.490,-50.488,18.415,2.378
1750844199397,2025-06-25T12:36:39.397,1.500,-61.220,30.305,1.159
1750844199407,2025-06-25T12:36:39.407,1.510,-71.585,41.159,0.244
1750844199417,2025-06-25T12:36:39.417,1.520,-81.463,47.256,-0.732
1750844199427,2025-06-25T12:36:39.427,1.530,-89.878,49.146,-1.402
1750844199437,2025-06-25T12:36:39.437,1.540,-96.890,51.037,-2.012
1750844199447,2025-06-25T12:36:39.447,1.550,-103.415,56.280,-3.415
1750844199457,2025-06-25T12:36:39.457,1.560,-109.024,64.695,-4.207
1750844199467,2025-06-25T12:36:39.467,1.570,-112.988,73.659,-5.000
1750844199477,2025-06-25T12:36:39.477,1.580,-116.280,77.988,-5.915
1750844199487,2025-06-25T12:36:39.487,1.590,-120.000,75.671,-5.610
1750844199497,2025-06-25T12:36:39.497,1.600,-123.049,70.244,-4.268
1750844199507,2025-06-25T12:36:39.507,1.610,-125.183,66.220,-3.476
