epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1751288543999,2025-06-30T16:02:23.999,0.000,0.020,-0.162,0.810
1751288544009,2025-06-30T16:02:24.009,0.010,-0.017,-0.213,0.783
1751288544019,2025-06-30T16:02:24.019,0.020,-0.062,-0.271,0.754
1751288544029,2025-06-30T16:02:24.029,0.030,-0.115,-0.300,0.742
1751288544039,2025-06-30T16:02:24.039,0.040,-0.158,-0.318,0.734
1751288544049,2025-06-30T16:02:24.049,0.050,-0.168,-0.323,0.732
1751288544059,2025-06-30T16:02:24.059,0.060,-0.157,-0.311,0.715
1751288544069,2025-06-30T16:02:24.069,0.070,-0.150,-0.284,0.680
1751288544079,2025-06-30T16:02:24.079,0.080,-0.153,-0.269,0.648
1751288544089,2025-06-30T16:02:24.089,0.090,-0.138,-0.254,0.618
1751288544099,2025-06-30T16:02:24.099,0.100,-0.115,-0.229,0.574
1751288544109,2025-06-30T16:02:24.109,0.110,-0.103,-0.212,0.535
1751288544119,2025-06-30T16:02:24.119,0.120,-0.085,-0.202,0.498
1751288544129,2025-06-30T16:02:24.129,0.130,-0.077,-0.187,0.463
1751288544139,2025-06-30T16:02:24.139,0.140,-0.067,-0.163,0.444
1751288544149,2025-06-30T16:02:24.149,0.150,-0.055,-0.141,0.432
1751288544159,2025-06-30T16:02:24.159,0.160,-0.033,-0.119,0.418
1751288544169,2025-06-30T16:02:24.169,0.170,-0.014,-0.101,0.418
1751288544179,2025-06-30T16:02:24.179,0.180,-0.000,-0.086,0.424
1751288544189,2025-06-30T16:02:24.189,0.190,-0.001,-0.062,0.415
1751288544199,2025-06-30T16:02:24.199,0.200,-0.001,-0.033,0.400
1751288544209,2025-06-30T16:02:24.209,0.210,-0.012,-0.012,0.398
1751288544219,2025-06-30T16:02:24.219,0.220,-0.044,-0.013,0.438
1751288544229,2025-06-30T16:02:24.229,0.230,-0.042,-0.027,0.505
1751288544239,2025-06-30T16:02:24.239,0.240,-0.011,-0.037,0.570
1751288544249,2025-06-30T16:02:24.249,0.250,0.021,-0.046,0.617
1751288544259,2025-06-30T16:02:24.259,0.260,0.049,-0.042,0.652
