epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1750845258139,2025-06-25T12:54:18.139,0.000,-1.220,-1.829,0.854
1750845258149,2025-06-25T12:54:18.149,0.010,-1.220,-1.524,0.671
1750845258159,2025-06-25T12:54:18.159,0.020,-1.524,-1.402,1.220
1750845258169,2025-06-25T12:54:18.169,0.030,-1.707,-1.402,1.037
1750845258179,2025-06-25T12:54:18.179,0.040,-1.585,-1.463,0.976
1750845258189,2025-06-25T12:54:18.189,0.050,-1.463,-1.220,0.915
1750845258199,2025-06-25T12:54:18.199,0.060,-1.646,-0.915,0.854
1750845258209,2025-06-25T12:54:18.209,0.070,-1.707,-0.976,0.732
1750845258219,2025-06-25T12:54:18.219,0.080,-1.707,-0.854,0.549
1750845258229,2025-06-25T12:54:18.229,0.090,-1.707,-0.427,0.488
1750845258239,2025-06-25T12:54:18.239,0.100,-1.402,-0.122,0.366
1750845258249,2025-06-25T12:54:18.249,0.110,-0.793,-0.366,0.305
1750845258259,2025-06-25T12:54:18.259,0.120,-0.549,-0.061,0.122
1750845258269,2025-06-25T12:54:18.269,0.130,-0.183,0.488,0.000
1750845258279,2025-06-25T12:54:18.279,0.140,0.122,0.854,-0.122
1750845258289,2025-06-25T12:54:18.289,0.150,0.366,0.976,-0.183
1750845258299,2025-06-25T12:54:18.299,0.160,0.610,1.159,-0.244
1750845258309,2025-06-25T12:54:18.309,0.170,0.427,1.585,-0.305
1750845258319,2025-06-25T12:54:18.319,0.180,0.488,2.195,-0.366
1750845258329,2025-06-25T12:54:18.329,0.190,0.854,2.500,-0.305
1750845258339,2025-06-25T12:54:18.339,0.200,0.915,2.866,-0.305
1750845258349,2025-06-25T12:54:18.349,0.210,1.037,3.354,-0.366
1750845258359,2025-06-25T12:54:18.359,0.220,0.610,5.549,-0.427
1750845258369,2025-06-25T12:54:18.369,0.230,0.427,8.354,-0.488
1750845258379,2025-06-25T12:54:18.379,0.240,0.122,9.939,-0.610
1750845258389,2025-06-25T12:54:18.389,0.250,-0.305,12.073,-0.488
1750845258399,2025-06-25T12:54:18.399,0.260,-0.793,13.476,-0.549
1750845258409,2025-06-25T12:54:18.409,0.270,-0.305,13.171,-0.732
1750845258419,2025-06-25T12:54:18.419,0.280,0.183,12.317,-0.915
1750845258429,2025-06-25T12:54:18.429,0.290,0.000,11.768,-0.976
1750845258439,2025-06-25T12:54:18.439,0.300,0.000,10.610,-0.915
1750845258449,2025-06-25T12:54:18.449,0.310,0.061,9.695,-0.610
1750845258459,2025-06-25T12:54:18.459,0.320,-0.122,9.634,-0.488
1750845258469,2025-06-25T12:54:18.469,0.330,-0.305,9.390,-0.305
1750845258479,2025-06-25T12:54:18.479,0.340,-0.061,7.622,-0.061
1750845258489,2025-06-25T12:54:18.489,0.350,-0.366,5.610,0.183
1750845258499,2025-06-25T12:54:18.499,0.360,-0.610,2.256,-0.305
1750845258509,2025-06-25T12:54:18.509,0.370,-0.793,-3.171,-0.244
1750845258519,2025-06-25T12:54:18.519,0.380,-1.159,-6.646,0.427
1750845258529,2025-06-25T12:54:18.529,0.390,-1.585,-7.317,0.488
1750845258539,2025-06-25T12:54:18.539,0.400,-1.707,-7.683,1.159
1750845258549,2025-06-25T12:54:18.549,0.410,-2.195,-6.768,1.829
1750845258559,2025-06-25T12:54:18.559,0.420,-2.439,-5.305,1.829
1750845258569,2025-06-25T12:54:18.569,0.430,-2.378,-5.122,2.439
1750845258579,2025-06-25T12:54:18.579,0.440,-2.134,-4.512,3.232
1750845258589,2025-06-25T12:54:18.589,0.450,-1.463,-5.000,3.720
1750845258599,2025-06-25T12:54:18.599,0.460,-0.488,-5.793,4.085
1750845258609,2025-06-25T12:54:18.609,0.470,0.244,-6.280,4.817
1750845258619,2025-06-25T12:54:18.619,0.480,0.427,-5.732,4.939
