epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1750790889352,2025-06-24T21:48:09.352,0.000,0.396,0.972,0.224
1750790889362,2025-06-24T21:48:09.362,0.010,0.397,0.974,0.235
1750790889372,2025-06-24T21:48:09.372,0.020,0.403,0.961,0.249
1750790889382,2025-06-24T21:48:09.382,0.030,0.402,0.941,0.253
1750790889392,2025-06-24T21:48:09.392,0.040,0.400,0.916,0.250
1750790889402,2025-06-24T21:48:09.402,0.050,0.417,0.889,0.236
1750790889412,2025-06-24T21:48:09.412,0.060,0.448,0.867,0.210
1750790889422,2025-06-24T21:48:09.422,0.070,0.451,0.864,0.175
1750790889432,2025-06-24T21:48:09.432,0.080,0.446,0.890,0.140
1750790889442,2025-06-24T21:48:09.442,0.090,0.477,0.918,0.124
1750790889452,2025-06-24T21:48:09.452,0.100,0.533,0.929,0.120
1750790889462,2025-06-24T21:48:09.462,0.110,0.575,0.923,0.115
1750790889472,2025-06-24T21:48:09.472,0.120,0.589,0.913,0.103
1750790889482,2025-06-24T21:48:09.482,0.130,0.594,0.919,0.088
1750790889492,2025-06-24T21:48:09.492,0.140,0.600,0.933,0.081
1750790889502,2025-06-24T21:48:09.502,0.150,0.610,0.938,0.080
1750790889512,2025-06-24T21:48:09.512,0.160,0.611,0.943,0.073
1750790889522,2025-06-24T21:48:09.522,0.170,0.604,0.945,0.063
1750790889532,2025-06-24T21:48:09.532,0.180,0.595,0.950,0.060
1750790889542,2025-06-24T21:48:09.542,0.190,0.587,0.954,0.045
1750790889552,2025-06-24T21:48:09.552,0.200,0.567,0.958,0.026
1750790889562,2025-06-24T21:48:09.562,0.210,0.535,0.964,0.008
1750790889572,2025-06-24T21:48:09.572,0.220,0.527,0.970,-0.012
1750790889582,2025-06-24T21:48:09.582,0.230,0.552,0.969,-0.011
1750790889592,2025-06-24T21:48:09.592,0.240,0.567,0.970,-0.002
1750790889602,2025-06-24T21:48:09.602,0.250,0.561,0.980,0.001
1750790889612,2025-06-24T21:48:09.612,0.260,0.555,1.012,0.000
1750790889622,2025-06-24T21:48:09.622,0.270,0.560,1.054,0.005
1750790889632,2025-06-24T21:48:09.632,0.280,0.585,1.101,0.013
1750790889642,2025-06-24T21:48:09.642,0.290,0.617,1.154,0.011
1750790889652,2025-06-24T21:48:09.652,0.300,0.656,1.206,0.003
1750790889662,2025-06-24T21:48:09.662,0.310,0.672,1.260,-0.011
1750790889672,2025-06-24T21:48:09.672,0.320,0.672,1.306,-0.033
1750790889682,2025-06-24T21:48:09.682,0.330,0.665,1.348,-0.058
1750790889692,2025-06-24T21:48:09.692,0.340,0.667,1.393,-0.082
1750790889702,2025-06-24T21:48:09.702,0.350,0.657,1.418,-0.097
1750790889712,2025-06-24T21:48:09.712,0.360,0.642,1.417,-0.103
1750790889722,2025-06-24T21:48:09.722,0.370,0.616,1.389,-0.099
1750790889732,2025-06-24T21:48:09.732,0.380,0.583,1.343,-0.081
1750790889742,2025-06-24T21:48:09.742,0.390,0.548,1.259,-0.058
1750790889752,2025-06-24T21:48:09.752,0.400,0.511,1.141,-0.034
1750790889762,2025-06-24T21:48:09.762,0.410,0.471,1.009,-0.019
1750790889772,2025-06-24T21:48:09.772,0.420,0.446,0.899,-0.030
1750790889782,2025-06-24T21:48:09.782,0.430,0.452,0.832,-0.054
1750790889792,2025-06-24T21:48:09.792,0.440,0.479,0.813,-0.070
1750790889802,2025-06-24T21:48:09.802,0.450,0.490,0.826,-0.080
1750790889812,2025-06-24T21:48:09.812,0.460,0.488,0.848,-0.085
1750790889822,2025-06-24T21:48:09.822,0.470,0.480,0.875,-0.082
1750790889832,2025-06-24T21:48:09.832,0.480,0.486,0.902,-0.080
1750790889842,2025-06-24T21:48:09.842,0.490,0.499,0.930,-0.083
1750790889852,2025-06-24T21:48:09.852,0.500,0.513,0.966,-0.080
1750790889862,2025-06-24T21:48:09.862,0.510,0.519,0.987,-0.070
1750790889872,2025-06-24T21:48:09.872,0.520,0.510,0.997,-0.059
1750790889882,2025-06-24T21:48:09.882,0.530,0.483,0.987,-0.050
1750790889892,2025-06-24T21:48:09.892,0.540,0.456,0.967,-0.034
1750790889902,2025-06-24T21:48:09.902,0.550,0.425,0.933,-0.022
1750790889912,2025-06-24T21:48:09.912,0.560,0.386,0.876,-0.023
1750790889922,2025-06-24T21:48:09.922,0.570,0.342,0.828,-0.026
1750790889932,2025-06-24T21:48:09.932,0.580,0.304,0.782,-0.028
1750790889942,2025-06-24T21:48:09.942,0.590,0.282,0.747,-0.024
1750790889952,2025-06-24T21:48:09.952,0.600,0.270,0.720,-0.018
1750790889962,2025-06-24T21:48:09.962,0.610,0.267,0.697,-0.008
1750790889972,2025-06-24T21:48:09.972,0.620,0.264,0.684,0.005
1750790889982,2025-06-24T21:48:09.982,0.630,0.263,0.678,0.022
1750790889992,2025-06-24T21:48:09.992,0.640,0.270,0.676,0.033
1750790890002,2025-06-24T21:48:10.002,0.650,0.276,0.679,0.042
1750790890012,2025-06-24T21:48:10.012,0.660,0.272,0.685,0.045
1750790890022,2025-06-24T21:48:10.022,0.670,0.266,0.687,0.053
1750790890032,2025-06-24T21:48:10.032,0.680,0.261,0.696,0.062
1750790890042,2025-06-24T21:48:10.042,0.690,0.255,0.710,0.067
1750790890052,2025-06-24T21:48:10.052,0.700,0.249,0.719,0.078
1750790890062,2025-06-24T21:48:10.062,0.710,0.244,0.725,0.086
1750790890072,2025-06-24T21:48:10.072,0.720,0.239,0.736,0.092
1750790890082,2025-06-24T21:48:10.082,0.730,0.236,0.747,0.104
1750790890092,2025-06-24T21:48:10.092,0.740,0.233,0.755,0.112
1750790890102,2025-06-24T21:48:10.102,0.750,0.229,0.765,0.117
1750790890112,2025-06-24T21:48:10.112,0.760,0.220,0.774,0.122
1750790890122,2025-06-24T21:48:10.122,0.770,0.217,0.790,0.126
1750790890132,2025-06-24T21:48:10.132,0.780,0.215,0.816,0.130
1750790890142,2025-06-24T21:48:10.142,0.790,0.226,0.842,0.137
1750790890152,2025-06-24T21:48:10.152,0.800,0.231,0.868,0.144
1750790890162,2025-06-24T21:48:10.162,0.810,0.238,0.905,0.144
1750790890172,2025-06-24T21:48:10.172,0.820,0.251,0.952,0.144
1750790890182,2025-06-24T21:48:10.182,0.830,0.251,0.995,0.152
1750790890192,2025-06-24T21:48:10.192,0.840,0.260,1.026,0.151
1750790890202,2025-06-24T21:48:10.202,0.850,0.270,1.047,0.145
1750790890212,2025-06-24T21:48:10.212,0.860,0.284,1.060,0.140
1750790890222,2025-06-24T21:48:10.222,0.870,0.296,1.088,0.136
1750790890232,2025-06-24T21:48:10.232,0.880,0.328,1.146,0.140
1750790890242,2025-06-24T21:48:10.242,0.890,0.369,1.228,0.150
1750790890252,2025-06-24T21:48:10.252,0.900,0.407,1.289,0.160
1750790890262,2025-06-24T21:48:10.262,0.910,0.426,1.314,0.156
1750790890272,2025-06-24T21:48:10.272,0.920,0.423,1.330,0.143
1750790890282,2025-06-24T21:48:10.282,0.930,0.420,1.344,0.126
1750790890292,2025-06-24T21:48:10.292,0.940,0.435,1.342,0.112
1750790890302,2025-06-24T21:48:10.302,0.950,0.461,1.313,0.113
1750790890312,2025-06-24T21:48:10.312,0.960,0.500,1.275,0.130
1750790890322,2025-06-24T21:48:10.322,0.970,0.519,1.236,0.159
1750790890332,2025-06-24T21:48:10.332,0.980,0.517,1.195,0.201
1750790890342,2025-06-24T21:48:10.342,0.990,0.521,1.158,0.241
1750790890352,2025-06-24T21:48:10.352,1.000,0.519,1.125,0.278
1750790890362,2025-06-24T21:48:10.362,1.010,0.507,1.106,0.295
1750790890372,2025-06-24T21:48:10.372,1.020,0.498,1.095,0.295
1750790890382,2025-06-24T21:48:10.382,1.030,0.495,1.091,0.276
1750790890392,2025-06-24T21:48:10.392,1.040,0.505,1.090,0.258
1750790890402,2025-06-24T21:48:10.402,1.050,0.509,1.083,0.249
1750790890412,2025-06-24T21:48:10.412,1.060,0.494,1.070,0.242
1750790890422,2025-06-24T21:48:10.422,1.070,0.462,1.048,0.238
1750790890432,2025-06-24T21:48:10.432,1.080,0.413,1.024,0.239
1750790890442,2025-06-24T21:48:10.442,1.090,0.365,1.000,0.238
1750790890452,2025-06-24T21:48:10.452,1.100,0.338,0.965,0.246
1750790890462,2025-06-24T21:48:10.462,1.110,0.325,0.930,0.258
1750790890472,2025-06-24T21:48:10.472,1.120,0.319,0.891,0.268
1750790890482,2025-06-24T21:48:10.482,1.130,0.319,0.850,0.274
1750790890492,2025-06-24T21:48:10.492,1.140,0.327,0.820,0.278
1750790890502,2025-06-24T21:48:10.502,1.150,0.353,0.795,0.285
1750790890512,2025-06-24T21:48:10.512,1.160,0.365,0.781,0.295
1750790890522,2025-06-24T21:48:10.522,1.170,0.367,0.765,0.299
1750790890532,2025-06-24T21:48:10.532,1.180,0.376,0.747,0.298
1750790890542,2025-06-24T21:48:10.542,1.190,0.396,0.730,0.307
1750790890552,2025-06-24T21:48:10.552,1.200,0.419,0.729,0.327
1750790890562,2025-06-24T21:48:10.562,1.210,0.450,0.736,0.345
1750790890572,2025-06-24T21:48:10.572,1.220,0.474,0.749,0.378
1750790890582,2025-06-24T21:48:10.582,1.230,0.482,0.760,0.408
1750790890592,2025-06-24T21:48:10.592,1.240,0.457,0.770,0.429
1750790890602,2025-06-24T21:48:10.602,1.250,0.420,0.782,0.428
1750790890612,2025-06-24T21:48:10.612,1.260,0.397,0.791,0.417
1750790890622,2025-06-24T21:48:10.622,1.270,0.392,0.798,0.401
1750790890632,2025-06-24T21:48:10.632,1.280,0.391,0.811,0.393
1750790890642,2025-06-24T21:48:10.642,1.290,0.382,0.820,0.386
1750790890652,2025-06-24T21:48:10.652,1.300,0.362,0.833,0.379
1750790890662,2025-06-24T21:48:10.662,1.310,0.342,0.860,0.375
1750790890672,2025-06-24T21:48:10.672,1.320,0.327,0.907,0.373
1750790890682,2025-06-24T21:48:10.682,1.330,0.330,0.951,0.362
1750790890692,2025-06-24T21:48:10.692,1.340,0.340,0.993,0.350
1750790890702,2025-06-24T21:48:10.702,1.350,0.354,1.040,0.343
1750790890712,2025-06-24T21:48:10.712,1.360,0.378,1.092,0.338
1750790890722,2025-06-24T21:48:10.722,1.370,0.398,1.142,0.334
1750790890732,2025-06-24T21:48:10.732,1.380,0.403,1.189,0.329
1750790890742,2025-06-24T21:48:10.742,1.390,0.397,1.223,0.313
1750790890752,2025-06-24T21:48:10.752,1.400,0.382,1.240,0.287
1750790890762,2025-06-24T21:48:10.762,1.410,0.373,1.248,0.262
1750790890772,2025-06-24T21:48:10.772,1.420,0.387,1.279,0.254
1750790890782,2025-06-24T21:48:10.782,1.430,0.414,1.338,0.251
1750790890792,2025-06-24T21:48:10.792,1.440,0.452,1.395,0.260
1750790890802,2025-06-24T21:48:10.802,1.450,0.480,1.423,0.270
1750790890812,2025-06-24T21:48:10.812,1.460,0.500,1.409,0.278
1750790890822,2025-06-24T21:48:10.822,1.470,0.502,1.348,0.282
1750790890832,2025-06-24T21:48:10.832,1.480,0.480,1.245,0.267
1750790890842,2025-06-24T21:48:10.842,1.490,0.430,1.125,0.225
1750790890852,2025-06-24T21:48:10.852,1.500,0.388,1.028,0.175
1750790890862,2025-06-24T21:48:10.862,1.510,0.372,0.984,0.142
1750790890872,2025-06-24T21:48:10.872,1.520,0.365,1.006,0.116
1750790890882,2025-06-24T21:48:10.882,1.530,0.357,1.064,0.088
1750790890892,2025-06-24T21:48:10.892,1.540,0.352,1.117,0.078
1750790890902,2025-06-24T21:48:10.902,1.550,0.339,1.150,0.069
1750790890912,2025-06-24T21:48:10.912,1.560,0.334,1.173,0.060
1750790890922,2025-06-24T21:48:10.922,1.570,0.340,1.195,0.059
1750790890932,2025-06-24T21:48:10.932,1.580,0.356,1.215,0.060
1750790890942,2025-06-24T21:48:10.942,1.590,0.369,1.216,0.059
1750790890952,2025-06-24T21:48:10.952,1.600,0.384,1.208,0.065
1750790890962,2025-06-24T21:48:10.962,1.610,0.391,1.192,0.064
1750790890972,2025-06-24T21:48:10.972,1.620,0.391,1.158,0.057
1750790890982,2025-06-24T21:48:10.982,1.630,0.377,1.119,0.055
1750790890992,2025-06-24T21:48:10.992,1.640,0.359,1.072,0.045
1750790891002,2025-06-24T21:48:11.002,1.650,0.336,1.020,0.033
1750790891012,2025-06-24T21:48:11.012,1.660,0.308,0.970,0.028
1750790891022,2025-06-24T21:48:11.022,1.670,0.293,0.935,0.023
1750790891032,2025-06-24T21:48:11.032,1.680,0.282,0.908,0.020
1750790891042,2025-06-24T21:48:11.042,1.690,0.282,0.889,0.027
1750790891052,2025-06-24T21:48:11.052,1.700,0.278,0.871,0.027
1750790891062,2025-06-24T21:48:11.062,1.710,0.277,0.854,0.031
1750790891072,2025-06-24T21:48:11.072,1.720,0.280,0.839,0.030
1750790891082,2025-06-24T21:48:11.082,1.730,0.282,0.824,0.024
1750790891092,2025-06-24T21:48:11.092,1.740,0.285,0.812,0.021
1750790891102,2025-06-24T21:48:11.102,1.750,0.283,0.803,0.014
1750790891112,2025-06-24T21:48:11.112,1.760,0.281,0.788,0.008
1750790891122,2025-06-24T21:48:11.122,1.770,0.277,0.777,0.004
1750790891132,2025-06-24T21:48:11.132,1.780,0.270,0.767,0.003
1750790891142,2025-06-24T21:48:11.142,1.790,0.263,0.760,0.001
