epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1750790889273,2025-06-24T21:48:09.273,0.000,32.195,107.317,9.268
1750790889283,2025-06-24T21:48:09.283,0.010,33.232,110.915,9.817
1750790889293,2025-06-24T21:48:09.293,0.020,35.366,129.939,14.085
1750790889303,2025-06-24T21:48:09.303,0.030,37.744,152.378,17.134
1750790889313,2025-06-24T21:48:09.313,0.040,38.963,168.963,17.805
1750790889323,2025-06-24T21:48:09.323,0.050,38.537,179.695,17.561
1750790889333,2025-06-24T21:48:09.333,0.060,36.829,184.817,15.976
1750790889343,2025-06-24T21:48:09.343,0.070,34.268,183.415,13.659
1750790889353,2025-06-24T21:48:09.353,0.080,31.280,176.220,10.488
1750790889363,2025-06-24T21:48:09.363,0.090,27.805,164.695,7.256
1750790889373,2025-06-24T21:48:09.373,0.100,24.024,152.012,4.451
1750790889383,2025-06-24T21:48:09.383,0.110,19.817,139.695,3.659
1750790889393,2025-06-24T21:48:09.393,0.120,16.220,128.780,5.244
1750790889403,2025-06-24T21:48:09.403,0.130,12.988,120.793,8.293
1750790889413,2025-06-24T21:48:09.413,0.140,10.183,118.415,12.805
1750790889423,2025-06-24T21:48:09.423,0.150,8.293,118.841,17.622
1750790889433,2025-06-24T21:48:09.433,0.160,6.585,118.415,21.524
1750790889443,2025-06-24T21:48:09.443,0.170,4.329,116.707,25.183
1750790889453,2025-06-24T21:48:09.453,0.180,2.012,118.537,29.085
1750790889463,2025-06-24T21:48:09.463,0.190,0.793,126.524,33.659
1750790889473,2025-06-24T21:48:09.473,0.200,1.098,138.415,38.659
1750790889483,2025-06-24T21:48:09.483,0.210,1.585,151.159,43.659
1750790889493,2025-06-24T21:48:09.493,0.220,2.012,164.024,48.354
1750790889503,2025-06-24T21:48:09.503,0.230,2.012,178.537,52.683
1750790889513,2025-06-24T21:48:09.513,0.240,2.012,193.720,56.402
1750790889523,2025-06-24T21:48:09.523,0.250,1.098,207.622,59.573
1750790889533,2025-06-24T21:48:09.533,0.260,-0.793,219.329,62.683
1750790889543,2025-06-24T21:48:09.543,0.270,-3.537,228.049,65.122
1750790889553,2025-06-24T21:48:09.553,0.280,-7.195,232.195,66.829
1750790889563,2025-06-24T21:48:09.563,0.290,-11.890,230.122,68.293
1750790889573,2025-06-24T21:48:09.573,0.300,-17.195,222.378,69.695
1750790889583,2025-06-24T21:48:09.583,0.310,-22.561,213.110,70.671
1750790889593,2025-06-24T21:48:09.593,0.320,-27.378,204.817,72.317
1750790889603,2025-06-24T21:48:09.603,0.330,-32.012,196.707,74.268
1750790889613,2025-06-24T21:48:09.613,0.340,-36.585,187.683,75.915
1750790889623,2025-06-24T21:48:09.623,0.350,-41.159,178.293,77.500
1750790889633,2025-06-24T21:48:09.633,0.360,-45.732,169.634,78.598
1750790889643,2025-06-24T21:48:09.643,0.370,-49.817,162.134,79.634
1750790889653,2025-06-24T21:48:09.653,0.380,-53.537,156.585,80.488
1750790889663,2025-06-24T21:48:09.663,0.390,-56.890,151.951,81.159
1750790889673,2025-06-24T21:48:09.673,0.400,-59.939,145.854,81.890
