epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1750844590863,2025-06-25T12:43:10.863,0.000,0.055,0.037,1.030
1750844590873,2025-06-25T12:43:10.873,0.010,0.114,0.058,1.063
1750844590883,2025-06-25T12:43:10.883,0.020,0.136,0.053,1.074
1750844590893,2025-06-25T12:43:10.893,0.030,0.169,0.027,1.086
1750844590903,2025-06-25T12:43:10.903,0.040,0.220,0.027,1.107
1750844590913,2025-06-25T12:43:10.913,0.050,0.274,0.042,1.120
1750844590923,2025-06-25T12:43:10.923,0.060,0.320,0.042,1.138
1750844590933,2025-06-25T12:43:10.933,0.070,0.368,0.046,1.155
1750844590943,2025-06-25T12:43:10.943,0.080,0.445,0.051,1.173
1750844590953,2025-06-25T12:43:10.953,0.090,0.476,0.040,1.202
1750844590963,2025-06-25T12:43:10.963,0.100,0.422,0.010,1.202
1750844590973,2025-06-25T12:43:10.973,0.110,0.338,-0.002,1.161
1750844590983,2025-06-25T12:43:10.983,0.120,0.283,0.007,1.148
1750844590993,2025-06-25T12:43:10.993,0.130,0.258,0.024,1.141
1750844591003,2025-06-25T12:43:11.003,0.140,0.219,0.053,1.121
1750844591013,2025-06-25T12:43:11.013,0.150,0.142,0.083,1.091
1750844591023,2025-06-25T12:43:11.023,0.160,0.087,0.107,1.063
1750844591033,2025-06-25T12:43:11.033,0.170,0.030,0.133,1.040
1750844591043,2025-06-25T12:43:11.043,0.180,-0.025,0.161,1.028
1750844591053,2025-06-25T12:43:11.053,0.190,-0.061,0.198,1.004
1750844591063,2025-06-25T12:43:11.063,0.200,-0.123,0.243,0.998
1750844591073,2025-06-25T12:43:11.073,0.210,-0.219,0.284,0.999
1750844591083,2025-06-25T12:43:11.083,0.220,-0.303,0.320,0.971
1750844591093,2025-06-25T12:43:11.093,0.230,-0.348,0.336,0.954
1750844591103,2025-06-25T12:43:11.103,0.240,-0.391,0.341,0.950
1750844591113,2025-06-25T12:43:11.113,0.250,-0.450,0.338,0.956
1750844591123,2025-06-25T12:43:11.123,0.260,-0.499,0.335,0.952
1750844591133,2025-06-25T12:43:11.133,0.270,-0.518,0.327,0.949
1750844591143,2025-06-25T12:43:11.143,0.280,-0.539,0.324,0.952
1750844591153,2025-06-25T12:43:11.153,0.290,-0.644,0.345,0.927
1750844591163,2025-06-25T12:43:11.163,0.300,-0.793,0.340,0.888
1750844591173,2025-06-25T12:43:11.173,0.310,-0.868,0.296,0.866
1750844591183,2025-06-25T12:43:11.183,0.320,-0.903,0.261,0.875
1750844591193,2025-06-25T12:43:11.193,0.330,-0.937,0.248,0.895
1750844591203,2025-06-25T12:43:11.203,0.340,-0.943,0.244,0.906
1750844591213,2025-06-25T12:43:11.213,0.350,-0.996,0.260,0.893
1750844591223,2025-06-25T12:43:11.223,0.360,-1.049,0.267,0.867
1750844591233,2025-06-25T12:43:11.233,0.370,-1.034,0.269,0.851
1750844591243,2025-06-25T12:43:11.243,0.380,-1.012,0.285,0.850
1750844591253,2025-06-25T12:43:11.253,0.390,-0.975,0.290,0.854
1750844591263,2025-06-25T12:43:11.263,0.400,-0.920,0.295,0.854
1750844591273,2025-06-25T12:43:11.273,0.410,-0.897,0.296,0.842
1750844591283,2025-06-25T12:43:11.283,0.420,-0.875,0.279,0.836
1750844591293,2025-06-25T12:43:11.293,0.430,-0.860,0.266,0.830
1750844591303,2025-06-25T12:43:11.303,0.440,-0.839,0.258,0.830
1750844591313,2025-06-25T12:43:11.313,0.450,-0.793,0.250,0.851
1750844591323,2025-06-25T12:43:11.323,0.460,-0.748,0.256,0.874
1750844591333,2025-06-25T12:43:11.333,0.470,-0.729,0.266,0.872
1750844591343,2025-06-25T12:43:11.343,0.480,-0.708,0.272,0.860
1750844591353,2025-06-25T12:43:11.353,0.490,-0.661,0.275,0.850
1750844591363,2025-06-25T12:43:11.363,0.500,-0.631,0.281,0.842
1750844591373,2025-06-25T12:43:11.373,0.510,-0.568,0.279,0.845
1750844591383,2025-06-25T12:43:11.383,0.520,-0.448,0.270,0.871
1750844591393,2025-06-25T12:43:11.393,0.530,-0.354,0.264,0.907
1750844591403,2025-06-25T12:43:11.403,0.540,-0.291,0.244,0.923
1750844591413,2025-06-25T12:43:11.413,0.550,-0.243,0.226,0.929
1750844591423,2025-06-25T12:43:11.423,0.560,-0.182,0.217,0.930
1750844591433,2025-06-25T12:43:11.433,0.570,-0.105,0.211,0.938
1750844591443,2025-06-25T12:43:11.443,0.580,0.003,0.214,0.936
1750844591453,2025-06-25T12:43:11.453,0.590,0.112,0.218,0.944
1750844591463,2025-06-25T12:43:11.463,0.600,0.197,0.212,0.992
1750844591473,2025-06-25T12:43:11.473,0.610,0.276,0.188,1.069
1750844591483,2025-06-25T12:43:11.483,0.620,0.350,0.152,1.134
1750844591493,2025-06-25T12:43:11.493,0.630,0.403,0.100,1.156
1750844591503,2025-06-25T12:43:11.503,0.640,0.402,0.050,1.163
1750844591513,2025-06-25T12:43:11.513,0.650,0.369,0.009,1.155
1750844591523,2025-06-25T12:43:11.523,0.660,0.319,-0.017,1.140
1750844591533,2025-06-25T12:43:11.533,0.670,0.246,-0.023,1.131
1750844591543,2025-06-25T12:43:11.543,0.680,0.169,-0.040,1.116
1750844591553,2025-06-25T12:43:11.553,0.690,0.123,-0.077,1.113
1750844591563,2025-06-25T12:43:11.563,0.700,0.083,-0.089,1.104
1750844591573,2025-06-25T12:43:11.573,0.710,0.056,-0.085,1.100
1750844591583,2025-06-25T12:43:11.583,0.720,0.026,-0.071,1.099
1750844591593,2025-06-25T12:43:11.593,0.730,-0.007,-0.055,1.094
1750844591603,2025-06-25T12:43:11.603,0.740,-0.029,-0.037,1.070
1750844591613,2025-06-25T12:43:11.613,0.750,-0.033,-0.020,1.040
1750844591623,2025-06-25T12:43:11.623,0.760,-0.012,0.003,1.024
1750844591633,2025-06-25T12:43:11.633,0.770,0.024,0.027,1.026
1750844591643,2025-06-25T12:43:11.643,0.780,0.034,0.022,1.034
1750844591653,2025-06-25T12:43:11.653,0.790,0.031,0.001,1.047
1750844591663,2025-06-25T12:43:11.663,0.800,0.057,0.004,1.054
1750844591673,2025-06-25T12:43:11.673,0.810,0.099,0.025,1.045
1750844591683,2025-06-25T12:43:11.683,0.820,0.117,0.029,1.045
1750844591693,2025-06-25T12:43:11.693,0.830,0.187,0.022,1.049
1750844591703,2025-06-25T12:43:11.703,0.840,0.249,0.013,1.058
1750844591713,2025-06-25T12:43:11.713,0.850,0.251,-0.026,1.069
1750844591723,2025-06-25T12:43:11.723,0.860,0.224,-0.056,1.090
1750844591733,2025-06-25T12:43:11.733,0.870,0.217,-0.063,1.105
1750844591743,2025-06-25T12:43:11.743,0.880,0.231,-0.053,1.101
1750844591753,2025-06-25T12:43:11.753,0.890,0.229,-0.023,1.101
1750844591763,2025-06-25T12:43:11.763,0.900,0.203,0.011,1.098
1750844591773,2025-06-25T12:43:11.773,0.910,0.168,0.048,1.105
1750844591783,2025-06-25T12:43:11.783,0.920,0.085,0.086,1.106
1750844591793,2025-06-25T12:43:11.793,0.930,0.005,0.121,1.098
1750844591803,2025-06-25T12:43:11.803,0.940,-0.048,0.165,1.082
1750844591813,2025-06-25T12:43:11.813,0.950,-0.083,0.202,1.076
1750844591823,2025-06-25T12:43:11.823,0.960,-0.135,0.233,1.068
1750844591833,2025-06-25T12:43:11.833,0.970,-0.195,0.255,1.061
1750844591843,2025-06-25T12:43:11.843,0.980,-0.252,0.275,1.043
1750844591853,2025-06-25T12:43:11.853,0.990,-0.325,0.293,1.013
1750844591863,2025-06-25T12:43:11.863,1.000,-0.354,0.294,0.998
1750844591873,2025-06-25T12:43:11.873,1.010,-0.385,0.289,0.993
1750844591883,2025-06-25T12:43:11.883,1.020,-0.414,0.273,1.002
1750844591893,2025-06-25T12:43:11.893,1.030,-0.415,0.262,1.009
1750844591903,2025-06-25T12:43:11.903,1.040,-0.474,0.276,0.988
1750844591913,2025-06-25T12:43:11.913,1.050,-0.578,0.290,0.954
1750844591923,2025-06-25T12:43:11.923,1.060,-0.621,0.275,0.932
1750844591933,2025-06-25T12:43:11.933,1.070,-0.636,0.275,0.922
1750844591943,2025-06-25T12:43:11.943,1.080,-0.667,0.282,0.923
1750844591953,2025-06-25T12:43:11.953,1.090,-0.705,0.275,0.911
1750844591963,2025-06-25T12:43:11.963,1.100,-0.738,0.275,0.903
1750844591973,2025-06-25T12:43:11.973,1.110,-0.747,0.269,0.896
1750844591983,2025-06-25T12:43:11.983,1.120,-0.755,0.262,0.892
1750844591993,2025-06-25T12:43:11.993,1.130,-0.787,0.257,0.878
1750844592003,2025-06-25T12:43:12.003,1.140,-0.818,0.243,0.865
1750844592013,2025-06-25T12:43:12.013,1.150,-0.833,0.240,0.858
