epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1751285032331,2025-06-30T15:03:52.331,0.000,25.793,5.610,-89.085
1751285032341,2025-06-30T15:03:52.341,0.010,25.793,6.768,-89.634
1751285032351,2025-06-30T15:03:52.351,0.020,27.256,10.793,-90.366
1751285032361,2025-06-30T15:03:52.361,0.030,28.659,15.122,-91.585
1751285032371,2025-06-30T15:03:52.371,0.040,30.305,16.280,-93.963
1751285032381,2025-06-30T15:03:52.381,0.050,31.524,13.354,-97.317
1751285032391,2025-06-30T15:03:52.391,0.060,32.500,8.537,-102.073
1751285032401,2025-06-30T15:03:52.401,0.070,33.415,4.695,-107.866
1751285032411,2025-06-30T15:03:52.411,0.080,34.634,3.232,-113.415
1751285032421,2025-06-30T15:03:52.421,0.090,35.976,3.963,-118.720
1751285032431,2025-06-30T15:03:52.431,0.100,37.439,5.305,-123.293
1751285032441,2025-06-30T15:03:52.441,0.110,38.476,5.976,-126.707
1751285032451,2025-06-30T15:03:52.451,0.120,39.146,5.732,-128.780
1751285032461,2025-06-30T15:03:52.461,0.130,39.634,3.354,-129.756
1751285032471,2025-06-30T15:03:52.471,0.140,39.329,-1.829,-129.634
1751285032481,2025-06-30T15:03:52.481,0.150,37.683,-9.451,-128.354
1751285032491,2025-06-30T15:03:52.491,0.160,34.878,-18.049,-125.366
1751285032501,2025-06-30T15:03:52.501,0.170,31.768,-24.390,-120.244
1751285032511,2025-06-30T15:03:52.511,0.180,27.683,-27.500,-112.683
1751285032521,2025-06-30T15:03:52.521,0.190,22.866,-26.463,-101.159
1751285032531,2025-06-30T15:03:52.531,0.200,19.085,-21.098,-85.366
1751285032541,2025-06-30T15:03:52.541,0.210,15.366,-15.488,-69.207
1751285032551,2025-06-30T15:03:52.551,0.220,11.707,-13.049,-53.415
1751285032561,2025-06-30T15:03:52.561,0.230,7.927,-12.988,-39.024
1751285032571,2025-06-30T15:03:52.571,0.240,4.451,-15.427,-29.024
1751285032581,2025-06-30T15:03:52.581,0.250,1.280,-19.329,-22.866
1751285032591,2025-06-30T15:03:52.591,0.260,-1.098,-22.012,-19.146
1751285032601,2025-06-30T15:03:52.601,0.270,-2.195,-20.366,-16.341
1751285032611,2025-06-30T15:03:52.611,0.280,-1.829,-14.878,-14.085
1751285032621,2025-06-30T15:03:52.621,0.290,-1.280,-9.329,-12.317
1751285032631,2025-06-30T15:03:52.631,0.300,-0.793,-5.610,-10.000
1751285032641,2025-06-30T15:03:52.641,0.310,-0.976,-4.024,-8.354
1751285032651,2025-06-30T15:03:52.651,0.320,-1.220,-4.268,-6.463
1751285032661,2025-06-30T15:03:52.661,0.330,-1.829,-6.402,-4.695
1751285032671,2025-06-30T15:03:52.671,0.340,-2.927,-11.524,-3.171
1751285032681,2025-06-30T15:03:52.681,0.350,-4.268,-17.744,-1.524
1751285032691,2025-06-30T15:03:52.691,0.360,-5.061,-21.951,-0.610
1751285032701,2025-06-30T15:03:52.701,0.370,-5.000,-22.195,-0.061
1751285032711,2025-06-30T15:03:52.711,0.380,-4.512,-18.841,0.183
1751285032721,2025-06-30T15:03:52.721,0.390,-4.207,-14.146,0.549
1751285032731,2025-06-30T15:03:52.731,0.400,-4.024,-10.610,1.402
1751285032741,2025-06-30T15:03:52.741,0.410,-3.841,-9.939,2.683
1751285032751,2025-06-30T15:03:52.751,0.420,-3.780,-10.854,4.024
1751285032761,2025-06-30T15:03:52.761,0.430,-3.476,-10.915,4.756
1751285032771,2025-06-30T15:03:52.771,0.440,-2.683,-9.817,5.915
1751285032781,2025-06-30T15:03:52.781,0.450,-2.256,-7.988,6.768
1751285032791,2025-06-30T15:03:52.791,0.460,-1.768,-4.634,6.951
1751285032801,2025-06-30T15:03:52.801,0.470,-0.732,-0.427,7.317
1751285032811,2025-06-30T15:03:52.811,0.480,-0.183,3.232,7.439
1751285032821,2025-06-30T15:03:52.821,0.490,-0.061,5.732,7.500
1751285032831,2025-06-30T15:03:52.831,0.500,-0.061,7.256,7.927
1751285032841,2025-06-30T15:03:52.841,0.510,-0.244,6.402,8.110
1751285032851,2025-06-30T15:03:52.851,0.520,-1.220,3.537,7.988
1751285032861,2025-06-30T15:03:52.861,0.530,-2.073,0.732,7.805
1751285032871,2025-06-30T15:03:52.871,0.540,-2.378,0.549,7.622
1751285032881,2025-06-30T15:03:52.881,0.550,-2.378,2.073,8.110
1751285032891,2025-06-30T15:03:52.891,0.560,-2.195,3.598,9.756
1751285032901,2025-06-30T15:03:52.901,0.570,-1.890,5.427,11.402
1751285032911,2025-06-30T15:03:52.911,0.580,-1.707,7.500,13.232
1751285032921,2025-06-30T15:03:52.921,0.590,-2.561,6.707,15.976
1751285032931,2025-06-30T15:03:52.931,0.600,-4.390,1.890,18.780
1751285032941,2025-06-30T15:03:52.941,0.610,-6.159,-2.988,20.488
1751285032951,2025-06-30T15:03:52.951,0.620,-7.561,-6.037,22.073
1751285032961,2025-06-30T15:03:52.961,0.630,-8.598,-7.683,24.573
1751285032971,2025-06-30T15:03:52.971,0.640,-9.085,-6.951,27.988
1751285032981,2025-06-30T15:03:52.981,0.650,-9.756,-5.122,33.720
1751285032991,2025-06-30T15:03:52.991,0.660,-11.524,-5.488,42.805
1751285033001,2025-06-30T15:03:53.001,0.670,-14.024,-9.085,53.049
1751285033011,2025-06-30T15:03:53.011,0.680,-17.012,-14.207,62.561
1751285033021,2025-06-30T15:03:53.021,0.690,-19.939,-19.268,70.915
1751285033031,2025-06-30T15:03:53.031,0.700,-22.378,-23.354,77.927
1751285033041,2025-06-30T15:03:53.041,0.710,-23.598,-24.146,84.207
1751285033051,2025-06-30T15:03:53.051,0.720,-23.598,-22.805,88.841
1751285033061,2025-06-30T15:03:53.061,0.730,-23.110,-21.341,92.683
1751285033071,2025-06-30T15:03:53.071,0.740,-22.378,-19.878,97.073
1751285033081,2025-06-30T15:03:53.081,0.750,-21.402,-17.195,100.793
1751285033091,2025-06-30T15:03:53.091,0.760,-20.183,-13.598,104.085
1751285033101,2025-06-30T15:03:53.101,0.770,-19.634,-11.524,107.500
1751285033111,2025-06-30T15:03:53.111,0.780,-19.695,-10.915,110.732
1751285033121,2025-06-30T15:03:53.121,0.790,-19.695,-10.000,113.049
1751285033131,2025-06-30T15:03:53.131,0.800,-19.512,-9.756,114.451
1751285033141,2025-06-30T15:03:53.141,0.810,-19.268,-9.268,114.634
1751285033151,2025-06-30T15:03:53.151,0.820,-18.659,-8.110,113.902
1751285033161,2025-06-30T15:03:53.161,0.830,-17.988,-6.524,112.134
1751285033171,2025-06-30T15:03:53.171,0.840,-17.378,-5.732,109.085
1751285033181,2025-06-30T15:03:53.181,0.850,-16.646,-5.183,105.244
1751285033191,2025-06-30T15:03:53.191,0.860,-16.280,-4.512,100.183
1751285033201,2025-06-30T15:03:53.201,0.870,-15.549,-3.598,95.244
1751285033211,2025-06-30T15:03:53.211,0.880,-15.000,-2.988,90.732
1751285033221,2025-06-30T15:03:53.221,0.890,-14.756,-3.354,86.220
1751285033231,2025-06-30T15:03:53.231,0.900,-14.634,-4.146,80.854
1751285033241,2025-06-30T15:03:53.241,0.910,-14.512,-6.098,73.049
1751285033251,2025-06-30T15:03:53.251,0.920,-14.451,-10.183,63.780
1751285033261,2025-06-30T15:03:53.261,0.930,-14.512,-15.305,54.878
1751285033271,2025-06-30T15:03:53.271,0.940,-13.902,-19.268,45.244
1751285033281,2025-06-30T15:03:53.281,0.950,-12.256,-20.000,35.000
1751285033291,2025-06-30T15:03:53.291,0.960,-9.939,-15.549,24.939
1751285033301,2025-06-30T15:03:53.301,0.970,-7.134,-7.256,14.878
1751285033311,2025-06-30T15:03:53.311,0.980,-4.451,1.220,4.512
1751285033321,2025-06-30T15:03:53.321,0.990,-2.378,6.280,-5.610
1751285033331,2025-06-30T15:03:53.331,1.000,-1.341,7.866,-15.366
1751285033341,2025-06-30T15:03:53.341,1.010,-0.793,6.341,-24.817
1751285033351,2025-06-30T15:03:53.351,1.020,-0.122,3.963,-32.622
1751285033361,2025-06-30T15:03:53.361,1.030,0.610,2.317,-39.878
1751285033371,2025-06-30T15:03:53.371,1.040,2.073,1.220,-46.524
1751285033381,2025-06-30T15:03:53.381,1.050,3.537,0.427,-52.683
1751285033391,2025-06-30T15:03:53.391,1.060,5.061,1.341,-59.268
1751285033401,2025-06-30T15:03:53.401,1.070,6.707,3.841,-65.976
1751285033411,2025-06-30T15:03:53.411,1.080,8.659,7.622,-72.439
1751285033421,2025-06-30T15:03:53.421,1.090,10.732,10.244,-79.085
1751285033431,2025-06-30T15:03:53.431,1.100,12.561,12.073,-85.061
1751285033441,2025-06-30T15:03:53.441,1.110,14.573,14.390,-90.183
1751285033451,2025-06-30T15:03:53.451,1.120,16.524,15.427,-95.244
1751285033461,2025-06-30T15:03:53.461,1.130,18.841,13.659,-99.146
1751285033471,2025-06-30T15:03:53.471,1.140,21.037,10.671,-102.256
1751285033481,2025-06-30T15:03:53.481,1.150,22.866,8.598,-105.305
1751285033491,2025-06-30T15:03:53.491,1.160,24.939,9.512,-108.354
1751285033501,2025-06-30T15:03:53.501,1.170,27.622,13.171,-112.012
1751285033511,2025-06-30T15:03:53.511,1.180,30.061,17.500,-115.366
1751285033521,2025-06-30T15:03:53.521,1.190,32.561,19.634,-118.659
1751285033531,2025-06-30T15:03:53.531,1.200,34.573,17.561,-122.134
1751285033541,2025-06-30T15:03:53.541,1.210,35.976,11.585,-125.244
1751285033551,2025-06-30T15:03:53.551,1.220,36.829,4.024,-127.561
1751285033561,2025-06-30T15:03:53.561,1.230,37.439,-1.524,-128.720
1751285033571,2025-06-30T15:03:53.571,1.240,37.317,-2.927,-127.012
1751285033581,2025-06-30T15:03:53.581,1.250,35.427,-0.305,-119.939
1751285033591,2025-06-30T15:03:53.591,1.260,32.439,5.061,-107.012
1751285033601,2025-06-30T15:03:53.601,1.270,28.537,11.463,-88.720
1751285033611,2025-06-30T15:03:53.611,1.280,24.390,16.646,-68.049
1751285033621,2025-06-30T15:03:53.621,1.290,19.756,17.927,-50.427
1751285033631,2025-06-30T15:03:53.631,1.300,14.573,11.707,-37.317
1751285033641,2025-06-30T15:03:53.641,1.310,7.927,-1.463,-28.232
1751285033651,2025-06-30T15:03:53.651,1.320,2.195,-16.220,-22.012
1751285033661,2025-06-30T15:03:53.661,1.330,-2.012,-28.902,-18.171
1751285033671,2025-06-30T15:03:53.671,1.340,-5.000,-35.244,-14.695
1751285033681,2025-06-30T15:03:53.681,1.350,-5.305,-32.927,-11.098
1751285033691,2025-06-30T15:03:53.691,1.360,-4.268,-25.244,-8.415
1751285033701,2025-06-30T15:03:53.701,1.370,-3.354,-15.610,-6.220
1751285033711,2025-06-30T15:03:53.711,1.380,-2.317,-6.707,-4.024
1751285033721,2025-06-30T15:03:53.721,1.390,-1.646,0.244,-2.378
1751285033731,2025-06-30T15:03:53.731,1.400,-1.098,5.610,-1.037
1751285033741,2025-06-30T15:03:53.741,1.410,-0.976,7.805,-0.305
1751285033751,2025-06-30T15:03:53.751,1.420,-1.585,5.854,-0.122
1751285033761,2025-06-30T15:03:53.761,1.430,-2.683,0.976,-0.244
1751285033771,2025-06-30T15:03:53.771,1.440,-3.110,-4.451,-0.305
1751285033781,2025-06-30T15:03:53.781,1.450,-3.720,-8.293,-0.793
1751285033791,2025-06-30T15:03:53.791,1.460,-3.780,-9.756,-1.280
1751285033801,2025-06-30T15:03:53.801,1.470,-2.988,-8.354,-1.341
1751285033811,2025-06-30T15:03:53.811,1.480,-2.256,-5.183,-1.402
1751285033821,2025-06-30T15:03:53.821,1.490,-1.463,-2.134,-0.732
1751285033831,2025-06-30T15:03:53.831,1.500,-1.159,0.000,0.366
1751285033841,2025-06-30T15:03:53.841,1.510,-1.037,1.402,1.524
1751285033851,2025-06-30T15:03:53.851,1.520,-1.220,2.073,2.927
1751285033861,2025-06-30T15:03:53.861,1.530,-1.524,2.256,4.573
1751285033871,2025-06-30T15:03:53.871,1.540,-1.524,2.805,6.098
1751285033881,2025-06-30T15:03:53.881,1.550,-1.707,3.720,7.378
1751285033891,2025-06-30T15:03:53.891,1.560,-1.768,5.244,7.988
1751285033901,2025-06-30T15:03:53.901,1.570,-2.012,6.707,8.293
1751285033911,2025-06-30T15:03:53.911,1.580,-2.073,7.927,8.720
1751285033921,2025-06-30T15:03:53.921,1.590,-2.134,7.927,9.573
1751285033931,2025-06-30T15:03:53.931,1.600,-2.378,6.829,10.854
1751285033941,2025-06-30T15:03:53.941,1.610,-2.622,4.573,12.012
1751285033951,2025-06-30T15:03:53.951,1.620,-3.415,0.793,12.073
1751285033961,2025-06-30T15:03:53.961,1.630,-4.146,-3.537,11.646
1751285033971,2025-06-30T15:03:53.971,1.640,-4.268,-8.293,11.524
1751285033981,2025-06-30T15:03:53.981,1.650,-3.902,-14.085,11.951
1751285033991,2025-06-30T15:03:53.991,1.660,-2.927,-18.537,14.329
1751285034001,2025-06-30T15:03:54.001,1.670,-1.951,-17.866,18.415
1751285034011,2025-06-30T15:03:54.011,1.680,-0.793,-8.963,23.537
