epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1750844321635,2025-06-25T12:38:41.635,0.000,-0.151,0.066,1.037
1750844321645,2025-06-25T12:38:41.645,0.010,-0.188,0.060,1.023
1750844321655,2025-06-25T12:38:41.655,0.020,-0.200,0.068,1.000
1750844321665,2025-06-25T12:38:41.665,0.030,-0.207,0.079,0.992
1750844321675,2025-06-25T12:38:41.675,0.040,-0.186,0.076,0.993
1750844321685,2025-06-25T12:38:41.685,0.050,-0.201,0.071,0.974
1750844321695,2025-06-25T12:38:41.695,0.060,-0.229,0.072,0.957
1750844321705,2025-06-25T12:38:41.705,0.070,-0.222,0.074,0.956
1750844321715,2025-06-25T12:38:41.715,0.080,-0.198,0.080,0.967
1750844321725,2025-06-25T12:38:41.725,0.090,-0.180,0.075,0.968
1750844321735,2025-06-25T12:38:41.735,0.100,-0.171,0.066,0.963
1750844321745,2025-06-25T12:38:41.745,0.110,-0.173,0.063,0.955
1750844321755,2025-06-25T12:38:41.755,0.120,-0.180,0.062,0.946
1750844321765,2025-06-25T12:38:41.765,0.130,-0.149,0.070,0.963
1750844321775,2025-06-25T12:38:41.775,0.140,-0.114,0.078,0.973
1750844321785,2025-06-25T12:38:41.785,0.150,-0.080,0.085,0.987
1750844321795,2025-06-25T12:38:41.795,0.160,-0.045,0.098,1.013
1750844321805,2025-06-25T12:38:41.805,0.170,-0.020,0.091,1.041
1750844321815,2025-06-25T12:38:41.815,0.180,0.024,0.076,1.070
1750844321825,2025-06-25T12:38:41.825,0.190,0.069,0.067,1.078
1750844321835,2025-06-25T12:38:41.835,0.200,0.088,0.064,1.077
1750844321845,2025-06-25T12:38:41.845,0.210,0.090,0.069,1.076
1750844321855,2025-06-25T12:38:41.855,0.220,0.109,0.078,1.077
1750844321865,2025-06-25T12:38:41.865,0.230,0.140,0.088,1.083
1750844321875,2025-06-25T12:38:41.875,0.240,0.142,0.098,1.081
1750844321885,2025-06-25T12:38:41.885,0.250,0.139,0.099,1.078
1750844321895,2025-06-25T12:38:41.895,0.260,0.158,0.099,1.068
1750844321905,2025-06-25T12:38:41.905,0.270,0.155,0.106,1.063
1750844321915,2025-06-25T12:38:41.915,0.280,0.139,0.117,1.050
1750844321925,2025-06-25T12:38:41.925,0.290,0.141,0.148,1.031
1750844321935,2025-06-25T12:38:41.935,0.300,0.116,0.194,1.021
1750844321945,2025-06-25T12:38:41.945,0.310,0.080,0.223,0.997
1750844321955,2025-06-25T12:38:41.955,0.320,0.023,0.257,0.957
1750844321965,2025-06-25T12:38:41.965,0.330,-0.049,0.290,0.920
1750844321975,2025-06-25T12:38:41.975,0.340,-0.101,0.317,0.917
1750844321985,2025-06-25T12:38:41.985,0.350,-0.150,0.348,0.930
1750844321995,2025-06-25T12:38:41.995,0.360,-0.209,0.387,0.952
1750844322005,2025-06-25T12:38:42.005,0.370,-0.274,0.420,0.961
1750844322015,2025-06-25T12:38:42.015,0.380,-0.351,0.448,0.950
1750844322025,2025-06-25T12:38:42.025,0.390,-0.431,0.470,0.938
1750844322035,2025-06-25T12:38:42.035,0.400,-0.560,0.484,0.912
1750844322045,2025-06-25T12:38:42.045,0.410,-0.689,0.498,0.910
1750844322055,2025-06-25T12:38:42.055,0.420,-0.764,0.504,0.929
1750844322065,2025-06-25T12:38:42.065,0.430,-0.828,0.502,0.951
1750844322075,2025-06-25T12:38:42.075,0.440,-0.876,0.497,0.936
1750844322085,2025-06-25T12:38:42.085,0.450,-0.960,0.492,0.893
1750844322095,2025-06-25T12:38:42.095,0.460,-1.095,0.465,0.855
1750844322105,2025-06-25T12:38:42.105,0.470,-1.141,0.410,0.848
1750844322115,2025-06-25T12:38:42.115,0.480,-1.111,0.396,0.856
1750844322125,2025-06-25T12:38:42.125,0.490,-1.103,0.408,0.860
1750844322135,2025-06-25T12:38:42.135,0.500,-1.082,0.404,0.863
1750844322145,2025-06-25T12:38:42.145,0.510,-1.078,0.399,0.829
