epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1750844321546,2025-06-25T12:38:41.546,0.000,34.329,-18.537,-81.037
1750844321556,2025-06-25T12:38:41.556,0.010,31.646,-18.476,-77.134
1750844321566,2025-06-25T12:38:41.566,0.020,23.232,-19.878,-62.805
1750844321576,2025-06-25T12:38:41.576,0.030,14.756,-17.744,-45.549
1750844321586,2025-06-25T12:38:41.586,0.040,10.183,-12.683,-33.293
1750844321596,2025-06-25T12:38:41.596,0.050,7.012,-7.805,-27.744
1750844321606,2025-06-25T12:38:41.606,0.060,4.756,-4.634,-26.402
1750844321616,2025-06-25T12:38:41.616,0.070,3.476,-1.585,-25.671
1750844321626,2025-06-25T12:38:41.626,0.080,2.439,1.585,-24.695
1750844321636,2025-06-25T12:38:41.636,0.090,1.951,2.866,-22.988
1750844321646,2025-06-25T12:38:41.646,0.100,0.610,-0.366,-20.183
1750844321656,2025-06-25T12:38:41.656,0.110,-1.402,-6.707,-16.707
1750844321666,2025-06-25T12:38:41.666,0.120,-3.963,-12.134,-13.110
1750844321676,2025-06-25T12:38:41.676,0.130,-6.159,-14.451,-10.000
1750844321686,2025-06-25T12:38:41.686,0.140,-6.402,-15.122,-7.012
1750844321696,2025-06-25T12:38:41.696,0.150,-6.341,-15.244,-5.732
1750844321706,2025-06-25T12:38:41.706,0.160,-6.220,-15.793,-5.244
1750844321716,2025-06-25T12:38:41.716,0.170,-5.305,-15.427,-5.854
1750844321726,2025-06-25T12:38:41.726,0.180,-3.415,-12.439,-7.012
1750844321736,2025-06-25T12:38:41.736,0.190,-1.524,-8.110,-7.073
1750844321746,2025-06-25T12:38:41.746,0.200,-0.183,-4.939,-5.793
1750844321756,2025-06-25T12:38:41.756,0.210,0.549,-4.451,-3.537
1750844321766,2025-06-25T12:38:41.766,0.220,0.061,-5.244,-0.366
1750844321776,2025-06-25T12:38:41.776,0.230,-0.854,-4.817,3.659
1750844321786,2025-06-25T12:38:41.786,0.240,-1.402,-3.963,7.683
1750844321796,2025-06-25T12:38:41.796,0.250,-2.134,-5.061,11.707
1750844321806,2025-06-25T12:38:41.806,0.260,-3.232,-7.439,15.915
1750844321816,2025-06-25T12:38:41.816,0.270,-4.939,-8.841,20.976
1750844321826,2025-06-25T12:38:41.826,0.280,-6.707,-7.988,27.744
1750844321836,2025-06-25T12:38:41.836,0.290,-8.537,-5.000,34.390
1750844321846,2025-06-25T12:38:41.846,0.300,-10.610,-2.012,40.793
1750844321856,2025-06-25T12:38:41.856,0.310,-12.805,-0.793,47.195
1750844321866,2025-06-25T12:38:41.866,0.320,-15.061,-2.256,52.561
1750844321876,2025-06-25T12:38:41.876,0.330,-17.500,-5.427,57.744
1750844321886,2025-06-25T12:38:41.886,0.340,-20.671,-9.817,64.451
1750844321896,2025-06-25T12:38:41.896,0.350,-24.146,-14.817,72.622
1750844321906,2025-06-25T12:38:41.906,0.360,-27.500,-17.561,82.317
1750844321916,2025-06-25T12:38:41.916,0.370,-30.549,-16.402,93.171
1750844321926,2025-06-25T12:38:41.926,0.380,-33.049,-12.805,104.146
1750844321936,2025-06-25T12:38:41.936,0.390,-35.305,-8.110,114.695
1750844321946,2025-06-25T12:38:41.946,0.400,-36.829,-2.866,124.634
1750844321956,2025-06-25T12:38:41.956,0.410,-37.622,1.280,133.354
1750844321966,2025-06-25T12:38:41.966,0.420,-38.902,3.293,140.427
1750844321976,2025-06-25T12:38:41.976,0.430,-40.366,2.561,145.488
1750844321986,2025-06-25T12:38:41.986,0.440,-40.854,0.732,150.122
1750844321996,2025-06-25T12:38:41.996,0.450,-40.610,0.732,153.598
1750844322006,2025-06-25T12:38:42.006,0.460,-40.427,2.988,155.793
1750844322016,2025-06-25T12:38:42.016,0.470,-40.366,6.524,157.561
1750844322026,2025-06-25T12:38:42.026,0.480,-40.122,10.427,158.171
1750844322036,2025-06-25T12:38:42.036,0.490,-38.841,12.439,155.549
1750844322046,2025-06-25T12:38:42.046,0.500,-37.683,11.098,148.963
1750844322056,2025-06-25T12:38:42.056,0.510,-37.805,7.805,139.268
1750844322066,2025-06-25T12:38:42.066,0.520,-37.866,5.122,127.317
1750844322076,2025-06-25T12:38:42.076,0.530,-36.524,4.573,114.085
1750844322086,2025-06-25T12:38:42.086,0.540,-34.756,4.695,100.793
1750844322096,2025-06-25T12:38:42.096,0.550,-32.744,2.439,87.317
1750844322106,2025-06-25T12:38:42.106,0.560,-31.037,-3.598,72.988
1750844322116,2025-06-25T12:38:42.116,0.570,-28.110,-11.951,58.780
1750844322126,2025-06-25T12:38:42.126,0.580,-24.695,-15.915,43.415
1750844322136,2025-06-25T12:38:42.136,0.590,-21.829,-12.927,28.537
1750844322146,2025-06-25T12:38:42.146,0.600,-17.622,-6.646,16.037
1750844322156,2025-06-25T12:38:42.156,0.610,-13.110,0.366,3.232
1750844322166,2025-06-25T12:38:42.166,0.620,-9.268,5.122,-9.512
1750844322176,2025-06-25T12:38:42.176,0.630,-4.451,7.927,-22.134
1750844322186,2025-06-25T12:38:42.186,0.640,-0.122,10.854,-35.061
1750844322196,2025-06-25T12:38:42.196,0.650,3.354,10.793,-45.610
1750844322206,2025-06-25T12:38:42.206,0.660,7.073,8.598,-53.963
1750844322216,2025-06-25T12:38:42.216,0.670,11.524,7.134,-63.232
1750844322226,2025-06-25T12:38:42.226,0.680,16.159,6.280,-73.232
1750844322236,2025-06-25T12:38:42.236,0.690,21.463,4.817,-82.378
1750844322246,2025-06-25T12:38:42.246,0.700,25.732,2.500,-91.829
1750844322256,2025-06-25T12:38:42.256,0.710,29.695,-1.768,-101.220
1750844322266,2025-06-25T12:38:42.266,0.720,33.598,-5.610,-109.939
1750844322276,2025-06-25T12:38:42.276,0.730,37.378,-8.476,-117.927
1750844322286,2025-06-25T12:38:42.286,0.740,40.366,-10.305,-124.695
1750844322296,2025-06-25T12:38:42.296,0.750,43.963,-12.378,-130.122
1750844322306,2025-06-25T12:38:42.306,0.760,48.232,-14.939,-133.476
1750844322316,2025-06-25T12:38:42.316,0.770,51.646,-17.073,-136.402
1750844322326,2025-06-25T12:38:42.326,0.780,55.366,-17.500,-138.598
1750844322336,2025-06-25T12:38:42.336,0.790,59.512,-15.122,-139.451
1750844322346,2025-06-25T12:38:42.346,0.800,64.573,-10.305,-139.756
1750844322356,2025-06-25T12:38:42.356,0.810,68.110,-4.512,-138.598
1750844322366,2025-06-25T12:38:42.366,0.820,68.354,2.439,-135.732
1750844322376,2025-06-25T12:38:42.376,0.830,67.683,10.122,-131.829
1750844322386,2025-06-25T12:38:42.386,0.840,66.707,18.171,-128.780
1750844322396,2025-06-25T12:38:42.396,0.850,64.390,22.744,-124.573
1750844322406,2025-06-25T12:38:42.406,0.860,59.878,20.854,-116.341
1750844322416,2025-06-25T12:38:42.416,0.870,52.439,12.866,-105.427
1750844322426,2025-06-25T12:38:42.426,0.880,43.293,2.256,-93.476
1750844322436,2025-06-25T12:38:42.436,0.890,34.451,-7.317,-81.220
1750844322446,2025-06-25T12:38:42.446,0.900,25.427,-14.085,-68.963
1750844322456,2025-06-25T12:38:42.456,0.910,17.073,-18.902,-56.524
1750844322466,2025-06-25T12:38:42.466,0.920,9.512,-23.110,-45.610
1750844322476,2025-06-25T12:38:42.476,0.930,3.902,-26.524,-36.768
1750844322486,2025-06-25T12:38:42.486,0.940,-0.366,-27.744,-29.268
1750844322496,2025-06-25T12:38:42.496,0.950,-2.988,-25.305,-22.561
1750844322506,2025-06-25T12:38:42.506,0.960,-4.451,-20.000,-16.951
1750844322516,2025-06-25T12:38:42.516,0.970,-4.512,-12.683,-13.415
1750844322526,2025-06-25T12:38:42.526,0.980,-3.293,-4.878,-11.707
1750844322536,2025-06-25T12:38:42.536,0.990,-2.012,2.561,-9.878
1750844322546,2025-06-25T12:38:42.546,1.000,-1.341,8.476,-7.744
1750844322556,2025-06-25T12:38:42.556,1.010,-1.280,10.671,-5.549
1750844322566,2025-06-25T12:38:42.566,1.020,-2.073,10.061,-3.232
1750844322576,2025-06-25T12:38:42.576,1.030,-2.439,8.049,-1.098
1750844322586,2025-06-25T12:38:42.586,1.040,-2.439,6.159,0.122
1750844322596,2025-06-25T12:38:42.596,1.050,-2.439,3.415,0.427
1750844322606,2025-06-25T12:38:42.606,1.060,-2.317,0.305,0.671
1750844322616,2025-06-25T12:38:42.616,1.070,-1.707,-1.890,0.732
1750844322626,2025-06-25T12:38:42.626,1.080,-0.976,-3.110,1.220
1750844322636,2025-06-25T12:38:42.636,1.090,-0.244,-3.841,2.256
1750844322646,2025-06-25T12:38:42.646,1.100,0.671,-4.207,2.927
1750844322656,2025-06-25T12:38:42.656,1.110,1.707,-3.537,3.841
1750844322666,2025-06-25T12:38:42.666,1.120,2.622,-0.793,5.305
1750844322676,2025-06-25T12:38:42.676,1.130,3.415,3.110,7.439
